interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
ACLY*CCDC85B,72.72417804919061,,0,5,3
RELB*SLC35A1,69.82921416843465,,0,3,3
MRPL18*TUBB6,66.63697356223956,,0,13,3
MAN2B1*SLC35A1,65.16171606319051,,0,132,4
NIPSNAP1*TUBB6,61.50682011555576,,0,29,3
BAG3*NUP88,59.59811241277368,,0,22,3
PTK2B*TRAPPC3,59.12051467198409,,0,2,3
CEBPD*IKBKE,57.99969560626249,212.0,0,5,3
ENOPH1*UBE2L6,57.854459389891865,,0,2,3
HDAC2*TUBB6,57.20307356547168,,0,62,3
PSMB8*SLC25A4,57.122397012134186,,0,1,3
STK25*UBQLN2,57.12196915549012,,0,10,3
CDKN1B*PNKP,56.964797679093024,,0,1,3
MKNK1*UQCR10,56.7535003792871,,0,2,3
IGHMBP2*LAP3,55.9945799523753,,0,2,3
SMARCD2*TUBB6,55.92047354969234,,0,18,3
DENND2D*TCEA2,55.69911614282388,,0,2,3
INPP1*WFS1,55.62578099292147,,0,1,3
FZD1*TUBB6,55.47200529340408,,0,197,4
AKAP8*CDKN1B,55.425883708773455,,0,13,3
GRB7*MAN2B1,55.34556321438211,,0,426,4
HSPA4*RPA3,55.302693471552246,,0,73,3
STK25*VAV3,55.04327338539472,,0,353,4
NCK1*NFKBIB,54.831007517988326,,0,4,3
SLC25A46*TUBB6,54.8016806157715,,0,5,3
CD40*MRPL18,54.76979492919767,,0,1,3
ETFB*NUP93,54.54207718580812,,0,28,3
ICAM3*MCM3,54.4064977773207,,0,1,3
BHLHE40*SLC35B1,54.34403098942548,,0,144,4
ACLY*ETFB,53.62775255895214,461.0,0,22,3
AKAP8L*PLSCR1,53.45541514070598,,0,8,3
CD40*GRB7,53.426304799084704,,0,1,3
PNKP*SLC25A4,53.39832012813452,,0,5,3
ETS1*PCBD1,53.32733461456734,,0,6,3
AKAP8L*LAP3,53.28268632939557,,0,13,3
FOXJ3*ITGAE,53.236855263789735,,0,1,3
LSM6*VGLL4,53.143786474356936,,0,247,4
CCDC86*ETFB,53.012580854227,,0,8,3
PPARD*STK25,52.93351155788706,,0,2,3
SCAND1*VAV3,52.875576050810686,,0,78,4
CFLAR*LRPAP1,52.825515286011374,,0,2,3
CFLAR*WFS1,52.75163050581868,,0,2,3
IGHMBP2*NFKB2,52.487973584996666,,0,3,3
MRPS2*TMEM109,52.474844890426965,,0,12,3
PSIP1*VPS28,52.382839232442215,,0,5,3
PPIE*TICAM1,52.17953475124778,,0,1,3
FCHO1*STK25,51.76127221185845,,0,1,3
ELAVL1*RFNG,51.63234190787194,,0,101,4
BRCA1*GPC1,51.32348962378773,,0,68,3
DENND2D*MBNL2,51.26114884021284,,0,1,3
RFNG*ZNHIT3,51.21414586568803,,0,3,4
TSPAN3*TUBB6,51.18400848163913,,0,3,3
RAE1*STK25,51.08096816246337,,0,3,3
CFLAR*VPS28,51.07385332887187,,0,2,3
COL4A1*ETFB,50.8838695725632,,0,161,4
BCL7B*DNAJB2,50.71321893413485,,0,1,3
ICAM3*PRUNE,50.52686735710525,,0,33,4
RNH1*UBQLN2,50.516747004645005,276.0,1,1,2
DDR1*LSM6,50.50257025490125,,0,577,4
GPC1*NOP16,50.48127082687771,,0,16,3
MBNL2*RFNG,50.45337608914448,,0,705,5
ABCB6*CEP57,50.44652451422621,,0,782,4
LPGAT1*VPS28,50.415731557767806,,0,3,3
CHERP*ICAM3,50.36486286249011,,0,261,4
CRKL*UXT,50.360976678677375,,0,5,3
CYB561*TXLNA,50.30587573389528,,0,2,3
BCL7B*RBM6,50.2778356935568,,0,6,3
CIRBP*PTPRK,50.16798402243546,,0,5,3
CCDC85B*LRP10,50.16539678002585,,0,1,3
COG2*YKT6,50.12075528640759,711.0,0,12,3
CEP57*GTDC1,50.00344289811667,,0,1,3
SCAND1*STAT5B,49.89263328923204,,0,113,4
PRSS23*ZW10,49.885001630341165,,0,3,3
POLE2*STXBP1,49.873780096487465,,0,390,4
AKAP8L*PTK2B,49.84868414223657,,0,1,3
RFNG*SMAD3,49.78014699942701,,0,18,4
ATMIN*SLC25A46,49.724140526865774,,0,78,4
DDB2*DENND2D,49.703964475045325,,0,456,4
CCDC85B*FOXO3,49.69709539634728,,0,672,4
PSMB8*WFS1,49.69119009756078,,0,2,3
AKAP8L*PSMB8,49.62117970035244,,0,3,3
SPAG4*TMCO1,49.61556224800621,,0,2,3
PPARD*RFNG,49.57768599345118,,0,8,4
PSRC1*RSU1,49.53701520447715,,0,2,3
HYOU1*TUBB6,49.52619650495309,174.0,0,48,3
CD40*VPS28,49.46936564974048,,0,3,3
PXMP2*STXBP1,49.37797348777488,,0,4,3
CREB1*WFS1,49.35196506530308,,0,6,3
PTK2B*SLC25A4,49.22610182077927,,0,5,3
CCDC85B*HEATR1,49.19778048218064,,0,4,3
MAN2B1*MAPKAPK5,49.19587535821574,,0,1,3
AKAP8*LAP3,49.168007455225165,,0,11,3
CCDC85B*PHKB,49.16507462535336,,0,2,3
CALM3*CFLAR,49.01277260605814,,0,2,3
PRUNE*SCAND1,49.00083716931372,,0,42,4
GMNN*ZRSR2,49.00062788919811,,0,3,3
H2AFV*IGFBP3,48.93543456328228,,0,4,3
IKBKE*NR2F6,48.910354220770365,,0,1,3
DENND2D*STK25,48.86862683375314,,0,174,4
ETFB*NUP88,48.845655616990186,,0,10,3
