interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CBR3*ETFB,68.77899514735786,250.0,0,4,3
FAS*TUBB6,67.89609779679002,,1,1,2
PRPF4*ZNF131,67.55376678313027,,0,4,3
CEP57*PAFAH1B2,67.23287883531513,,0,3,3
TSPAN3*ZNF586,67.17492938216677,,0,1,4
HEATR1*ZNF451,66.85893206986115,,0,10,3
AKAP8*HMGCR,66.77538571964797,,0,3,3
CHERP*HSPA4,66.48607606265024,,0,41,3
ACLY*FBXO11,66.00046536955095,,0,10,3
DHX29*PTK2,65.9579533030497,,0,16,3
CCDC85B*SCAND1,64.72252433456724,,0,1,3
HSPA4*MAPKAPK5,64.27209600875013,173.0,0,10,3
RUVBL1*SCYL3,63.793094315089846,,0,3,3
ACLY*KIAA0907,63.51469259240706,,0,5,3
MPZL1*TUBB6,63.48320657389629,,0,5,3
ENOPH1*TIMELESS,62.411769583896174,,0,1,3
ACLY*ISOC1,62.28553692882042,206.0,0,19,3
ACLY*USP16,62.14624263473074,,0,13,3
BLMH*CEP57,62.07916463229434,,0,5,3
AKAP8*HSPA4,61.36246883680667,,0,49,3
CCNE2*UBQLN2,61.36111176816609,,0,3,3
PTK2*TSPAN3,61.09669840362448,,0,4,3
DMTF1*DNTTIP2,60.70930571308611,,0,1,3
CASK*TSPAN3,60.37587395119853,,0,4,3
ASCC3*ZNF451,59.98635798805472,,0,11,3
MRPS2*PSME1,59.567681359364144,,0,11,3
METRN*PTK2B,59.44144762693701,,0,73,4
DHX29*LPGAT1,59.40493265513001,,0,6,3
PRUNE*VAPB,59.39832465550094,,0,6,3
BZW2*DENND2D,59.22335121487401,,0,2,3
MTF2*TSPAN3,58.78091971129353,,0,285,4
ACLY*CRKL,58.54980700921072,,0,40,3
CCNB1*KIAA0907,58.53098868128999,,0,1,3
HMGCR*ZNF274,58.26765109856677,,0,1,3
ELAVL1*VDAC1,58.15547082385805,,1,1,2
AKAP8*G3BP1,58.10979345244455,,0,59,3
TPD52L2*YKT6,57.77026039869307,,0,40,3
RPN2*SCYL3,57.59557848612441,,0,17,3
CENPE*DMTF1,57.376305294269685,,0,1,3
BRCA1*SPEN,57.02390884108473,167.0,0,35,3
STXBP1*TMCO1,56.81081357007223,,0,6,3
CCNA2*LSM6,56.77752045977048,,0,5,3
CAPN1*POLE2,56.676034894936784,,0,832,4
CDC45*MTF2,56.63216125424096,,0,4,3
KIAA0907*TOP2A,56.50180643790918,,0,7,3
CHMP4A*ETFB,56.470488862894,202.0,0,2,3
G3BP1*YTHDF2,56.19393829562479,671.0,3,1,2
ASCC3*FBXO11,56.12159856149985,,0,6,3
ACLY*TCERG1,55.83276981648413,,0,32,3
ACLY*ZNF395,55.73730502646684,,0,1,3
PCBD1*SUCLG1,55.71051406534818,,0,2,3
DFFA*MTF2,55.69345134957256,,0,2,3
AKAP8*VDAC1,55.632428891511,,0,40,3
ASCC3*SCYL3,55.627282717670354,,0,3,3
IGF2R*NVL,55.62080306254193,,0,12,3
NUP88*POLG2,55.60659624842077,,0,3,3
ARL4C*TRAPPC3,55.53520815750662,,0,2,3
MRPS2*TCEA2,55.39871553947124,,0,6,3
DNM1L*SLC25A46,55.34348692794384,408.0,1,1,2
ELAVL1*PAFAH1B1,55.31465730058992,,0,47,3
EPRS*RFX5,55.31180671006325,,0,6,3
ENOPH1*TSPAN3,55.273004556598245,,0,1,3
IGF2R*UBAP1,55.267494744907694,,0,2,3
HOMER2*SUPV3L1,55.20620091424037,,0,1,3
MRPS2*NFKBIB,55.15049068071042,,0,7,3
ASCC3*TP53BP2,55.13350000239791,,0,19,3
ERBB3*HMGCR,54.91354132413719,,0,5,3
IGF2R*SPEN,54.85495661704744,,0,11,3
MAP2K5*MTF2,54.82367661686295,,0,2,3
CDC42*YKT6,54.74162933486147,232.0,1,1,2
DENND2D*TOMM34,54.70032456984048,,0,1,3
IL13RA1*NPC1,54.48202911528957,,0,3,3
LPGAT1*UBE2A,54.47812633592235,,0,3,3
LIG1*PIK3C3,54.43354671328383,177.0,0,7,3
UBE2A*UBQLN2,54.39071363420296,508.0,1,1,2
SCYL3*USP14,54.38044390332925,,0,6,3
LRP10*ZFX,54.31763448853234,,0,1,3
LAP3*TUBB6,54.27783217861213,,0,13,3
HOMER2*MBNL2,54.233264845261786,,0,57,4
CFLAR*MYC,54.14839535498431,658.0,0,21,3
CEP57*HEATR1,54.003518762989415,,0,6,3
PAFAH1B1*PCM1,53.99472616049823,451.0,0,32,3
ARID4B*NOLC1,53.95416209739837,,0,21,3
FASTKD5*HSPA4,53.87841271725228,,0,29,3
POLE2*RAB27A,53.86296765223526,,0,3,3
ACLY*APPBP2,53.85568574919611,,0,9,3
ELAVL1*NUP133,53.772912271752254,179.0,0,61,3
ASH2L*TSPAN3,53.57162993187913,,0,2,3
IGHMBP2*WDR61,53.57098939393083,,0,6,3
ETFB*NFKBIB,53.47848740404963,,0,5,3
MAPKAPK5*TOP2A,53.45831449349649,,0,9,3
ASCC3*OXSR1,53.32628536105166,,0,15,3
ORC1*PTK2,53.14472058440617,,0,6,3
NT5DC2*RFNG,53.13538911483409,,0,7,4
DAXX*PNP,53.11215354799533,,0,6,3
DNMT1*SCYL3,53.08983734480083,,0,1486,4
ARID4B*G3BP1,53.054254323297,,0,24,3
MSH6*PLS1,53.01957404044686,,0,10,3
ASCC3*LPGAT1,52.979846499495366,,0,8,3
UTP18*ZNF131,52.96609497497364,,0,3,3
