interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
MELK*PCM1,90.78656051973442,,0,14,3
BAD*PTPN12,90.6495351153714,,0,5,3
LYN*WDR61,86.46865853764277,,0,12,3
DLD*PAFAH1B2,80.72434491340036,,0,17,3
CLPX*RAI14,80.65962475397417,,0,19,3
SRP14*TXNRD1,79.30824096619278,,0,14,3
GSTM2*GTDC1,77.69556336878082,,0,6,4
ABHD4*TIMP2,77.54936836524541,,0,1,3
JUN*NFKBIE,77.26402088170957,302.0,0,5,3
IFRD2*RPA3,76.57233962054907,,0,4,3
BAD*COASY,76.28987383140414,,0,2,3
SPECC1L*TRAK2,75.16559102819272,,0,3,3
COG4*SNX7,74.98946577209803,304.0,0,2,3
H2AFV*PPP1R13B,74.29484142840172,,0,2,3
SPECC1L*TIMP2,73.46876930939479,,0,1,3
IL4R*STK25,73.41565535966848,,0,1,3
GPC1*YKT6,72.999142255393,,0,11,3
RALA*TP53BP1,72.99071718732891,,0,10,3
PRPF4*TP53BP1,72.90557905992893,,0,37,3
MRPL18*NFATC3,72.82269619287722,,0,4,3
CDC45*LRRC41,72.7036395954685,,0,10,3
MRPL18*PPP1R13B,72.04282334941185,,0,3,3
CLPX*PAFAH1B2,71.39700023887413,,0,6,3
RAI14*SMC3,71.34739678705793,,0,34,3
GSTM2*KDM5B,71.19029132850416,,0,1,3
BAD*SCAND1,71.08242396303837,,0,1,3
ABHD4*COL1A1,70.80864156011549,,0,44,4
CCND3*PSRC1,70.38684636096613,,0,3,3
DDIT4*RB1,69.95983277745404,,0,977,4
CPNE3*PAFAH1B2,69.95493293605352,,0,5,3
ME2*PHKB,69.91917092073828,,0,3,3
AMDHD2*JOSD1,69.8514208914953,,0,43,4
KIAA0196*VAV3,69.74394256224043,,0,2,3
ENOPH1*MRPL18,69.68752859764867,185.0,0,2,3
EML3*REEP5,69.42220350371434,241.0,0,2,3
NR3C1*RFNG,68.92121068235807,,0,30,4
ADAM10*TBP,68.8022926633174,,0,1,3
ME2*PAFAH1B2,68.74487741702907,,0,6,3
LRRC41*MELK,68.59224730341943,,0,5,3
FAT1*RSU1,68.54551742836027,,0,4,3
COG2*MRPL18,67.96575695033013,,0,1,3
AKR7A2*SNX7,67.92025155459562,,0,76,4
AXIN1*MMP1,67.81111701727934,197.0,0,57,4
BAD*PAFAH1B1,67.4934679062391,,0,7,3
NNT*NUP133,67.38966647495113,,0,19,3
BAD*CLIC4,67.33285628724866,,0,5,3
PLP2*SMAD3,67.30190194413893,,0,3,3
HOXA10*RPP38,67.25261570631433,,0,2,3
IPO13*MAPK9,67.01219289215345,,0,3,3
KAT6A*NT5DC2,66.83289900459798,,0,3,3
ITGB1BP1*STMN1,66.80708433668792,,0,1,3
MOK*NIPSNAP1,66.70539758964725,,0,1,3
AKT1*FPGS,66.66958913131575,,0,4,3
LYN*PHKB,66.65806683989531,,0,6,3
BAD*MMP1,66.49858746380808,,0,57,4
CAMSAP2*RFNG,66.49745035855591,,0,3,4
HEATR1*MBNL1,66.16917203988223,183.0,0,15,3
MAP7*NFATC3,66.16023263172873,,0,10,3
PTPN12*RFNG,65.99881590648197,,0,8,4
FAH*LYN,65.86231952716612,,0,2,3
SNX7*TCEA2,65.85848300803931,,0,1,3
CAPN1*JUN,65.72616771745719,218.0,0,17,3
PACSIN3*PSMD9,65.7090854006945,,0,7,3
MRPL18*SUZ12,65.66268008911044,,0,23,3
ANO10*TM9SF2,65.57309747966616,,0,11,3
FOXO3*PTPN12,65.53845825666473,,0,4,3
NUP88*STK25,65.5327867405933,,0,1,3
C2CD2L*GTDC1,65.45313645483438,,0,29,4
FAT1*YKT6,65.37155001669055,,0,27,3
DUSP4*RAI14,65.33936858825032,,0,6,3
IFRD2*WDR61,65.29172666937106,,0,3,3
DDIT4*TOMM70A,65.26204984110636,,0,3,3
SRP14*STX1A,65.09342322698062,,0,4,3
CDC25B*TP53BP1,65.0707283721951,295.0,0,9,3
ORC1*PCM1,65.06369592518358,,0,7,3
FOXO3*MACF1,64.98669478082418,,0,12,3
PLSCR1*SYK,64.96604968534655,180.0,0,7,3
CENPO*PHKB,64.9604769643542,,0,165,4
MAPK13*VGLL4,64.78211634152474,,0,94,4
PPP1R13B*SUV39H1,64.76985261827647,,0,6,3
KDM5B*RTN2,64.74879352127917,,0,1,3
PACSIN3*RPA3,64.73406874008009,,0,19,3
RFNG*TJP1,64.61567935150765,,0,12,4
AKT1*RAB4A,64.60641607141969,439.0,0,19,3
LPGAT1*NOLC1,64.57701238716368,,0,9,3
PPP1R13B*RFC5,64.52416037751262,,0,7,3
HK1*IGFBP3,64.42571008088363,,0,3,3
MTA1*RAB4A,64.42294953024033,,0,6,3
CIRBP*TP53BP1,64.17066758122947,305.0,1,1,2
MELK*TP53BP1,64.16515758571363,,0,8,3
FAM57A*ST7,64.08021707490963,,0,7,3
AKR7A2*MPZL1,64.00112995206429,,0,3,3
RPA2*TMEM110,63.980155496127686,,0,59,4
SRP14*VPS72,63.97347033695325,,0,14,3
ATP5S*STUB1,63.84157285315609,,0,1,3
ATF1*RFNG,63.82012573834503,,0,1,4
ITGB1BP1*LAGE3,63.73025903099094,,0,190,4
MAPKAPK5*PAFAH1B2,63.70064613703617,,0,3,3
HEATR1*RFNG,63.69608824283929,,0,16,4
ATF1*SENP6,63.69193493331444,,0,236,4
