interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
TBP*TIMM17B,45.50805476168362,,0,301,4
NOSIP*WDR7,42.203007338155146,,0,8,3
ATP11B*EBP,41.66548759710216,,0,1,3
FAM63A*TSPAN4,40.75240153668432,,0,26,4
CDKN2A*MAP7,39.54335735262504,,0,27,3
PGM1*SLC25A14,39.31522554690312,,0,78,4
ARHGEF12*ICAM3,38.68998985685968,,0,1,3
ARHGEF12*PSMB10,37.54260476319408,,0,1,3
TWF2*ZMYM2,37.31286079094175,,0,6,3
PAK1*TERF2IP,37.297026792527646,,0,10,3
RAB11FIP2*TCEA2,37.21130759670445,,0,5,3
FAM69A*NPRL2,37.13223001184109,,0,166,4
FAM63A*RPS6,36.83605761400095,,0,4,3
ICAM3*WDR7,36.77859525373524,,0,111,4
PLOD3*TXNRD1,36.70474449883305,,0,12,3
CHMP6*TIPARP,36.64655531288925,,0,7,3
MSH6*TIMM17B,36.595905275871445,,0,4,3
CLSTN1*RPIA,36.32939604887844,,0,1,3
LSR*SMC4,36.17479853803141,,0,9,3
GDPD5*HSPD1,36.127734333181046,,0,5,3
HSPD1*PGM1,35.905602036350125,163.0,0,22,3
LGALS8*MYC,35.87276898034949,,0,38,3
CHMP6*PPP2R5E,35.80378992793719,,0,2,3
SLC1A4*TUBB6,35.80094678522308,,0,2,3
ARNT2*ZFP36,35.6865411079699,,0,5,3
LGALS8*MSRA,35.46418237341932,,0,418,4
CDKN2A*SMC4,35.43247908273611,,0,33,3
FOS*ZRSR2,35.393638553014874,,0,3,3
TSPAN4*ZNF586,35.237243824185114,,0,9,4
DLD*TIMM17B,35.23105533032776,,0,1,3
ARNT2*CEBPD,35.1569970278581,161.0,0,2,3
ATP11B*GDPD5,35.06148217626826,,0,37,4
ACAA1*TRIM13,34.892561179825165,,0,1,3
SPAG4*TBPL1,34.83414575519581,,0,48,4
ARNT2*PDGFA,34.601280664525206,,0,67,4
PLOD3*RPA3,34.10752725074774,,0,18,3
MMP2*NPRL2,34.05588113571238,,0,1,3
LSR*PAICS,34.00470763735129,,0,8,3
MMP2*PAFAH1B3,33.99616533993493,,0,187,4
ACAA1*CGRRF1,33.93255666420999,,0,250,4
CGRRF1*RGS2,33.91213724819359,,0,1,3
NFKBIE*WDR7,33.81585918381739,,0,245,4
EBP*OGFOD1,33.81556496969091,,0,1,3
RPS6*SLC1A4,33.73602497932987,,0,9,3
CCNF*PGM1,33.63886712676359,,0,25,3
APBB2*RPS6,33.53520454303559,,0,16,3
KIAA0196*SHB,33.51788118796266,,0,4,3
RELB*SLC1A4,33.49848198315216,,0,203,4
HES1*SUCLG1,33.3629106124303,,0,454,4
FBXO7*RPS6,33.351822597323675,,0,82,3
CCP110*ICAM3,33.34957975754251,,0,125,4
CD58*SMARCD2,33.33584186687166,,0,4,3
DAXX*LGALS8,33.241806942491905,,0,4,3
ICAM1*SLC1A4,33.21115312337311,,0,2,3
CEBPD*DDX42,33.184740674635414,,0,2,3
CLPX*SRSF4,33.07611405477703,,0,20,3
LAP3*RPS6,33.05561689847998,,0,16,3
FAM69A*KHDRBS1,33.05478508726968,,0,1,3
NPRL2*PPARG,32.950275551316494,,0,8,3
BAX*MLEC,32.940188187379164,,0,14,3
EBP*SUPV3L1,32.910105560367136,,0,2,3
ARHGEF12*RELB,32.890212764331764,,0,5,3
GNAI2*UBR7,32.79669145102057,,0,4,3
MLEC*NOP16,32.76386753059871,,0,8,3
GABPB1*RPS6,32.71595586905226,,0,4,3
EBP*PTPN12,32.71257528419619,,0,5,3
ACAA1*RAB31,32.65715336981907,,0,4,3
CDKN2A*STAMBP,32.604263830182,161.0,0,8,3
TGFB3*ZNF589,32.56586440402687,,0,8,4
DDR1*EBP,32.55912167468078,,0,7,3
PSMD4*TXNRD1,32.548405884757656,171.0,0,21,3
ICAM3*RAB11FIP2,32.508318599041544,,0,72,4
RPS6*SLC25A46,32.454286005122114,,0,12,3
MAPKAPK3*ZDHHC6,32.436201335532544,,0,106,4
CDKN2A*MMP1,32.402273053568734,390.0,0,186,4
EBNA1BP2*SCRN1,32.380459213590576,,0,4,3
CLSTN1*PSMD4,32.299730751800666,,0,8,3
MYCBP2*RPS6,32.28195724180115,,0,33,3
ICAM3*SLC35A3,32.2722042000775,,0,16,4
PRKCD*ZFP36,32.2699324191208,,0,4,3
CHMP6*USP14,32.267408459216284,,0,2,3
CLSTN1*GNAS,32.26409317399324,,0,5,3
CGRRF1*RPS6,32.24906906440366,,0,6,3
EML3*NSA2,32.137210339224694,164.0,0,618,4
RAB11FIP2*ZRSR2,32.12970224361507,,0,276,4
PAN2*S100A4,32.03223597787412,,0,6,3
EBP*SDHB,31.99423033153572,,0,7,3
MYC*SPDEF,31.98991240429235,261.0,0,9,3
ICAM3*SCCPDH,31.988175839036984,,0,1,3
CSRP1*ZRSR2,31.979391079962568,,0,2,3
RGS2*SLC1A4,31.951704503997338,,0,1,3
EBP*NET1,31.93478398760114,,0,1,3
FAS*SLC1A4,31.93194680451056,,0,1,3
EZH2*LSR,31.91750360346152,,0,11,3
ARFIP2*BBS9,31.915519534451654,,0,56,4
MNAT1*TARBP1,31.895157230580374,,0,3,3
LSM5*POLR2K,31.857894966765272,545.0,0,8,3
CCDC85B*CREB1,31.84167457203213,,0,2,3
ADCK3*IL4R,31.82778159362424,,0,1,3
ARNT2*TUBB6,31.813207871652832,,0,964,4
