interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
RAB11FIP2*TXNDC9,51.27907153435052,,0,2,3
ARHGEF12*HSPD1,44.54472078793659,,0,21,3
VAPB*WDR7,43.914673290743245,,0,29,3
PHKA1*WDR7,43.4978281396059,,0,3,3
CREB1*TBP,43.47757216737652,981.0,0,23,3
ARNT2*KIAA0100,42.88821564244827,,0,2,3
HSPD1*MYCBP2,42.72887157404157,,0,44,3
HSPA4*SLC1A4,42.525144865844055,,0,6,3
ARHGEF12*VAPB,42.5120746424856,245.0,4,1,2
RAB11FIP2*TBP,42.38374952425959,,0,1,3
DLD*SLC1A4,41.77128256632615,176.0,0,5,3
PTPN6*TBPL1,41.745387747548286,,0,2,3
COPB2*SMC3,41.60583605826457,,1,1,2
SNX13*WDR7,41.32730150395531,,0,1,3
MKNK1*TBPL1,41.15580853076785,,0,2,3
APPBP2*CLTC,41.11264877180397,467.0,0,11,3
HSPD1*SMC3,40.44092047675393,196.0,0,90,3
ARHGEF12*ATP11B,40.27170573558744,,0,1,3
ATP2C1*TRIM13,39.82540542874314,,0,15,3
TOPBP1*WDR7,39.815711071489375,,0,6,3
PRCP*RPA3,39.58183455884607,,0,7,3
SUZ12*WDR7,39.376066346948,,0,8,3
ABL1*ATP11B,39.32679543123877,216.0,0,176,4
MTHFD2*ZDHHC6,39.26896488252186,,0,244,4
SLC25A14*TIPARP,39.11976076290825,,0,1522,4
CREB1*HMGCS1,39.10867540281874,,0,4,3
MAP7*WDR7,39.005025597278966,,0,5,3
SHB*TPM1,38.98328231426714,,0,6,3
DHX29*FAM114A2,38.953808277086765,,0,6,3
CREB1*MAP7,38.94052078205138,,0,11,3
CCP110*CDK2,38.92294516826936,607.0,2,1,2
CREB1*TOPBP1,38.55954377163986,,0,11,3
TXNRD1*UBR7,38.49828971871783,,0,9,3
USP1*WDR7,38.43260181579242,,0,2,3
CCP110*G3BP1,38.41555819138407,,0,22,3
HIF1A*MMP2,38.262496312322405,754.0,0,5,3
AGL*ATP11B,38.16077775930408,,0,82,4
COPB2*SPEN,38.08392136370287,,0,10,3
RAB11FIP2*UBQLN2,37.78428421750392,,0,7,3
GNA11*TBC1D15,37.6571728610876,,0,7,3
RAB11FIP2*SCRN1,37.59298755680826,,0,3,3
FAM114A2*HSPD1,37.535796820084016,,0,11,3
PUS7L*WDR7,37.400706118361946,,0,99,4
ARHGEF12*CYB561,37.39322357482615,,0,3,3
ARPP19*SDHB,37.31772290595524,,0,1,3
CREB1*TXNRD1,37.14386282566137,,0,10,3
AFG3L2*ATP11B,36.97377730005877,,0,1,3
FBXO7*TXNRD1,36.93535039721583,,0,20,3
CHMP6*EBP,36.882606249693886,,0,3,3
ERBB3*POP4,36.79970221653035,,0,1,3
CCND1*TXNDC9,36.79743025470838,,0,6,3
CRKL*HSPD1,36.79210440233168,,0,62,3
SENP6*TBP,36.72775366610231,,0,5,3
ATF6*WDR7,36.684782522865554,,0,6,3
ABCC5*ASAH1,36.65710791685804,,0,285,4
NRAS*TOPBP1,36.56773524907743,,0,7,3
MMP2*XPNPEP1,36.506550336925656,,0,1,3
DCUN1D4*WDR7,36.41382290132652,,0,230,4
ADAT1*TBC1D15,36.346943773311146,,0,181,4
CHMP6*EXOSC4,36.25181749842433,,0,5,3
ARHGEF12*PUS7L,36.193717467793554,,0,132,4
FAM114A2*HSPA4,36.19124997297319,,0,13,3
CREB1*VAPB,36.18061321776327,,0,14,3
CREB1*HSPA4,36.125628379893485,447.0,2,1,2
CGRRF1*KIAA0196,36.1180933793117,,0,419,4
ABCC5*CGRRF1,36.108998749765895,,0,2,3
ARHGEF2*SMC4,36.064532532841184,,0,41,3
ARNT2*TIMELESS,36.06217834129573,387.0,0,438,4
HOOK2*OXCT1,36.02975246037405,,0,694,4
LRPAP1*SCCPDH,35.94514341876956,,0,10,3
UBE3B*UBQLN2,35.88438311839356,353.0,0,3,3
HDAC2*RAB11FIP2,35.83937609944199,,0,8,3
CCP110*COL4A1,35.80570667241102,,0,157,4
KIAA0100*ZMYM2,35.77998787805352,,0,3,3
CAPN1*PTPN6,35.73789866109575,,0,4,3
CREB1*MLEC,35.73649748126247,,0,6,3
FAM69A*PGAM1,35.697081118593346,,0,248,4
IKZF1*TBP,35.592241986940266,411.0,1,1,2
DDR1*RAB11FIP2,35.56020390771684,,0,1,3
LGALS8*SNX13,35.499049927845704,,0,192,4
MACF1*TBP,35.49179515936237,,0,7,3
TBP*WDR7,35.47790605984144,,0,3,3
POLE2*SMC4,35.37588261079613,742.0,0,8,3
MLEC*RB1,35.36209389934934,,0,6,3
TOP2A*WDR7,35.29436077475049,,0,9,3
MYCBP2*VAPB,35.15392681884985,,0,26,3
GNA15*TBPL1,35.14719470409409,,0,1,3
GDPD5*MMP2,35.103316904571486,,0,2,3
HSPD1*ZNHIT3,35.091014249190465,,0,10,3
ARHGEF12*RPN2,35.076180463775344,,0,18,3
ARHGEF12*HIF1A,35.00179426044914,,0,6,3
CGRRF1*MAP7,34.99693153685388,,0,628,4
EED*SUZ12,34.98293023253599,999.0,29,1,2
GDPD5*GLTSCR1,34.964181245607755,,0,71,4
ARHGEF12*FKBP14,34.900342671249064,,0,1,3
CREB1*USP1,34.8766296411711,,0,5,3
RAB11FIP2*VAPB,34.830603526381466,,0,12,3
COPB2*IQGAP1,34.73951660235393,,0,67,3
ATP11B*KAT6B,34.72629213175688,,0,2,3
SUZ12*TBC1D15,34.65933258106817,155.0,0,11,3
