interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
AKT1*SLC35F2,57.27343668865657,,0,2,3
FBXO21*VAPB,56.78682928084613,,0,5,3
TMEM5*TRAPPC3,55.86382342332621,,0,98,4
GNA15*MAPK9,55.23208632043532,,0,104,4
ELOVL6*PARP2,50.459329122505615,,0,40,4
ELOVL6*LIG1,48.74447163127407,,0,56,4
ACLY*RAE1,48.72787756276885,,0,40,3
FKBP4*HK1,48.53290375020576,152.0,0,33,3
ATP1B1*XPO7,47.54129198098855,,0,10,3
LYN*NCOA3,47.01980455932402,,0,14,3
FKBP4*ZMIZ1,46.88558871100854,,0,9,3
PXN*SRP14,46.3974947435778,,0,12,3
MAP7*RAB21,46.3947704709246,,0,11,3
HK1*ZMIZ1,46.36073461206779,,0,3,3
SCCPDH*SQSTM1,46.34525805104311,272.0,3,1,2
IL13RA1*RPS6KA1,46.30986298439725,,0,186,4
MAP7*RBKS,45.93502203579646,247.0,0,1,3
CBR1*MAP7,45.81531130709531,,0,9,3
TRAPPC3*UBE3B,45.506050723945954,,0,2,3
ANXA7*MKNK1,45.483733887797285,,0,9,3
ELAC2*FGFR4,45.47261441308744,,0,5,3
CASC3*CD58,45.32812339039101,,0,3,3
GNA15*REEP5,45.29729596878274,,0,2,3
CDCA4*MAPK9,45.28791677841107,,0,1,3
RSU1*STXBP1,45.18276388814877,,0,4,3
CETN3*DAXX,45.15679126097321,,0,5,3
ATP1B1*CDK2,45.12835075586528,,0,24,3
COG7*STX4,45.11849464552548,380.0,0,7,3
H2AFV*TRIM2,44.58648283171538,,0,4,3
MAP7*SKP1,44.536208229153615,,0,29,3
TSPAN3*WFS1,44.42738361345816,,0,12,3
TRAPPC3*USP7,44.30906331179247,,0,12,3
CSNK1A1*SLC35F2,44.25372674594085,,0,10,3
TRAPPC3*ZFX,44.24612490011809,,0,3,3
FAM57A*MLEC,43.95780674535391,,0,428,4
CD58*TRAPPC3,43.86403612808562,,0,2,3
ABCC5*RBKS,43.83536778611289,,0,62,4
APOE*TRAPPC3,43.82175165074593,,0,4,3
ADAT1*LYN,43.815382940577216,,0,3,3
SQSTM1*TRAPPC3,43.62207366668548,,0,17,3
ARL4C*MLEC,43.58402902908757,,0,1176,4
RBKS*VAPB,43.47942286455619,,0,1,3
AKT1*CLSTN1,43.37372901146999,,0,9,3
EIF3E*SRP14,43.12945831838129,178.0,0,68,3
IKBKG*NFKB2,43.12547629905687,980.0,1,1,2
CETN3*TSPAN6,43.05622250528223,,0,1,3
CD58*SMC3,43.04678849149416,,0,6,3
CSNK1A1*FAM57A,42.90297326109111,,0,535,4
COPZ1*SPDEF,42.81290672399111,,0,1,3
CASC3*LYN,42.70627111004288,,0,11,3
ETFB*TBPL1,42.51454682754636,,0,5,3
CBR1*PAN2,42.47059760131379,,0,4,3
GNA15*TSPAN6,42.36396788844196,,0,1,3
ACAA1*PRKACA,42.25959024999907,,0,5,3
REEP5*TSPAN3,42.165534778538365,,0,11,3
APP*EIF5,42.127240765588525,,1,1,2
FAT1*SKP1,42.10395026202454,,0,7,3
REEP5*TRAPPC3,42.10312490922124,,0,4,3
ACD*PPOX,42.05982673330509,,0,329,4
PAN2*RPIA,41.98630576674351,,0,3,3
STK25*TBPL1,41.95868805110571,,0,2,3
MLEC*PPIC,41.95566654437453,315.0,0,6,3
APOE*TSPAN6,41.9305218399373,,0,2,3
CBR1*RELB,41.92151342563791,,0,2,3
PSRC1*ZFP36,41.84453683088189,,0,3,3
DDX10*SLC35F2,41.80586320973879,,0,3,3
MAPK9*REEP5,41.72391297185565,,0,2,3
PXN*TM9SF3,41.7167885794698,,0,8,3
IQGAP1*PXN,41.69238630519276,743.0,2,1,2
RPS6KA1*ZFX,41.60365783917629,,0,1,3
PDS5A*TRAPPC3,41.57461101222289,,0,11,3
FBXO21*LYN,41.52023170653931,,0,4,3
DECR1*SRP14,41.444162049840216,,0,17,3
LYN*PUM2,41.42675069487573,,0,12,3
ARL4C*TRAPPC3,41.412778517348215,,0,2,3
DDX42*DECR1,41.40064678556624,,0,9,3
TMEM5*TUBB6,41.38061036132902,,0,216,4
FBXO21*TMEM5,41.315166343945855,,0,66,4
CLSTN1*RPIA,41.12885640901927,,0,1,3
HK1*KDM5A,41.08364764011497,,0,2,3
ELOVL6*GNA11,41.07606921651323,,0,1,3
BCL7B*RAE1,40.91943408525739,,0,6,3
PLS1*TRAPPC3,40.90756478700268,,0,7,3
DHX29*TRIM2,40.763884979220094,,0,1,3
CSNK1A1*SPDEF,40.732786379159215,,0,6,3
CD58*TMEM5,40.64506689527908,,0,39,4
SCCPDH*WFS1,40.595757173443545,,0,10,3
CAST*ELAC2,40.528443164786566,,0,8,3
ATP6V1D*DAXX,40.51876287518039,,0,3,3
SKP1*SQSTM1,40.445752863372114,204.0,0,92,3
ARHGEF12*TRAPPC3,40.40495797770748,,0,3,3
DHX29*SPDEF,40.39295353914834,,0,2,3
RPIA*SOX4,40.36399427262059,,0,4,3
NMT1*RAE1,40.29337751558084,,0,19,3
GADD45A*NDUFB6,40.24977942882205,,0,1,3
ARHGEF2*GNA15,40.24760604101071,,0,1,3
DHDDS*TRIM2,40.22104032087304,,0,52,4
TXNL4B*ZMIZ1,40.203167082278526,,0,1,3
NFKB2*ZFX,40.18658980875429,,0,1,3
MAPK9*TSPAN6,40.1535197029529,,0,1,3
