interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
EPN2*TSPAN4,121.18674453180503,,0,187,4
HSPA8*LAMA3,116.45727891984916,,1,1,2
NVL*TSPAN4,106.6616231814723,,0,222,4
LYPLA1*TSPAN4,103.97600743409676,,0,91,4
IKBKB*SFN,103.91523478022626,242.0,0,27,3
PRKCH*RNPS1,102.55109251930828,,0,1,3
LGMN*SFN,102.18434399516754,,0,5,3
PSME2*RPIA,100.65111643917166,,0,7,3
FAM57A*PDLIM1,100.42620917558844,,0,199,4
ATP6V1F*LIG1,100.3089524686856,,0,2,3
DUSP11*RNF167,99.62350849112768,,0,161,4
G3BP1*NOL3,98.8416371665011,,0,5,3
STAT3*TCEAL4,98.67397406326695,,0,8,3
INPP1*PRR15L,97.81355683817796,,0,6,4
CLTB*GLOD4,97.6053628643854,,0,2,3
MBOAT7*UFM1,97.27687139410467,,0,2,3
CCNH*HSD17B10,96.14646316579643,,0,10,3
CDC42*TIMM17B,95.43723502002612,,0,7,3
CD320*SHC1,95.42168082408205,,0,1,3
FPGS*TMCO1,94.39334826646244,,0,9,3
TRAPPC6A*ZFP36,94.38785935744082,,0,202,4
EBNA1BP2*ZMYM2,93.93061514107076,,0,19,3
GLOD4*SFN,93.67305440313028,,0,9,3
FASTKD5*TSPAN4,93.59634485837871,,0,1,3
DUSP22*HLA-DMA,93.31743147454162,,0,31,4
INPP1*KCNK1,92.74830379510227,,0,1,3
NT5DC2*SHC1,92.45111336570992,,0,9,3
FAH*UBE3C,91.277689637224,,0,3,3
CEBPA*KLHDC2,91.22812189492122,,0,412,4
FZD1*TSPAN4,91.07100994601603,,0,8,4
CEBPA*CNPY3,91.01435860089818,,0,298,4
HSD17B10*PRKCH,90.94498139547171,,0,2,3
NUP62*TSPAN4,90.89823589812548,,0,1,3
ICMT*PSME2,90.3721978231641,,0,4,3
EAPP*PTPN1,89.98169380594041,,0,4,3
STAT3*UBL5,89.94337148602251,,0,9,3
PIK3R4*UBL5,89.76617217290368,,0,5,3
MTA1*TPD52L2,89.7087529772459,,0,10,3
ABCB6*PSME2,89.16168217990156,,0,5,3
NCAPD2*TSPAN4,89.06918380084427,,0,1,3
IKBKAP*TSPAN4,88.97129898185938,,0,260,4
DRAP1*VAV3,88.82233091024258,,0,2,3
INPP1*P4HTM,88.57607349680794,,0,1,3
ATP5S*CHIC2,88.30462470937536,,0,38,4
GLOD4*KLHL21,88.28150872146489,,0,154,4
ANKRD10*ATP11B,87.81593105013562,,0,16,4
CCDC92*HSPA8,87.7131769722187,,0,18,3
GNA15*PAN2,87.61109530724397,,0,1,3
NCK2*POLD4,87.58007590494567,,0,64,4
GTPBP8*POLR2K,87.30967509822995,,0,2,3
EAPP*LYN,86.59682119643375,,0,9,3
CEBPD*ZMYM2,86.39727527947332,,0,10,3
DUSP22*PHKG2,86.35248612235691,,0,4,3
P4HTM*ST6GALNAC2,86.06792693372337,,0,9,4
PDGFA*PDIA5,85.5112205587287,,0,3,3
CEBPA*MBNL1,85.43339240156247,,0,1,3
SFN*TP53,85.397289419646,999.0,6,1,2
CDC42*PHKG2,85.23562474937123,,0,22,3
ATG3*EVL,85.21992615796628,,0,8,3
MBNL1*TP53,85.214924735829,194.0,0,46,3
POLB*RPA1,85.16681883929306,701.0,0,22,3
RNF167*TOPBP1,84.97394556720394,,0,1,3
CHEK2*TSPAN4,84.88099422262525,,0,328,4
CEBPA*PHKG2,84.87512490325919,,0,4,3
CXCL2*LRRC41,84.85256781222512,,0,38,4
HSPA8*LPGAT1,84.81869921962623,231.0,2,1,2
SFN*TSPAN6,84.68627078878485,,0,6,3
FAM57A*TRAPPC6A,84.6727695723448,,0,15,4
CLTB*RBM6,84.60564498253187,,0,6,3
INPP1*RNF167,84.55870453903714,,0,60,4
NFKB2*NUP62,84.21084705741457,,0,14,3
FKBP4*TSKU,84.14589313747425,,0,28,4
GLOD4*HSPB1,84.13311249708646,287.0,1,1,2
PRKCH*SLC25A14,84.07914217501279,,0,1,3
FCHO1*SMC4,84.03103929491611,,0,2,3
PDIA5*RPS5,83.93328551599804,,0,9,3
ABHD6*FAM57A,83.88229300966825,,0,132,4
MBNL1*P4HTM,83.80932389402454,,0,1,3
CCDC92*ZMYM2,83.78101892057279,,0,2,3
PLEKHJ1*SFN,83.72627571694694,,0,1,3
PLEKHJ1*SIRT3,83.70910948936756,,0,126,4
GLOD4*MBNL1,83.66772817631234,,0,5,3
MBNL1*RNF167,83.55500491085161,,0,1,3
RNF167*SFN,83.51621912893015,,0,1,3
CEBPA*GLOD4,83.44137692044542,,0,2,3
GLOD4*PDLIM1,83.37204321551962,,0,5,3
CRTAP*LYRM1,83.369479627186,,0,76,4
LGMN*RNPS1,83.33930427340488,,0,6,3
TOPBP1*UBL5,83.27220993345207,,0,4,3
DUSP3*NR2F6,83.15209262915764,,0,136,4
SHC1*SLC25A13,83.12570646989417,,0,21,3
EAPP*EGR1,82.87688734840563,189.0,0,291,4
KLHDC2*POLB,82.84147279627462,,0,2,3
DCTD*SHC1,82.6854339649496,,0,1,3
HLA-DMA*SUCLG1,82.64137323439519,,0,30,4
P4HA2*SPTAN1,82.57346077135571,,0,9,3
ATP11B*ATP6V1F,82.45002433370873,219.0,0,2,3
GNAS*LPGAT1,82.31559140839703,,0,15,3
EIF3E*RPN2,82.23668910656683,,0,61,3
DUSP4*SOCS2,81.9167793176219,179.0,0,1,3
