interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
OXCT1*PLA2G4A,132.36058548292374,,0,1,3
CDK2*MBNL1,130.05875217636006,,0,23,3
MBNL1*NCAPD2,127.3359816116748,,0,5,3
GLOD4*SMARCC1,120.49317734178064,,0,6,3
KAT6A*KLHL9,120.2562498195476,,0,1,3
OXCT1*YME1L1,119.5569300879458,,0,11,3
CENPO*SNX11,115.46754740896316,,0,53,4
CRKL*TOPBP1,113.2480975867994,,0,6,3
CRKL*MBNL1,113.18791869491037,,0,11,3
IKBKB*PAN2,112.4642247364114,,0,21,3
RAB27A*RAP1GAP,110.23166738616736,,0,290,4
FEZ2*MBNL1,108.36732654724932,,0,2,3
DNMT3A*GLOD4,108.00752318091328,,0,448,4
ST6GALNAC2*TSKU,107.90271113224917,,0,1,4
PRKCH*SPTAN1,106.33866385546244,,0,7,3
PARP1*PIK3CA,106.11202826240826,321.0,0,35,3
DYNLT3*MAP3K4,106.01551637824802,,0,2,3
PARP1*PIK3R4,105.69476307051272,,1,1,2
DCK*VGLL4,105.3377472234562,,0,2,3
COPB2*PIK3R4,105.09247422021735,,0,18,3
SUZ12*ZMYM2,104.90898069374563,514.0,0,61,3
GSTZ1*SPECC1L,104.74535088969712,,0,4,3
MBNL1*PARP1,104.53938926356724,,0,39,3
DDB2*VGLL4,104.20529987414912,,0,330,4
GNAS*SLC35B1,103.68319852437672,,0,4,3
OXCT1*VGLL4,103.67269256632837,,0,263,4
GFPT1*PRR15L,103.46499841292352,,0,1,3
MRPL19*PRPF4,102.60048796207168,,0,22,3
KDM5A*MBNL1,102.14519446441238,,0,4,3
BRPF1*VGLL4,101.74197544322448,,0,128,4
CD320*RNPS1,101.56251033886628,,0,2,3
NUP62*RNPS1,101.3383048015432,615.0,0,29,3
IKBKB*MAT2A,101.01972289277444,,0,11,3
CSNK1E*LYN,101.01151758672182,,0,27,3
GLOD4*PIH1D1,100.99659888573056,157.0,1,1,2
TOPBP1*ZMYM2,100.83811892393852,,0,15,3
GLOD4*MBTPS1,100.69750216312924,,0,1,3
GLOD4*TRAM2,100.50802601778028,,0,1,3
KDM3A*TOPBP1,100.32393364328892,,0,8,3
DDB2*DDX42,100.18196159536656,,0,15,3
BIRC2*CFLAR,100.10186715450976,985.0,0,16,3
DDB2*UFM1,100.08469376915596,,0,4,3
LYN*PTPN12,100.05943998595932,310.0,0,30,3
ATP11B*PARP1,100.0558058999864,,0,3,3
HSPA8*RBBP6,99.76923830706625,,0,81,3
PARP1*TOPBP1,99.47826939343403,693.0,4,1,2
ATP11B*CRKL,99.18092114484044,,0,163,4
LIG1*NUP62,98.52943495514717,194.0,0,7,3
CDC42*HIF1A,98.26413991911669,437.0,0,72,3
BIRC2*EAPP,98.21414488391268,,0,4,3
IKBKB*ZW10,98.1026173019007,,0,5,3
DNMT3A*SNX11,97.98373459739966,,0,116,4
GMEB2*ZMYM2,97.9689045634772,,0,10,3
CSNK1E*DUSP22,97.62609177122452,,0,5,3
GLOD4*VGLL4,97.26575002585535,,0,2,3
EAPP*HEATR1,97.03552731517212,,0,2,3
FKBP4*LSM6,97.01817892636808,,0,5,3
CASP3*VGLL4,96.90926360173222,,0,1,3
DNM1L*PMF1,96.88911533209148,,0,4,3
DECR1*EIF3E,96.88182581518224,,0,22,3
ECD*IKBKB,96.5894854662024,,0,5,3
NENF*POLD4,96.4418804270989,,0,59,4
KIAA0355*TP53,95.89766014289066,,0,44,3
PIP4K2B*PSIP1,95.81427117844068,,0,9,3
KLHL9*TOPBP1,95.79547783628006,,0,1,3
ASCC3*NUSAP1,95.78721174620904,,0,8,3
GNAS*TP53,95.65542600863634,683.0,1,1,2
CFLAR*MTA1,95.5463564257284,,0,3,3
CD320*LGMN,95.5370579077679,,0,3,3
GLOD4*PSRC1,95.5056757736302,,0,1,3
FKBP14*POLB,95.42942656913876,,0,1,3
IKBKB*TBP,95.42019681754712,187.0,0,12,3
CENPO*RAB27A,95.34694265818464,,0,195,4
GLOD4*RBM15B,95.29502313139636,,0,3,3
ASCC3*PIK3R4,95.2651569799949,,0,14,3
DFFA*GTPBP8,95.24858897929391,,0,1,3
CD320*UXT,95.15715782093731,,0,170,4
NET1*PLK1,95.03718221715708,171.0,0,7,3
GLOD4*VAT1,94.97233782621495,306.0,0,5,3
IKBKB*PTPN12,94.94275862665796,158.0,0,8,3
ARHGEF2*NUCB2,94.79228530698046,,0,5,3
HOMER2*POLG2,94.67362646229536,,0,1,3
HIF1A*SMAD3,94.57371937381065,999.0,8,1,2
DDB2*REEP5,94.54725951463456,,0,7,3
DDB2*TCERG1,94.54466847817218,,0,8,3
CENPO*SMC4,94.27689314898512,,0,2,3
KAT6A*PIP4K2B,94.20499191055852,,0,4,3
ABL1*DNMT1,94.06627794334892,263.0,0,26,3
ZMYM2*ZNF589,94.06530246766596,233.0,0,2,3
GMEB2*TCERG1,93.99695019987875,,0,6,3
IKBKB*ZMYM2,93.98728719378887,,0,6,3
DYNLT3*KLHL9,93.90021809141508,,0,1,3
FKBP4*SUV39H1,93.89894414182056,,0,10,3
GLOD4*SLC25A13,93.88526245231486,,0,6,3
EAPP*HSPA8,93.84202678091684,,0,30,3
PRCP*TOR1A,93.78900668763669,,0,3,3
LIG1*RNMT,93.59676409230674,,0,6,3
EAPP*G3BP1,93.5896609482653,,0,11,3
DYNLT3*TP53BP2,93.53366208573492,,0,1,3
DCK*MBTPS1,93.45102016090742,,0,241,4
