interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
RNH1*SYK,137.36260282622337,,0,12,3
CLTB*FCHO1,134.12248313012392,852.0,0,10,3
RBM34*SLC25A46,132.71795557715117,,0,4,3
ECH1*PTPRF,132.57449525724448,,0,10,3
NR3C1*SOX4,130.15150212941188,235.0,0,11,3
CLTB*LIPA,129.9617210501757,,0,2,3
IDE*SLC27A3,129.26248721833804,,0,5,3
FOXO3*PPOX,128.78434038325844,,0,2,3
ATMIN*PROS1,128.7429796818385,,0,15,4
MNAT1*SLC35A1,128.03842405494964,,0,1,3
EGR1*PAK1,127.32308513937252,,0,1,3
GNAI1*KAT6A,126.86901287553404,,0,2,3
MBTPS1*POP4,126.0245388946888,,0,228,4
NFKB2*UFM1,125.8693571696381,,0,3,3
FBXO11*INSIG1,125.6922716750846,,0,3,3
TOR1A*XPO7,125.1869133291088,,0,4,3
CXCR4*GLOD4,123.99813556445976,,0,2,3
NR3C1*PHKB,123.98671409406046,,0,10,3
DDX42*SLC35A1,123.86550609566484,284.0,0,2,3
NFKB2*ZRSR2,122.57972867072463,,0,1,3
MAP2K5*PTPN1,121.99310947813758,345.0,0,7,3
MTX2*RPP38,120.7572111508621,,0,4,3
SQSTM1*THAP11,120.72740133747888,,0,19,3
FBXO7*POP4,119.99129015284517,,0,6,3
CXCR4*KIAA0753,119.94937141697154,,0,2,3
MTX2*SIRT3,119.86470024063196,229.0,0,1,3
ACD*UBE3B,119.56409246369384,,0,238,4
ACD*SATB1,119.46648637787908,,0,530,4
ATMIN*YTHDF1,118.91130836374944,,0,251,4
CRKL*ELAC2,118.6136343335779,,0,11,3
MNAT1*TRIB1,118.36226204578928,,0,1,3
LRRC16A*MOK,118.14121776166736,169.0,0,1,3
CDKN1A*KIF20A,118.08091780526397,210.0,0,54,3
DNMT1*ECH1,117.71585000545764,,0,19,3
ARHGEF12*BLMH,117.451925211563,,0,6,3
GLTSCR1*GMNN,117.4183226483478,,0,3,3
MELK*SRP14,117.01923591902288,,0,9,3
CYCS*EIF4EBP1,116.65098017930956,405.0,0,3,3
ICAM1*LYRM1,116.45943238629332,,0,176,4
CAPN1*TBC1D9B,116.15417324493995,,0,3,3
IDE*VPS28,115.90359305772492,,0,2,3
CHEK2*SLC35A1,115.30849927286324,,0,2,3
COG4*PTPN1,114.9355432066572,,0,29,3
DNAJC15*PDHX,114.63783747975768,,0,9,3
IL13RA1*SATB1,114.41189180267216,,0,53,4
CISD1*KHDRBS1,114.14294282088296,,0,11,3
CYB561*SLC35A1,114.06892689236668,,0,6,3
GLTSCR1*NET1,114.0295024864151,,0,155,4
CDK2*ZNF589,113.99941325029648,,0,2,3
ABCF1*EDEM1,113.90494998333088,,0,10,3
CDK2*EML3,113.56225648174728,248.0,0,13,3
ELAC2*PGRMC1,113.22105854483854,,0,19,3
PAN2*SNX6,113.207302747684,,0,6,3
FCHO1*HMGN1,113.05569517611704,,0,1,3
FEZ2*INSIG1,112.99209888347322,,0,1,3
CRKL*MAPKAPK2,112.86992851677525,155.0,0,11,3
EIF4A3*NIPSNAP1,112.86557046343697,,0,29,3
DHX29*RNH1,112.83681427785896,,0,14,3
MAPKAPK2*NR3C1,112.74331556677922,,0,14,3
CDK2*MAPKAPK5,112.71726252968796,241.0,0,7,3
C2CD2L*ICAM1,112.6028495930958,,0,2,3
CDK2*INSIG1,112.5325614023646,,0,38,3
ICAM1*NUDT9,112.38419463267378,,0,2,3
CENPO*SLC35A1,111.90201007159035,,0,1,3
LRRC16A*MTX2,111.70608329348852,,0,4,3
ASAH1*DNAJB6,111.65362735948752,,0,7,3
ASAH1*NFKBIB,111.58486534885218,,0,3,3
TATDN2*USP6NL,111.52356582808424,,0,2,3
DNAJB6*ZFX,111.49722097554424,,0,3,3
SPECC1L*VPS28,111.43923040492176,,0,5,3
CISD1*HS2ST1,111.30554704186618,,0,7,3
GNPDA1*LIG1,111.11249886208908,,0,7,3
OXSR1*TCFL5,110.98888524558826,,0,1,3
C2CD2L*FCHO1,110.29421220045992,,0,195,4
HMGN1*LIPA,109.83159680138036,,0,2,3
CDKN1B*MTX2,109.82059416213792,,0,2,3
GATA2*RNMT,109.67678393584175,,0,5,3
SORBS3*SUZ12,109.50997237661784,,0,5,3
POP4*TXNRD1,109.44773991838667,,0,4,3
DUSP3*INTS3,109.42599891439632,,0,4,3
CAT*HSPA1A,109.22642677158306,542.0,0,44,3
CRKL*CRTAP,109.0802231794671,,0,8,3
CDC25B*NCK2,109.07912238904116,,0,3,3
CDC25B*PRAF2,108.92506836738112,,0,552,4
CENPE*ECH1,108.66739666216668,,0,3,3
EML3*GPATCH8,108.13733073583391,,0,2,3
MAPK13*PTPRF,108.1199540811196,221.0,0,2,3
ATMIN*IKBKB,108.08689105416111,,0,3,3
ATP11B*ELAC2,108.04281095228558,,0,153,4
SLC27A3*SMC1A,107.86827450075302,,0,10,3
CRKL*SIRT3,107.7306386085568,,0,3,3
LIG1*PAN2,107.5421881651286,157.0,0,17,3
EIF4A3*TRAPPC6A,107.46369001454252,,0,1,3
INSIG1*MTX2,107.45821852906936,,0,2,3
MNAT1*UGDH,107.45257452131604,,0,4,3
ADO*MAPKAPK2,107.40560166361588,,0,170,4
MTX2*THAP11,107.37131938239185,,0,2,3
C2CD2L*LYRM1,107.36601579911338,,0,40,4
BNIP3L*XBP1,107.2511358087588,171.0,0,83,4
FCHO1*LYRM1,107.1313470041598,,0,21,4
