interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
EIF4A3*PAFAH1B3,33.4022920094357,,0,16,3
CDK6*PRR7,33.04427469875467,,0,101,4
CHIC2*RPS5,32.880900538884816,,0,1,3
CXCR4*FOXO3,32.729867016277055,369.0,0,1,3
MVP*RAD51C,32.449249437295364,,0,1,3
CSRP1*DECR1,32.23425031698904,,0,6,3
ERBB3*GALE,32.100919950265975,,0,4,3
ADCK3*ITGAE,31.868136019421517,,0,122,4
GRB7*ICAM1,31.78246720797845,,0,17,3
FOXO3*NUCB2,31.77795403856924,,0,3,3
ADAT1*STAP2,31.718543606874043,,0,25,4
EIF4G1*EVL,31.584588213250992,,0,5,3
CDK6*LSM6,31.45609217252709,,0,5,3
FHL2*SCYL3,31.31033220311489,,1,1,2
CDK6*UQCR10,31.16708567043885,,0,2,3
CIRBP*PLS1,31.075137685681817,,0,7,3
DCK*EIF4A3,31.016173353182545,,0,10,3
CFLAR*VDAC1,30.9577799398118,181.0,0,9,3
CXCR4*PCMT1,30.853995861656003,,0,4,3
RAD51C*SCYL3,30.678609482277203,,0,1,3
DHDDS*NFKBIB,30.66445229118673,,0,1,3
CDK6*RPN1,30.602971921123167,,0,15,3
ADCK3*MAPKAPK3,30.595676725759866,,0,1,3
ATF6*CCNB1,30.51519953499916,181.0,0,3,3
HSPA8*STX4,30.43491525103205,,0,87,3
EIF4A3*HOXA5,30.357242073792506,,0,9,3
HSPA8*SLC35B1,30.122834614577982,,0,6,3
FOSL1*PMPCB,30.103472450333257,,0,1,3
HSPA8*KTN1,30.01115022214682,,1,1,2
CIRBP*NFKBIB,29.94898738233306,,0,6,3
FKBP4*TIPARP,29.930053090458312,150.0,1,1,2
ACBD3*TRAP1,29.89456832769316,,0,27,3
PRR7*SLC35A1,29.86589268225133,,0,14,4
HNRNPA2B1*PTPRC,29.575352323141303,155.0,0,4,3
EIF4G1*TESK1,29.55184916161373,,0,5,3
CEBPZ*USP14,29.501462378053475,,0,37,3
ECH1*TSPAN6,29.34139114318986,,0,474,4
UBE2C*UQCR10,29.327715281514877,,0,387,4
NET1*TIMP2,29.31218182426381,,0,72,4
ADH5*CHAC1,29.290817251211045,,0,15,4
FPGS*KIAA0907,29.20310514732868,,0,1,3
ILK*MSRA,29.16692570107791,,0,3,3
HDAC2*SORBS3,29.06282752802035,151.0,0,18,3
EVL*GNAS,29.062640625740503,,0,3,3
CHAC1*TMCO1,29.03618989047012,,0,1,3
SCYL3*TMEM109,28.86235175594467,,0,11,3
HLA-DRA*RRP12,28.85316107345256,,0,3,3
ACOT9*RB1,28.760277207753717,,0,14,3
CHAC1*MEST,28.759065458231937,,0,9,4
BIRC2*SLC35B1,28.65512636591575,,0,1,3
SCYL3*SLC35B1,28.60470257476797,,0,1,3
GNAS*PIK3C3,28.54674522413676,,0,17,3
ATP6V1D*NET1,28.461433681657773,,0,196,4
PAICS*PTPRC,28.456328547008937,,0,3,3
ATP6V0B*CHAC1,28.43515768871768,,0,1,3
FOSL1*SLC25A13,28.40949217069313,,0,2,3
CEBPZ*MPZL1,28.38926614804007,,0,3,3
ECH1*MYCBP2,28.37265776291864,,0,15,3
MALT1*SMC4,28.362359832953427,,0,8,3
HMGN1*UQCR10,28.32396381256138,,0,3,3
MPZL1*TIMELESS,28.315503778437368,,0,6,3
ATF5*UBAP1,28.2454531626204,,0,46,4
MAPKAPK3*RRP12,28.228662837438694,,0,5,3
NVL*UBE2L6,28.22069799819759,,0,6,3
GFPT1*STAT1,28.186551012734103,,0,32,3
CISD1*NOSIP,28.13113517244164,,0,7,3
CDK6*MRPS2,28.11396051245005,,0,14,3
GNAI1*IKBKG,28.06491991416015,,0,7,3
LBR*USP22,28.021934527523257,,0,7,3
ATF6*SUPV3L1,27.929146786861864,,0,1,3
MPZL1*UBE2L6,27.879496937402298,,0,3,3
CD58*POLR2I,27.878229309891,,0,3,3
CCT7*MAPKAPK3,27.843780237873048,,0,3,3
CEBPZ*PSME2,27.8371620513641,,0,9,3
CXCR4*NFKBIB,27.83216614641027,197.0,0,6,3
GRB7*RPS6KA1,27.82821545218641,,0,6,3
FOXJ3*ITGAE,27.817722268656443,,0,1,3
PRSS23*RPN1,27.809067119345844,,0,7,3
HES1*SPAG7,27.8087618649796,,0,1,3
TIMELESS*UBAP1,27.77604594480274,,0,2,3
GRB7*XPO7,27.76154950610345,,0,3,3
ASAH1*LBR,27.72119633765976,,0,7,3
POLR2K*TMEM2,27.716654014052047,,0,2,3
EVL*FBXL12,27.70124940841853,,0,189,4
LBR*STAT3,27.66944391711585,,0,30,3
ECH1*MKNK1,27.662148156689145,,0,3,3
LSM5*NR2F6,27.617767396231564,,0,120,4
CFLAR*DECR1,27.58380287372229,,0,2,3
ERBB2*HSPA8,27.5834472438946,565.0,0,179,3
GNPDA1*SCYL3,27.48504564904374,,0,2,3
BAX*MYCBP2,27.462514572415746,,0,10,3
ADCK3*PTPRC,27.437026568494325,,0,274,4
ERBB2*SGCB,27.40924913038724,,0,5,3
AURKB*HIST1H2BK,27.395610082838733,,0,23,3
MRPS16*TWF2,27.386154304538064,,0,6,3
CAPN1*SGCB,27.36713393536835,,0,1,3
ADCK3*EVL,27.363826076030467,,0,2,3
HNRNPA2B1*MAN2B1,27.33283058821173,,0,6,3
NPDC1*UBE2C,27.318555562662088,,0,234,4
CALU*NET1,27.289081459911127,,0,1,3
