interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CPNE3*EIF3E,39.74904232419728,158.0,0,20,3
CDK4*PAFAH1B3,37.58305580979364,,0,9,3
CD58*CFLAR,33.949710890683626,179.0,0,1,3
AKR7A2*DENND2D,33.32355903770977,,0,190,4
FOSL1*STAT1,33.01612040881788,321.0,0,9,3
DHDDS*SYPL1,32.93816820761994,,0,47,4
CD58*TLR4,32.35526916173889,243.0,0,115,4
CEBPZ*NUSAP1,32.10273457908669,,0,18,3
AURKA*UBE2C,31.76099201612006,990.0,1,1,2
FPGS*SYK,31.562740972942464,,0,1,3
RPA3*TIMELESS,31.285617493174296,761.0,1,1,2
CISD1*PCMT1,31.278891108207624,,0,8,3
GTF2A2*TPM1,31.272587811873628,,0,1,3
PAFAH1B3*PRR7,31.193052988406656,,0,45,4
EXOSC4*TRAP1,31.08467498509553,,0,20,3
PPARD*YKT6,31.050942217003406,,0,1,3
CHAC1*MAPKAPK3,31.025415748448843,,0,10,4
CANT1*UQCR10,30.90398136010363,,0,1,3
DECR1*PFKL,30.78684411237034,,0,13,3
CISD1*TMEM2,30.591074417521448,,0,23,3
CHAC1*SRC,30.441285314736056,,0,1,3
PSME2*RPA2,30.36305293256348,,0,10,3
BAD*ERBB3,30.31826531674292,,0,7,3
ELOVL6*LSM6,30.22405298377836,207.0,0,57,4
EIF3E*SCYL3,30.172756856829835,,0,3,3
DNAJB1*EIF3E,30.11260315631595,,0,33,3
GTF2A2*KTN1,30.05944064961885,,0,1,3
CDKN1A*PIK3C3,29.960452904435048,,0,9,3
CISD1*GNPDA1,29.93162326125307,,0,5,3
CEBPZ*PSMD4,29.887595522405316,,0,28,3
NOL3*SCYL3,29.824222449676604,,0,1,3
CDK6*CREB1,29.76141615608846,363.0,0,12,3
ADO*GLOD4,29.758974963737728,,0,89,4
KAT6A*POLB,29.728729007401043,,0,10,3
ADAT1*RPN1,29.693159665866396,,0,2,3
BUB1B*CDK1,29.69141476794226,999.0,0,34,3
FHL2*PXMP2,29.66084250366344,,0,1,3
EIF3E*NFKBIB,29.6569436885787,,0,5,3
RHEB*TCFL5,29.601825324368413,,0,2,3
CD58*ERBB3,29.58078427778897,,0,2,3
AKR7A2*PXN,29.55907758549652,,0,4,3
EIF4A3*SEC11A,29.454752695228063,,0,19,3
CEP57*HMGN1,29.429200476033635,,0,2,3
DENND2D*UQCR10,29.403760453879173,,0,191,4
CCNA2*CCNB2,29.37470988845538,989.0,0,13,3
FOSL1*UBE2L6,29.343721848432526,,0,498,4
CEBPZ*POLR1C,29.278155977696485,175.0,0,36,3
AXIN1*PRR7,29.16953067744052,,0,1,3
BCL7B*CSNK2A2,29.161010624924277,,1,1,2
DHDDS*ST7,29.03495610448268,,0,395,4
CHAC1*GALE,28.99804225733115,,0,1,3
ASH2L*CDK6,28.90250220718726,153.0,0,14,3
CDK6*DHDDS,28.68826337744101,,0,2,3
CCL2*DHRS7,28.62876088739992,,0,1,3
DLD*UQCR10,28.596652906848405,,0,13,3
EIF4G1*NFATC3,28.58266787940805,,0,9,3
CHAC1*EZH2,28.573555162077767,,0,272,4
DHDDS*STX1A,28.52896517413376,,0,108,4
CHEK2*CPNE3,28.50126652265486,,0,9,3
IGF2BP2*LYPLA1,28.499406964947717,,0,8,3
DCK*DHDDS,28.484131853777143,,0,71,4
FPGS*PSME2,28.472104827371016,,0,2,3
CDK1*CEBPZ,28.46746587268364,,0,47,3
INPP1*PGM1,28.431013992260556,,0,1,3
DHDDS*SMC4,28.3687806207607,170.0,0,3,3
IDE*PIN1,28.32346552867376,,0,9,3
ORC1*TFDP1,28.26925397993224,926.0,0,10,3
LYPLA1*SCYL3,28.24582769252161,,0,1,3
CDK6*MICALL1,28.173926657815805,,0,11,3
PROS1*TWF2,28.11644428430277,,0,96,4
CHAC1*NUP93,28.021255064656387,,0,1,3
ERBB3*UBQLN2,27.95800014322489,,0,43,3
PAK4*USP7,27.942218169703445,,0,32,3
CD58*FOXJ3,27.93006027202337,,0,2,3
GNPDA1*GTF2A2,27.919839084360035,,0,89,4
CCNB2*ORC1,27.83936760359185,774.0,0,8,3
ASAH1*DERA,27.824739262780493,,0,2,3
ISOC1*LSM5,27.821920496122825,427.0,0,501,4
PSMD9*RAD51C,27.78098026793836,,0,3,3
CISD1*PSME1,27.778762399208592,,0,8,3
CDK6*NRIP1,27.773539449675685,,0,5,3
ATP6V0B*MPZL1,27.748242703148406,,0,3,3
CDCA4*TIMELESS,27.677720712878973,174.0,0,2,3
FOXJ3*THAP11,27.620022266898246,,0,328,4
MEST*PPOX,27.61943079421838,,0,1,3
LYPLA1*MYCBP2,27.617725927905862,,0,4,3
CHAC1*GNPDA1,27.588250794808147,,0,21,4
CDK6*CIRBP,27.516762522902056,,0,13,3
CDC45*FPGS,27.49216801488805,,0,5,3
HMGCS1*UQCR10,27.48042431578129,,0,5,3
CAPN1*NOL3,27.462129033349697,,0,1,3
ATF6*RPA2,27.45647861813535,,0,9,3
ECH1*NR2F6,27.42945656168256,,0,1,3
CISD1*RAB4A,27.40651166169552,,0,10,3
CEBPZ*DUSP11,27.3936756641049,,0,14,3
AKR7A2*UBE2L6,27.369670131254203,,0,6,3
CISD1*TBP,27.36452995584593,,0,2,3
CHIC2*SMC3,27.339114968443617,,0,743,4
CEP57*LSM5,27.306731687716653,,0,3,3
CHAC1*GNAS,27.296816882230928,,0,1,3
