interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
BMP4*CPNE3,45.11952663383389,,0,1,3
BCL7B*PSMD10,44.918119340764925,,0,2,3
PLOD3*POLD4,42.50901514901402,,0,129,4
CCNB1*PNKP,42.15779564884085,,0,11,3
AKR1A1*SLC25A13,41.85372103163434,,0,5,3
CDK6*NIPSNAP1,41.57513967104135,,0,9,3
SNX11*TSPAN4,41.18107321597039,,0,38,4
DHDDS*TSPAN4,41.08375470588938,,0,25,4
EED*WFS1,40.87057145724034,,0,6,3
TESK1*UBR7,40.80589252820174,,0,148,4
CCNA2*WFS1,40.16699245309074,,0,3,3
CCT8*FHL2,40.1318526352634,,0,33,3
AKR1A1*BCL7B,40.09294870966056,,0,4,3
FGFR4*SCRN1,39.33232824639828,,0,3,3
GPC1*TRIB3,39.01787020734248,,0,8,3
BMP4*MYL9,38.91679933620522,166.0,0,1408,4
POLR2K*STK25,38.70626029335058,,0,6,3
FBXO11*SUCLG1,38.35678934597275,,0,3,3
FGFR4*RBKS,37.856706470465575,,0,1,3
C2CD2*CNDP2,37.71565128987382,,0,2,3
MAN2B1*MELK,37.679502716731584,,0,4,3
POLR1C*SLC35A1,37.5741857634662,,0,2,3
MAPKAPK5*TXNDC9,37.43182458304244,,0,1,3
CHAC1*RELB,37.37623669607944,,0,14,4
PRCP*SPDEF,37.35280577923609,,0,95,4
PIK3C3*POLD4,37.303922723729855,,0,106,4
FAS*POLR1C,37.263500827545215,,0,19,3
MAPK1IP1L*TUBB6,37.01906263990245,,0,2,3
BZW2*SNX11,36.867805126742255,,0,164,4
LSM6*STK25,36.85966248565188,,0,1,3
NRIP1*PPIE,36.80330444777559,,0,6,3
AMDHD2*UBR7,36.751784515710895,,0,1,3
DECR1*STK25,36.7329673989584,,0,1,3
FHL2*VPS72,36.586509125433146,,0,17,3
PTK2*RHOA,36.543637546773226,981.0,0,53,3
FBXO21*SLC1A4,36.49755244801677,,0,1,3
GMNN*STK25,36.43451268485087,,0,2,3
DHDDS*SNX11,36.405175937423714,,0,27,4
MAP3K4*SLC1A4,36.221561130254045,,0,1,3
FASTKD5*TLE1,36.03478594424464,,0,6,3
GADD45B*ZNHIT3,35.95724413951774,,0,62,4
AKR1A1*MEST,35.893995076285655,,0,2,3
AKR1A1*PLOD3,35.850170388315455,,0,5,3
CPSF4*EML3,35.77262529152215,198.0,0,449,4
PDGFA*RBKS,35.71125218920342,,0,20,4
CRK*POLD4,35.50999676493919,,0,1,3
GMNN*TESK1,35.45399859903969,,0,195,4
GTPBP8*WFS1,35.417373345123195,,0,1,3
MYL9*USP6NL,35.326227010427104,,0,4,3
MRPS16*MRPS2,35.28040559213828,999.0,3,1,2
FKBP4*RBKS,35.22227855453343,,0,224,4
EED*PSME1,35.15161361159927,,0,35,3
FBXO11*HMG20B,35.09941090535096,,0,3,3
PDGFA*PUF60,35.081007227764296,,0,1,3
COL1A1*DCTN6,35.01213356421915,,0,1,3
MELK*NUDT9,35.00031483172616,,0,1,3
SUCLG1*TMCO6,34.9819422085934,,0,82,4
H2AFV*MAN2B1,34.97535317476658,,0,2,3
CHEK2*MAPK1IP1L,34.95516817612426,,0,613,4
CASK*PRKCH,34.93644184231392,,0,1,3
BMP4*LYPLA1,34.865182583416775,,0,601,4
SNX11*TWF2,34.86184350726695,,0,147,4
ANO10*STX1A,34.8061951169703,,0,2,3
FAIM*STK25,34.73062280565494,,0,158,4
INSIG1*PRKCH,34.70981326003464,,0,1,3
POLR1C*TMED10,34.68408882094225,,0,18,3
AMDHD2*TRAPPC3,34.625689989160776,,0,2,3
EBNA1BP2*PIK3C3,34.58070461155977,,0,6,3
HEBP1*TSC22D3,34.54603854889837,,0,1,3
AKR1A1*GNPDA1,34.475736230442834,,0,5,3
TRAPPC6A*TSPAN3,34.38150346985541,,0,66,4
CHMP6*STX1A,34.27680978693575,,0,295,4
ACOT9*OXA1L,34.179552131307695,,0,30,3
CDCA4*STX1A,34.11694980652638,,0,170,4
CSRP1*PTK2,34.07720924732286,210.0,0,9,3
MALT1*MELK,34.02425880920703,,0,6,3
DPH2*FBXO11,34.008328523087286,,0,3,3
CNPY3*DDB2,33.99314883708053,,0,1,3
AKR1A1*INSIG1,33.98548427192086,,0,3,3
HEBP1*NFKBIA,33.82089290307216,,0,1,3
FIBP*NCK2,33.79463495759626,,0,3,3
HMGN1*STK25,33.78748825989628,,0,3,3
COASY*FKBP4,33.69741710474522,,0,8,3
NUCB2*RFC5,33.68560717285991,,0,3,3
GADD45B*PGRMC1,33.684130491878065,,0,2,3
ADH5*GLTSCR1,33.66776858668268,,0,309,4
MALT1*POLE2,33.64488918397976,,0,2,3
PNKP*RFC5,33.64446806318804,167.0,0,21,3
PLK1*WRB,33.6134186651806,,0,5,3
FASTKD5*PGRMC1,33.597026370552896,,0,24,3
ABHD4*TMEM2,33.54783653499423,,0,95,4
DYNLT3*NT5DC2,33.54693057465777,,0,2,3
EIF3E*MMP1,33.525719269458726,,0,145,4
ANXA7*CIRBP,33.505170683956806,,0,12,3
LYN*NUCB2,33.477895062611694,,0,7,3
GPC1*SPDEF,33.4468191006667,,0,564,4
ITGAE*RFC2,33.444768970905926,,0,1,3
CNDP2*NRIP1,33.43999071361708,,0,8,3
MELK*PRCP,33.42427560591117,,0,3,3
SLC35A1*TMCO6,33.370606925034515,,0,26,4
