interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
COPB2*NFKBIB,75.70077270947021,,0,11,3
HMG20B*TXNDC9,73.86587263690886,156.0,0,2,3
ATP6V0B*PRKCH,72.94486115214573,,0,77,4
SUPV3L1*UBL5,70.78263318201071,,0,5,3
NFATC3*UBL5,70.58573300575168,,0,309,4
NFKBIB*YME1L1,68.59702531701342,165.0,0,3,3
SMC1A*TXNDC9,68.40206293462336,,0,14,3
ECH1*MICALL1,67.85523278522004,,0,10,3
TM9SF3*TMEM5,67.68514134170744,,0,1,3
TXNDC9*UBE3B,67.536755404248,,0,1,3
BIRC2*KLHDC2,66.44848993528618,,0,3,3
HADH*PPARD,65.83085199202556,,0,3,3
MAP4K4*UBL5,65.47882508583082,,0,6,3
CD40*DLD,65.37354647002726,,0,15,3
ATMIN*TXNDC9,65.0066322411089,,0,64,4
UBL5*YME1L1,64.99647596163568,338.0,0,5,3
ACOT9*HMG20B,64.69381267445138,,0,1,3
PTPRK*UBL5,64.53772149852564,,0,4,3
CYB561*STXBP2,64.37932586264088,,0,1,3
FBXO21*UBL5,64.0209255872204,,0,1,3
CD40*YKT6,63.94873018393242,,0,4,3
NCOA3*TXNDC9,63.52939163433402,,0,2,3
CCNH*UBE2L6,63.505992157271606,,0,5,3
ADAT1*PPP2R3C,63.40205021644193,,0,51,4
ARID5B*RPS6,63.04373867175338,,0,8,3
IDE*POLR2I,62.95995578634727,,0,1,3
BBS9*MCOLN1,62.8658874709982,,0,3,4
BIRC2*BPHL,62.47672933869418,,0,3,3
ATP6V0B*PHKB,62.29215958669949,,0,128,4
NDUFC1*STXBP2,62.25017304185043,,0,28,4
MICALL1*USP1,62.05607568246967,,0,885,4
COX8A*NOLC1,61.98891687953022,,0,6,3
BAD*PPP2R3C,61.45205385241003,,0,3,3
MRPL12*SLC35F2,61.41248443973063,,0,4,3
MBNL2*RALA,61.22950550710519,,0,4,3
MAP4K4*TXNDC9,61.14331310014269,,0,5,3
CCP110*HSPA8,61.07341189908536,,0,55,3
CTTN*HPRT1,60.59415778543748,,0,21,3
CCNH*HMG20B,60.39333216538216,,0,4,3
GLRX*STX1A,60.33815808330104,,0,157,4
RALA*UBL5,60.33400371544611,,0,3,3
CCNH*OXSR1,60.11430204170087,,0,5,3
BLVRA*CD40,60.06141300853155,,0,1,3
CCP110*MRPL12,60.003493968785705,,0,13,3
HIF1A*PIN1,59.97428919822116,302.0,1,1,2
CDKN2A*EPN2,59.8665322016791,,0,10,3
H2AFV*HLA-DRA,59.77550898887875,,0,1,3
TMEM5*YME1L1,59.65404553337294,,0,209,4
FASTKD5*PGM1,59.63737315117304,,0,6,3
CCT8*FDFT1,59.52871611193057,,0,20,3
CBR3*EPB41L2,59.414084380270246,,0,5,3
HADH*UBQLN2,59.33951763945469,,0,19,3
EZH2*MCOLN1,59.17301111666263,,0,334,4
NOLC1*PRR7,59.083248727854325,,0,164,4
ATMIN*UBL5,58.88588749105551,,0,72,4
ANXA7*SOCS2,58.74017979332479,,0,4,3
NOTCH1*TXNDC9,58.71446385216196,,0,5,3
FAM20B*TXNDC9,58.69476535679236,,0,1,3
FDFT1*GOLT1B,58.63878125448421,,0,15,3
AMDHD2*NFKBIA,58.56696709941079,,0,285,4
C2CD2L*DYNLT3,58.53174755441715,,0,150,4
ARHGEF12*NFKBIB,58.50628264310375,,0,3,3
FAM69A*MCOLN1,58.47488540866528,,0,1,3
ATF1*FBXL12,58.43404185232356,,0,149,4
FIBP*MBNL1,58.42020740147928,,0,3,3
ETFB*FAH,58.32126053457552,,0,5,3
CCT8*IPO13,58.28393649695271,,0,8,3
PLCB3*PWP1,58.24725080918529,,0,4,3
CCL2*SLC25A22,58.20662586760798,,0,167,4
DCUN1D4*SUCLG1,58.16706850694237,,0,1,3
LRP10*SPR,58.02702030816348,,0,313,4
CHMP4A*MFSD10,57.95628932019389,,0,191,4
GLRX*PNKP,57.896964796423546,,0,1,3
CCNH*SOX4,57.78011564211512,,0,5,3
ADAM10*SCAND1,57.77110164608253,,0,105,4
CAMSAP2*POLR2I,57.628800059228965,,0,4,3
ITGB5*LAGE3,57.57636219885893,,0,5,3
ARHGEF12*UXT,57.56961194752718,,0,1,3
BIRC2*MRPL12,57.56057343288825,,0,11,3
GTF2E2*IKBKE,57.41035044529825,188.0,0,3,3
FRS2*PIN1,57.37678232432853,,1,1,2
GLRX*JMJD6,57.335755951609855,,0,1,3
BCL7B*EDEM1,57.32665856694335,,0,1,3
CCNH*EPB41L2,57.30032131741509,,0,9,3
DHDDS*ECH1,57.29853859888038,,0,202,4
ARHGEF12*POLR1C,57.293001262081305,,0,9,3
NOLC1*SDHB,57.27022958235924,,0,19,3
FAM69A*UBL5,57.22757765971145,,0,115,4
ECH1*EPN2,57.15501579613471,,0,5,3
FAH*LPAR2,57.10375536155994,,0,1,3
SDHB*TM9SF2,57.10303206858093,,0,7,3
ECH1*UBL5,56.92236959832427,,0,6,3
SCRN1*TXNDC9,56.86265349889715,,0,2,3
GOLT1B*WIPF2,56.77554807349744,,0,2,3
KLHDC2*TPM1,56.75686756008565,,0,5,3
FBXL12*RBM34,56.60729695682025,,0,828,4
GADD45B*GRN,56.57871312880672,,0,188,4
AMDHD2*SYPL1,56.56797728731951,,0,1,3
FBXL12*SDHB,56.56658507053365,,0,4,3
BIRC2*CDKN2A,56.52899182466264,334.0,0,17,3
