interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CYB561*TMCO1,83.60943294235827,,0,2,3
H2AFV*JMJD6,77.9200879056324,,0,10,3
ADNP2*JMJD6,76.23978236603385,,0,4,3
BIRC2*IL4R,75.41940041258476,,0,1,3
ARHGAP1*HMG20B,75.30262413298706,,0,3,3
JMJD6*NCOA3,74.50628721388095,,0,1,3
HPRT1*NET1,72.74291271129255,,0,1,3
SLC25A22*TIAM1,72.70755524825019,,0,2,3
TBC1D9B*UBE2L6,72.51808009979113,,0,1,3
ATMIN*ZNF395,72.39327831004178,,0,25,4
MAP4K4*NFATC3,71.96552141694745,,0,9,3
ACOT9*LGALS8,71.54641794613615,,0,8,3
ATMIN*PNKP,70.6089048918035,,0,121,4
EPN2*TMCO6,70.43740582155183,,0,92,4
COG4*SLC25A22,70.37205009485216,,0,4,3
ACOT9*CD58,70.34286803745411,,0,2,3
CTTN*NFATC3,69.8602382102172,,0,7,3
ITGAE*TXNDC9,69.53489255458027,,0,1,3
HMG20B*HOOK2,69.45856803888057,,0,3,3
JMJD6*KDM5B,68.90665843923412,420.0,0,2,3
DDB2*EPN2,68.82299804942997,,0,6,3
HMG20B*SORBS3,68.61673436003758,,0,2,3
LIPA*STMN1,67.69872615746806,,0,1,3
NISCH*UBQLN2,67.5816213234278,,0,14,3
KIAA0355*STX4,67.26931054415695,,0,18,3
RFNG*SOX2,66.99179469553285,,0,53,4
PWP1*SNAP25,66.80445276178418,,0,2,3
OGFOD1*P4HTM,66.77519697424336,683.0,0,1,3
JMJD6*NOLC1,66.54384685224106,,0,26,3
MYCBP2*PFKL,66.07495323928707,,0,17,3
ADAT1*BDH1,66.0206584552129,,0,1,3
ECH1*NIT1,65.5626253929231,267.0,1,1,2
CAMSAP2*SLC25A22,65.03478884630819,,0,8,3
PTPRF*SUZ12,64.9623057890326,,0,11,3
JMJD6*RBM34,64.90031441527715,,0,11,3
MSRA*PHKB,64.83179929758906,,0,2,3
INPP1*SLC25A22,64.74992091096917,,0,1,3
GRB10*MCM3,64.74224155646125,,0,17,3
JMJD6*YME1L1,64.59348527280848,,0,7,3
CRKL*JMJD6,64.507979227338,565.0,0,8,3
CREB1*JMJD6,64.29551254332475,226.0,0,15,3
BCL7B*BIRC2,64.272094285163,,0,2,3
JMJD6*KAT6A,64.2537603808303,,0,7,3
MBNL1*MKNK1,64.1822105332858,,0,3,3
TRIB1*YME1L1,64.11892721877452,,0,1,3
DCUN1D4*SLC25A22,64.0645606543534,,0,3,3
ASH2L*PHKG2,63.95113100905406,,0,5,3
H2AFV*LSM6,63.91997091984688,,0,12,3
NUP85*USP1,63.57431248323772,,0,4,3
CRKL*RNH1,63.45960490957913,,0,19,3
CDK7*DYNLT3,63.45830132955942,,0,8,3
CREG1*FAM20B,63.433790172159206,,0,76,4
H2AFV*SYPL1,63.39467330409824,,0,3,3
CAMSAP2*PTPRF,63.326107373527705,,0,8,3
CCL2*PSMB8,63.29063722862523,242.0,0,1,3
ELOVL6*NET1,63.2390785200745,,0,20,4
C2CD2L*NFATC3,63.157952803417786,,0,2,3
GPC1*PLOD3,63.097859393253344,,0,9,3
HADH*JMJD6,63.0806107405172,,0,7,3
JMJD6*PYCR1,63.01855147173144,,0,9,3
FAM20B*JMJD6,62.755950746608015,,0,2,3
HK1*YME1L1,62.688221527463725,,0,24,3
FAM20B*PTPRF,62.37554295465006,,0,4,3
CCT7*STX1A,62.27195726574817,,0,6,3
CRKL*ELAC2,62.21502135977224,,0,11,3
BLCAP*SLC25A22,62.18576054030165,,0,134,4
BLCAP*POLB,61.97244372512748,,0,67,4
EZH2*PHKG2,61.965148637522944,,0,13,3
BBS9*TIMP2,61.93593657292646,,0,15,4
DECR1*PHKB,61.93466756384627,,0,5,3
PDS5A*SLC25A22,61.867873264311456,,0,15,3
COPZ1*SPR,61.84354020908204,,0,5,3
EPHB2*PHKB,61.75561766520179,,0,3,3
NENF*UBL5,61.70033210572415,,0,496,4
FBXL12*SLC25A22,61.68564543049246,,0,5,3
ATMIN*LPAR2,61.47062547601799,,0,20,4
ASCC3*STX4,61.42531259369154,,0,9,3
CCT8*FZD1,61.39458337400973,,0,1,3
IKBKE*SMC4,61.2549410597235,,0,10,3
LGMN*USP1,61.20456047809448,,0,2,3
PARP2*SLC25A22,61.18859496668039,,0,5,3
CRKL*CTTN,61.17176310726232,390.0,0,49,3
LSR*STXBP2,61.06874694728616,,0,3,3
ATF6*NFKB2,60.93973309345729,182.0,0,2,3
JMJD6*USP1,60.93936818952294,,0,3,3
CFLAR*SCP2,60.905654671796526,,0,1,3
FAS*ZNF451,60.90496831177944,,0,8,3
STX4*TM9SF2,60.901438725742985,,0,12,3
DCTD*SUV39H1,60.86212366433377,,0,1,3
AKAP8L*FBXL12,60.77248947429766,,0,3,3
IFRD2*TMEM5,60.75231987756786,,0,26,4
KDM5B*PTPRF,60.71650276287444,,0,3,3
ECD*PRKCD,60.70639466631559,,0,8,3
NFATC3*TIMP2,60.64296857051077,,0,1,3
HIF1A*SHC1,60.60249660888508,469.0,1,1,2
HSPA8*MAN2B1,60.52682061470939,,0,13,3
CRK*ZNF395,60.50558610675995,,0,4,3
CRKL*TESK1,60.43903351442344,,0,2,3
H2AFV*STAT3,60.41957272800597,,0,20,3
ANXA7*CREG1,60.36365702285296,,0,3,3
