interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
MBOAT7*SCRN1,93.16638118783304,,0,5,3
H2AFV*HSD17B10,92.9911991151652,228.0,0,39,3
GPC1*TM9SF2,91.46670459612594,,0,7,3
STAT3*STK10,89.10710347930167,,0,10,3
CHMP6*TBX2,87.05437609690189,,0,55,4
RPS6*STK10,86.81345688935491,,0,13,3
ARID5B*STK10,85.57252211972207,,0,2,3
BCL7B*CALU,84.54336190150602,,0,10,3
GRB10*HPRT1,83.3704922927361,,0,4,3
COG4*TRIM2,82.98990884579908,,0,3,3
PLEKHM1*SCRN1,82.50479138665655,,0,1,3
NUDCD3*ZNHIT3,82.23329368247846,,0,2,3
LPGAT1*TPM1,81.79064403696133,,0,9,3
MCOLN1*SCRN1,81.71404384878899,,0,37,4
DCUN1D4*NDUFA3,80.57672269790744,,0,134,4
CPSF4*MLLT11,79.79925828136024,,0,297,4
GLRX*TCEAL4,79.69795641815907,,0,1,3
ADAM10*BBS9,79.69703391995165,,0,41,4
SCRN1*ZNHIT3,79.47394212680615,,0,218,4
DAG1*MBOAT7,79.41215486238558,,0,27,3
DHDDS*SNX11,79.3967882909693,,0,27,4
ISOC1*NSA2,79.10093624716616,,0,4,3
POLR2K*SNX11,78.98805816808586,,0,165,4
IFNAR1*RRP12,78.71527582758331,,0,3,3
CCDC85B*NUP62,78.64020280395158,,0,8,3
MNAT1*SYPL1,78.618072186086,,0,1,3
CLTB*SLC27A3,78.58346601678208,,0,6,3
ADAM10*COASY,78.44298398927475,,0,4,3
GRB10*SLC35F2,78.08143271070334,,0,4,3
KCTD5*MCOLN1,77.96068624010864,,0,1,3
DUSP3*TPM1,77.77857236305879,,0,8,3
HMG20B*MBTPS1,77.49259034690654,,0,3,3
MTX2*TES,77.47178166612794,,0,11,3
ISOC1*RGS2,77.42749349936608,,0,2,3
FKBP4*HIST1H2BK,77.39036870958292,,0,16,3
ARID5B*RPS6,77.21481078304842,,0,8,3
HMG20B*PRR7,77.14039390326865,,0,51,4
GNB5*IGF2BP2,77.10033247746884,,0,3,3
DUSP4*HLA-DRA,76.99584494863679,,0,347,4
TES*TPM1,76.91251517220077,424.0,1,1,2
IGF2R*TIAM1,76.73033420623177,,0,31,3
CD320*PACSIN3,76.71891017586164,,0,5,3
CD40*GSTZ1,76.51691161216806,,0,2,3
GPC1*RHOA,76.49499495669788,220.0,0,33,3
EDEM1*ITGAE,76.47562686399971,,0,1,3
MAP7*RALA,76.44794448577018,,0,5,3
CORO1A*RAB31,76.22985146400524,,0,2,3
BECN1*PLEKHM1,76.12345525746083,513.0,0,2,3
JMJD6*SNX13,76.02858963060365,,0,96,4
NDUFA3*WFS1,75.87894965015018,,0,4,3
HPRT1*SMARCD2,75.78361815112085,,0,13,3
GRB10*NSA2,75.75697821714148,,0,12,3
CASP3*JMJD6,75.6293810070426,233.0,0,5,3
COASY*IFNAR1,75.4719316963319,,0,436,4
DDIT4*GTF2E2,74.90230180978453,,0,1,3
ARID5B*KCTD2,74.86535392576661,,0,2,3
STK10*TBC1D9B,74.64195703532877,,0,5,3
GPC1*PRKCH,74.63985276832472,,0,1,3
PRR7*SMARCD2,74.51223015380288,,0,103,4
RAI14*TIAM1,74.41654595662786,156.0,0,31,3
MCOLN1*YKT6,74.26315613592949,,0,1,3
NCOA3*TIAM1,74.02618279604873,,0,11,3
EPN2*HMG20B,73.98578430566883,,0,2,3
CDK7*DHRS7,73.96679322120659,,0,8,3
PTPN1*SPTAN1,73.95019051213706,,0,79,3
AP1B1*NDUFA3,73.94906469950286,,0,2,3
NSA2*TBX2,73.85218992805106,,0,1,3
BAMBI*MNAT1,73.84308751798066,,0,24,4
EIF4EBP1*SNX13,73.79768100340394,,0,1,3
ARID5B*TPM1,73.67207234131128,,0,7,3
MCOLN1*STAT3,73.51455114710168,,0,1,3
PKIG*TIAM1,73.50483066465794,,0,68,4
DUSP4*PAICS,73.49248774599988,,0,5,3
PLEKHM1*PPARD,73.31125735171877,,0,3,3
EDEM1*TES,73.1984305578107,,0,11,3
MAPK1IP1L*RRS1,73.1948546626623,,0,1,3
ALDH7A1*OXSR1,73.15904852350042,,0,10,3
DAG1*GRB10,73.07572563057023,,0,5,3
CLTB*SCRN1,73.05060745947185,,0,3,3
GLOD4*MCOLN1,73.01988551147585,,0,1,3
CTTN*TM9SF2,72.96616789332525,,0,6,3
EDEM1*POLR2K,72.9108319319591,,0,4,3
MBOAT7*RFC2,72.81385928912923,,0,14,3
HSD17B10*TPM1,72.72197912000134,,0,34,3
PGAM1*SLC37A4,72.69956945140189,,0,1,3
EDEM1*TBC1D9B,72.55663397328992,,0,5,3
KIAA0907*TATDN2,72.54349779372247,,0,2,3
TBC1D9B*ZNHIT3,72.4115998455842,,0,200,4
PARP2*TRIM2,72.35055461904577,,0,1,3
ADAM10*RALA,72.28233909900106,,0,3,3
CASP7*SLC37A4,72.20941860595742,,0,95,4
EAPP*NFKBIA,72.18989093361566,,0,1,3
CLSTN1*SNX11,72.11728291301881,,0,84,4
DFFA*SNX11,71.90761161584166,,0,118,4
CD58*MOK,71.71266015190322,,0,56,4
EDEM1*RALGDS,71.66191336265406,,0,1,3
EDEM1*TXNDC9,71.60189083255857,234.0,0,1,3
NDUFA3*SLC2A6,71.59248367764287,,0,1,3
ARID5B*PLEKHM1,71.55511654651038,,0,2,3
ALDH7A1*GRB10,71.51726236885693,,0,7,3
