interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
BNIP3*CCND3,86.64161237754938,,0,1,3
DYNLT3*GNA11,82.49762056402702,,0,3,3
CCDC85B*GALE,82.25367340315066,,0,1,3
CXCR4*HMGCS1,79.87352049649184,,0,3,3
DRAP1*SNX7,75.87843107867084,,0,77,4
SRP14*USP14,74.3845968692164,,0,43,3
DRAP1*TMCO1,73.63433442959234,,0,2,3
CGRRF1*SFN,73.43525341978884,,0,3,3
COG7*EIF4G1,73.1539911915666,,0,11,3
SFN*SNX7,73.13911190793766,,0,1,3
ATMIN*IKBKE,72.80437986994204,,0,89,4
INPP4B*NOP16,71.44456787771419,,0,305,4
AKR1A1*FOS,71.39511433301973,,0,2,3
CCT7*GNAI1,70.8002871209663,,0,13,3
AMDHD2*UBE2J1,70.59623616934891,,0,1,3
BNIP3*CDC42,70.45442573756021,183.0,0,8,3
CDK5R1*P4HTM,70.44640440740159,,0,74,4
NRIP1*PGRMC1,70.40112922741999,,0,6,3
HEATR1*STXBP2,69.33463169377623,,0,7,3
BDH1*ID2,69.26828020395482,,0,1,3
P4HTM*TIMP2,69.22583303578402,,0,1,3
GNA15*TCEAL4,68.96440070893485,,0,38,4
CSK*VPS28,68.91426930440058,,0,11,3
NR1H2*NT5DC2,68.65275888469776,,0,2,3
DNAJC15*KCTD5,68.32647984086213,,0,1,3
AKR1A1*PYCR1,67.99800848664391,,0,10,3
DNAJC15*OXA1L,67.89337041802017,325.0,1,1,2
DNAJB1*PUM2,67.77689461419209,,0,16,3
CEP57*TJP1,67.62831123335219,,0,13,3
DNAJC15*PCBD1,67.499313095954,,0,821,4
HAT1*KIAA0907,67.38301112289827,,0,1,3
ATP11B*NT5DC2,67.37252437081241,,0,109,4
MAST2*PRKX,67.19155113766396,,0,1,3
CCND3*CHIC2,67.06924197216236,,0,175,4
GTPBP8*TGFB3,66.99426541129958,,0,9,4
DCTD*DRAP1,66.957045753524,,0,4,3
EED*OXSR1,66.8989795460041,,0,20,3
FBXL12*LRRC16A,66.86234144386988,,0,302,4
ATP6V0B*CLTB,66.81478836042417,,0,445,4
MALT1*SCP2,66.32086888227047,,0,2,3
UQCR10*ZW10,66.31634927331348,,0,4,3
AXIN1*CDK1,66.16369026937943,267.0,0,31,3
RGS2*TIMELESS,65.90129482305932,,0,2,3
BDH1*IKBKB,65.84385141555055,,0,4,3
CCNE2*DUSP14,65.80254064348358,,0,244,4
FOSL1*REEP5,65.74408071804307,,0,578,4
AKT1*CCDC85B,65.6191106720747,,0,8,3
SQRDL*TCEAL4,65.54392220150805,,0,1,3
TES*TXNDC9,65.33204485799317,,0,13,3
CBR1*KIAA0355,65.28589341843642,,0,1,3
EDN1*TCTA,65.20292243149102,,0,1,4
DNAJC15*PGRMC1,64.91629680221078,,0,5,3
CCDC92*PUM2,64.74322944308315,,0,2,3
DUSP6*HPRT1,64.69591363185182,,0,2,3
HNRNPA2B1*SORBS3,64.60491216213016,,0,12,3
CASP2*FBXL12,64.59882008921358,,0,203,4
BNIP3*SCP2,64.58867125897437,,0,2,3
ARL4C*CDK7,64.4687230354968,,0,6,3
CHEK1*DAXX,64.39200494366628,211.0,0,20,3
CDK6*GNPDA1,64.36813659608057,,0,4,3
PNP*TCFL5,64.33998090769288,,0,49,4
DRAP1*PIGB,64.20203850232886,,0,49,4
CTSL1*USP14,64.05141810653433,164.0,0,0,0
BDH1*NISCH,63.96117793167235,,0,3,3
MMP2*TIMELESS,63.93561567294552,,0,244,4
CLTB*TXNDC9,63.8222624439975,,0,4,3
NFE2L2*TGFB3,63.80103534319973,,0,74,4
FBXO21*STXBP2,63.75684894152859,,0,454,4
DRAP1*HSPA8,63.71331745413342,,0,13,3
KLHL21*NPRL2,63.70626470694631,,0,1,3
BAG6*STXBP2,63.689510069213625,,0,8,3
CFLAR*ZNF131,63.65571413068211,,0,391,4
CLTB*DUSP3,63.572698797378365,,0,1,3
CCDC85B*CRYZ,63.39956950625958,,0,2,3
CCDC85B*SYPL1,63.28315743141016,,0,196,4
HMGA2*TCFL5,63.099712483489554,,0,1,3
DRAP1*GRWD1,63.06118312778586,,0,6,3
CTSL1*MRPL18,63.05172531016545,,0,0,0
CCT7*DRAP1,62.997992486059886,,0,4,3
CAPN1*HES1,62.898307476610896,,0,6,3
DNAJC15*ITFG1,62.754256320992894,,0,44,3
NISCH*NNT,62.74892949533356,,0,8,3
COL1A1*RFC5,62.68212725756654,,0,8,3
DNAJC15*DRAP1,62.5926973819352,,0,706,4
CCDC85B*SRC,62.51704938925781,,0,6,3
ABHD6*MTF2,62.42897610772488,,0,151,4
NUDT9*SFN,62.36564416036644,,0,2,3
ABHD6*BAG6,62.25689957939377,,0,5,3
BNIP3*TOMM70A,62.227017996513766,249.0,0,11,3
CCND3*NRIP1,62.17209695475434,,0,5,3
CDK7*CTNNAL1,62.056127325832136,,0,5,3
ALDOC*PSME1,61.99104939046221,,0,12,3
DNAJB1*GNA11,61.97038818646796,,0,10,3
MKNK1*PMPCB,61.96490795075414,,0,4,3
TOMM70A*TSPAN3,61.9215055900117,,0,4,3
CCDC85B*CDC42,61.77828205669232,,0,6,3
PLA2G4A*WDTC1,61.76778039845024,,0,1,3
AKT1*BNIP3,61.75083528578391,617.0,0,4,3
ALDOA*ANO10,61.66813409367312,,0,10,3
DNAJB6*ERBB3,61.61998741739352,,0,23,3
