interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
BCL7B*NR1H2,98.48433358345036,,0,1,3
NR1H2*SMAD3,98.16418024441732,,0,14,3
NCOA3*PUM2,97.42230831691714,,0,8,3
CCNA2*ORC1,94.49808321540124,997.0,7,1,2
IKBKB*RPN2,93.2048057188558,,0,18,3
AURKA*BRCA1,93.20368117431592,989.0,3,1,2
AKR1A1*SNX17,91.4144972010094,,0,3,3
COPZ1*NR1H2,90.28980566508616,,0,1,3
BIRC5*CENPO,90.23816648991854,192.0,0,1,3
CHEK2*HPRT1,90.16640942808668,181.0,0,8,3
CCNB1*LIG1,90.0597205363744,350.0,0,18,3
BECN1*UBE2J1,89.90430636205994,,0,10,3
BAG6*G3BP1,88.58259844161796,,0,56,3
AKR1A1*G3BP1,88.45322055478778,,0,13,3
NMT1*TIMELESS,88.37388196782207,,0,8,3
ORC1*UBE2C,87.93405476721192,503.0,0,597,4
RRP1B*TIMELESS,87.9199484940199,,0,13,3
BECN1*WIPF2,87.4019600758314,,0,2,3
KIF20A*LIG1,87.18650865469823,582.0,0,27,3
CCND3*NOTCH1,87.15015919647885,473.0,0,4,3
DENND2D*DNAJC15,86.74531147066352,,0,1,3
CDC20*KIF2C,86.7415706659973,984.0,0,24,3
CEP57*MTFR1,86.72051609732601,,0,4,3
CCNB2*RFC5,86.43960178508172,501.0,0,4,3
DUSP11*EPN2,85.73083994252632,,0,3,3
RFC2*TIMELESS,85.72762479138626,948.0,0,20,3
CEP57*RPS6,85.352883830681,,0,33,3
CCND3*USP22,85.12690062767433,,0,2,3
KIAA0355*SLC5A6,84.67198856695649,,0,2,3
AURKA*IKBKB,84.63333640231073,365.0,3,1,2
KIAA0355*SCRN1,84.42379803586736,,0,641,4
CCNB1*CDK1,84.2499813798046,999.0,49,1,2
CHEK1*TMEM5,84.13172076732842,,0,120,4
TIMP2*TPM1,83.7560618919459,180.0,0,1,3
AKR1A1*DNAJC15,83.7050612086629,,0,1,3
MOK*TCEAL4,83.61389033288503,,0,103,4
DNAJC15*PUM2,83.4812807844084,252.0,0,2,3
AURKA*CENPO,83.26930185979052,366.0,0,2,3
BIRC5*NCAPD2,83.19415894286425,725.0,0,8,3
KAT6A*LIPA,82.96512572827021,,0,2,3
KLHDC2*MNAT1,82.8974520059044,,0,454,4
CENPO*PLK1,82.79459647892632,459.0,0,5,3
AKR1A1*SCP2,82.79011324721024,227.0,0,7,3
MYCBP2*NCOA3,82.74699214117194,174.0,0,10,3
NGRN*PRKX,82.65524348247632,,0,1,3
STAMBP*ZFX,82.64925764892651,,0,2,3
HPRT1*MTF2,82.196690356287,,0,4,3
PLCB3*TIMELESS,81.73368106917415,,0,4,3
NGRN*NR1H2,81.42597898374086,,0,419,4
CCNA2*TIMELESS,81.34907408017992,608.0,0,14,3
DNAJC15*MTF2,81.01233311629484,,0,1,3
DNAJC15*TXLNA,81.0039399914203,,0,3,3
ECD*ZNF318,80.89244187144746,,0,7,3
IKBKB*MRPL19,80.86794235567803,,0,9,3
PRKX*TMEM5,80.84798563898022,,0,18,4
NR1H2*RHEB,80.7047893091908,183.0,0,392,4
CANT1*KIAA0355,80.63310770406872,,0,4,3
CEP57*SNX17,80.5784229137076,,0,4,3
BAG6*TMEM5,80.56771747789921,,0,1,3
AKT1*GNA11,80.43349534298925,586.0,0,12,3
CCNB2*TIMELESS,80.40027989451934,619.0,0,5,3
NR1H2*SMNDC1,80.37526946535914,,0,2,3
ASCC3*KIAA0355,80.31562727785166,,0,8,3
G3BP1*HDAC6,80.1885351932199,981.0,6,1,2
BAG6*SNX7,79.84284863820595,,0,3,3
ARID4B*TM9SF2,79.77330801018888,,0,2,3
BIRC5*ORC1,79.7269926943901,592.0,0,4,3
PGRMC1*RBM34,79.13814151747188,,0,23,3
NR1H2*SLC35B1,79.11946428005326,,0,78,4
BIRC5*USP22,79.07680141490347,,1,1,2
SOX4*TMED10,79.06592037967468,,0,4,3
BAG6*GADD45A,78.84398973874086,,1,1,2
AKR1A1*BECN1,78.82893237723415,,0,5,3
NCOA3*POLE2,78.80369494974774,,0,1,3
AKR1A1*POP4,78.78145912701893,,0,1,3
CCNB1*RFC5,78.75024073664588,545.0,0,34,3
TCTA*TMCO1,78.57661318522074,,0,54,4
AURKA*GPATCH8,78.53828024459808,,0,19,3
COPZ1*P4HTM,78.53620536178491,,0,2,3
PLK1*SUV39H1,78.49724622371717,436.0,0,21,3
PSIP1*PXMP2,78.33983551451135,,0,8,3
HSPD1*MEST,78.25390324748759,,0,9,3
FBXL12*TIMM9,78.23411684238323,,0,193,4
