interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
GMNN*TFDP1,124.0345339807436,283.0,3,1,2
LGALS8*SYF2,122.70223746640404,,0,536,4
PARP2*TFDP1,118.03885726056686,,0,5,3
CDK2*ST6GALNAC2,117.06289462115376,,0,1,3
PARP2*RFC2,116.1833250394372,737.0,0,22,3
CETN3*PARP2,114.06394423714326,,0,3,3
SLC25A4*SMARCD2,110.62623875069104,,0,9,3
CDK2*HES1,109.23851976227822,,0,13,3
CDK2*HIST1H2BK,108.18350226061798,680.0,0,15,3
CDK2*PARP2,108.0180295779478,259.0,0,19,3
LGALS8*MTF2,107.95093593239837,,0,720,4
MTX2*PSMD2,107.60692674701116,,0,24,3
HNRNPA2B1*RFC2,107.20201562169903,,0,64,3
DUSP11*MTX2,106.6032323740662,,0,3,3
BUB1B*HES1,106.58702209226048,,0,2,3
BECN1*PARP2,106.5449183943284,,0,3,3
CDK2*KIAA0907,106.08842743080318,,0,4,3
NUP85*RFC2,106.02031324955172,245.0,0,24,3
CCNA2*RPP38,105.60939616983524,,0,2,3
AKR1A1*ATF6,105.22193870764714,,0,3,3
VPS72*XPNPEP1,104.84836456044052,,0,1,3
FKBP4*GMNN,104.65530452115,,0,8,3
HES1*ORC1,104.6070798020322,,0,3,3
NOL3*PRKACA,104.236604538754,,0,3,3
NFKB2*UXT,103.94181588304488,,0,7,3
BECN1*SUCLG1,103.44554685775708,,0,6,3
HIST1H2BK*OXSR1,102.9574235070598,,0,5,3
CD58*SYPL1,102.72112676175163,,0,1,3
FKBP4*SLC25A4,102.45860020095532,,0,20,3
ADRB2*CCDC85B,102.3186977948222,,0,2,3
ADI1*THAP11,102.2729142783466,,0,1,3
BECN1*RFC2,102.22188531700792,,0,12,3
GMNN*PLS1,101.9766347299332,,0,1,3
CETN3*POLE2,101.81905525869708,,0,192,4
CCNB2*NUP85,101.53384879027946,908.0,0,4,3
GAA*PARP2,101.36015310245006,,0,3,3
HAT1*PRKAG2,101.32068729911568,,0,2,3
CDK2*KCTD5,100.9298137092436,,0,18,3
GTPBP8*HNRNPA2B1,100.8007178848268,,0,3,3
ADI1*BAD,100.31904827251904,,0,1,3
CEP57*COG7,100.1035180069626,,0,2,3
ATF6*CETN3,99.94654793134605,,0,332,4
COG2*PRKAG2,99.83761889835472,,0,211,4
MSH6*ZDHHC6,99.7529720920837,,0,2,3
CENPO*PARP2,99.65081580771628,,0,289,4
BID*PRKAG2,99.51140838814212,,0,243,4
PLS1*RFC5,99.17728135777185,,0,14,3
RFC2*RPP38,99.06863374096604,253.0,0,17,3
LGALS8*SRSF4,98.85021683747767,,0,5,3
HES1*STMN1,98.818513250284,166.0,0,4,3
POLE2*TBP,98.77875264074996,,0,2,3
RPP38*UBE2A,98.69806878443848,,0,4,3
KIAA0907*RFC2,98.591404040977,,0,4,3
AKR1A1*BAD,98.55752993902108,,0,2,3
KCTD5*MRPS2,98.40742407542632,,0,19,3
ATP1B1*TBP,98.34141257553888,,0,6,3
CASP3*SMAD3,98.23200674158292,539.0,0,21,3
HAT1*SYF2,98.0689591125264,278.0,0,3,3
HNRNPA2B1*TRAPPC6A,98.01554083690765,,0,3,3
PRKAG2*PRUNE,97.96046954033912,164.0,0,1,3
BCL7B*PARP2,97.86758098624344,,0,2,3
ISOC1*PARP2,97.8513781755617,,0,2,3
LGALS8*RFC2,97.83868603890134,,0,6,3
NUP85*PSRC1,97.8176099822237,,0,4,3
APPBP2*RPP38,97.71436709565307,,0,2,3
CEP57*HMGN1,97.59320196552986,,0,2,3
DDR1*ENOPH1,97.33802242944093,,0,3,3
DCUN1D4*DNTTIP2,97.28310637967996,,0,2,3
NFKBIA*RFC2,97.27486737387582,,0,6,3
PSMD2*TSPAN3,97.23783672337048,,0,5,3
CDK2*PHKG2,97.0144883512278,192.0,0,14,3
CEP57*ECD,96.96066924665816,,0,5,3
CCDC85B*IL4R,96.82830491145876,,0,1,3
CDK2*CETN3,96.77861150104955,198.0,0,8,3
ATP1B1*SDHB,96.71725894308813,,0,24,3
LYPLA1*RNF167,96.52747262490227,,0,142,4
HMGN1*RPIA,96.36815443012786,,0,6,3
ADRB2*ISOC1,96.32260051089402,,0,3,3
DNTTIP2*PARP2,96.2799538985314,,0,16,3
BECN1*PHKG2,96.21626906825124,,0,7,3
HMGN1*PLS1,96.1181274082569,,1,1,2
CETN3*HNRNPA2B1,95.9389253782508,,0,8,3
CETN3*YME1L1,95.81035003291194,,0,4,3
KIAA0907*SMC4,95.76953957637802,,0,3,3
PCM1*TP53,95.63118506041188,,0,117,3
CDK2*XPNPEP1,95.51784211296014,,0,18,3
CCNB2*KCTD5,95.47285405639006,,0,2,3
BRCA1*HES1,95.4641162214354,,0,18,3
HAT1*SYPL1,95.45820982261075,,0,4,3
CRYZ*WDR61,95.15173485249642,,0,8,3
CDK2*RFC2,95.13737431969844,454.0,0,54,3
HAT1*RNPS1,95.13526051322782,,0,24,3
DDX42*MTX2,95.1245136043126,,0,8,3
ATP1B1*NUSAP1,94.83419031203243,,0,8,3
ABCF3*HMGN1,94.75838417849936,,0,4,3
GMNN*NUP85,94.7564994182161,,0,8,3
MNAT1*MTX2,94.7092204008365,170.0,0,2,3
NFKBIE*PCBD1,94.68201128917278,,0,1,3
HDAC2*THAP11,94.63960241559528,,0,23,3
PRKAG2*SMC4,94.39824408864058,,0,3,3
