interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
ECH1*PDS5A,188.57981704057343,,0,9,3
CLTC*STAP2,183.92180517124143,,0,3,3
CDC42*ERBB3,183.3292583026923,511.0,0,66,3
FYN*GNPDA1,174.13558007002126,,0,1,3
ADAM10*STAP2,171.4388255596605,,0,1,3
RHOA*STAP2,170.67303164767017,,0,2,3
ERBB3*NFE2L2,170.3991982073192,232.0,0,7,3
STAP2*TRAK2,168.50739315132114,,0,67,4
STAP2*TLR4,168.15780628524286,,0,1,3
KDM5A*NDUFC1,168.12585965024317,,0,39,4
MCOLN1*VAT1,168.073575156066,,0,125,4
TM9SF3*TRAPPC6A,167.76120032305968,,0,256,4
ADAM10*ECH1,166.90940313160303,,0,4,3
FEZ2*STAP2,165.26295242222105,,0,43,4
HAT1*STAP2,164.67859839508944,,0,323,4
ECH1*TM9SF3,163.7813297148101,,0,13,3
STAP2*TGFBR2,162.88789528556606,,0,2,3
STAP2*TM9SF3,162.07117183637334,,0,1,3
ECH1*PIK3C3,161.03350756243273,,0,7,3
SLC37A4*USP1,160.06223656688618,,0,3,3
PPP2R5E*STAP2,160.0349900600938,,0,1,3
NSDHL*TLR4,159.8501196612382,,0,1,3
CLTB*GNA15,159.7367683717249,,0,1,3
CDC42*SLC37A4,159.32546825053706,,0,6,3
LBR*SUCLG1,157.83012542873763,,0,14,3
MBTPS1*NDUFB6,157.0269571859632,,0,1,3
ABCB6*RHOA,156.41512633350283,,0,19,3
NSDHL*SACM1L,155.1962159238759,,0,30,3
GNAI2*PRUNE,154.78082572615185,,0,2,3
GNPDA1*PRKCH,154.22261568570372,,0,1,3
ECH1*KDM5A,153.93869445933143,,0,4,3
ECH1*USP1,153.75853831355982,,0,7,3
ECH1*ZW10,153.54596995600133,,0,10,3
STAP2*USP1,152.22096685576238,,0,167,4
KDM5A*STAP2,152.17633695401847,,0,73,4
ECH1*SMARCC1,151.83813097573056,,0,12,3
MTFR1*PIP4K2B,151.1498893581539,,0,286,4
CDKN1B*FAM57A,150.85459096487494,,0,2,3
ERBB3*TEX10,150.5399780559006,,0,1,3
CDC42*HOOK2,149.97595622356567,,0,14,3
MEF2C*NSDHL,149.67263133115017,,0,1,3
NSA2*PRKCH,149.60132200469224,,0,1,3
FEZ2*LSR,149.52460017214628,,0,2,3
AKAP8L*BACE2,149.48511304372968,,0,1,3
CCT8*ECH1,149.41749307795982,,0,28,3
ERBB3*MAP4K4,149.40233222287398,,0,16,3
CDK2*CLTB,149.2303500186383,,0,34,3
GNAI1*NIPSNAP1,149.1510221366809,,0,4,3
ECH1*PCMT1,148.83348815647616,,0,23,3
POLR1C*YKT6,148.7722695349325,,0,7,3
ADAM10*TRAPPC6A,148.68607802037397,,0,134,4
COX8A*SMARCC1,148.1563966988878,,0,4,3
ECH1*KLHL21,147.59313377107924,,0,3,3
ACBD3*STAP2,146.77251264313568,,0,1,3
CLTC*DNAJB2,146.75140309188183,160.0,0,26,3
METRN*MYC,146.64931828700608,,0,6,3
ERBB3*FEZ2,146.33048652511977,,0,1,3
RBM15B*VAT1,146.0741856312808,,0,5,3
PIK3C3*TIPARP,145.8835345962582,,0,10,3
CRTAP*ECH1,145.8073692196824,,0,3,3
DCK*ECH1,145.41534366500133,,0,6,3
CDC42*TRAPPC6A,144.8064271836231,,0,2,3
ECH1*EDEM1,144.67231096892243,,0,4,3
CNPY3*TRIB3,144.660644488101,,0,1,3
ATP11B*ATP1B1,144.53527996972045,246.0,0,142,4
SACM1L*VAT1,144.53399210706402,,0,17,3
BLVRA*ZMIZ1,144.35265210402304,,0,3,3
HS2ST1*STAP2,143.9703162927797,,0,2,3
CD44*NDUFA3,143.8840454539711,,0,5,3
ECH1*EPN2,143.81414919583915,,0,5,3
STAP2*TMEM109,143.482308480765,,0,179,4
RHOA*SLC37A4,143.38837017957005,,0,3,3
BAG3*VAT1,143.37222284814638,,0,22,3
GLRX*MEF2C,143.15590531885465,,0,2,3
POP4*ZNF395,142.75749547446082,,0,108,4
ECH1*UBE2E1,142.7135941227069,,0,6,3
CLTB*NCAPD2,142.48698707596174,,0,10,3
ECH1*GRN,142.28636391199075,,0,11,3
CD44*RFNG,142.2471099885598,,0,19,4
CCT8*STAP2,142.11586099502452,,0,3,3
FAIM*VAT1,141.4209748739812,,0,1,3
PIK3CA*STAP2,141.38666602184577,,0,5,3
MLEC*NFKBIA,141.33585668162578,,0,3,3
CDC42*STAP2,141.2969847515429,,0,5,3
CDC42*PIGB,141.18354630096005,,0,4,3
ECH1*KDM3A,141.014964180774,,0,6,3
CD44*CLTB,140.66639220488383,,0,21,3
PROS1*REEP5,140.34451973302043,,0,433,4
ECH1*HIF1A,140.176917261786,,0,17,3
IFNAR1*STAP2,140.09755766854613,,0,94,4
SMC3*STAP2,139.88108846343934,,0,1,3
TRAPPC6A*USP1,139.62579458063297,,0,102,4
ECH1*RAI14,139.25901615621018,153.0,0,18,3
CDKN1A*REEP5,139.21246063683543,,0,7,3
STAP2*YME1L1,139.16089889531077,,0,259,4
GOLT1B*NDUFA3,139.13518930795524,,0,15,3
HDAC6*PCMT1,139.01326690174662,285.0,2,1,2
FYN*VAT1,138.6641852646733,,0,9,3
LSR*PTPN12,138.65179796095993,,0,10,3
PGRMC1*TRAK2,138.62638527903744,,0,3,3
