interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CD44*CLTC,207.30412997731128,169.0,0,78,3
GOLT1B*PCMT1,201.09814786151009,,0,7,3
NR2F6*REEP5,183.75769943117177,,0,504,4
FYN*GDPD5,178.32290083679916,,0,2,3
GOLT1B*PSMD10,174.94873568705322,,0,3,3
CD44*GRN,172.88111642319893,228.0,0,12,3
CASC3*MTF2,172.4053077357828,,0,3,3
ICAM1*ZNF395,171.87932086244624,,0,1,3
KAT6B*NVL,170.78514105734834,,0,2,3
GOLT1B*NOLC1,170.5882333523997,361.0,0,9,3
MYC*YTHDF2,170.56857275614257,301.0,1,1,2
CDK2*EPN2,166.95189181280244,,0,16,3
NUP85*STXBP1,166.0498313419921,,0,7,3
CDK2*USP1,166.0451616659412,201.0,0,26,3
PSMD2*SYK,164.83467429552795,,0,24,3
EPN2*HNRNPA2B1,164.63307282623194,,0,17,3
FYN*IL4R,163.90781374092452,,0,5,3
EIF4G1*KDM5A,163.59782743076755,,0,9,3
NVL*PSIP1,162.57462565758635,183.0,0,30,3
CD44*SMARCC1,161.9262169397689,,0,19,3
HNRNPA2B1*KIAA0355,161.92538378133412,,0,19,3
ILK*SHC1,161.79155533847313,932.0,1,1,2
CRK*STAT3,161.7222643544489,372.0,0,51,3
ARL4C*CDC42,161.436615647552,153.0,0,71,3
GOLT1B*TM9SF3,161.3507220669924,,0,18,3
DDR1*TXLNA,160.56914373836423,,0,5,3
ARHGEF2*ZMIZ1,160.41135875073684,,0,4,3
CLTC*PSMD2,160.36830044535952,166.0,0,124,3
PEX11A*TRIB3,160.2699408188882,338.0,0,29,4
GOLT1B*USP1,159.5825934094362,,0,3,3
CD44*RHOA,159.23248240328277,993.0,1,1,2
CHN1*PRKCH,159.19336013048894,,0,61,4
CLTC*GOLT1B,158.74056903667622,,0,43,3
TPD52L2*WIPF2,158.3431167339122,,0,3,3
NCAPD2*USP1,158.0063074019091,,0,4,3
SHC1*ZMIZ1,157.92894599294203,,0,4,3
CD44*SCRN1,157.63106803445152,,0,1,3
FEZ2*NVL,156.79060425740573,,0,2,3
FBXO11*MTF2,156.5069463733464,,0,4,3
SLC25A46*SLC5A6,156.2082848733501,,1,1,2
DAG1*TM9SF3,155.66656716077264,,0,21,3
GATA2*GDPD5,155.499846671907,,0,220,4
CDKN1B*NCAPD2,155.42276177168833,,0,8,3
NPC1*TES,155.22186442076566,,0,22,3
CDC42*ICAM1,155.09610903958463,422.0,0,38,3
GOLT1B*RAI14,154.80462025017263,,0,12,3
SMC3*SMC4,154.6873497538394,936.0,0,90,3
SHC1*SPRED2,154.37527486776295,,0,5,3
KIAA0355*NVL,154.25251957084794,,0,4,3
CD44*USP1,153.67179647286474,,0,5,3
CD44*KIAA0196,153.3453868825693,,0,7,3
NVL*SENP6,153.22138434931105,,0,7,3
CD44*SLC1A4,152.96111663319914,,0,9,3
CASP3*USP1,152.6540640356879,195.0,0,4,3
CALU*RAI14,152.20755395680118,,0,29,3
CCT8*PSMD2,152.07040636540725,880.0,0,138,3
BACE2*CDC42,152.05770038083807,,0,21,3
CCT8*PSMG1,151.79159735437102,937.0,0,21,3
NVL*RNMT,151.43997335681996,,0,12,3
MYC*SMARCC1,151.255483248319,672.0,4,1,2
NCAPD2*SMC3,151.1440696676154,903.0,0,58,3
ADAM10*GOLT1B,151.14050585801797,,0,5,3
HNRNPA2B1*PTPN12,151.03383389977472,,0,18,3
DHX29*NVL,150.80279835679767,,0,17,3
RHOA*SMC4,150.68157532674954,170.0,0,46,3
BAG3*IL4R,150.31298411275623,,0,1,3
HERC6*POLG2,150.11147907233055,,0,35,4
ARL4C*RHOA,150.0932178478931,,0,72,3
CLTC*NPC1,150.00184113559357,198.0,0,51,3
GOLT1B*HMGCR,149.6819334351163,,0,11,3
CAB39*GOLT1B,149.5893007586638,,0,4,3
BZW2*PSMD10,149.51753709454522,,0,8,3
ARHGEF2*NOTCH1,149.51069151017285,,1,1,2
FEZ2*GOLT1B,149.3509388303292,,0,409,4
MAST2*SATB1,149.34194018957322,,0,2,3
HNRNPA2B1*IKBKAP,149.2582071984248,456.0,0,36,3
MTHFD2*RHOA,148.91035372714285,,0,20,3
PHKG2*STAP2,148.81095266574115,,0,123,4
GOLT1B*LRRC16A,148.63924847383112,,0,5,3
DDX42*HNRNPA2B1,148.61334567682945,196.0,0,69,3
NVL*SMC3,148.4716978982654,179.0,0,28,3
RFC2*RPA2,148.32072572269465,975.0,2,1,2
CDK2*TRAK2,147.84244416149176,,0,5,3
NOS3*SHC1,147.68782040056865,392.0,0,4,3
PSME1*PSME2,147.57066702267207,994.0,15,1,2
GOLT1B*TXNDC9,147.45360223941762,205.0,0,2,3
CSNK1E*PPP1R13B,147.40429336454784,,0,14,3
GFPT1*GOLT1B,147.3866695666834,284.0,0,10,3
CDK2*HAT1,147.2997338867439,,0,43,3
HNRNPA2B1*NCOA3,147.1836967532879,,0,29,3
ICAM1*NRAS,147.0423408991116,820.0,0,9,3
FOXO4*INTS3,146.74540888326476,,0,1,3
CDC42*IL4R,146.69700432665803,,0,8,3
ECH1*NIT1,146.66788599890396,267.0,1,1,2
CDK2*TGFBR2,146.5426701436744,304.0,0,29,3
HMGCS1*TIMELESS,146.46198114233957,,0,9,3
EPN2*POLG2,145.9601697478683,,0,3,3
CD44*GNAI2,145.93296951856786,,0,35,3
CASP3*CDKN1B,145.89679660155787,626.0,0,12,3
CETN3*GOLT1B,145.88391964748345,,0,3,3
