interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
HEBP1*NPC1,189.92586735712732,,0,3,3
HEBP1*HSPD1,181.7199483429318,,0,3,3
CTNNAL1*PSMD2,178.90455089578586,,0,6,3
EIF4A3*RPN2,170.3638314589216,,0,78,3
PLEKHJ1*PSMD2,170.3629682691635,,0,1,3
MYO10*PCNA,168.02048286092037,,0,14,3
EML3*NPC1,166.66823099243476,,0,1,3
MRPS16*NPC1,164.7614508500196,,0,5,3
ENOSF1*PYGL,164.31656098425364,,0,2,3
PARP1*PSMD2,163.10691435319956,,1,1,2
FKBP14*SUPV3L1,161.7589257242146,,0,1,3
FAT1*ZRSR2,160.62778363563928,,0,1,3
CASP2*COX8A,159.93118839476466,,0,788,4
CXCR4*HEBP1,159.13212244183194,,0,1,3
COASY*WFS1,156.8007128362306,,0,3,3
DAG1*PCNA,156.44565031974986,,0,13,3
HERC6*PSMD9,155.1776495957535,,0,1,3
SPAG4*UTP18,154.7800424881123,,0,1,3
DNAJC15*PCCB,154.30449839142466,,0,12,3
CALU*CXCL2,154.0814453495199,,0,139,4
FKBP14*PCNA,153.79982308650085,,0,1,3
NOSIP*PIH1D1,151.33873942898438,311.0,1,1,2
CFLAR*PARP1,150.12309675908753,375.0,0,16,3
KCTD5*SQSTM1,149.85314007452442,162.0,0,27,3
CRTAP*NFATC4,149.81866429442857,,0,188,4
CANT1*HEBP1,149.3783727114883,,0,1,3
PAK1*PLSCR1,148.26025224420482,,0,4,3
GRWD1*RRP1B,147.70889951281265,841.0,0,84,3
BZW2*PSMD2,146.73235584396443,,0,19,3
MOK*MRPS16,146.3900607495144,,0,317,4
ANO10*RAB31,146.2391354059714,,0,4,3
COPS7A*PARP1,145.7856773169407,,0,33,3
BZW2*MYO10,145.20553867056552,,0,3,3
DNAJC15*DNM1,144.87571032399754,,0,2,3
CANT1*PSMD10,144.66652279449136,,0,2,3
DNAJC15*EIF3E,144.51408197252738,,0,4,3
IL13RA1*PGM1,143.43224281495202,,0,2,3
AKAP8*DAG1,143.27908130599687,,0,9,3
CEBPA*MRPS16,143.24993976560964,,0,4,3
HINT1*SHB,142.88534858663206,,0,6,3
COX8A*PDGFA,142.33933575492944,,0,2,3
NPDC1*POLG2,142.2127227337847,,0,76,4
NUDCD3*RALGDS,142.1508092707825,,0,1,3
PSMF1*SRP14,142.07224247455994,173.0,0,11,3
PRKCD*STMN1,141.65667057632788,,0,10,3
NARFL*RBBP6,141.6234251391381,,0,6,3
HN1L*RBBP6,141.1133915249165,,0,10,3
HMG20B*HSPD1,141.09888305759392,,1,1,2
RPN2*SCRN1,140.69371241828654,,1,1,2
CEBPA*PHGDH,140.45546555295135,152.0,0,14,3
DAG1*SCYL3,140.43163596767562,,0,8,3
DDX42*PTPRF,140.31106075209823,,0,12,3
CSK*HLA-DMA,140.0564881953977,,0,102,4
PLEKHJ1*SCYL3,139.75716091368832,,0,2,3
CRTAP*RPN2,138.89007941444754,,1,1,2
CLTC*FGFR4,138.79618199375057,,0,55,3
PGM1*RPS6,138.34851926489657,,0,15,3
AKAP8*MRPS16,138.1785726133491,,0,20,3
COPS7A*KDELR2,137.37517955487797,,0,1,3
EIF4A3*ENOSF1,137.36397065304794,,0,3,3
DNAJB2*RALGDS,137.1990253625073,,0,200,4
GMEB2*PYGL,137.05327012040186,,0,1,3
PARP1*PCNA,136.84297545407696,932.0,7,1,2
CTTN*MYO10,136.80704081317165,242.0,0,19,3
CCDC86*DAG1,136.48150230796335,,0,1,3
ANKRD10*IL13RA1,135.85487285982083,,0,1,3
HSPD1*MOK,135.33045803278827,,0,3,3
GADD45B*TMCO6,135.00660488607136,,0,4,4
DAG1*TAOK2,134.9946340204366,,0,6,3
UTP18*VPS28,134.9084430365674,,0,7,3
PDGFA*RAB31,134.81922667413363,,0,84,4
SQSTM1*TBPL1,134.77290299606227,,0,7,3
CD320*PGM1,134.5467860567921,,0,248,4
MTA1*NFKBIB,134.3991217325959,,0,5,3
HDAC2*HDAC6,134.19252069770954,593.0,0,186,3
NIT1*SMARCC1,134.13770765156704,,0,5,3
HPRT1*PYGL,133.9600913220768,,0,21,3
P4HTM*RAB31,133.94510228575314,,0,1,3
EIF3E*MMP2,133.91078290254882,,0,2,3
MOK*NPC1,133.80997983869315,,0,328,4
CCDC92*SPAG4,133.40744753378675,,0,43,4
HSPD1*PLA2G15,133.35457417826237,304.0,0,4,3
IL4R*NPDC1,133.35016887269398,,0,96,4
HIF1A*NOLC1,133.03873576434194,,0,23,3
CLTC*NIT1,133.0070425800704,,0,6,3
HEBP1*RPN2,131.96759039344764,,0,5,3
CALU*MOK,131.74773870107424,,0,1,3
PSMB8*WFS1,130.99117627033027,,0,2,3
CANT1*IL13RA1,130.90187864006504,,0,3,3
KCTD5*NFKBIB,130.86721857752934,,0,4,3
POLR2I*PSMD2,130.8152715845188,,0,14,3
PPIE*SMNDC1,130.7489306125996,,0,33,3
ECH1*PSMD2,130.5786154924541,362.0,0,28,3
NT5DC2*SUV39H1,130.55150480854155,,0,1,3
HSPD1*PDLIM1,130.25463649853003,,0,24,3
PARP1*RBBP6,130.1499868839412,,0,62,3
HERC6*PSMB8,129.99580435324555,268.0,0,141,4
NUP88*SPAG4,129.95340418819498,,0,149,4
DAG1*RPN2,129.8644926137302,,0,26,3
BRPF1*DNAJB2,129.85278302044105,,0,1,3
