interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
EPRS*HSPB1,91.93464861447714,,0,103,3
FAM20B*HSPB1,90.73541493474536,,0,6,3
CAMSAP2*HSPB1,86.05623293147536,,0,21,3
GPATCH8*HSPB1,82.81165712775487,,0,22,3
HSPB1*YME1L1,80.68827088768695,,1,1,2
FAM20B*UBL5,78.61024935979678,,0,149,4
DUSP22*NIPSNAP1,77.74399162316257,,0,5,3
PHKB*SRSF4,77.54816740631102,,0,5,3
PIH1D1*PSMG1,76.79327562566601,,0,20,3
CBLB*ST7,76.73675333193331,,0,2,3
CPNE3*HSPB1,75.810731264321,,0,29,3
CANT1*UBL5,74.17824045961149,,0,202,4
DHDDS*TXNL4B,73.50261061602097,,0,2,3
HSPB1*MSH6,72.94195276781028,,1,1,2
HEATR1*HSPB1,72.58542859754905,,0,40,3
HLA-DMA*TRAP1,72.02543795919803,,0,1,3
FAM20B*PIH1D1,71.92331373868728,,0,1,3
EVL*TRAP1,71.34306547157114,,0,5,3
GPC1*NOP16,70.66937649233495,,0,16,3
SATB1*ST7,70.23167734029445,,0,1,3
RFNG*RRP1B,70.09097837200778,,0,6,4
AMDHD2*MALT1,70.03162219981294,,0,1,3
GRB7*HSPB1,69.66220888707208,,0,11,3
ATP1B1*EED,69.23411876298405,,0,19,3
PAN2*RRAGA,69.14158974165069,,0,2,3
CYB561*DAXX,68.95094209241361,,0,343,4
INPP1*TRAP1,68.77663700475298,,0,3,3
CBR1*YTHDF1,68.72197488376088,,0,17,3
PAX8*SNX7,68.61355728617038,,0,51,4
FAM20B*SYF2,68.55812165657734,,0,163,4
GMNN*PLOD3,67.64748714920944,,0,3,3
EXT1*NOP16,67.6358896694062,,0,4,3
CTSL1*PIK3R3,67.34398576105806,,0,0,0
IER3*SLC27A3,67.18628164221438,,0,129,4
PIH1D1*STK10,67.12494979917739,,0,12,3
GPATCH8*PSME2,67.08846735915644,,0,4,3
ADCK3*HSPB1,66.96749356450852,,0,29,3
BNIP3*NFKB2,66.70162949838178,,0,3,3
CCDC86*TOR1A,66.47215428882895,,0,3,3
CAMSAP2*UBL5,66.35221622164187,,0,2,3
HSPB1*KHDRBS1,66.33348656264613,169.0,0,88,3
KHDRBS1*MRPL12,65.9607804061338,,0,36,3
BAD*KLHL9,65.70675396323918,,0,1,3
HSPB1*TOR1A,65.63428922423178,155.0,0,9,3
G3BP1*HSPB1,65.47502295122831,207.0,1,1,2
HSPB1*TMEM5,65.45307379408536,,0,390,4
RPS6*ZNHIT3,65.23029611137672,,0,10,3
IER3*TMEM5,65.09025079377237,,0,22,4
CCDC86*HMGN1,65.08033995721213,,0,18,3
IER3*PRPF4,64.77848854081756,,0,2,3
ATF6*HSPB1,64.59771655048588,328.0,0,11,3
DNAJB2*FAM20B,64.31907545214617,,0,2,3
EXT1*UBE2J1,64.28629038162423,,0,3,3
OXSR1*ST7,64.26521258373478,,0,6,3
CSNK1A1*TRAPPC6A,64.24070304910853,,0,1,3
GTF2E2*PRR7,64.20954589838514,,0,73,4
DERA*PIK3R3,63.97778353727196,,0,284,4
FGFR2*TSKU,63.9283180477597,,0,64,4
RFNG*UTP14A,63.62786321569613,,0,7,4
DNAJB2*KHDRBS1,63.232129597334975,,0,9,3
NFKBIB*PIK3C3,63.18904508162447,162.0,0,3,3
FOXO3*HSPB1,63.17079786331956,373.0,0,22,3
LAGE3*SRC,63.12479628552649,,0,5,3
RPS6*SRC,62.78196229150802,429.0,0,62,3
TERF2IP*TJP1,62.75112331869276,,1,1,2
HSPB1*USP1,62.6680237945999,,1,1,2
PHGDH*UTP14A,62.62924842828121,,1,1,2
GALE*TMEM110,62.58476960785717,209.0,0,9,4
IKBKG*NUP93,62.34716587007114,,0,39,3
PHKB*SCAND1,62.23285577459079,323.0,0,67,4
CLTB*DDX42,62.219005823007215,,0,3,3
MAPKAPK2*RNPS1,62.0438449883445,,0,26,3
MSH6*PRR7,61.92213128268347,,0,139,4
HEATR1*TSKU,61.683804184059255,,0,37,4
CD320*MSH6,61.67501418803404,,0,4,3
ATF5*ENOPH1,61.58764205877383,,0,49,4
INPP1*PAN2,61.52075893012224,,0,1,3
AKAP8*PIK3R3,61.44592657720085,,0,4,3
MRPS16*PIK3R3,61.23814110029298,,0,3,3
DNAJB1*NR2F6,61.19419760870532,,0,3,3
UGDH*UXT,61.14166178764916,,0,1,3
HAX1*SPAG4,61.10714102418794,,0,2,3
EAPP*PIK3C3,61.05126919237587,,0,1,3
ACBD3*HSPB1,61.00519337805726,,0,40,3
EDN1*PIK3R3,61.00377927136126,,0,24,4
ELOVL6*HSPB1,60.9499591961912,,0,1,3
ATP6V1D*HEBP1,60.86449196487535,,0,1,3
MPZL1*RHEB,60.824047221119606,,0,8,3
EGR1*TMEM110,60.75263106616293,,0,7,4
NFKB2*PSMG1,60.6324787022527,,0,5,3
EDEM1*PIH1D1,60.62052578994965,,0,18,3
MKNK1*PIH1D1,60.619028088452026,,0,8,3
CDK7*TSKU,60.60035295957759,,0,97,4
PDGFA*SATB1,60.59864357509287,,0,106,4
HEATR1*METRN,60.51501796500378,,0,1,3
SORBS3*TRAPPC6A,60.51042973975496,171.0,0,2,3
SESN1*ST7,60.47104158078934,,0,1,3
RFNG*SMC3,60.2462043810998,,0,18,4
INPP1*SRSF4,60.23086113850578,,0,2,3
AARS*PRR7,60.23004230893343,,0,101,4
