interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
FAM20B*PIK3C3,87.28391703543275,,0,2,3
SLC11A2*SMAD3,81.80132879976387,171.0,0,2,3
MSH6*PIK3C3,81.52918900869969,197.0,0,11,3
GPC1*TSPAN4,81.36461400015003,154.0,0,3,3
ENOPH1*PIK3R3,79.54314385077998,,0,1,3
EPB41L2*MPZL1,79.25747019820335,163.0,0,25,3
RAB27A*TIPARP,78.80505339379528,,0,23,3
TIPARP*TMEM50A,78.53653159810337,,0,2,3
PPIC*RAB11FIP2,78.28131858607395,,0,1,3
PIK3R3*SMNDC1,78.11945466126079,,0,2,3
PIK3R3*PSIP1,78.07008296409387,,0,6,3
AKAP8*SLC27A3,78.04668431461484,,0,7,3
PIK3R3*WIPF2,77.99535594884215,,0,3,3
FAM20B*USP14,77.70689335861408,,0,4,3
TIPARP*XBP1,77.0131221785762,,0,6,3
RRP1B*USP6NL,76.43436286722098,,0,11,3
NRIP1*PIK3C3,76.42606307119223,,0,6,3
GPATCH8*SLC11A2,76.40992855005096,,0,274,4
NUP62*SATB1,75.52350620036688,,0,3,3
PIK3R3*UGDH,75.51164504239128,,0,7,3
HEATR1*SLC11A2,75.36051616725115,,0,4,3
PIK3C3*SMC3,75.35446463356338,163.0,0,14,3
CAB39*RRP1B,75.2960367979062,,0,8,3
SLC11A2*YTHDF1,75.14580560899635,,0,668,4
INPP1*TMEM50A,75.13322154170055,,0,22,4
RAE1*RNF167,74.82345492470034,,0,566,4
RASA1*STAT1,74.49155422675422,,0,19,3
MACF1*RRP1B,74.35969242554776,,0,33,3
FOXO4*PRKX,74.30042368673125,255.0,0,1,3
KHDRBS1*LBR,74.1248827496519,204.0,0,46,3
TMEM5*UBE3B,73.8470730098822,,0,43,4
G3BP1*LPGAT1,73.75928074398898,,0,12,3
ADCK3*WIPF2,73.48055146209144,,0,2,3
KLHL9*SMC3,73.21774693526785,,0,9,3
IKBKB*TCERG1,73.03450909316174,,0,14,3
CGRRF1*RAI14,72.98683886128487,,0,3,3
CAMSAP2*PIK3C3,72.84819053280044,,0,7,3
EPRS*KIAA0196,72.70947536033391,,0,22,3
CASK*PHKB,72.63097282342143,,0,4,3
FAM20B*NCK1,71.8794807743277,,0,343,4
PCM1*RRP1B,71.50928937599065,,0,25,3
SMC4*TIPARP,71.46803384349114,194.0,1,1,2
G3BP1*ISOC1,71.22507380044021,,0,13,3
PIK3C2B*RRP1B,71.19186443790986,,0,5,3
MPZL1*NUP133,71.17493044465803,,0,9,3
ELAC2*RAE1,70.99349561017956,,0,11,3
EVL*IER3,70.96712872801136,,0,71,4
CDK6*EPB41L2,70.68608680721415,,0,18,3
INSIG1*PIK3C3,70.63683237582768,153.0,0,7,3
CSNK1A1*PIK3R3,70.58388814773114,,0,13,3
TMEM110*XBP1,70.49828718660531,,0,4,4
MICALL1*PIK3R3,70.43692231916123,,0,8,3
CPNE3*KLHL9,70.08574421259013,,0,3,3
IKBKAP*RAE1,70.05367484093189,,0,19,3
ADI1*MYLK,69.89314383957381,,0,1,3
POP4*RAE1,69.88915220992634,,0,6,3
NUP62*SPTAN1,69.84193655798477,,0,36,3
HMG20B*TRAPPC6A,69.7052483245935,,0,2,3
RRP1B*SPTAN1,69.65330909857923,,0,50,3
MPZL1*TP53BP1,69.58435529685693,,0,5,3
SLC11A2*YME1L1,69.5124941888255,205.0,0,3,3
CCDC92*NFKB2,69.44472250659112,,0,1,3
FAM20B*PIK3R3,69.35896447405929,,0,262,4
PIK3R3*SMC4,69.15257577752367,,0,6,3
CDCA4*TIPARP,68.9971158311715,,0,4,3
CLPX*RRP1B,68.94813340292038,,0,34,3
PIK3R3*TLK2,68.94536636531163,,0,2,3
CHEK2*RPIA,68.75344265564755,,0,2,3
FAM20B*LBR,68.63863501443151,,0,5,3
RRP1B*SLC35A3,68.57227733360386,,0,1,3
SFN*TMEM110,68.54448346315269,,0,48,4
MAPKAPK5*SMAD3,68.44893726003767,,0,8,3
FKBP4*PCM1,68.26436796946331,,0,30,3
MAPK9*PIK3R3,68.22206863553374,345.0,0,9,3
FOXO3*IDE,68.16987714164938,233.0,0,4,3
KHDRBS1*USP6NL,68.0091594572389,,0,16,3
DNMT1*PIK3R3,67.81015111544261,,0,6,3
EPRS*SLC11A2,67.79867230703817,291.0,0,6,3
KLHL9*RRP1B,67.77382332432595,,0,2,3
PIK3C3*USP1,67.72214914854558,,0,4,3
CDKN1A*USP7,67.63706369864344,260.0,0,65,3
KIAA0196*RRP1B,67.63096694694434,,0,14,3
COG7*RAE1,67.57840317792544,,0,8,3
ADCK3*BECN1,67.53967691719046,,0,10,3
FOXO3*IQGAP1,67.51428645643746,,0,17,3
FRS2*RRP1B,67.48766290009414,,0,7,3
ANO10*TSKU,67.4255270064921,,0,10,4
NDUFB6*PLOD3,67.26711577279914,,0,2,3
DCK*PIK3R3,67.20314475311204,,0,2,3
DDX42*PTPN12,67.13703651025274,,0,10,3
EPB41L2*RRP1B,67.05260169098617,,1,1,2
CSNK1A1*SESN1,67.02954750703807,,0,2,3
FAM20B*KAT6B,67.02267014132568,,0,39,4
ARHGAP1*IL13RA1,66.90745942972734,,0,3,3
GRN*USP14,66.90340581841174,,0,10,3
CASK*RASA1,66.87704257027713,208.0,0,7,3
TBC1D15*TMEM5,66.86235164968076,,0,184,4
DHDDS*GRN,66.57882490077051,,0,2,3
PEX11A*RAE1,66.46047212150037,,0,109,4
DENND2D*PLCB3,66.4474127045696,,0,205,4
