interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
STXBP1*TMCO6,102.01488449477964,,0,63,4
HLA-DMA*SRP14,97.15420782644556,,0,118,4
EDN1*LAP3,96.61072982636648,,0,31,4
CCL2*GRN,94.89141212821072,329.0,0,1,3
INTS3*PPIC,93.32586550669994,,0,3,3
PGRMC1*RALA,92.376948223572,,0,23,3
INTS3*PRKACA,92.1157603359754,,0,9,3
MEST*POLR1C,91.27133596806722,,0,2,3
BRPF1*S100A13,90.6371021696531,,0,128,4
ARID4B*CANT1,89.23401064523873,,0,310,4
ARFIP2*TOMM34,89.05488907895756,,0,4,3
SORBS3*TUBB6,88.87055106446334,,0,5,3
LRRC41*PPIC,88.841507807134,,0,2,3
MUC1*ZFP36,87.8729639253184,,0,2,3
NUP93*SESN1,87.7625099755594,,0,3,3
INTS3*SORBS3,87.75350698083011,,0,4,3
ABCC5*TOR1A,87.524374516608,,0,1,3
COG2*RBM34,87.51381321079838,,0,3,3
CHEK2*MICALL1,87.20011817193473,,0,2323,4
IGF2BP2*TUBB6,87.15857489993698,,0,43,3
NCOA3*TOR1A,87.0456115424521,,0,3,3
PPP2R3C*PTPN1,86.88647271633258,,0,5,3
EDEM1*EGR1,86.81205270343514,,0,3,3
SORBS3*TMCO6,85.53798179774485,,0,74,4
RALA*SLC11A2,85.09352705825759,,0,10,3
IGF2BP2*SLC27A3,83.80456309537125,,0,4,3
FOXO4*TUBB6,83.41595464161674,,0,3,3
PAPD7*SRSF4,83.3333423379555,,0,2,3
CXCL2*LAMA3,83.300452534737,,0,1,3
CASP3*LYN,83.16914563014197,511.0,0,15,3
EVL*LAP3,82.9391103643336,,0,5,3
PARP2*RALA,82.91883765072257,,0,3,3
PRKX*PSMD10,82.7586752834449,,0,1,3
RALA*S100A13,82.25394142260181,,0,1,3
PHGDH*RAD51C,82.21900325871201,,0,7,3
GTF2A2*PGRMC1,82.00351407859999,,0,2,3
EDEM1*SLC1A4,81.83111628396402,,0,1,3
HSPA4*NVL,81.77693273034824,203.0,0,28,3
HN1L*PSME1,81.55066781218245,,0,11,3
ABCC5*PLOD3,81.52231970757396,,0,1,3
ADAM10*SYF2,81.45997340096189,,0,314,4
NPC1*ST7,81.42931319090961,,0,53,3
CYB561*HSPB1,81.16488653293764,,0,2,3
COG7*IGF2BP2,81.16043516694658,,0,4,3
CSRP1*PRKACA,80.82700175319334,,0,9,3
BMP4*TUBB6,80.58560239544286,,0,5,3
FOXO4*GPC1,80.51497498182209,,0,4,3
BMP4*IPO13,80.47020246679271,,0,1,3
KDM5A*RALA,80.44182586946282,,0,3,3
EDN1*STK25,80.22408913019233,,0,1,3
PRKCQ*RPA2,80.12615301174095,,0,6,3
ACAT2*LBR,79.42388337491073,371.0,0,10,3
DNMT3A*TMEM50A,79.21667968496614,,0,1,3
BRPF1*NOSIP,78.9637719068604,,0,4,3
KEAP1*PLSCR1,78.91822217485775,,0,5,3
RBM6*SLC11A2,78.90474347954222,,0,325,4
ACD*DNAJB1,78.72951267277503,,0,12,3
NT5DC2*PRKACA,78.62054198729581,,0,17,3
CASK*RPN2,78.59115288804247,,0,24,3
KIAA0907*SLC11A2,78.54823546639398,,0,121,4
EAPP*NPC1,78.46559621831736,,0,2,3
ATF6*RRP8,78.43086002507977,,0,1,3
CERK*GPC1,77.77226136742978,,0,1,3
EVL*INPP1,77.77103032479475,,0,108,4
ALDH7A1*SRC,77.68021882438293,272.0,0,15,3
EED*SMC1A,77.63651212590096,216.0,1,1,2
COPZ1*TNIP1,77.60965014653146,,0,2,3
FIBP*GPC1,77.53734858653961,,0,2,3
CBLB*SNAP25,77.53416226301597,,0,1,3
COG7*SRC,77.47418824294353,,0,7,3
BRPF1*PXN,77.4108419244472,,0,6,3
EDN1*LAMA3,77.26531081360245,,0,9,4
RRP8*TSPAN6,77.1947666638739,,0,513,4
FBXL12*SORBS3,77.11700680330242,,0,423,4
ARHGEF2*TUBB6,76.94071206862012,803.0,0,44,3
GADD45B*STXBP1,76.92511294088658,,0,90,4
HNRNPA2B1*LAMA3,76.87095278371221,,0,9,3
PHGDH*TMEM50A,76.85040001540273,,0,2,3
MKNK1*XBP1,76.68913210317037,,0,200,4
BAG6*EBNA1BP2,76.54760391703464,,0,24,3
CDKN1B*RALA,76.54653120631,212.0,0,5,3
LRRC41*SLC35B1,76.50807317955842,,0,163,4
PCM1*SRSF4,76.46905532798365,,0,19,3
OXSR1*SESN1,76.4623508385177,,0,3,3
HNRNPA2B1*SLC11A2,76.41828703071016,,0,3,3
DNAJB1*FKBP4,76.41587263286655,749.0,0,40,3
ABCC5*ASCC3,76.3679655395433,,0,3,3
SORBS3*SRSF4,76.24291542108764,,0,5,3
S100A13*TATDN2,76.05532614368407,,0,32,4
NCOA3*STK25,76.00552484402726,,0,1,3
CBR1*HIST2H2BE,75.98594865916309,,0,17,3
CD58*FIBP,75.95909729593343,,0,1,3
PPOX*ZNHIT3,75.45866865301923,,0,2,3
LBR*SUZ12,75.44778309043463,190.0,0,39,3
LAMA3*TUBB6,75.14714657741932,,0,4,3
CSNK1E*DNAJB1,75.09015209132157,,0,17,3
PRKX*SYK,75.02193031353603,,0,1,3
COG7*NSDHL,74.99527345713048,,0,7,3
RALA*TUBB6,74.86962443076558,308.0,0,13,3
BRPF1*PIH1D1,74.85578707320566,,0,6,3
