interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CORO1A*PHGDH,160.06001343831957,187.0,0,9,3
CPNE3*STUB1,158.1723912065365,,0,29,3
HN1L*SCAND1,148.70343063906472,,0,72,4
DAG1*PMF1,147.84002716740113,,0,1,3
CEBPD*POLG2,143.6970289113234,,0,100,4
DUSP14*TPM1,143.22364145712052,,0,6,3
HLA-DRA*PHGDH,142.85942805959502,,0,1,3
SMAD3*STUB1,142.79449763998,948.0,4,1,2
CCDC85B*NET1,141.58070300657323,,0,203,4
CEBPD*HINT1,141.41692915009887,,0,714,4
HLA-DMA*PHGDH,139.00875850854382,,0,1,3
HMGCS1*NR1H2,138.57455456129276,195.0,0,342,4
RALGDS*TRIB1,136.65640053588754,,0,60,4
CSK*PHGDH,135.0763352731749,,0,25,3
MEF2C*SCAND1,134.51829754756608,,0,56,4
LSM5*NR3C1,134.46691615616223,,0,9,3
PCNA*RALGDS,133.26386542471326,,0,4,3
CPNE3*SCAND1,132.31750178557346,,0,172,4
KDM5B*SEC11A,131.83139660101634,,0,498,4
HSPB1*PTPN1,131.6564476635914,183.0,1,1,2
GMNN*RALGDS,131.3982908876944,,0,2,3
SOCS2*TMEM109,130.90272607922532,,0,1071,4
EBP*ZMIZ1,130.87362523995688,,0,2,3
CASP10*EBP,130.21082677742166,,0,257,4
LIPA*RAD9A,129.33484383769562,,0,2,3
ACOT9*PMF1,129.3081893506898,,0,3,3
IARS2*PGM1,128.4962246135336,,0,13,3
CSK*EBP,127.38366921678156,,0,19,3
PUF60*S100A4,126.87536809649852,,0,10,3
FIS1*PGRMC1,126.7118791579504,,0,20,3
HNRNPA2B1*REEP5,126.5456534601094,,0,18,3
CCDC85B*PGRMC1,126.50523452638706,,0,1,3
PRPF4*RAD9A,126.2331017280795,,0,7,3
ARHGAP1*ARID5B,126.20020581770616,,0,2,3
EBP*MVP,126.02948937783556,,0,1,3
CCDC85B*HLA-DMA,125.9410803628998,,0,18,4
CSK*POLR2I,125.32628879360551,,0,6,3
BRPF1*PGRMC1,125.14422693176672,,0,3,3
DAG1*FIS1,125.05907624748008,,0,2,3
BPHL*PGRMC1,124.95767865637322,,0,2,3
AXIN1*PGRMC1,124.92199396036868,,0,9,3
ACOT9*LAGE3,124.55652439599294,,0,4,3
CHMP4A*PMF1,124.17143942091516,,0,3,3
CNOT4*RPS6,122.9576266550142,,0,10,3
PGRMC1*PHGDH,122.54519690716025,,0,50,3
ADAM10*GSTM2,122.53347462628147,,0,3,3
MAPK1IP1L*STUB1,121.76282283724711,,0,2,3
NR1H2*RAE1,121.73055870678002,,0,3,3
CANT1*LYRM1,121.68254806667936,,0,32,4
RALGDS*SPRED2,121.23797529489204,171.0,0,1,3
APP*NUCB2,121.0168059349338,,0,27,3
KIAA0196*SCAND1,120.83221992717957,,0,113,4
PGRMC1*PNKP,120.81023807610572,285.0,1,1,2
BDH1*RHEB,120.76169371784988,,0,7,3
C2CD2L*MAP7,120.69024753185386,,0,4,3
RAE1*SORBS3,120.08005310321228,,0,4,3
SMAD3*TSTA3,119.91029330897166,,0,4,3
PARP2*RTN2,119.86082079665049,,0,153,4
HAX1*MVP,119.84944351560652,,0,15,3
HMOX1*PHGDH,119.69312017472885,,0,10,3
PHGDH*SRC,119.60419468687286,372.0,0,45,3
HSPB1*LRP10,119.4890284749202,,0,5,3
HIST1H2BK*SUV39H1,119.40875185680532,655.0,1,1,2
NR1H2*PSME1,119.35971955296388,,0,2,3
HAX1*TICAM1,119.28507885618282,,0,4,3
POLR2I*PTPN1,119.0782471936618,,0,7,3
CDC25B*TSTA3,119.04769958063342,,0,2,3
PGRMC1*RAD9A,118.9055976601363,,0,9,3
MTA1*TRIB1,118.77981465148667,,0,3,3
PTK2B*RALGDS,118.59752509207668,,0,154,4
BAD*PSMB8,118.55697703888296,,0,1,3
CPNE3*LAGE3,118.5005399831238,,0,2,3
REEP5*TCERG1,118.38947986838718,,0,5,3
MRPL12*SMAD3,118.332301032448,,0,13,3
PGRMC1*WDR61,118.07915876381338,,0,20,3
ARID5B*RNH1,118.00169134638304,,0,3,3
PRR7*SESN1,117.83730244512113,,0,8,4
RHEB*STAT5B,117.79602450010134,165.0,0,4,3
PRKAG2*RPS6,117.51737373822942,165.0,0,4,3
NR1H2*PRPF4,117.28738584407483,,0,2,3
POLR2I*PPARD,116.9615244710816,,0,2,3
ACOT9*POLR2I,116.95539424016631,,0,6,3
CNPY3*PSMG1,116.8331664437624,,0,3,3
BCL2*EGR1,116.77713064491032,,0,3,3
NISCH*PGRMC1,116.71813938752577,,0,31,3
EBP*JOSD1,116.62488253462064,,0,1,3
AKR1A1*CSK,116.55647227908484,,0,7,3
ARHGAP1*PHGDH,116.5156387929128,,0,29,3
ABHD6*DUSP14,116.33938643596338,,0,232,4
GTPBP8*SCAND1,116.32407382247575,,0,42,4
MAPK1IP1L*POLR2I,116.21044001534864,,0,1,3
HMGCS1*RNF167,116.15782369330856,,0,1,3
PMPCB*REEP5,116.13481870516264,,0,9,3
IFRD2*LIPA,115.97695734897032,,0,1,3
EBP*TICAM1,115.88957592474245,,0,271,4
MMP2*RASA1,115.76870472127382,,0,376,4
GTPBP8*NR1H2,115.49160306088686,,0,73,4
MAP7*PNKP,115.48266892418135,,0,10,3
DNAJB2*SRP14,115.24527664016011,,1,1,2
CHMP4A*PHGDH,115.03982311963824,217.0,0,11,3
