interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CHIC2*STK10,170.7853233131009,,0,132,4
KIAA0753*RALGDS,165.06087740373633,,0,214,4
LYN*PRKAG2,162.95563190874867,,0,4,3
ACBD3*CRKL,157.89856743703135,,0,27,3
FDFT1*MLEC,154.68806252353176,,0,19,3
HMGCS1*PUM2,150.29903460714849,,0,6,3
LSM6*PGRMC1,150.1502734885757,,0,5,3
NRIP1*PIK3CA,148.5556718038529,,0,3,3
HIF1A*HLA-DMA,145.69280605479344,,0,1,3
DUSP6*HLA-DRA,145.05885516361758,,0,3,3
PHGDH*SLC35F2,143.92795544413931,,0,8,3
EGR1*NR1H2,143.81918667146954,,0,1,3
KIAA1033*PTK2,143.049269432813,,0,8,3
IKBKG*PRKAG2,142.4803356228791,,0,5,3
NUCB2*POLR2I,142.17121109938725,,0,3,3
G3BP1*HN1L,141.24952087264813,,0,13,3
C5*HLA-DRA,140.97895829199254,,0,202,4
ELAC2*RRP8,139.70995570262988,211.0,0,6,3
KDM5B*PIK3C2B,138.99353992502697,,0,8,3
IARS2*ZNF451,138.8655382095993,,0,4,3
PGRMC1*PPP2R5E,138.0960502805348,,0,11,3
CREB1*GTPBP8,136.7106919737005,,0,2,3
DDX42*RAE1,136.67567795162125,303.0,0,29,3
PGRMC1*RASA1,136.51271285189824,,0,7,3
MYCBP2*NUP93,136.41775434911648,,0,28,3
LYRM1*MACF1,136.33993376865595,,0,144,4
FIS1*NUDCD3,135.4574269144876,,0,9,3
HNRNPA2B1*PGRMC1,135.16471878448948,,0,46,3
CEP57*HMGCS1,134.78927168719318,,0,3,3
BTK*SLC35A3,134.64293191250064,,0,83,4
MAPK1IP1L*SLC35A3,134.629425162923,,0,33,4
CEP57*MAPK1IP1L,132.97878356237564,,0,1,3
SLC25A46*VAV3,132.5957808751616,,0,2,3
NR3C1*PGRMC1,132.23282859036473,217.0,0,53,3
ELOVL6*TBP,131.5058255644514,165.0,0,79,4
RAB11FIP2*ZDHHC6,131.44780574795328,,0,161,4
GTPBP8*SUZ12,131.0062706498228,,0,1228,4
ACLY*TP53,131.00569897507145,401.0,1,1,2
IARS2*MRPL19,130.94531720587344,201.0,0,67,3
ATF6*PGRMC1,130.4526451148612,,0,31,3
NR3C1*SQRDL,130.10194046179703,,0,17,3
NFKB2*REEP5,129.99953114837547,,0,5,3
KIAA1033*PGRMC1,129.8996804847621,,0,22,3
MSH6*PGRMC1,129.51020705030382,,0,32,3
CCNA2*KIF2C,129.10338330165828,966.0,0,6,3
HLA-DRA*IQGAP1,129.0952541246006,,0,6,3
KDM3A*RAE1,128.36455708792676,,0,4,3
CCDC85B*MMP2,128.34232666831338,,0,1,3
LAGE3*NUCB2,128.21411314682635,,0,2,3
ACOT9*TES,128.12124563380786,,0,14,3
HMGCS1*SLC35A3,127.73815062012235,,0,119,4
CCNA2*DAG1,127.60000901336517,,0,4,3
PGRMC1*PIK3CA,127.53701937850376,,0,14,3
CDK19*PRUNE,127.49367741134526,,0,150,4
MAPK1IP1L*PIK3CA,126.90065152629852,,0,367,4
HLA-DMA*LPGAT1,126.55038609717596,,0,1,3
HMGCR*SLC25A46,126.40907753660758,,0,12,3
RASA1*ZMIZ1,126.3848159548466,206.0,0,3,3
TIMM9*UTP14A,126.26163945373042,,0,4,3
