interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
ABHD6*POLE2,171.6950586528439,,0,69,4
IDE*MTFR1,164.3354783935037,,0,4,3
GTDC1*PRCP,159.11743982786172,,0,10,4
FAM63A*ZFP36,155.39929884626332,,0,235,4
ATF6*EDEM1,154.79352847629085,728.0,0,14,3
MAPK9*RPN1,154.69799176911334,,0,13,3
LYN*RGS2,154.6230530263887,172.0,0,6,3
MYL9*TBC1D15,153.77534129249352,,0,5,3
DYNLT3*HSPA4,153.60824262701837,,0,4,3
NPC1*TRIB1,153.52654315582697,,0,1,3
NUP85*TNIP1,152.88973953419287,,0,2,3
LYRM1*SQRDL,151.40260134961767,,0,94,4
PMF1*RPN2,151.01012391367655,,0,6,3
SMC3*TMCO1,150.9921066220831,,0,17,3
EDEM1*IARS2,149.06207707204513,,0,10,3
BRPF1*PCK2,148.97161479715254,,0,1,3
CREG1*SYK,148.60546736980018,,0,482,4
SLC27A3*SMC3,148.46419951974522,,0,9,3
EDEM1*HS2ST1,148.0266508294529,,0,7,3
PRCP*TBC1D15,147.9094540868469,,0,2,3
ETS1*LGMN,147.61284943584278,,0,1,3
DENND2D*MAPK9,147.13655109945546,,0,308,4
PHKG2*TRIB1,146.7036090797506,,0,2,3
PCK2*ZRSR2,146.121141254106,,0,2,3
PXN*SQRDL,146.0565587367193,,0,8,3
IKBKB*NRAS,146.01366627657345,297.0,0,16,3
NUP62*PIK3R4,145.70390629043715,,0,13,3
SKP1*TNIP1,145.7010894233889,,0,15,3
CCNB2*PLK1,145.07647538689685,997.0,0,13,3
CLSTN1*HSPA4,144.5377291788054,,0,12,3
HMOX1*NUP85,144.48010758211382,,0,4,3
EIF4A3*GABPB1,144.47107706996974,,0,7,3
CD320*ITGAE,144.02955184043117,,0,1,3
CENPO*CHMP6,143.92858233189315,,0,117,4
C5*CPSF4,141.97169672042264,,0,2,3
C5*MBNL2,141.95196383789454,,0,65,4
ICAM1*SYK,141.9256971510464,721.0,0,12,3
ADAT1*DYNLT3,141.2965054033397,,0,51,4
APP*LGMN,141.10542035482757,249.0,0,14,3
AFG3L2*ICAM1,140.57739815614798,,0,17,3
KAT6A*LGMN,140.12020251728808,,0,364,4
HLA-DRA*IQGAP1,139.653594013282,,0,6,3
LYN*ZRSR2,139.5601831494732,,0,7,3
CAST*CORO1A,139.4484917048742,,0,1,3
PRCP*ZFX,138.88580253921216,,0,106,4
CCNA1*KIAA0100,138.44204383217982,,0,212,4
SIRT3*TES,138.41004967165017,,0,2,3
ARHGEF12*CTNNAL1,137.94312469278955,,0,7,3
ICAM1*TERF2IP,136.69178619887845,,0,15,3
PMAIP1*ZNHIT3,136.58886883964635,,0,2,3
KIF2C*MAPKAPK3,136.52509470797696,159.0,0,2,3
GABPB1*PRCP,136.32547671876134,,0,138,4
IQGAP1*KCTD2,136.31239429783355,,0,7,3
C5*TOR1A,136.29020900687587,,0,2,3
KCTD2*TXNL4B,136.25249025275002,,0,192,4
CAST*RGS2,136.1596680638486,,0,1,3
DYNLT3*IQGAP1,136.05736803570784,,0,6,3
ALAS1*RPA3,135.8431789310457,,0,8,3
DAG1*PSRC1,135.7817594464304,,0,1,3
NOTCH1*NRAS,135.70405735093334,730.0,3,1,2
CCNA1*ZW10,135.46602085126165,,0,1,3
BRCA1*ZNF274,135.32047947458906,156.0,0,2,3
ELOVL6*KIAA0907,135.01332770047622,,0,1,3
CD320*PHKG2,134.62067065758987,,0,1,3
MYL9*ZNF451,134.61538493133688,,0,3,3
GAPDH*TRAM2,134.585597879823,,0,4,3
BTK*NUP62,134.4809943904236,,0,3,3
OXA1L*SLC35A1,134.29040276820484,,0,5,3
C5*SLC35B1,134.12310718600372,,0,4,3
ATP11B*TMCO1,134.06093818150364,,0,1,3
CCNB2*MAPKAPK3,133.82115430743204,,0,165,4
CPSF4*RPA3,133.78870223899605,,0,19,3
C5*ICAM1,133.6472965243666,234.0,0,2,3
MAPKAPK3*PLK1,133.45156643302354,,0,5,3
CDC45*GABPB1,133.33895399029257,164.0,0,3,3
NUDCD3*RPA3,133.29516328265598,,0,14,3
CD320*SLC11A2,133.27590538759625,,0,4,3
TBPL1*TP53,133.11796920123732,270.0,3,1,2
CDC45*RALA,132.9703676457976,,0,7,3
HEBP1*TNIP1,132.93460450018085,,0,241,4
DYNLT3*NUP133,132.89844928124762,,0,5,3
KCTD2*PCK2,132.73101990530245,,0,3,3
FAM57A*NRAS,132.69315490044414,,0,3,3
ELOVL6*PGAM1,132.54505015336355,,0,1,3
CSNK1A1*DYNLT3,132.5020897334351,,0,7,3
FAM63A*NRAS,132.4174458094054,,0,1,3
MKNK1*VAPB,132.25278482037726,,0,2,3
IL13RA1*LYN,132.1848661140927,,0,6,3
ARHGEF12*ATP6V1F,132.08682609542848,,0,7,3
CCNA1*KLHL9,131.96892455141645,,0,2,3
CEBPZ*PMAIP1,131.68695578769345,,0,5,3
EPB41L2*IQGAP1,131.32508644243353,,0,67,3
CLPX*NUP62,130.8437167492072,,0,16,3
MSRA*NRAS,130.82647270479185,,0,3,3
DDB2*RNH1,130.75742648757983,,0,11,3
FOXO4*LRPAP1,130.72738686650496,,0,1,3
ITGAE*SQRDL,130.54974499291325,,0,55,4
LGMN*RBKS,130.39612720222334,,0,62,4
LGMN*SEC11A,130.19887546457534,,0,5,3
C5*RPN1,130.14980547898747,,0,12,3
