interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
HMG20B*P4HA2,66.00933633866202,,0,864,4
DNTTIP2*NFATC4,62.719245346775416,,0,1,3
P4HA2*SRSF4,61.664688650674734,,0,8,3
DPH2*P4HA2,59.435463951490746,,0,2,3
MTX2*TMEM109,58.25547944288769,,0,10,3
APOE*MRPS16,57.352115378224525,,0,8,3
GRB10*HMG20B,57.3409960602694,,0,5,3
SQSTM1*USP1,55.74404926346686,189.0,0,24,3
APOE*UBE2E1,54.606714378376175,,0,1428,4
MFSD10*SNX13,54.51722673350258,,0,1,3
APOE*MLLT11,54.45575460396844,,0,1,3
CRTAP*USP1,54.44751406493008,,0,3,3
MYLK*PLK1,54.17398482268319,,0,7,3
UBL5*USP1,54.166040535053696,,0,4,3
ATP6V1F*KIAA0753,53.82353948872965,,0,1,3
CTSL1*PLK1,53.72278857789593,,0,0,0
NR3C1*PSMD4,53.4037530393393,,0,39,3
APOE*UBQLN2,53.330903211305326,165.0,0,26,3
APOE*TM9SF3,53.18658085896059,,0,10,3
CHIC2*P4HTM,53.03345072743768,,0,60,4
RAB21*SRSF4,52.89175946086005,,0,8,3
GRB10*HES1,52.6316434092294,,0,4,3
FOXJ3*POLD4,52.39343714392717,,0,40,4
MCOLN1*TMED10,52.34109051762812,,0,2,3
PDS5A*PNKP,52.09972464153641,,0,17,3
P4HA2*PSMF1,52.068780453321885,,0,4,3
ERBB2*HSD17B10,51.873615090792704,,0,50,3
CTNNAL1*HES1,51.80647484203014,,0,189,4
BBS9*GAPDH,51.73820581770316,,0,2,3
CORO1A*RFC5,51.71623845742909,,0,7,3
AKAP8*CRTAP,51.66013439596456,,0,14,3
ARHGEF12*CDK4,51.47750842382308,,0,9,3
NSA2*PHGDH,51.38031087690863,,0,21,3
NR3C1*PIN1,51.37939037914741,,0,46,3
CRTAP*MTF2,51.31422497814432,,0,1,3
GRB10*RAD9A,51.046734652913536,,0,3,3
AKAP8*TMEM109,51.03896079897055,,0,11,3
NFKBIB*PTPN1,50.98051260764073,,0,4,3
GRB10*PCK2,50.7917481525362,,0,7,3
CHMP6*SKP1,50.779233705956045,,0,9,3
FAIM*GAPDH,50.65209844149885,,0,4,3
NFKBIB*RAB21,50.63699746932528,,0,1,3
NFATC4*USP1,50.500410053676745,,0,1,3
FOXJ3*NR2F6,50.34504954507448,,0,3,3
CAST*RNPS1,50.30843479015414,,0,12,3
GRB10*SRSF4,50.25856340038363,,0,11,3
NOL3*NUP93,50.13695048230343,,0,5,3
CHMP6*ENOPH1,50.101019676515065,,0,1,3
CEBPD*PDS5A,50.09860382958311,,0,5,3
APOE*MYCBP2,50.03780777922827,,0,7,3
PCBD1*RFC5,50.0240883311933,,0,3,3
CDK4*TPD52L2,49.995026182799336,,0,12,3
IGFBP3*MUC1,49.820590716904405,297.0,0,1,3
MICALL1*SPAG7,49.76545752252437,,0,1,3
CPNE3*NFKBIB,49.76529881761937,,0,2,3
RFC5*TP53,49.64859718843715,912.0,0,88,3
GRB10*ZFP36,49.63690116011532,,0,13,3
G3BP1*PNKP,49.54502948576084,,0,19,3
ELOVL6*NFKBIB,49.476158656807264,,0,40,4
CHMP6*RNMT,49.44478641826308,,0,6,3
ABCB6*AP1B1,49.35341840795713,,0,7,3
CTNNAL1*HSPA1A,49.2877588548736,,0,13,3
GRB10*PNKP,49.10691424263264,,0,4,3
PNKP*RAD51C,49.01140537727676,349.0,0,2,3
APOE*MYC,48.90823091445333,297.0,0,72,3
DNTTIP2*P4HA2,48.86123817012805,,0,4,3
SMARCD2*USP1,48.80852995071558,,0,6,3
APOE*CGRRF1,48.7960337403628,,0,1,3
FYN*SKP1,48.59187515518603,,0,25,3
MFSD10*MRPL19,48.51801844441691,,0,3,3
P4HA2*RBM15B,48.503961241668286,,0,4,3
FAM57A*P4HA2,48.48076889159335,,0,196,4
APOE*CEP57,48.40997148672641,,0,9,3
GADD45B*OXSR1,48.36805642251261,,0,190,4
PACSIN3*SGCB,48.34282678132625,,0,1,3
PNKP*PTPN1,48.30626271690264,,0,9,3
NOL3*NUP62,48.24878724208576,,0,3,3
ITGAE*TRAPPC3,48.15569966408452,,0,1,3
NDUFA3*OXSR1,48.12460134415342,,0,1,3
HES1*MAPKAPK5,48.11986611327311,,0,1,3
MFSD10*NRAS,48.08683383694182,,0,3,3
GRB10*TRAPPC3,48.032831635996025,,0,5,3
FBXL12*MEF2C,48.01417210043829,,0,1,3
CPNE3*MFSD10,47.88704226455731,,0,7,3
CTNNAL1*PSMB10,47.87031408572992,,0,314,4
GRB10*NFKBIB,47.69691648562085,,0,5,3
APOE*PSMD10,47.654258871925386,,0,8,3
KDM5A*MFSD10,47.611641904098406,,0,2,3
NFKBIB*USP16,47.602519268873976,,0,1,3
MFSD10*UTP14A,47.60170755295775,,0,4,3
IGHMBP2*LGMN,47.576323659282565,,0,2,3
APOE*CISD1,47.52974521136987,,0,7,3
MRPL19*NR1H2,47.52863860199646,,0,1,3
PMF1*TLR4,47.47596076372141,,0,1,3
BBS9*NR2F6,47.47372419443364,,0,18,4
FBXL12*KLHL21,47.47348393344016,250.0,0,133,4
CAST*CDC25B,47.41605512676831,,0,1003,4
CRTAP*HNRNPA2B1,47.40316509677879,,0,41,3
CRTAP*HES1,47.25574240263328,,0,1,3
APOE*PAFAH1B2,47.25533482142793,222.0,0,4,3
