interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
KDM5B*PDS5A,71.17824745787958,,0,11,3
KDM5B*RRP1B,67.81021277925379,,0,12,3
PIP4K2B*RRP1B,64.71038995178994,,0,11,3
ELAVL1*HDAC2,64.68986784141306,258.0,1,1,2
NNT*NR3C1,64.29239402772052,,0,31,3
CDK4*CHMP6,63.91366686993631,,0,3,3
MAPK1IP1L*TMED10,63.51774861512936,189.0,0,3,3
ABL1*CTNNAL1,62.4953253098054,,0,1,3
BBS9*REEP5,61.92988243225693,,0,1,3
PUM2*SNX13,61.68406897667735,,0,1,3
ELAVL1*KDM5B,61.24676308165958,,1,1,2
NR3C1*SNX13,61.073951705505245,,0,680,4
ABL1*MSH6,61.0669904071649,281.0,0,22,3
NR2F6*PLEKHJ1,60.99283053130208,,0,40,4
KDM5A*KDM5B,60.974916081874326,561.0,0,10,3
FOXJ3*SPEN,60.952077997347246,,0,4,3
GRB10*SYNGR3,60.51737633821438,,0,147,4
KDM5B*OXSR1,60.17205599198015,,0,3,3
PDS5A*RNMT,59.99591560052423,,0,13,3
MSH6*TNFRSF21,59.36108044384114,,0,3,3
AKAP8*IGHMBP2,58.89979549799153,,0,4,3
BBS9*VAPB,58.58040017499916,,0,1,3
USP7*ZW10,57.9739355452356,,0,22,3
KDM5B*TOPBP1,57.73342089180434,,0,3,3
FBXO11*PDS5A,57.5203626309788,,0,6,3
ETS1*RRP1B,57.38161775246564,,0,6,3
KDM5B*NUP88,57.36620296287517,,0,8,3
APBB2*GABPB1,57.24894405979492,,0,1,3
NCOA3*TMED10,57.21221917588448,,0,8,3
MSH6*SMARCC1,57.150132698028,333.0,1,1,2
PAFAH1B1*RRP1B,57.02775266961854,,0,12,3
H2AFV*PUM2,56.925287548097536,,0,11,3
MAP4K4*USP1,56.56097707440479,,0,4,3
PIP4K2B*TATDN2,55.97717172860139,,0,1,3
APOE*NFKBIB,55.85610787426375,251.0,0,6,3
CTNNAL1*FBXO11,55.7572971714051,,0,2,3
CHIC2*TLK2,55.72089572344609,,0,2,3
RRP1B*USP7,55.68215311036349,,0,75,3
RAB31*SMAD3,55.52597378784078,,0,3,3
ELAVL1*FYN,55.47956168526834,,0,77,3
PPP2R5E*RRP1B,55.333583259946,,0,13,3
GRB10*KIF5C,55.255770173919935,,0,8,3
APOE*POP4,55.06301706869288,,0,2,3
FOXJ3*NR3C1,54.994669145181575,,1,1,2
OXSR1*PAFAH1B1,54.974623960744985,,0,14,3
JOSD1*RRP1B,54.78148643001925,,0,1,3
SMAD3*USP1,54.5800133983405,,0,7,3
ABL1*RRP1B,54.51761470074661,,0,14,3
EZH2*SOX4,54.4782490325009,908.0,0,17,3
KDM5B*ZNF131,54.39555545897879,437.0,0,4,3
CRKL*RRP1B,54.361066388554256,,0,23,3
FRS2*G3BP1,54.26057700191783,,0,12,3
BIRC2*USP7,53.89987137421394,467.0,1,1,2
FOXJ3*JOSD1,53.8675945806496,,0,1,3
KHDRBS1*PTPRK,53.85396578149874,,0,7,3
APOE*MAPKAPK2,53.853756954290525,,0,3,3
MTA1*PLK1,53.85195747959204,,0,33,3
RRP1B*ZMYM2,53.75209401387711,,0,22,3
ETV1*NUP85,53.73582358903084,,0,1,3
PDS5A*USP7,53.734122749073,,0,71,3
ICAM3*NSA2,53.73393396606965,,0,191,4
CAMSAP2*CRK,53.68478508678757,,0,14,3
ELAVL1*ENOPH1,53.668370246062,,0,10,3
COPS7A*TRAPPC3,53.56805546468634,,0,3,3
PDS5A*ZNF318,53.51251717458851,,0,15,3
CEP57*PDS5A,53.49778638805023,240.0,0,4,3
PSME1*PSME2,53.48225837338056,994.0,15,1,2
FBXO21*RRP1B,53.42733442589321,,0,11,3
NR3C1*TM9SF2,53.4238683100027,,0,5,3
MSH6*SENP6,53.354923054406974,,0,15,3
BBS9*GSTM2,53.19303847427975,,0,22,4
DNTTIP2*PUM2,53.1910763230328,,0,10,3
BBS9*MBNL1,53.08709545698426,,0,118,4
FYN*RRP1B,53.00778780201109,,0,23,3
FRS2*PDS5A,52.95415950913608,,0,7,3
EPB41L2*USP1,52.81376639587488,,0,7,3
ELAVL1*TCERG1,52.71192265199214,468.0,1,1,2
CCNE2*KDM5B,52.68090976066637,216.0,0,1,3
BBS9*NR3C1,52.65034649833743,,0,3,3
PUM2*ZW10,52.64524324610581,,0,5,3
GRB10*ST3GAL5,52.59836414442221,,0,111,4
CHMP6*PSMF1,52.57429177222927,260.0,0,4,3
RRP1B*UXT,52.46238708358492,,0,9,3
SPEN*USP1,52.40511344049803,,0,2,3
BIRC2*NR3C1,52.39032752374908,,0,20,3
DPH2*TAOK2,52.34793410492932,,0,1,3
PLK1*SMARCA4,52.20802427503961,317.0,0,54,3
MICALL1*RRP1B,52.1876023243792,,0,12,3
RRP1B*UBQLN2,52.1777046026351,,0,23,3
LGMN*TMED10,52.15509046416438,,0,8,3
GABPB1*SMARCC1,52.08800191911167,,0,2,3
CRKL*CTNNAL1,52.07068255492885,,0,6,3
CTNNAL1*RNMT,52.039525590100354,171.0,0,3,3
FOXJ3*NIPSNAP1,51.93844369363022,,0,1,3
CHIC2*PAFAH1B2,51.901320956021934,,0,127,4
CDK4*LPAR2,51.72468804276864,,0,2,3
IGF1R*SGCB,51.7013609437912,,0,4,3
MTFR1*SCARB1,51.67350749393877,,0,1,3
CHIC2*SOX2,51.6714031177508,,0,2,3
NARFL*NR2F6,51.62089369856815,,0,1,3
