interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
EIF4EBP1*EPN2,72.83948872599291,,0,2,3
CHERP*GMEB2,71.86770885891333,,0,4,3
SPR*TSKU,66.54878921968145,,0,24,4
NMT1*PAF1,65.94843245640132,,0,15,3
LPGAT1*VAT1,65.77448947888641,,0,11,3
EPN2*NT5DC2,65.3279323796296,,0,4,3
NMT1*SRSF4,65.04663669333449,161.0,0,13,3
MTX2*PMPCB,64.47585025384319,210.0,0,8,3
PAFAH1B3*TMEM97,64.20204490915081,,0,2,3
GNB5*LGMN,64.1075659539381,,0,1,3
BLMH*EIF4EBP1,63.78221571228455,,0,2,3
COPZ1*LRRC41,63.13996216461604,,0,11,3
KLHL21*PAF1,62.62789872708189,,0,1,3
GMEB2*UBR7,62.59640244065635,,0,212,4
NIPSNAP1*TMED10,62.480878577026246,,0,23,3
PIK3C2B*SLC35A1,61.49848022251672,,0,2,3
NUCB2*TNIP1,60.9678643145148,,0,3,3
PHKA1*TICAM1,60.79582659484768,,0,129,4
IKBKAP*PAN2,60.74098581882034,,0,13,3
IGHMBP2*NIT1,59.989941499038935,,0,1,3
CHERP*UBR7,59.66568860085514,,0,5,3
ADNP2*MAPK1IP1L,59.43648612213592,,0,101,4
SPEN*TMEM97,59.28760888248918,,0,1,3
TLE1*TSKU,59.19595699482968,,0,19,4
EIF4EBP1*GMEB2,59.03943540784523,,0,3,3
AKAP8*NT5DC2,58.57806303273594,,0,14,3
FBXL12*UBR7,58.11211650946477,,0,3,3
EIF4EBP1*IPO13,57.93743462765725,,0,1,3
PAF1*TMEM97,57.810640978720144,,0,3,3
ERBB3*MPZL1,57.40431277650468,,0,11,3
ATG3*TSKU,57.21054076594002,,0,59,4
GNA15*TLE1,56.87514517767189,,0,115,4
FIS1*NR1H2,56.85440577349725,,0,2,3
EPN2*PAFAH1B3,56.803657198410335,,0,2,3
CTTN*NARFL,56.74616287786191,,0,9,3
DHRS7*IGHMBP2,56.746102806245474,,0,2,3
NT5DC2*PAFAH1B3,56.650574678100455,,0,4,3
CRKL*DDX10,56.62929111275353,,0,13,3
MAPK1IP1L*TLE1,56.319637948904926,,0,3,3
AKT1*ATG3,56.15161604137575,577.0,0,19,3
EPN2*WFS1,56.1023982501262,,0,6,3
PAF1*TLR4,55.75900953490157,,0,507,4
AKAP8*EPN2,55.70984556107381,,0,8,3
DDX10*TP53BP2,55.54475424285219,,0,9,3
DNM1*MEF2C,55.5241298630185,,0,1,3
KHDRBS1*TMEM97,55.49737515356067,,0,4,3
PKIG*UGDH,54.68202942306111,,0,1,3
GMEB2*GNA11,54.66842150564825,,0,252,4
KLHL21*SRSF4,54.60711305175919,,0,2,3
ATG3*EBP,54.58449731514223,,0,2,3
GABPB1*PSMB1,54.319190757011306,,0,6,3
EPN2*SPEN,54.16853093759425,247.0,0,4,3
KCNK1*TRIB3,54.15156783097595,,0,216,4
LRRC41*SYF2,54.13253851937575,,0,2,3
FOXJ3*PARP1,53.94731776113059,,0,14,3
FOXJ3*PKIG,53.70425879067166,,0,31,4
KHDRBS1*LSR,53.634634193459135,,0,13,3
NR1H2*TLE1,53.44081737252164,198.0,0,2,3
GMNN*KIAA0907,53.32356829548269,,0,1,3
GSTZ1*TLE1,53.319049350220254,,0,1,3
NR3C1*NUDT9,53.24485503877411,,0,4,3
FOS*PAN2,53.24292785137385,,0,31,3
PFKL*PPARD,52.96154408394902,,0,7,3
MBTPS1*STK10,52.89854612454937,,0,7,3
GLOD4*HIF1A,52.69134495107558,,0,9,3
RBM15B*USP22,52.59925047831915,,0,7,3
SPEN*TLR4,52.54631443866857,,0,2,3
DMTF1*GMNN,52.45492767564198,173.0,0,89,4
GMEB2*HIF1A,52.28692777474342,,0,5,3
NMT1*PIH1D1,52.159282545661554,,0,38,3
MTF2*NR1H2,52.111609099536025,,0,4,3
KCTD2*NCOA3,51.92703903558477,,0,6,3
DNM1*PAFAH1B3,51.783126593061056,,0,4,3
AXIN1*PAN2,51.74193862746346,,0,8,3
CTTN*TPD52L2,51.733061001178925,,0,24,3
NFKBIE*ZNF318,51.573528459530976,,0,1,3
FKBP4*PNKP,51.56163016086786,,0,10,3
GLOD4*SPECC1L,51.38334032201401,,0,3,3
JMJD6*P4HTM,51.371342572953,,0,1,3
CORO1A*NUCB2,51.36379994220256,,0,2,3
ATG3*EPN2,51.35922515943236,,0,5,3
LRP10*PMPCB,51.31641398931811,,0,7,3
DNTTIP2*PARP1,51.093288342671215,,1,1,2
NMT1*PECR,51.05093767545343,,0,3,3
DLD*LRP10,51.03481266036022,,0,4,3
AKT1*SYF2,50.68898385577116,,0,4,3
DFFA*NFKB2,50.60586467918832,,0,6,3
ASCC3*FOXJ3,50.59130660678059,,0,2,3
HK1*NIT1,50.58741945635986,,0,4,3
GMEB2*KCTD5,50.46354990983403,,0,2,3
ATG3*MAPK1IP1L,50.41847607871297,,0,590,4
ATG3*SYF2,50.37921181945426,,0,1,3
BLMH*FEZ2,50.20458990409157,,0,1,3
MRPL18*PAF1,50.19794852818427,,0,5,3
PAF1*POLD4,50.14003432949019,,0,1,3
ABHD4*NARFL,50.109692758011,,0,27,4
SRSF4*TNIP1,50.06160580303633,,0,5,3
SPECC1L*USP22,50.06117324637817,,0,9,3
ACAT2*LRRC41,50.05062839031929,,0,4,3
SRSF4*TLR4,49.87840857706294,,0,1,3
