interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
TMCO6*UBE2C,87.91436654069926,,0,1,3
HMOX1*UXT,79.6789445252735,,0,2,3
APOE*SEC11A,76.52779150973807,,0,5,3
CANT1*SKP1,75.56351295558446,,0,1,3
HADH*RAE1,74.82416984748357,,0,10,3
ALDOC*LSM6,74.70207556374788,,0,1,3
EPB41L2*TCFL5,74.10380259937261,,0,1,3
NFIL3*UBE2C,72.28705816131497,,0,154,4
ABCF3*CD40,71.56514510122723,,0,5,3
HLA-DMA*PUM2,71.49298739802263,,0,31,4
ADH5*PSIP1,71.01698964547084,,0,6,3
AMDHD2*IGFBP3,70.94462504918705,,0,49,4
KIAA0196*NUCB2,70.81078745388791,,0,6,3
RAD9A*SKP1,69.88596522308578,290.0,0,9,3
HSD17B10*TCERG1,69.65902797598235,,0,26,3
PRKCD*SKP1,68.70877342915296,,0,19,3
RPN1*RRP12,68.65357000755675,,0,83,3
HSD17B10*RGS2,68.52495669132023,,0,5,3
ADH5*JMJD6,68.32537103135613,,0,3,3
ABHD4*TFDP1,68.13664886772156,,0,85,4
TSC22D3*TXLNA,67.81219785388494,,0,3,3
ABHD4*EIF4EBP1,67.41350762873347,,0,37,4
ADH5*CHMP6,67.24578344204316,,0,3,3
EIF4EBP1*PARP1,66.56974971765345,343.0,0,15,3
GPC1*RPS5,66.20036863043998,276.0,1,1,2
LRP10*SMC3,66.17454193254488,,0,2,3
DHX29*UBE2C,66.00444300544886,,0,6,3
CISD1*UXT,65.96423233471718,,0,1,3
PACSIN3*TXLNA,65.90825893077292,,0,7,3
DHX29*EPB41L2,65.86753733038952,,0,18,3
CCNA2*SKP1,65.76627284060044,991.0,3,1,2
FBXO11*LRP10,65.75372744214013,,0,2,3
DFFA*TCFL5,65.73120196370098,,0,1,3
DCTD*DCTN6,65.64335784994317,,0,1,3
FBXO11*LYN,65.52778584180206,,0,7,3
PSMB8*RRAGA,65.47040702430417,,0,1,3
COPZ1*HSD17B10,65.09992515166408,,0,29,3
CREG1*RRP12,64.84646323210198,,0,2,3
GAA*PARP1,64.81326295201868,,0,15,3
GALE*NDUFA3,64.54809467504445,,0,310,4
LSM6*NFKBIB,64.4160323723888,,0,3,3
UBE2C*USP16,64.10411892126515,165.0,0,2,3
HADH*NCAPD2,63.99641441365067,,0,11,3
ADH5*DNMT1,63.94474973715647,,0,7,3
ADH5*NCK2,63.788118387197045,,0,621,4
STAP2*ZNF274,63.68266229958739,,0,31,4
KLHL21*TSPAN3,63.61379832615802,,0,1,3
DERA*HK1,63.40982779591286,811.0,0,3,3
PSMB8*TXLNA,63.25873027171348,,0,6,3
STAP2*TJP1,63.20923566571808,,0,3,3
ADH5*KDM5B,63.124623911094815,185.0,0,3,3
ABHD6*DNMT3A,63.08074867917915,,0,112,4
ADH5*PSMG1,63.02304345089801,,0,4,3
ATP5B*LYPLA1,62.950551092753045,515.0,0,11,3
DFFA*UBL5,62.74818826913304,,0,2,3
COPZ1*TBPL1,62.728217280494896,,0,4,3
ABHD4*PLP2,62.691233772956686,,0,164,4
POP4*SLC25A4,62.63146831308152,,0,7,3
DCTD*SYPL1,62.62329422068157,,0,2,3
SKP1*SMC3,62.49933838714498,,0,63,3
CNDP2*POLR2I,62.3791166119113,,0,6,3
OGFOD1*ZNHIT3,62.35668801897643,,0,1,3
RAC2*TMCO6,62.312071669659694,,0,218,4
NUP133*UBE2C,62.18409034004563,,0,5,3
AURKB*CNDP2,61.94996504819304,,0,30,3
LRP10*NVL,61.89432269936103,,0,2,3
GNB5*STAP2,61.839021744387225,,0,88,4
BACE2*CIAPIN1,61.80130385900109,,0,1,3
PLP2*RUVBL1,61.80119320061792,,0,5,3
FOXO3*SLC2A6,61.76247606342042,,0,72,4
BLVRA*ZNF131,61.64670318512977,,0,4,3
COX8A*MBOAT7,61.64441155654306,,0,6,3
MBOAT7*SKP1,61.61387506095145,,0,12,3
GAA*UBE2C,61.502413620868765,,0,587,4
HINT1*MBOAT7,61.49210861940131,,0,13,3
DHX29*LRP10,61.4079494405827,,0,355,4
DERA*DUSP11,61.390192222165865,,0,2,3
ADH5*FBXO11,61.35930846835832,,0,1,3
HSD17B10*PLK1,61.26812369504103,,0,38,3
DRAP1*MBOAT7,61.259280738378514,,0,2,3
ADH5*SLC35B1,61.23535257481798,,0,2,3
ACBD3*NDUFC1,61.21269825519685,,0,81,4
BLVRA*CAST,61.05632073063938,,0,7,3
FOXO4*STAP2,61.0244696642335,,0,64,4
PSMB8*SHC1,60.92746802654551,,0,7,3
ACAA1*TJP1,60.92291892827165,,0,4,3
ABCF3*NVL,60.91930833225276,205.0,0,11,3
EDEM1*UTP14A,60.78912203869978,,0,6,3
RAE1*SDHB,60.71066958066915,,0,21,3
ILK*UBQLN2,60.69774470430277,,0,54,3
CNDP2*POLR2K,60.67796284177318,,0,5,3
AKAP8L*NFIL3,60.56812154021271,,0,1,3
PCMT1*SLC1A4,60.49030605024903,,0,4,3
AURKB*GPC1,60.42602389496993,,0,44,3
LRP10*NSA2,60.4070682648142,,0,601,4
NFIL3*TCFL5,60.27645614166772,,0,13,4
ABHD6*SHC1,60.264762119077005,,0,2,3
ATP6V0B*TMEM50A,60.19993665441089,,0,47,4
LGMN*PAFAH1B2,60.03142026102066,,0,2,3
CALU*CRYZ,60.00802083487664,,0,7,3
