interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
RRAGA*ZNF274,100.97423670585634,,0,71,4
HPRT1*ZNF274,95.6990104145038,,0,2,3
RRP12*TRIB1,94.8589985055937,,0,2,3
DFFA*SLC35A1,88.76159018863652,,0,2,3
NVL*SEC11A,88.41551741495729,,0,6,3
ACOT9*ALAS1,88.00305231398735,,0,24,3
ACBD3*SEC11A,86.28147854338586,,0,22,3
SLC35A1*TBPL1,86.0203234161801,,0,154,4
BAG6*TJP1,86.00986590313005,,0,22,3
DCTN6*ZNF274,85.22682348509747,,0,63,4
RRP12*TJP1,85.18944708104682,,0,41,3
EIF3L*UBE2C,85.04307691628703,,0,6,3
NUP93*SLC35A1,83.05793185317972,,0,7,3
LRP10*WDR61,82.94928556955377,,0,2,3
RAE1*ZNF274,82.94401519386854,,0,1,3
STAMBP*TJP1,82.8262583901406,,0,8,3
RRAGA*SLC35A1,81.7026352049613,,0,2,3
CCNB2*EIF3L,81.37772073580237,,0,8,3
GLOD4*RAE1,80.82579959424346,,0,8,3
NIPSNAP1*RRP12,80.08451255334978,,0,27,3
RUVBL1*TJP1,79.71459401006658,,0,60,3
SHC1*ZNF274,79.63046272853319,,0,458,4
RUVBL1*TRIB1,79.56753656092982,,0,5,3
DCTN6*USP6NL,79.44431559028105,,0,4,3
PPP2R5E*ST7,79.1508706133122,,0,2,3
NUP62*TJP1,79.00652703160137,,0,30,3
ALAS1*LSM6,78.71255197620096,,0,2,3
AARS*ST7,78.6577440582463,,0,4,3
PARP1*SEC11A,78.45471560330932,,0,20,3
FGFR2*LRP10,78.24514643310044,,0,13,3
ETS1*RRAGA,78.17285378051564,,0,359,4
DUSP6*HMOX1,78.16263367233353,,0,2,3
HS2ST1*ST7,77.83524804821741,,0,9,3
DFFA*IFNAR1,77.75847792479739,,0,346,4
DNMT1*SLC35A1,77.68380619323607,,0,2,3
DUSP11*SLC35A1,77.49090287993083,217.0,0,1,3
BLVRA*RAB27A,77.43484059904372,,0,1,3
FAT1*MYLK,77.31279107043012,,0,2,3
RHEB*TRIB1,76.96202155417865,169.0,0,1,3
RNMT*SLC35A1,76.72916213143748,,0,1,3
DCTN6*SLC35A1,76.35794028162944,,0,2,3
EGFR*LRP10,75.84098952769928,,0,28,3
ABCF3*ETS1,75.24705050024755,,0,1,3
RRAGA*TJP1,75.1235943731633,,0,5,3
DFFA*NDUFC1,75.00137242848396,,0,28,4
CDK4*PRR15L,74.79564798375907,,0,76,4
CEBPZ*USP6NL,74.68896916983991,,0,12,3
CEBPZ*SLC35A1,74.65224439050914,,0,2,3
GLOD4*GNPDA1,74.6092080949868,,0,4,3
PRR15L*UBE2C,74.58149298378817,,0,28,4
HK1*SHB,74.55472369947833,,0,5,3
NVL*TJP1,74.5250701669637,,0,25,3
TES*TJP1,74.45218638619414,,0,41,3
GLOD4*MTX2,74.42828911623329,,0,2,3
DCTN6*SORBS3,74.13774554024343,,0,3,3
FBXL12*NVL,73.9610904297513,,0,1,3
COPZ1*CORO1A,73.77088134521979,,0,5,3
RUVBL1*SEC11A,73.71422836525517,,0,14,3
DNAJB6*TJP1,73.66396969998047,,0,30,3
PTPN6*TXLNA,73.52781984210282,,0,6,3
ST7*TBPL1,73.52765753483172,,0,2,3
ADH5*ALAS1,73.48859828676167,,0,3,3
PAICS*SLC35A1,73.06923756130243,,0,1,3
ETS1*IGF2R,73.02612799620391,,0,4,3
DFFA*ST7,73.02462153322563,,0,1,3
PAICS*ST7,73.00392926792213,,0,7,3
GLOD4*ST3GAL5,72.6512469293985,,0,1,3
DNAJB1*PIGB,72.60008407105862,,0,301,4
HS2ST1*SPRED2,72.49148902540738,,0,3,3
SENP6*SLC35A1,72.47244704686085,,0,2,3
CCNB2*USP6NL,72.41448472438317,,0,2,3
RBM15B*SLC35A1,72.09997908410983,,0,298,4
ACD*SLC35A1,72.08240463139694,,0,2,3
MBOAT7*SORBS3,72.04212020511406,,0,6,3
SLC35A1*YTHDF2,71.90461430057644,,0,3,3
DHX29*TJP1,71.8803122567566,,0,23,3
AKAP8L*NPDC1,71.74032330314992,,0,3,3
NVL*SLC35A1,71.65222992048561,,0,1,3
MAPK13*TXLNA,71.48749366758277,,0,3,3
CCT8*TJP1,71.45262931077838,,0,58,3
RPP38*TIMP2,71.41696935186982,,0,1,3
ATP11B*LRP10,71.39596283172872,,0,1,3
ETS1*HS2ST1,71.35302311859516,,0,2,3
DNMT3A*TIMP2,71.33472145534738,,0,2,3
DHX29*EGFR,71.1763766806339,,0,44,3
HAT1*SEC11A,71.1237091443745,,0,6,3
LRP10*XBP1,71.11953677880982,,0,1,3
ELAC2*RAE1,71.07516701858678,,0,11,3
BIRC2*SPRED2,71.05219509511932,,0,2,3
PAICS*USP6NL,70.98095022312941,,0,10,3
CEBPZ*LGALS8,70.86414087038824,,0,7,3
FDFT1*ZNF274,70.83634331376741,,0,2,3
AP1B1*HES1,70.65879871017367,,0,1,3
ABCF3*TRIB1,70.61557350490057,,0,3,3
POLR1C*SEC11A,70.48010475919949,,0,5,3
CLPX*GNPDA1,70.45333768649718,,0,5,3
ABCF3*PKIG,70.35116438223396,,0,80,4
DNAJB2*ZNF274,70.3267909254103,,0,2,3
GPC1*RB1,70.20733277338684,,0,9,3
ABCF3*ATP11B,70.18186090973983,,0,80,4
