interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
HEBP1*VAPB,104.8265518889375,,0,3,3
ITGB5*TXLNA,96.87529505331526,,0,10,3
DENND2D*SERPINE1,96.85243854199643,,0,121,4
HEBP1*NNT,96.28792427695412,,0,5,3
PPP2R5A*RFX5,94.70569210417186,,0,263,4
NCK2*PYGL,94.62092824451162,,0,2,3
ITGB5*SDHB,94.34070513510368,,0,7,3
PYGL*TSPAN3,94.080219964868,,0,3,3
DENND2D*ZFP36,92.57285895578995,,0,2,3
HTRA1*TIMM22,90.8295870719068,,0,31,4
RFX5*SUCLG1,89.55590082611687,,0,2,3
PTPN6*PYGL,89.33481888598149,,0,4,3
P4HTM*STAMBP,88.44805294547314,,0,2,3
PYGL*RAC2,88.42130969975096,,0,11,3
FOS*PTPN6,88.0921796700475,202.0,0,10,3
BHLHE40*CCNB2,86.84863355779527,,0,3,3
EGR1*GAA,86.2660852675589,,0,4,3
IFRD2*NDUFA3,86.25829984730704,212.0,0,203,4
MRPS2*TICAM1,85.28989426527582,,0,1,3
PPP2R5A*SHC1,84.7955142373625,231.0,0,6,3
AFG3L2*PRKAG2,84.63706955541822,,0,1,3
ACAA1*IGF2BP2,84.28569559792365,,0,4,3
DNAJA3*FDFT1,83.72696499313207,,0,17,3
EGFR*HEBP1,83.27459942591221,,0,8,3
PPP2R5A*PTK2,82.74973164708607,,0,8,3
BIRC2*SUCLG1,81.6429665922186,,0,6,3
PTPN6*ZFP36,81.62584204003045,175.0,0,5,3
CASC3*GRB10,81.46088271340476,,0,10,3
PXMP2*RAI14,81.18808236356925,,0,8,3
AFG3L2*NNT,81.15610591970157,,0,77,3
HTRA1*RNF167,81.11514403574779,,0,1,3
CREG1*STAT3,80.90712997333054,,0,5,3
HMG20B*INPP1,80.88211564978594,,0,2,3
PPP2R5A*RAI14,80.11165333223333,,0,6,3
HTRA1*PDGFA,80.06068195020377,,0,36,4
ATP11B*HK1,79.96262848051364,,0,1,3
CEBPD*TRAPPC6A,79.38200005562518,,0,73,4
FBXO21*HEBP1,79.13905337933423,,0,1,3
DFFA*ITGB5,79.07159361847263,,0,4,3
FPGS*STAP2,78.74816352435717,,0,1,3
ARL4C*PYGL,78.70521222264081,,0,1,3
SCCPDH*SCYL3,78.70086449003581,,0,7,3
BLMH*DERA,78.51490208284342,,0,5,3
DNMT3A*PPP2R5A,78.5073428849003,,0,4,3
BHLHE40*HLA-DMA,78.39990576658751,,0,29,4
HTRA1*PAFAH1B1,78.19519258186897,,0,2,3
PDIA5*RNF167,77.54334125665048,,0,194,4
EIF3L*ZFP36,77.52602381378736,,0,10,3
NNT*SUCLG1,77.50706654794466,152.0,0,22,3
FASTKD5*HEBP1,77.37288672938632,,0,2,3
PYGL*TIMM22,77.37115066015531,,0,1,3
HEBP1*NFKBIA,77.28438338326596,,0,1,3
DERA*IGF2BP2,77.25701428590409,,0,7,3
P4HA2*TSPAN6,76.52198840951026,158.0,0,273,4
PYGL*SUCLG1,76.03500235767105,,0,13,3
COL4A1*NUDT9,75.71185429712509,,0,48,4
ACBD3*SCCPDH,75.68610595523548,,0,15,3
ARHGEF12*NSA2,75.60105660997685,,0,5,3
CCL2*CSK,75.4581862761849,,0,4,3
LPGAT1*PPP2R5A,75.41248931289388,815.0,0,4,3
ITGB5*PRKAG2,75.34807544789948,,0,1,3
HEBP1*UBE3B,75.31730035795161,,0,102,4
ARHGEF2*SLC25A22,75.25048736253427,,0,19,3
COG2*NDUFC1,75.24031209883503,,0,22,4
HEBP1*PDIA5,75.15946749769566,,0,2,3
HEBP1*MRPL19,75.15324245582067,,0,3,3
TRAPPC6A*WDR61,75.10400307405877,,0,2,3
BHLHE40*DENND2D,75.08506837533905,,0,1,3
EAPP*ZDHHC6,74.97611002360236,,0,134,4
ETS1*NUDT9,74.87229297968551,,0,1,3
HK1*PTPN6,74.82409560253303,,0,8,3
RB1*SCAND1,74.74071820340545,,0,2,3
NFKBIA*SCP2,74.7380828168359,,0,2,3
PPP2R5A*RNMT,74.72128063672125,,0,4,3
MAP2K5*NOSIP,74.42020293944273,,0,4,3
HLA-DMA*ZFP36,74.35375384597363,,0,25,4
PARP1*PPP2R5A,74.25391020963974,,0,17,3
MYLK*NFKBIA,74.16603940883378,279.0,0,3,3
RPL39L*STAP2,74.0453827510338,,0,7,4
SMARCD2*SQRDL,74.03586104336813,,0,10,3
FDFT1*TIMM22,73.91793525345697,,0,1,3
HK1*ZFP36,73.91786640284954,,0,3,3
GNA11*HK1,73.87403795729186,,0,11,3
AGL*ITGB5,73.73720303447168,,0,2,3
CCDC85B*P4HTM,73.72040433870885,,0,102,4
NVL*PPP2R5A,73.54182469881468,,0,3,3
HTRA1*IFRD2,73.44294618246681,,0,71,4
DHDDS*ITGB5,73.41217706888114,,0,2,3
PDGFA*PPP2R5A,73.32118220718374,,0,96,4
COG2*SLC27A3,73.2527768464861,,0,6,3
IFRD2*KIAA0100,73.19492632448923,,0,1,3
COG2*PMF1,73.02587400531674,,0,3,3
IQGAP1*PYGL,72.86846997092925,,0,30,3
NFKBIA*PRKAG2,72.83222103214598,,0,1,3
STAMBP*TSC22D3,72.8033101173488,,0,3,3
PDIA5*ZDHHC6,72.61288190949358,,0,1,3
HTRA1*RRP12,72.60406547349454,,0,2,3
RAI14*TIMM22,72.60114014469974,,0,1,3
HEBP1*PTPN1,72.51504135442399,,0,2,3
HMOX1*SPR,72.47801975441374,,0,2,3
