interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
ATF1*JMJD6,59.505621460622734,,0,5,3
IARS2*PSMB10,58.323190432334485,,0,4,3
FAM20B*FKBP14,56.49919788642135,,0,1,3
PLSCR1*RBM34,56.49852055084168,,0,3,3
CDC25B*PLS1,55.13795835836616,,0,1,3
SH3BP5*WDR61,54.95431821497428,,0,2,3
PTPRK*RGS2,53.44532722755711,,0,1,3
BID*MAPK1IP1L,53.3159933197697,,0,2,3
CD44*COASY,52.67619728963904,,0,8,3
PHKG2*PIK3R4,52.03264557728035,,0,4,3
NUP85*TSTA3,51.70222474883755,,0,1,3
PLA2G4A*RRP12,51.34430907909462,,0,3,3
ICAM1*XBP1,50.77641839343748,242.0,0,872,4
RELB*SMARCC1,50.38248252288481,197.0,2,1,2
COL4A1*RGS2,49.781309460474205,,0,70,4
ECH1*SH3BP5,49.75874214873396,,0,3,3
LAP3*MAP7,49.24023757443568,,0,3,3
EAPP*PHKG2,48.6607027010388,,0,1,3
DUSP6*PLA2G4A,48.64318365862295,,0,3,3
CCNH*TSTA3,48.52381012400479,,0,1,3
HAX1*SH3BP5,48.35477997670738,,0,3,3
CD40*FDFT1,48.139190351546894,,0,4,3
DLD*DNMT1,47.96835322423117,,0,28,3
ID2*PLS1,47.86955029674711,,0,627,4
COASY*IL1B,47.82614417624129,,0,2,3
CGRRF1*P4HTM,47.76518966298664,,0,189,4
PLSCR1*RRP12,47.38909028875367,,0,5,3
DECR1*PSMD2,47.32756747847714,,0,16,3
ATP5G3*CD44,47.23771916904455,,0,1,3
COASY*PLSCR1,47.153341578013375,,0,5,3
CYCS*SERPINE1,47.05117031839955,260.0,0,2,3
HERPUD1*PHKG2,47.00325884150767,,0,1,3
RPS6*SH3BP5,46.97364747012208,,0,4,3
HAX1*NOS3,46.81643211300736,,0,2,3
IER3*PGM1,46.73286332496114,,0,1,3
PIK3CA*POLB,46.59595892975183,,0,676,4
RBM15B*RELB,46.53445454451424,,0,3,3
CDC25B*CXCR4,46.47420877801686,,0,1,3
FGFR2*UBL5,46.2451580835259,,0,2,3
SPRED2*XBP1,46.19930074564286,,0,1,3
MFSD10*PSMD2,46.09025427603104,,0,9,3
SH3BP5*STUB1,46.04719199890926,,0,5,3
CPNE3*FKBP14,45.98958617594503,,0,2,3
BCL7B*NRIP1,45.62178531356384,,0,2,3
ERBB3*SPRED2,45.577503918678,,0,1,3
LSM5*PLCB3,45.55258711166781,,0,1,3
ACLY*BMP4,45.54167232044284,,0,5,3
SH3BP5*TAOK2,45.536682478097006,,0,154,4
NFKBIE*TSTA3,45.4897560887356,,0,2,3
CASP7*FKBP14,45.201081938906725,,0,1,3
NARFL*SH3BP5,45.14412742691545,,0,3,3
RALA*RGS2,45.12319640565856,,0,1,3
ATP5G3*DNMT1,45.08938779434445,,0,1,3
ATF1*PAFAH1B3,45.08454593952239,,0,2,3
DLD*EGFR,45.03177458051737,,0,227,3
MRPL18*NRIP1,45.020545832138126,,0,1,3
HMGN1*PLCB3,44.89480414536834,,0,3,3
IARS2*NFKBIE,44.85578855716026,,0,5,3
PSMD4*STK10,44.67977012762788,,0,9,3
EAPP*SLC27A3,44.56402591764679,,0,377,4
ACAT2*RRP12,44.55702040932534,,0,8,3
DLD*STK25,44.49630460902445,,0,7,3
DDB2*EIF3E,44.45190986148441,,0,14,3
IGFBP3*NUP85,44.42850817223937,,0,1,3
FKBP14*TMCO6,44.39241925838134,,0,23,4
FRS2*RHEB,44.37632478047803,,0,8,3
DPH2*PIK3CA,44.33410095863671,,0,4,3
TMEM2*TSTA3,44.30204906861148,,0,391,4
DPH2*ETFB,44.12818670890766,,0,1,3
MTA1*SLC35A1,44.094688816219886,,0,1,3
ACAT2*CCNE2,44.08183698859583,,0,171,4
DYRK3*GALE,43.98137271469652,,0,194,4
EXOSC4*HSPA8,43.95723859814419,,1,1,2
HINT1*RRP12,43.89949373458457,,0,12,3
PAF1*RRP12,43.60550019380239,,0,34,3
PMM2*USP14,43.52539201448881,,0,9,3
ACLY*NOSIP,43.49041718972313,,0,31,3
ATP5G3*GTDC1,43.382856445931694,,0,4,4
CORO1A*EAPP,43.37613729369465,,0,2,3
CISD1*IER3,43.35553331428877,,0,1,3
MRPL18*PLCB3,43.35417285935477,,0,5,3
EIF3E*JOSD1,43.30920686644812,,0,4,3
EGFR*ELOVL6,43.22577267577612,,0,3,3
CDC42*CNPY3,43.20542671784392,,0,11,3
EGFR*PLCB3,43.202425806740855,690.0,0,32,3
ACAT2*MTHFD2,43.19862465252187,,0,5,3
ACBD3*HTRA1,43.10685863733283,,0,2,3
IFRD2*PSMB1,43.06092669972294,,0,3,3
MRPL18*RASA1,43.01703058111881,,1,1,2
BPHL*NPDC1,42.93770187354552,,0,110,4
RGS2*STK10,42.86905520103482,,0,412,4
SH3BP5*UBL5,42.84128594676262,,0,199,4
EZH2*HSPA8,42.71494427249017,221.0,0,265,3
HSPA8*SCAND1,42.679565804830176,,0,7,3
DUSP4*PLSCR1,42.67880837580206,,0,2,3
ACBD3*FKBP14,42.61906523056942,,0,3,3
NOL3*PLSCR1,42.54962067293517,,0,3,3
EIF3E*STK10,42.54940909297496,,0,6,3
LIPA*PHKG2,42.54929578962541,,0,2,3
POLR2I*SCARB1,42.4723558774433,,0,1,3
