interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
DUSP4*XBP1,60.37913652266688,,0,293,4
SOCS2*ZNF451,56.97132320283371,,0,1,3
ICAM1*PTPN12,56.67155685308413,,0,10,3
HSPA8*PGRMC1,56.350551363600914,,0,117,3
PSMD2*SH3BP5,55.58714986085233,,0,6,3
CD44*MEF2C,55.46752743044436,239.0,0,2,3
DNAJB6*PRAF2,55.05554659651173,,0,9,3
SH3BP5*TP53BP1,54.69585462271124,,0,3,3
NOLC1*SLC1A4,54.58082316179531,,0,4,3
MRPL18*XBP1,54.46909899703847,,0,406,4
PGM1*PGRMC1,54.24922513141414,,0,7,3
RGS2*WDR61,54.23052222828458,,0,6,3
MYCBP2*SH3BP5,53.98802474197775,,0,1,3
ADRB2*CD44,53.757009506296704,187.0,0,11,3
PLCB3*SLC27A3,53.72441156819342,,0,2,3
EPB41L2*MEF2C,53.438223966251485,,0,3,3
MAP2K5*SH3BP5,53.21277184697911,,0,1,3
PAPD7*PHKG2,52.84261380574589,,0,1,3
EAPP*HSPA8,52.82738117781052,,0,30,3
SH3BP5*TATDN2,52.68355136361916,,0,2,3
PIK3CA*SH3BP5,52.489146481638144,,0,1,3
CASK*PARP2,51.97419977941014,,0,6,3
MEF2C*STK10,51.79657252032556,,0,1,3
CGRRF1*HPRT1,51.27254195842758,,0,1,3
ELAVL1*SH3BP5,51.19015346827342,,0,5,3
COPB2*SCYL3,50.97838289451384,298.0,2,1,2
ACAT2*FGFR2,50.81078353554072,,0,1,3
PGRMC1*UTP14A,50.72334981427487,,0,16,3
ETS1*SH3BP5,50.63826531276789,,0,1,3
FBXO11*TCERG1,50.48978268462777,,0,9,3
CDC42*PLSCR1,50.37390287051951,,0,21,3
FGFR2*PLSCR1,50.37387471978259,,0,5,3
PGRMC1*PSMD2,50.14510649531491,,0,53,3
MCOLN1*RRP12,50.0547915297287,,0,2,3
ASH2L*NMT1,49.85786448900866,,0,13,3
RAB21*SH3BP5,49.6834858639169,,0,2,3
ERBB2*NMT1,49.53001301815267,,0,17,3
ATP6V1D*FGFR2,49.40803304384207,,0,1,3
CEBPZ*PGRMC1,49.34129591110633,,0,17,3
HNRNPA2B1*PRKACA,49.13330649882748,166.0,0,41,3
CLPX*USP6NL,49.04927737819328,,0,9,3
SH3BP5*USP14,48.92038854518175,,0,5,3
ADRB2*UBE2L6,48.79809628839973,,0,12,3
APBB2*CGRRF1,48.76427048685896,,0,5,3
SCYL3*VGLL4,48.67762778628165,,0,141,4
EGFR*FGFR2,48.41072406208468,477.0,0,107,3
FGFR2*PLCB3,48.3418588500421,639.0,0,1,3
NUP133*SCYL3,48.31173195628554,,0,6,3
RALA*SH3BP5,48.30562900336389,,0,2,3
IER3*USP6NL,48.21184024892317,,0,1,3
CBR1*TRAP1,48.195499773668445,,0,24,3
FOXO3*HERPUD1,48.18871249254708,,0,1,3
MAP7*NUDT9,48.159364228046265,,0,2,3
PIP4K2B*TXNDC9,48.15075740189587,,0,4,3
ACAT2*XBP1,48.062475303531855,,0,1,3
HPRT1*TCEAL4,48.05992621641209,,0,3,3
RGS2*RPS6,48.031668200611584,,0,10,3
CDKN1B*KDM5A,47.90640124567898,190.0,0,772,4
MAP4K4*PLA2G15,47.78977342027864,,0,2,3
ADRB2*PTPRK,47.76937892525071,,0,6,3
SH3BP5*SUPV3L1,47.72127564924564,,0,2,3
CCNE2*SMARCA4,47.68044186804494,453.0,0,4,3
CGRRF1*MAP4K4,47.56696955996506,,0,3,3
GRB7*INTS3,47.52590603309601,,0,1,3
CGRRF1*HSPA8,47.51174928271945,,0,21,3
OXA1L*RRP12,47.37378504724107,,0,16,3
ASH2L*MAP4K4,47.25891004077696,,0,17,3
PAFAH1B1*SH3BP5,47.20313449348491,,0,2,3
ACOT9*ST6GALNAC2,47.08679658066264,,0,61,4
BNIP3L*HDAC2,47.0423001221287,152.0,0,4,3
CCNF*ZNF451,47.03866385792591,,0,25,3
CGRRF1*POLE2,46.96484080816479,,0,1,3
NUDT9*SCARB1,46.93851814710827,,0,3,3
FYN*PCMT1,46.92186619207715,,0,19,3
SCARB1*WFS1,46.92021634135335,,0,20,3
GRB10*HERPUD1,46.91916436647389,,0,2,3
CDH3*CSRP1,46.86799733562118,,0,145,4
PLEKHJ1*PLSCR1,46.843413347902434,,0,1,3
NCK2*ZNF451,46.78869507790739,,0,4,3
FDFT1*RRP12,46.7774460502305,,0,15,3
USP6NL*VGLL4,46.70319828424118,,0,235,4
RNF167*TMCO6,46.689451607967975,,0,27,4
PLA2G15*PLSCR1,46.65845674533713,,0,155,4
ADNP2*XBP1,46.6154383819501,,0,1,3
PLSCR1*UBE2J1,46.56832527496453,,0,4,3
GNAI2*MEF2C,46.55964333601225,,0,3,3
CTSD*MAP4K4,46.52457526508621,,0,9,3
NNT*PCMT1,46.51882108542752,,0,23,3
EAPP*MAPK1IP1L,46.496377494569295,,0,2,3
CETN3*HSPA8,46.46551680873526,204.0,0,13,3
RRP12*TRIB1,46.41491984493534,,0,2,3
CHERP*SH3BP5,46.40099206497128,,0,2,3
ETV1*RASA1,46.39280540315575,,0,1,3
BPHL*HSPA8,46.32864167001382,,0,20,3
NUP85*WRB,46.26648079645784,,0,4,3
CD58*HERPUD1,46.24793431483761,,1,1,2
HMGN1*NUCB2,46.11159765707111,,0,4,3
CAMSAP2*PGRMC1,46.04738459073593,,0,7,3
DCUN1D4*UTP14A,46.018750920448,,0,2,3
SH3BP5*STK10,46.00647120500516,342.0,0,4,3
