interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
NMT1*PCM1,71.17125650141789,,0,18,3
NFKBIE*PIK3R4,67.59320645350964,,0,2,3
PIK3R4*SLC25A46,65.3538368229065,,0,4,3
MAP7*POLR2K,65.28551210262523,,0,7,3
LYPLA1*PIGB,65.13449011918445,,0,45,4
FRS2*NFKBIB,64.48722110295434,,0,1,3
IDE*UBE2L6,64.16840029625604,,0,2,3
CBR3*PTPRK,64.148999581261,,0,1,3
ATF1*KCTD2,63.84941915862783,,0,2,3
GRN*TP53BP2,63.56240376166801,,0,7,3
FGFR4*ICMT,63.53290070966925,,0,4,3
HIST2H2BE*ZNF274,62.49209494375189,,0,6,3
C2CD2L*FAM114A2,61.91482486919215,,0,13,3
DNMT3A*MFSD10,61.89414801188354,,0,184,4
GLOD4*RAB21,61.82545883851176,,0,6,3
RPN1*RRP12,61.39495763796876,,0,83,3
NSA2*PIK3R4,61.24930181474567,,0,10,3
GLOD4*TP53BP2,60.57357447843083,,0,4,3
BECN1*NPC1,60.181939279887786,454.0,0,6,3
BECN1*DHDDS,60.11386931913677,,0,1,3
ATMIN*PLA2G4A,60.037224965349736,,0,47,4
FZD1*GNAS,59.998383932155065,,0,174,4
STAP2*WDR61,59.646078205928575,,0,1,3
C2CD2*POLR2K,59.521296400318384,,0,298,4
GPATCH8*NSA2,59.521128521530805,,0,14,3
ATMIN*GRN,59.41168901451856,,0,168,4
ANXA7*PAF1,58.88216342904425,,0,6,3
DFFA*ECH1,58.83074732225716,,0,4,3
EVL*YME1L1,58.82847428157099,,0,2,3
IQGAP1*NFKBIE,58.66493727405845,,0,4,3
KIAA0100*NPC1,58.613701657224176,,0,6,3
IQGAP1*UBE2E1,58.505922276693006,,0,18,3
CBR1*TMEM2,58.17195266750946,,0,8,3
KAT6A*NSA2,58.14083000176397,,0,2,3
NR1H2*VPS28,58.05767613385748,,0,346,4
SATB1*UBE2L6,58.00117894980201,,0,3,3
ISOC1*TCTN1,57.97672853966971,,0,1,3
GLOD4*TXNDC9,57.900090309456886,192.0,0,4,3
FAM20B*SPAG7,57.54365543944799,,0,80,4
ACBD3*STK10,57.46010393195921,,0,11,3
PCCB*TCTN1,57.22906152238031,,0,1321,4
DHDDS*IQGAP1,57.189664775401525,,0,3,3
CTNNAL1*FGFR4,57.17186796302633,,1,1,2
FRS2*NSA2,57.16253960292424,,0,5,3
GLOD4*PDHX,56.83554184764101,,0,2,3
FAM114A2*RAD9A,56.805789146218416,,0,1,3
EVL*NGRN,56.75775136932232,,0,1,3
PLEKHM1*TMEM2,56.720638844631466,,0,5,3
PROS1*SPEN,56.719389709672136,,0,116,4
KAT6A*SLC25A46,56.71337127907418,,0,2,3
GRN*ZNF318,56.43580963356189,,0,4,3
COPB2*EBP,56.24767664523578,,0,24,3
GRN*SPEN,56.2311057263161,,0,6,3
IQGAP1*LYPLA1,56.225365337817394,,0,10,3
BECN1*TP53BP2,56.22161330783364,436.0,1,1,2
ASH2L*TGFB3,56.01843346345765,,0,123,4
ALDH7A1*ANXA7,55.93706516845669,,0,16,3
EPN2*KDM5B,55.8832059736312,,0,6,3
EGR1*GMEB2,55.72768400810168,,0,1,3
ALDH7A1*NDUFB6,55.633104804804205,,0,2,3
CETN3*DUSP3,55.472547850710015,,0,273,4
ANXA7*TP53,55.46286043160119,490.0,2,1,2
NDUFC1*THAP11,55.2241740676328,,0,27,4
BLMH*JUN,55.14728897489589,,0,9,3
GRN*RAB21,55.146161228008296,,0,11,3
CHAC1*STUB1,54.954373053298205,,0,152,4
ANXA7*DHRS7,54.87956915810638,155.0,0,4,3
COG4*UBE2L6,54.65574564849235,,0,3,3
COPB2*NFKBIE,54.48264263490998,,0,9,3
EPN2*HINT1,54.466167847279,,0,6,3
NMT1*ZNF318,54.455979714961245,,0,9,3
KIAA0100*KIAA0355,54.40579100902722,,0,2,3
FRS2*PAF1,54.35591044566112,,0,4,3
CCNE2*CDC25B,54.18978308392694,734.0,0,3,3
BLVRA*MYCBP2,54.18026093661996,,0,10,3
LAP3*SENP6,54.11966115352211,,0,2,3
EML3*LYN,54.08140485714749,,0,5,3
BAMBI*DNAJA3,53.95238420142888,,0,1,3
DNMT3A*FOXJ3,53.9429784111628,,0,3,3
KIAA0355*PAFAH1B1,53.89697379612098,,0,8,3
EPN2*TARBP1,53.81127624918026,,0,1,3
NSA2*ZNF395,53.7899283635162,,0,459,4
PDLIM1*SLC2A6,53.71098203932183,,0,50,4
ITFG1*RNH1,53.699226868013895,,0,24,3
NSA2*RB1,53.69375695844626,,0,15,3
CYTH1*SOX4,53.48956969252583,,0,226,4
FAIM*FZD1,53.45271278826883,,0,15,4
BAMBI*GALE,53.44776686043251,,0,34,4
CASK*KLHL9,53.39243376308485,,0,4,3
ACBD3*DUSP3,53.33844136695675,,0,7,3
CD40*LSR,53.30592197195304,,0,1,3
CETN3*NDUFC1,53.16791605311879,228.0,0,25,4
FAM20B*STK10,53.11694778876515,,0,1,3
MFSD10*NSA2,53.00176198457092,,0,2,3
CNPY3*LYPLA1,52.98079284655162,,0,3,3
GLOD4*MRPL19,52.95418446769804,323.0,0,6,3
CCNF*MCOLN1,52.91638310084757,,0,3,3
FCHO1*IGFBP3,52.859204662921016,,0,159,4
TCTN1*ZMYM2,52.75975224503844,,0,4,3
RAC2*TMEM2,52.74734212402676,,1,1,2
