interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
RTN2*VAV3,96.52473075676184,,0,146,4
BHLHE40*RRP8,91.77024321632874,,0,4,3
PTPRC*STX1A,91.65627965619112,,0,107,4
SATB1*SUCLG1,89.79637895575766,,0,3,3
AMDHD2*CBLB,89.21625360596306,,0,1,3
GAPDH*KAT6A,89.09203883235934,198.0,0,12,3
MBNL2*STX1A,88.76594782806308,,0,154,4
CSNK1E*SSBP2,88.39108230545932,,0,2,3
EBNA1BP2*SPAG4,88.17930876177667,169.0,0,1,3
IKBKE*KAT6A,87.81447568740663,,0,3,3
IKBKE*POLB,87.47325090544211,,0,467,4
ACD*SLC2A6,85.72151894502149,,0,74,4
EAPP*PARP1,85.67640427551541,,0,22,3
ADNP2*SEC11A,85.17209747967428,,0,275,4
BID*MBNL1,84.89901687978914,,0,2,3
PARP1*TIMM9,84.66588193221153,,0,11,3
AKT1*IKBKE,84.5753157041851,191.0,0,33,3
GNA15*PPP2R3C,83.88427285030437,,0,31,4
MAP4K4*MSRA,83.71747317088952,,0,2,3
FKBP4*NUP62,83.70357754450602,709.0,0,25,3
PIH1D1*UQCR10,82.74851655678668,,0,7,3
ATP6V0B*BHLHE40,82.74797722124,,0,1,3
MBNL2*RRP12,82.2594556560538,,0,4,3
NSDHL*TIMM9,82.05389476025033,,0,3,3
CDCA4*MSH6,81.76744339923158,,0,3,3
DCUN1D4*RRP12,81.64423018857259,,0,4,3
BHLHE40*RRP12,81.56674211870333,,0,6,3
EBNA1BP2*RAC2,81.38351816986778,,0,15,3
CALM3*EZH2,81.27207575666311,,0,36,3
EPN2*HSD17B10,81.22367576627114,,0,14,3
MSH6*TIMM9,81.12237914023443,,0,2,3
DAG1*TIMM9,80.89882725144363,,0,2,3
BTK*STX1A,80.60075647775051,,0,1,3
NOLC1*S100A13,80.46310126105173,,0,1,3
GAPDH*RFNG,80.22257616158713,,0,17,4
BIRC2*IKBKE,80.2090562041563,553.0,2,1,2
BAD*BCL2,80.14572671518997,995.0,14,1,2
ACD*MMP2,79.95336993224032,,0,182,4
MVP*USP6NL,79.55652637022283,,0,8,3
ATP11B*SPTAN1,78.99087054451607,,0,2,3
BTK*MTFR1,78.72625052568738,,0,1,3
DAG1*UQCR10,78.70581242282319,,0,4,3
GAPDH*SGCB,78.6884020459483,194.0,0,2,3
ATP11B*PRAF2,78.66667676730671,,0,1,3
GABPB1*GAPDH,78.6230996766188,228.0,0,4,3
EBNA1BP2*RAB31,78.58390340477348,,0,2,3
CEBPD*KIAA1033,78.58116436745854,,0,2,3
MYC*PRKAG2,78.49417520200005,,0,23,3
GNAS*TCTN1,78.48232580149204,,0,4,3
AMDHD2*CEBPD,78.42596974927596,,0,69,4
ATP11B*PARP1,78.3065505901852,,0,3,3
CEBPD*RASA1,78.22375604507648,,0,2,3
MTFR1*NOL3,78.18999747695429,,0,152,4
DAG1*NIPSNAP1,78.09132359505426,,0,10,3
NDUFA3*RAB4A,78.06504465324281,,0,4,3
CEBPD*NPDC1,78.0512543517155,,0,3,3
CALM3*CDCA4,78.02077351427519,,0,1,3
PLCB3*PRKAG2,77.9579709684214,,0,246,4
BAD*EIF3L,77.74457690533856,,0,3,3
CFLAR*P4HA2,77.64997884995012,,0,1,3
PHKG2*TMEM5,77.46635754757743,,0,62,4
DMTF1*GAPDH,77.45153110060987,,0,3,3
SLC1A4*ZDHHC6,77.17974194417013,,0,4,3
FOXO4*ISOC1,77.16246383203959,,0,1,3
CHN1*EZH2,77.0505273557592,,0,4,3
APOE*STX1A,77.01974653772103,,0,2,3
HINT1*PARP2,76.90805289861464,,0,5,3
CALM3*CAMSAP2,76.86114633094715,,0,13,3
EAPP*MSH6,76.64820282203999,,0,8,3
CEBPD*EBNA1BP2,76.63531805837188,230.0,0,6,3
CD320*MBNL1,76.49006547756129,,0,1,3
CBLB*PTPRC,76.4515354962376,,0,3,3
PARP1*SUCLG1,76.39805219168662,,0,26,3
CBLB*FAM63A,76.03410220228201,,0,1,3
CFLAR*SLC27A3,75.85779024671773,,0,1,3
JOSD1*SUV39H1,75.79815307239123,,0,4,3
ACAT2*HOXA10,75.790926668477,,0,202,4
NSDHL*PSME2,75.77861472118099,,0,5,3
CGRRF1*MSH6,75.62837198573214,,0,1,3
GAPDH*PAFAH1B1,75.58445875218483,218.0,0,39,3
FGFR2*SQSTM1,75.46542064149777,,0,29,3
BNIP3L*SLC1A4,75.3302078757286,,0,1,3
BHLHE40*EBNA1BP2,75.300257834769,,0,6,3
ETFB*MVP,75.1900368814485,,0,4,3
RRP8*SPAG4,74.98103957283402,,0,160,4
HMGCR*SPAG4,74.94880046387351,,0,189,4
GAPDH*NMT1,74.83188108780531,186.0,0,33,3
NSDHL*USP1,74.7245289569876,,0,1,3
SFN*SPAG4,74.68816540645238,,0,1,3
CRELD2*EZH2,74.65256668317348,,0,3,3
KCTD5*USP6NL,74.52002360364067,,0,8,3
EBNA1BP2*IFNAR1,74.42180213153958,,0,2,3
CDC42*GNA15,74.40871048208425,366.0,0,693,4
EBNA1BP2*MBNL2,74.3787466686847,,0,4,3
ATP11B*PAN2,74.29414423755436,,0,1,3
JOSD1*NENF,74.22043320161363,,0,168,4
STX1A*TM9SF2,74.08380008433389,303.0,0,2,3
CORO1A*NOLC1,73.96428755152556,,0,10,3
DECR1*GAPDH,73.89975782265702,251.0,0,20,3
MYC*SPAG4,73.80296211188988,165.0,0,3,3
