interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CFLAR*MBNL1,115.68818741758304,,0,2,3
ETFB*TMEM97,104.0133472968468,,0,7,3
NVL*VAT1,98.43266319399154,,0,9,3
EBNA1BP2*POLE2,97.22329209027544,,0,5,3
CFLAR*IKBKE,95.01808035197654,248.0,0,6,3
POLG2*SLC35F2,94.6541670304968,,0,136,4
C2CD2L*TSPAN4,93.935267914428,,0,1,3
CFLAR*MSH6,93.1814745986255,,0,4,3
FRS2*TMEM50A,92.7872099210329,,0,1,3
HOXA10*MRPS2,92.3215350047272,,0,713,4
PMF1*VAV3,90.26590954675038,,0,2,3
VAV3*WDTC1,90.17793078404505,,0,2,3
CRYZ*PARP1,89.69418901174504,,0,20,3
MAP4K4*SOX2,89.46976151837765,,0,33,3
IGFBP3*RRP12,88.05485772361862,,0,3,3
CFLAR*TOPBP1,87.79065923097676,,0,3,3
CCDC92*TERF2IP,86.80959554369325,,0,1,3
JUN*KTN1,86.46268661977108,,0,23,3
EBNA1BP2*NFE2L2,86.4341995110518,,0,12,3
BACE2*SRP14,86.18182158791797,,0,1,3
CBLB*PMF1,86.14393407965449,,0,1,3
PHKG2*PLS1,86.02306707276638,,0,2,3
NOL3*POLB,85.94081445683985,,0,2,3
FRS2*UFM1,85.7578479262475,,0,1,3
KIT*MRPL19,85.43158006982992,,0,544,4
EBNA1BP2*FGFR2,84.78211193846882,,0,6,3
EZH2*HMOX1,84.39528968666488,,0,5,3
BHLHE40*TATDN2,84.24911115775977,,0,2,3
MCOLN1*NVL,84.16093007446813,,0,95,4
BACE2*RRP1B,84.038687579992,165.0,0,2,3
ETFB*GAPDH,83.7041895905081,237.0,0,42,3
HAT1*VAV3,83.55987400020722,,0,4,3
CALM3*MVP,83.46708214946042,,0,10,3
TIMM17B*VAV3,83.37804546244314,,0,1,3
PARP1*SLC35A1,83.16025533765912,,0,9,3
EBNA1BP2*KCNK1,82.80097310202221,,0,1,3
SLC25A13*SSBP2,82.5714129685241,,0,1,3
RAB21*VAV3,82.449484494107,,0,3,3
CBLB*ISOC1,82.42258166894192,,0,1,3
CFLAR*ZW10,82.41891299468375,,0,1,3
CFLAR*PLSCR1,82.17660966840795,,0,2,3
CEP57*CFLAR,82.05859949363801,,0,2,3
EDEM1*KIAA0355,81.9906238386061,,0,3,3
MTA1*MVP,81.79939970177867,,0,12,3
ADH5*LYPLA1,81.72805839193649,,0,2,3
ADH5*EBNA1BP2,81.32379723078404,,0,5,3
PDIA5*RTN2,81.14047618123647,166.0,0,1,3
MTA1*STX1A,81.03077323404285,,0,3,3
PHKG2*RRP8,80.98722912132894,,0,4,3
CRYZ*PHKG2,80.89729775509062,,0,1,3
AURKA*SNX13,80.82018549561904,,0,426,4
HMOX1*NSDHL,80.80006414444242,,0,18,3
GNA15*NFE2L2,80.51357803518317,,0,111,4
PARP2*VAV3,80.45172554036564,,0,4,3
PUM2*SLC25A13,80.39657831215621,159.0,0,15,3
EDEM1*MBNL1,80.17470839897715,,0,10,3
EZH2*FPGS,80.0910298600203,,0,3,3
KTN1*PYGL,80.06440915069405,,0,14,3
SLC35B1*VAV3,79.7981604821359,,0,1,3
DAXX*SPAG4,79.5430039743054,,0,1,3
CFLAR*EED,79.52320282025524,,0,4,3
MAN2B1*PARP1,79.48359952894918,,0,7,3
MBNL2*TGFB3,79.35097288571859,,0,1,3
MBNL1*MYC,79.26881589089834,245.0,0,77,3
JUN*SPECC1L,79.19561242699743,,0,16,3
ACD*TMEM5,79.09235604521321,,0,38,4
ATP2C1*MBNL2,79.05703522553404,,0,2,3
CRYZ*UFM1,78.91969663185726,,0,3,3
CBLB*TOPBP1,78.76237108564514,,0,3,3
CCP110*CRYZ,78.73783871774312,,0,5,3
SLC2A6*SNX11,78.6740565908664,,0,34,4
SLC35B1*TMEM50A,78.67091442846258,,0,1,3
MYC*PLSCR1,78.62801542990206,372.0,0,29,3
EBNA1BP2*PLS1,78.60229158476464,,0,14,3
HMOX1*KTN1,78.59968935212568,,0,15,3
RPA2*TMEM50A,78.57444433642154,,0,1,3
GSTM2*SLC27A3,78.51853812381164,,0,1,3
RAB21*UBE3B,78.4612590148324,,0,3,3
CASP3*SPAG4,78.36676275216992,,0,104,4
PRAF2*TMEM50A,78.16421993602897,,0,4,3
EBNA1BP2*TMEM5,78.1234405655193,,0,175,4
LGMN*PHKG2,78.10987141411736,,0,2,3
GNA15*GPC1,78.02937093717526,,0,136,4
CRYZ*VAPB,77.8083420623455,,0,11,3
MYC*ZW10,77.6940080707004,163.0,0,35,3
AXIN1*PHKG2,77.61704454253551,,0,5,3
DLD*UGDH,77.61672046200727,229.0,0,20,3
KIAA0100*SEC11A,77.57337734175121,,0,2,3
BHLHE40*STAT3,77.46558391166255,773.0,1,1,2
CSNK1E*STX1A,77.46384602122062,227.0,0,1,3
AXIN1*CDK5R1,77.38235395972944,,0,7,3
STX1A*SUV39H1,77.31842228230303,,0,3,3
LGMN*NARFL,77.28977297867816,,0,1,3
HDAC2*SLC27A3,77.2736860137378,,0,9,3
CIRBP*SPAG4,77.25401098856132,,0,2,3
DCUN1D4*TRIM2,77.14185336529266,,0,2,3
DNAJB2*NCOA3,77.12324065391476,,0,4,3
DUSP22*PSIP1,77.10058610629453,,0,1,3
CDC42*RAB4A,77.02516360120836,187.0,0,188,3
MOK*MYC,77.01978156889403,213.0,0,10,3
