interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
MAPKAPK5*PSME2,135.39601414781538,,0,3,3
PRSS23*SQSTM1,133.98392582485863,,0,12,3
CHMP6*HAT1,130.73513059924213,,0,6,3
KDM5B*NSA2,122.4518340874328,,0,7,3
GNAI2*KDELR2,115.6647197544599,193.0,1,1,2
COG7*NOTCH1,115.02287450613088,,0,2,3
DDIT4*TPM1,114.25798703678628,,0,3,3
CLPX*KCNK1,114.15743474670444,,0,2,3
PRKAG2*SLC1A4,114.01264522291984,,0,162,4
HK1*UTP14A,113.63425728075244,,0,14,3
CEBPD*IKBKE,112.27711688456972,212.0,0,5,3
PAK6*USP14,112.03680301709906,161.0,0,12,3
NOTCH1*RNPS1,112.01240828780868,,0,22,3
CSRP1*DDIT4,110.86371870485812,,0,3,3
EIF3E*TMEM2,109.51031475237788,,0,9,3
ACOT9*TGFB3,108.5023181609628,,0,73,4
ACOT9*KDELR2,107.24887064490557,,0,6,3
PIK3R4*ZNF586,107.22676300877704,,0,6,4
ACOT9*HTRA1,106.8454514671568,,0,2,3
EIF3E*KCTD2,106.59719951515856,,0,13,3
CHMP6*TOPBP1,106.24278639960217,,0,6,3
CCDC92*LRRC41,106.16963913726354,,0,458,4
PTGS2*YTHDF1,106.04545208373467,,0,3,3
BIRC2*NARFL,104.9662900110967,,0,2,3
DDIT4*MYL9,104.7594607646909,,0,1,3
DSG2*HIST1H2BK,104.73281006105933,,0,13,3
CSNK1A1*ITGB5,104.64238373351652,,0,10,3
CD320*PRKAG2,104.0096516568621,,0,95,4
AFG3L2*PIK3C2B,103.68936072111036,,0,9,3
GOLT1B*NARFL,103.3211592346308,,0,1,3
HYOU1*INTS3,103.21598462981272,,0,13,3
HAT1*PIGB,103.15393983015072,,0,199,4
CCNF*GOLT1B,102.79583011788148,,0,69,3
IGF2R*ZNF451,102.4928509510191,,0,4,3
PRKCD*RHOA,102.46375703555032,676.0,1,1,2
PHKG2*RALGDS,102.1751503250812,,0,156,4
SLC5A6*VAV3,102.14585063516355,,0,2,3
CASP7*PHKG2,101.89260553924514,,0,3,3
ANKRD10*RALGDS,101.64639957366887,,0,45,4
RPL39L*TRAK2,101.42699231962683,,0,9,4
BID*HAT1,101.3665137440622,,0,5,3
DNMT1*POP4,100.94859740393882,,0,6,3
CYTH1*NOTCH1,100.89282077167546,,0,2,3
CALM3*MTHFD2,100.72148525229466,,0,6,3
NOTCH1*ZNF586,100.66006911032017,,0,11,4
EIF5*TCFL5,100.6563018337539,,0,1,3
ERBB2*HSPB1,100.63611429972474,478.0,0,85,3
MYCBP2*PPIE,100.58548931918718,,0,14,3
HTRA1*MBTPS1,100.14870512155596,175.0,0,3,3
BRPF1*TMEM2,99.995580239544,,0,1,3
IGF2R*UTP14A,99.88341866148096,,0,15,3
ACOT9*HINT1,99.87300260780204,,0,19,3
LOXL1*PAFAH1B2,99.36181443911155,,0,54,4
LYPLA1*POLB,99.28254795432642,,0,2,3
ITFG1*RALA,99.28020854717342,,0,15,3
C2CD2*NOTCH1,99.27109204108449,,0,13,3
ATP5B*UXT,99.19577228518176,,0,10,3
INTS3*POLB,99.12207919164982,185.0,0,10,3
DNAJB2*UBE2E1,99.10153526126204,,0,13,3
ACLY*EIF3E,99.07968754964308,,0,56,3
ITFG1*NR3C1,98.78485573748432,,0,73,3
LBR*PTPN12,98.77714711234955,,0,9,3
GLI2*PYGL,98.615942962407,,0,2,3
EXOSC4*FDFT1,98.54723372675628,,0,6,3
CDK6*PIP4K2B,98.22489964208468,,0,3,3
HOOK2*PTGS2,98.19840580442916,,0,329,4
SPTAN1*TMEM2,98.12860362181672,,0,50,3
MYCBP2*RPA2,97.8771331676878,,0,22,3
GFPT1*SATB1,97.84030095291853,,0,6,3
NARFL*SLC25A46,97.73824934972112,,0,729,4
FRS2*PMF1,97.6685490329242,,0,2,3
HYOU1*KAT6A,97.66532055093474,,0,3,3
ITFG1*S100A13,97.65735505073891,,0,1,3
GSTM2*P4HA2,97.48504899779468,,0,3,3
MAPKAPK3*SSBP2,97.46408475853092,,0,151,4
CALU*GRB10,97.37603068166209,,0,13,3
DLD*MRPS2,97.31550435373698,,0,34,3
TIPARP*VAV3,97.22693283965182,,0,13,3
IKBKG*KIT,97.13517839016994,,0,10,3
DDIT4*LOXL1,97.08061252820828,,0,23,4
AXIN1*RALGDS,96.976009198511,,0,3,3
NARFL*SLC35A3,96.9026320099916,,0,1,3
AXIN1*NOTCH1,96.88226244673972,979.0,0,17,3
ABL1*TMEM2,96.8259175083018,,0,2,3
ACOT9*PDGFA,96.7472281572004,,0,1,3
MYC*MYL9,96.72280090002867,263.0,1,1,2
PRSS23*VAV3,96.60351544174615,,0,231,4
EED*STK25,96.58330032060243,154.0,0,7,3
PHKG2*SYPL1,96.38589155837992,,0,1,3
EBP*PLCB3,96.35383806924348,,0,5,3
CASP7*NCK2,96.24647464545892,,0,609,4
HAX1*RPA1,96.07524962542618,,1,1,2
LRRC41*SNX11,96.06964848799056,,0,1,3
MRPL19*RTN2,95.98369308047708,,0,264,4
CANT1*GAPDH,95.88386430338034,,0,6,3
CLPX*RTN2,95.83177215185908,,0,397,4
PLOD3*TNIP1,95.79975191289644,,0,6,3
FGFR2*HAT1,95.71331542579092,,0,4,3
POLB*TCEA2,95.62487503634487,,0,3,3
HOXA10*P4HA2,95.51793869975089,,0,293,4
