interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CYCS*RAD9A,13.408483451502452,,0,4,3
GDPD5*MTHFD2,12.2709313553755,,0,1,3
PAFAH1B3*TBPL1,11.339562554973718,,0,5,3
CYCS*GMEB2,11.30020356430455,,0,486,4
GFOD1*NOLC1,10.7022476598966,,0,4,3
JMJD6*PAK4,10.648555438661257,,0,6,3
CTNND1*CYCS,10.646000775607646,,0,17,3
IGF1R*RPA2,10.641774918260934,,0,44,3
CYCS*PPARD,10.527223992172232,,0,2,3
MAPK1IP1L*MAT2A,10.315265030519448,,0,6,3
C2CD5*INPP1,10.157795598870829,,0,1,3
COL4A1*ORC1,10.114737956329428,,0,2,3
GFOD1*MTFR1,10.043557307759556,,0,1,3
CDK6*GATA2,10.00098390170043,245.0,0,16,3
NPRL2*PROS1,9.977112332910664,,0,107,4
NCAPD2*PLA2G15,9.944667994747046,,0,3,3
C2CD2*HPRT1,9.85718047566372,,0,3,3
SCCPDH*TIMP2,9.854863616529196,,0,371,4
MTHFD2*RAD9A,9.826134233929515,,0,1,3
C2CD5*TIMP2,9.810781577727589,,0,209,4
ARNT2*HOXA5,9.73380507330292,,0,222,4
DDIT4*SMC4,9.71488135156201,,0,1,3
TNFRSF21*TOP2A,9.640574762772042,,0,2,3
INPP1*RBM15B,9.602927869653312,,0,1,3
PAK4*PRKCQ,9.524214736876662,,0,7,3
C2CD5*PROS1,9.499019485631846,,0,75,4
PHKA1*ZNF274,9.457561696863724,,0,75,4
C2CD5*RAB11FIP2,9.426300256535477,,0,1,3
CDK1*TLE1,9.41707238343794,278.0,1,1,2
FIBP*MTFR1,9.414136041720544,,0,294,4
BACE2*SLC35B1,9.40904286264628,,0,146,4
CCT7*TAOK2,9.401187373727534,,0,11,3
PARP2*SUPV3L1,9.39488224778501,,0,3,3
CYCS*SRC,9.35802002706605,628.0,0,15,3
MEF2C*PIK3C3,9.322595269395247,,0,1,3
NOP16*PAK4,9.311651117864,,0,11,3
ABCF1*BUB1B,9.290591166637729,,0,14,3
PROS1*RBKS,9.28944272651868,,0,20,4
MRPS2*SPP1,9.25204295127566,,0,1470,4
ABCC5*TBPL1,9.246492564950348,,0,1,3
INPP1*NRIP1,9.20281353307792,,0,2,3
CCNF*TNFRSF21,9.200758312712654,,0,6,3
COPB2*GFOD1,9.192735118416977,,0,7,3
MBOAT7*SUPV3L1,9.187678613364527,,0,7,3
TIPARP*TMCO6,9.18226603239106,,0,862,4
COL4A1*TOP2A,9.179858936261896,152.0,0,2,3
PROS1*RBM15B,9.174647075016866,,0,108,4
IGF2R*RAE1,9.139889695719804,,0,20,3
CTTN*NFKBIB,9.129420437293971,,0,3,3
COG4*SLC35B1,9.124280573478172,,0,3,3
COG4*RAE1,9.115698283901716,,0,13,3
DRAP1*TLE1,9.08970417698362,,0,3,3
CCP110*PROS1,9.085775128125286,,0,132,4
SRP14*TXLNA,9.085029257411538,,0,21,3
IGF1R*TGFB3,9.076988368198387,365.0,0,190,4
PPARD*RAE1,9.070313424536613,,0,2,3
ADAT1*CTTN,9.062463911618106,,0,3,3
PAFAH1B3*SPP1,9.061574506729071,,0,3,3
HOXA5*PIK3C3,9.053868899236017,,0,1,3
NR3C1*NRIP1,9.017100075268337,868.0,8,1,2
LBR*PIK3C2B,9.015885538888458,,0,7,3
INSIG1*SCRN1,9.012171999626023,,0,2,3
NUP133*ST3GAL5,9.00359833212058,,0,1,3
DNAJB2*STAMBP,8.996367964713635,,0,4,3
CCNF*VPS72,8.9873872932497,169.0,0,28,3
ABCF1*NOL3,8.986201522371315,,0,5,3
CTNND1*LGMN,8.982029418529056,,0,9,3
CYCS*STX1A,8.980499949049424,,0,2,3
COX8A*FOSL1,8.9200425217526,768.0,0,1,3
IGF1R*PROS1,8.855699016156903,154.0,0,8,3
MVP*PIK3C3,8.844381227718216,,0,7,3
ACOT9*PAFAH1B3,8.83012776427768,206.0,0,8,3
BAX*NR1H2,8.81441787813214,,0,1,3
CHIC2*PAFAH1B3,8.813114831621029,,0,157,4
SPP1*SUPV3L1,8.791806430039067,,0,781,4
C2CD2*MTFR1,8.791572300785447,,0,1,3
MAT2A*MTFR1,8.790507478761814,,0,2,3
CTNND1*RFC2,8.78998516209256,,0,28,3
FBXO11*NDUFA3,8.782545098293198,,0,299,4
BRPF1*ERBB2,8.773285429781863,,0,4,3
ABCF1*P4HA2,8.757288695718344,,0,6,3
ADAT1*TM9SF3,8.745980259287888,,0,2,3
CDK5R1*ERBB2,8.735460335307245,,0,10,3
COPB2*GDPD5,8.73454726126994,,0,2,3
MLEC*RNH1,8.692225793110335,,0,10,3
ELOVL6*TBX2,8.688519366760524,,0,13,4
CYCS*MRPS2,8.68669935526475,,0,10,3
CCNF*SLC25A4,8.659664030198474,,1,1,2
GMEB2*KDELR2,8.629487427132089,,0,2,3
ALDOA*GDPD5,8.627677147260856,,0,2,3
AFG3L2*PXN,8.614612072792877,,0,19,3
CANT1*KDM5A,8.601759949071784,,0,147,4
GABPB1*TRIB3,8.60090773134435,,0,8,3
CTTN*CYCS,8.582436326192976,,0,23,3
CLSTN1*GMNN,8.568186960500949,,0,1,3
NRIP1*PROS1,8.550580484069345,,0,88,4
GDPD5*SMC4,8.546081720062249,,0,2,3
PROS1*SLC1A4,8.54267343575974,,0,33,4
ABCC5*GTPBP8,8.53824162709248,,0,82,4
ADAT1*DNAJB2,8.519105081444936,,0,143,4
