interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
BAD*COX8A,12.82181506552334,154.0,0,6,3
CCNH*MAPKAPK5,12.666470544788686,,0,2,3
CYCS*DYNLT3,11.93548325810281,,0,2,3
CYCS*DNAJB6,11.51191779421256,,0,15,3
ARHGEF12*HMGCS1,11.499145289865336,,0,5,3
HOXA5*LGMN,11.456246467347649,,0,295,4
PAK4*RBM15B,11.160100808493098,,0,10,3
DNM1L*LSM6,11.1125264246457,,0,6,3
ALDOC*PROS1,11.00429372012704,,0,117,4
DNM1L*RHOA,10.987916739655097,521.0,0,59,3
PCNA*PIK3C3,10.927271970639383,297.0,0,15,3
IGF1R*PRR7,10.78429761045968,,0,2,3
MAPKAPK5*SACM1L,10.660622513949022,,0,3,3
RPN2*SACM1L,10.610373691355656,,0,54,3
CYCS*DLD,10.585103419217234,908.0,0,22,3
RBKS*SMC4,10.521579927526298,,0,1,3
HACD3*KLHDC2,10.494105547998322,,0,0,0
CYCS*FIS1,10.43558593884551,733.0,0,7,3
CDKN1B*PCNA,10.433249446131445,462.0,0,31,3
C2CD5*TOPBP1,10.369955532510652,198.0,0,3,3
HOXA5*IGF2R,10.355949202887832,,0,5,3
DNM1L*SACM1L,10.337464387555496,355.0,0,15,3
DNAJB6*PGAM1,10.313043412731822,,0,20,3
NFKBIB*PTK2B,10.254384547246216,,0,2,3
ACOT9*HOXA5,10.24283004038226,,0,3,3
EGFR*HOXA5,10.195544115030687,307.0,0,30,3
BCL2*TOP2A,10.179556142935091,,0,18,3
CYCS*SCP2,10.15803726401762,,0,11,3
C2CD2*HOXA5,10.131170099063969,,0,1,3
ALDOA*DNAJB6,10.119176056546362,,0,36,3
DUSP11*MEST,10.105873780993909,,0,1,3
MTX2*SACM1L,10.01820849765706,,0,10,3
GMNN*PIK3C3,9.93393636436356,,0,7,3
GABPB1*SYF2,9.915163215091273,,0,2,3
IGF1R*TOP2A,9.896727245771542,283.0,0,33,3
PCNA*SACM1L,9.881942373987028,,0,24,3
CRTAP*CXCR4,9.862550321128364,,0,1,3
EVL*GMEB2,9.78183798029719,,0,172,4
ALDOA*BNIP3L,9.74278707643859,200.0,0,3,3
GMEB2*IGF1R,9.727614849605436,,0,1,3
ALDOC*HOXA5,9.719911758089602,,0,1,3
ST3GAL5*TBX2,9.679254137800475,,0,12,4
JADE2*RAD9A,9.675879989384809,,0,2,3
LSR*NPRL2,9.649099081776804,,0,2,3
GMEB2*ZNF589,9.648821720226485,,0,1,3
C2CD5*SMC4,9.638307191103442,,0,10,3
EXOSC4*RAB31,9.635503325290864,,0,3,3
HAT1*PCNA,9.619324268807311,831.0,0,43,3
CCNF*NPRL2,9.6131518749941,,0,44,3
ATP2C1*DNAJB6,9.612581574382192,,0,9,3
EVL*PAK4,9.605940666546498,206.0,0,6,3
DDIT4*RPA2,9.55253692678404,,0,6,3
SORBS3*YTHDF1,9.539580032982698,,0,9,3
IKBKB*PAFAH1B3,9.53156306466679,,0,4,3
FAS*SLC25A13,9.518960340906215,,0,19,3
HSPD1*PCBD1,9.505775111121464,,0,14,3
HSD17B11*LGMN,9.494421590088136,,0,7,3
NOP16*NPRL2,9.402226816332796,,0,2,3
KDM3A*SACM1L,9.394736904278355,159.0,0,2,3
ACD*HOXA5,9.375242986363602,,0,3,3
CTTN*IKBKB,9.372489437142082,,0,17,3
CTSD*TIPARP,9.361165716423638,,0,24,3
ARID4B*GATA3,9.35149482549875,,0,16,3
MTHFD2*MYCBP,9.348930734049343,,0,4,3
EDN1*PROS1,9.336946493013404,,0,4,4
NFE2L2*TBPL1,9.336222566965208,,0,5,3
DNM1L*IQGAP1,9.332650071988482,,1,1,2
DNTTIP2*ICAM1,9.330152815001089,,0,16,3
PCM1*PRR7,9.294876206326826,,0,143,4
ADH5*MRPL18,9.274934404882895,,0,1,3
CRYZ*CYCS,9.245086123712458,380.0,0,8,3
EIF4EBP1*NRIP1,9.244029422660205,,0,2,3
CCNH*HSPA1A,9.23288630217154,,0,17,3
PSRC1*RBKS,9.210020843351185,,0,46,4
PCNA*RHOA,9.200783317067206,,0,75,3
CRTAP*MAPK1IP1L,9.191978431836835,,0,243,4
KDM5B*NUP133,9.191352834878584,,0,9,3
CEP57*PCNA,9.185501185572882,,0,9,3
IGF1R*PAK4,9.172128654393118,,0,31,3
ARHGEF12*COL4A1,9.154164988349088,,0,2,3
NVL*PPP2R5A,9.14130017880073,,0,3,3
TCEA2*TOMM34,9.138564489786583,,0,2,3
EDN1*HOXA5,9.130603663328092,,0,16,4
CCNB1*RPA2,9.112045877964462,464.0,1,1,2
DMTF1*PAFAH1B3,9.10172207567248,,0,1,3
GDPD5*PROS1,9.096378991251685,,0,29,4
CCNH*DNM1L,9.08763882089609,,0,12,3
RAB27A*RAE1,9.080534267315285,,0,9,3
CDCA4*IGF1R,9.06899476601166,,0,1,3
BCL2*TIMELESS,9.063845136025948,,0,5,3
GLI2*IGF2R,9.048660675030712,,0,3,3
MRPS2*SPTAN1,9.047015072323877,,0,24,3
CEP57*MAPKAPK5,9.036638831030734,,0,1,3
HDAC2*SACM1L,9.034451199975445,221.0,0,20,3
LIPA*SPP1,9.032996750711607,,0,254,4
MYO10*SACM1L,9.02763937795264,,0,7,3
MLEC*PAICS,9.013795416114164,,0,14,3
C2CD5*STX1A,8.993688076197675,,0,1,3
CYB561*IGF1R,8.993151147593997,,0,3,3
GATA3*SMC4,8.990540810194942,,0,14,3
