interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
EGFR*ISOC1,11.535160336781356,,0,31,3
CPSF4*EIF3E,11.511124357572395,,0,17,3
CCND1*CDH3,10.795093275031585,407.0,0,468,4
GHR*ID2,10.674757137205871,,0,1,3
HSPD1*MYCBP2,10.023593060895266,,0,44,3
EGFR*FAT1,9.970871896244624,634.0,0,37,3
CD320*HNRNPA2B1,9.86391982955516,,0,5,3
EGFR*NUP88,9.712045241460912,,1,1,2
CD320*TSC22D3,9.64321631282887,,0,1,3
GALE*UBL5,9.621615094302555,,0,2,3
CDH3*ISOC1,9.588172588059866,,0,138,4
DUSP4*MAP7,9.579076313785851,,0,2,3
GATA2*UBR7,9.399060948622695,,0,1,3
CCDC85B*MAPK9,9.357701923487516,,0,9,3
CCNH*ITGAE,9.3191403434084,,0,70,4
ARFIP2*GNAI1,9.275763895926156,185.0,0,3,3
DNAJB1*POLD4,9.194132473872788,,0,1,3
ELOVL6*GPATCH8,9.100752987021584,,0,1,3
HAX1*USP22,9.094295859208971,,0,8,3
VAV3*ZNF131,9.09323249372167,,0,2,3
ISOC1*SLC35F2,8.996692053998212,,0,5,3
FAM69A*GATB,8.93336940748567,,0,114,4
ATMIN*LRPAP1,8.9229935490923,,0,2,3
SLC35F2*TRIM2,8.922623554013644,,0,2,3
PPP1R13B*SPRED2,8.890387672209265,,0,2,3
EGFR*ERBB3,8.885538958848407,997.0,7,1,2
ABHD4*GTF2A2,8.836821363050872,,0,8,4
PIN1*SMNDC1,8.803844764340258,,0,11,3
AMDHD2*PDLIM1,8.777827106516575,,0,1,3
INPP4B*SLC35F2,8.730179261597465,,0,1,3
EGFR*TRIM2,8.661185484841692,,0,10,3
CSNK1E*TMCO1,8.629679561217085,,0,8,3
HINT1*RNH1,8.59118419534456,,0,16,3
BMP4*IGHMBP2,8.57665759899315,,0,2,3
GNAI1*VAT1,8.574655446118786,,0,6,3
FBXO21*PAK1,8.535496538793987,,0,2,3
CFLAR*SYNE2,8.506624041655996,,0,1,3
POLR2I*RPA1,8.506251465061538,625.0,0,19,3
CPSF4*STXBP1,8.480634416733592,,0,2,3
PRKAG2*PTPRC,8.466027698033376,,0,1,3
EGFR*GATA2,8.462057878049077,302.0,0,39,3
POLR2K*USP22,8.449074257512905,,0,5,3
CNOT4*TP53,8.432874438779027,679.0,0,22,3
FGFR2*MAPK13,8.409512483910834,,0,4,3
GPATCH8*TUBB6,8.398695213178572,,0,14,3
POLR2I*SQSTM1,8.390602331691248,,0,17,3
IKBKE*SYNE2,8.37405989685925,,0,6,3
AXIN1*NCK1,8.371507332093092,,0,5,3
GHR*SRP14,8.353096691509474,,0,1,3
PLEKHJ1*PPP1R13B,8.333625995933582,,0,241,4
PLA2G4A*TARBP1,8.308271101357338,,0,392,4
EGFR*ST6GALNAC2,8.296292918942495,,0,1,3
CLIC4*GHR,8.292141299837025,,0,1,3
CORO1A*PAF1,8.277828240821943,,0,4,3
FAT1*LRP10,8.25744491607996,,0,15,3
NUP88*PRR15L,8.256337258794746,,0,1,3
HDAC6*S100A4,8.208472566083032,,1,1,2
CPNE3*USP22,8.171954500503105,,0,7,3
TRIM2*ZW10,8.162200551946896,,0,3,3
RFNG*TERF2IP,8.155812514618464,,0,4,4
DCUN1D4*LSM5,8.150952294621568,,0,1,3
FBXO21*ST6GALNAC2,8.149618845612949,,0,26,4
CNPY3*IGHMBP2,8.132384369331351,,0,1,3
SLC35F2*SMAD3,8.130291178741446,,0,3,3
GHR*SLC37A4,8.127465476302099,,0,54,4
PLEKHM1*TM9SF2,8.118364594571725,,0,1,3
CASP10*PIK3CA,8.10250539929291,,0,3,3
CHN1*TSC22D3,8.099590218863558,,0,106,4
COASY*YKT6,8.080364898895235,286.0,0,10,3
GHR*IARS2,8.06564649717236,,0,716,4
EGFR*SLC35F2,8.02018780083828,,0,22,3
CASC3*GNAI1,8.008881912109707,,0,1,3
EGFR*NPC1,8.006564566105553,182.0,0,136,3
CCND1*TRIM2,8.005350173097249,,0,4,3
GHR*RNH1,7.989086402640236,,0,1,3
CNOT4*ZMYM2,7.985872817487934,,0,4,3
RSU1*TATDN2,7.982855217087668,,0,144,4
BLMH*GNAI1,7.980710896403749,,0,2,3
EGFR*SMAD3,7.980059800624274,647.0,0,134,3
COPS7A*RAI14,7.9597582465713455,,0,10,3
ITFG1*NOSIP,7.951028368964385,,0,9,3
ELOVL6*FBXO21,7.942226586192925,,0,23,4
CHMP6*ELOVL6,7.942214397204405,,0,29,4
CASP10*KDM3A,7.933671358051297,,0,131,4
ERBB3*SSBP2,7.930864713172664,,0,1,3
PRKCH*SLC1A4,7.915136030731501,,0,2,3
SENP6*UBL5,7.9073532055523295,,0,6,3
CETN3*SLC35F2,7.887532592624264,,0,228,4
BTK*STUB1,7.879210016445569,,0,18,3
DNTTIP2*KAT6A,7.864840157182453,,0,9,3
POLR2K*RNPS1,7.8500250980410256,,0,21,3
FAM20B*GHR,7.841666612334254,,0,96,4
GTDC1*PIK3C2B,7.833089220768674,,0,12,4
ABHD4*CISD1,7.827981429841284,,0,90,4
EGFR*GHR,7.825220416990116,260.0,0,30,3
EIF3E*SCARB1,7.804301815635315,,0,8,3
COPS7A*FBXO21,7.803736667170478,,0,11,3
CBR1*SLC27A3,7.785504563067743,,0,9,3
CCND1*PAK1,7.776683527243804,390.0,0,16,3
CDH3*ZW10,7.765632116636645,,0,1,3
