interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
BACE2*PNP,145.04074946364543,,0,3,3
GNAS*PSMG1,140.0153445056394,,0,6,3
DNMT3A*PSME1,134.08659408990422,,0,4,3
BACE2*BIRC5,130.42856737315998,,0,1,3
RAB11FIP2*TWF2,129.96508824003823,,0,2,3
AKAP8L*PSMB1,122.37688327461596,,0,24,3
DUSP11*PSMB10,122.30424315403776,,0,504,4
ATP5G3*BAMBI,120.54645871744276,,0,13,4
ALDOA*TCEAL4,120.35300020406936,,0,5,3
EIF5*HLA-DMA,119.44610211915624,,0,68,4
ACAA1*TCEAL4,118.81487021435332,,0,1,3
BACE2*BUB1B,118.60952207243102,,0,1,3
CANT1*UQCR10,118.04944622197787,,0,1,3
CORO1A*EIF5,117.7118009420738,,0,5,3
HIST1H2BK*NFKBIE,117.64542326594976,,0,1,3
KIAA1033*NENF,117.5680718069015,,0,750,4
NGRN*PSME1,117.22486424493748,,0,7,3
BACE2*CDK4,116.71387162533652,,0,714,4
RNF167*SNX6,115.96936984544988,,0,3,3
MNAT1*RNF167,115.88428915060857,,0,258,4
CDK4*DENND2D,115.82364518754667,,0,1,3
ATP6V0B*RPA1,115.46488582262538,162.0,0,3,3
DUSP11*S100A13,114.3667517844416,,0,1,3
ARID5B*PSMD4,113.72072938077456,,0,9,3
CDK4*CNOT4,113.53621280421498,,0,6,3
COL1A1*PTPRF,112.76361064050228,,0,5,3
GTF2E2*SLC37A4,112.63849766499231,,0,2,3
CD320*IFNAR1,112.06745997434189,,0,3,3
ALDOA*PUM2,112.00457457872324,,0,12,3
NUCB2*PAK1,111.6446071619611,,0,5,3
BLCAP*PSMB1,111.61261412985084,,0,1,3
ARID5B*PRAF2,111.3777395078358,,0,4,3
BACE2*NUP85,110.51686383976246,,0,1,3
BAMBI*PRR7,110.2739105084294,,0,8,4
HN1L*TCTA,110.05376140502334,,0,17,4
LSM6*POLD4,109.98380051735955,,0,1,3
CDC42*MRPL12,109.77670581667428,,0,60,3
PUM2*UQCR10,109.7117975082936,,0,3,3
MAMLD1*PSMB8,109.40449004307912,,0,1,3
CNOT4*MRPL12,109.23373429973888,,0,4,3
DUSP6*LSM5,109.13389744541136,,0,2,3
RBM34*SPP1,109.12368942451374,,0,10,3
NUP88*PCK2,109.10969789268832,,0,12,3
RBM34*TICAM1,108.99303059767932,,0,1,3
CLTB*SNX6,108.82689551605496,,0,4,3
EIF5*NFKBIE,108.47219653679794,,0,4,3
ARHGEF2*PPP2R3C,108.30872995535093,,0,6,3
IFNAR1*UQCR10,108.24261333511224,,0,261,4
CD320*USP7,108.21478172714966,,0,2,3
MNAT1*POLD4,107.90336907498006,,0,1,3
ME2*SYNGR3,107.63861555012232,,0,83,4
MTA1*PSME1,107.36097476827396,,0,16,3
APBB2*PSMB1,107.1940425029341,,0,3,3
CREB1*HIST1H2BK,107.14546564361436,,0,8,3
SYNE2*UQCR10,106.98730177909188,,0,4,3
NSDHL*STAMBP,106.59733138640112,,0,7,3
ISOC1*RPL39L,106.56632674143414,,0,14,4
GNAS*SPDEF,106.55174368934765,,0,5,3
PCK2*TFAP2A,106.45910731875864,,0,4,3
EIF5*PSME1,106.3343053937853,,0,19,3
NSA2*RNF167,105.919433453908,,0,1,3
KIAA1033*LAGE3,105.38716780378805,,0,2,3
MICALL1*PSMB1,105.33994840735654,,0,11,3
MRPL12*NSA2,105.20885259026412,,0,28,3
DUSP6*SEC11A,105.17921456770677,,0,1,3
MRPL12*ZNF131,105.09164823466443,206.0,0,11,3
PSMB10*SNX6,104.87632241451044,,0,1085,4
EIF4EBP1*GNAS,104.69098046804868,,0,5,3
ATP5G3*YTHDF2,103.89294821949235,,0,1,3
FAT1*UBL5,103.72873390555095,,0,2,3
PSMB1*PTPN6,103.58414086768224,,0,18,3
EVL*RBM34,103.51085988746348,,0,1,3
PSMD10*PYCR1,103.44030324989843,,0,11,3
REEP5*SCYL3,103.24898697756863,,0,17,3
DAG1*NARFL,102.84811198016234,,0,2,3
NFKBIE*TCTA,102.6065557527361,,0,16,4
ATP5G3*ZFX,102.481081096334,,0,2,3
AKAP8L*DDIT4,102.41770818299322,,0,2,3
FDFT1*MNAT1,102.3692200928694,,0,3,3
TMED10*TRAPPC3,102.25542279282968,618.0,0,13,3
ITGB1BP1*MTHFD2,101.90900611916216,,0,1,3
PSMB8*SNX13,101.80546708552856,,0,79,4
MTX2*OXA1L,101.78059803132533,281.0,0,24,3
HINT1*TMED10,101.23797896676342,155.0,0,14,3
BACE2*PMF1,101.23425841467709,,0,3,3
EIF5*MTX2,101.11402117581996,,0,11,3
ELOVL6*PEX11A,101.0857288408153,174.0,0,1,4
CHMP6*TSPAN4,100.90130604706422,,0,80,4
BACE2*DNM1L,100.7148218781398,,0,1110,4
S100A4*ST7,100.5489421276348,,0,2,3
POLR2K*TPM1,100.4467500983394,,0,9,3
NUP88*POLD4,100.40380102786725,,0,180,4
CD320*FAT1,100.31254860736492,,0,8,3
HES1*SQRDL,100.30942149811784,,0,416,4
CXCR4*PMAIP1,100.27256097666108,216.0,0,6,3
RBM15B*RRP8,100.22633792837892,,0,12,3
NFKBIE*RAB4A,100.10990047909868,,0,609,4
RALB*SPDEF,100.08801029669206,,0,1,3
CHMP6*RRP8,99.89427843883198,,0,3,3
MAPK1IP1L*RNF167,99.8365896444453,,0,1,3
