interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
AKAP8*CREB1,163.5282708163998,180.0,0,13,3
AKAP8*PUM2,157.52802367790667,,0,18,3
MLEC*ZFX,155.17929483690747,,0,3,3
PUM2*TAOK2,149.46469493444053,,0,3,3
IDE*SMNDC1,145.80637588835253,,1,1,2
MICALL1*SNX6,140.31402712379807,,0,22,3
FRS2*PUM2,138.48767178054294,167.0,0,2,3
SMNDC1*XPNPEP1,137.97144898235987,,0,3,3
MNAT1*PMPCB,133.60998304829397,,0,4,3
CASP3*PAFAH1B1,131.82009906728675,,0,9,3
HES1*PKIG,131.39380987485583,,0,33,4
EDEM1*STK10,127.99516800037728,,0,3,3
AKAP8*KDM3A,127.6523865270281,,0,7,3
STK10*UBQLN2,126.9261643996898,,0,7,3
PSMD10*TBC1D15,126.52270193393356,,0,10,3
RAB4A*UTP14A,126.47008965467415,,0,3,3
DNM1L*GRN,125.61305797742168,,0,11,3
HK1*PAPD7,125.07326706392428,,0,2,3
CCT7*UBQLN2,124.92901160947784,162.0,1,1,2
ATP6V0B*CD320,124.09873329266574,,0,1,3
MNAT1*PIK3C2B,122.998435789795,,0,1,3
APBB2*DCUN1D4,122.79449198636804,202.0,0,169,4
OXSR1*PIK3R4,122.64787882066088,,0,9,3
BLCAP*OXA1L,122.41962383795752,,0,1,3
ISOC1*NR1H2,122.1281287606262,,0,1,3
NMT1*UBQLN2,121.77331738073728,,0,23,3
AKAP8L*CREB1,121.72097128867269,,0,13,3
KAZALD1*PPP2R5E,121.34736964745326,,0,70,4
APBB2*PUM2,121.08514832017896,,0,2,3
HN1L*TAOK2,121.06844189095273,,0,2,3
CTSD*SIRT3,120.6993031093773,191.0,0,4,3
KTN1*MICALL1,120.53966622063813,,0,23,3
HN1L*P4HA2,120.10446642633492,,0,1,3
ARPP19*DYNLT3,120.02480662320924,,0,77,4
KDELR2*TMED10,119.9848779510116,782.0,0,5,3
HMGCS1*TUBB6,119.92238319319225,,0,13,3
FRS2*SACM1L,119.37267978357318,,0,7,3
ASH2L*PLOD3,119.13664732496464,,0,12,3
IL13RA1*PTPN1,119.063592112145,,0,3,3
DAG1*RAD9A,118.91800411487276,,0,3,3
TAOK2*ZFX,118.84651798003,,0,1,3
TAOK2*TCEAL4,118.62373025114056,,0,2,3
TCEAL4*TUBB6,118.15212410476488,,0,4,3
POLD4*PXN,118.14544016902428,,0,159,4
TMEM2*TPM1,118.132075085516,,0,10,3
MYL9*UBQLN2,117.95164830586444,,0,6,3
MNAT1*STK25,117.8546120812228,,0,1,3
MBNL2*PTK2,117.81703446713176,,0,5,3
RAB4A*SPEN,117.63206547790614,,0,5,3
CREB1*ZNF274,117.46088545563572,,0,314,4
MICALL1*SH3BP5,117.4553620621578,,0,2,3
COG7*STX1A,117.28508965691591,,0,4,3
KIAA1033*PUM2,117.27253637152845,213.0,0,6,3
TCEAL4*TPM1,117.24722727659932,,0,3,3
CNDP2*NFKBIB,117.22285818814588,,0,1,3
IDE*PUM2,116.89409272048746,198.0,0,11,3
CNOT4*TAOK2,116.42050798726753,,0,2,3
NR2F6*RBM34,116.33053682369442,,0,2,3
IL13RA1*RAB21,116.24056292636196,,0,5,3
MNAT1*SCARB1,116.22163731806091,,0,1,3
SESN1*UBQLN2,115.92341471872751,,0,1,3
IFNAR1*SESN1,115.8981218631152,,0,71,4
CASP3*MAP3K4,115.8336216218835,169.0,0,7,3
AKAP8L*KIAA0907,115.77420036746042,,0,5,3
ARID5B*IFNAR1,115.75457534703214,,0,261,4
CALM3*MAMLD1,115.74733802480708,,0,1,3
PCMT1*RAB4A,115.72752871839958,,0,17,3
IGF2R*PUM2,115.48986821225544,,0,9,3
CREB1*IDE,115.45578788289232,313.0,0,13,3
AKAP8*TCERG1,114.91316413445097,,0,40,3
APBB2*KTN1,114.67053630772922,,0,23,3
STAT3*UBQLN2,114.35854876640796,,0,35,3
ALDH7A1*ISOC1,114.208064286439,,0,20,3
ARPP19*TICAM1,114.13629318841627,,0,1,3
BLCAP*MTA1,113.85771310541024,,0,4,3
DAG1*GSTM2,113.75787716431331,,0,1,3
HNRNPA2B1*RAB21,113.6648795541008,,0,25,3
ASH2L*PIK3C2B,113.58487915626483,,0,4,3
BDH1*SRSF4,113.4358675375525,,0,7,3
FBXO7*STK25,113.19383707002775,,0,5,3
IDE*SNX6,112.55053523370717,,0,18,3
DNM1L*SESN1,112.51262043862911,,0,2,3
CHERP*SNX6,112.48003709992577,,0,15,3
BUB1B*TJP1,112.32109373873482,,0,22,3
ASH2L*TPM1,112.20884109694931,,0,26,3
KAZALD1*UBQLN2,112.20333608752078,,0,1,3
KIAA1033*PSMD10,112.05933228004346,,0,10,3
FOXJ3*OXSR1,111.77205200858003,,0,3,3
GADD45B*TSPAN4,111.7704353351949,,0,12,4
CHERP*PUM2,111.54777842390286,,0,26,3
PAPD7*PTPN1,111.48789282893732,,0,2,3
PIK3C2B*TCEAL4,111.29900368774604,,0,1,3
CREB1*IGF2R,111.28633751545334,193.0,0,10,3
KIAA1033*PSMG1,111.22039998603717,,0,6,3
MRPL12*PRR15L,111.20335232533432,,0,1,3
KIF2C*NRAS,111.13027776415728,156.0,0,11,3
LIPA*PTK2,110.7153339275552,,0,5,3
RALA*STK10,110.23577866446747,,0,12,3
CHERP*CREB1,110.17841482258146,,0,14,3
SESN1*TCEAL4,110.08125398783346,,0,84,4
