interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
ECD*SKP1,182.66531111898783,214.0,0,18,3
BID*PAK6,178.98600452409116,,0,1,3
ATF6*KDM3A,173.86157130770164,,0,1,3
EGFR*PTK2,172.80498326482655,973.0,3,1,2
SRP14*TSC22D3,166.89954880376533,,0,5,3
KAZALD1*SNX6,165.6057831630928,,0,91,4
ARID5B*PPP2R5E,164.4192788471993,,0,3,3
DFFA*DMTF1,163.07211529652656,,0,61,4
HIF1A*TJP1,161.88258194114488,479.0,0,26,3
ITGB5*PRAF2,160.54462966889278,,0,10,3
APP*INSIG1,159.56665603352167,,1,1,2
FOXO4*HIF1A,159.37550198173884,366.0,0,11,3
MYLK*XPNPEP1,154.7729653304492,,1,1,2
BNIP3*DNM1L,154.07603826850357,702.0,0,8,3
MSRA*PWP1,153.68261724765085,,0,2,3
COPB2*HS2ST1,153.45869235970966,,0,18,3
BNIP3*HMG20B,152.58270519897704,,0,1,3
NR2F6*PAK6,152.41854051470938,,0,2,3
KIF2C*PYCR1,151.65681124639002,179.0,0,16,3
XPNPEP1*YTHDF2,151.61876306324174,,0,7,3
ICAM1*PTK2,151.1084043923069,356.0,0,13,3
PIGB*TCEAL4,151.03588639449234,,0,46,4
MEST*SUPV3L1,150.69220111698158,,0,2,3
CD320*NOTCH1,150.49860077129694,,0,10,3
COPS5*SYNGR3,149.36516760725397,,0,758,4
ARPP19*MBTPS1,148.98590797801512,,0,111,4
ABCF1*ACAA1,148.10887264739847,,0,5,3
EIF4G1*MRPL18,148.0734290677895,,0,21,3
DUSP11*FAT1,147.63513907335962,,0,2,3
ADAM10*RRP1B,147.4084127685732,,0,5,3
DFFA*FBXO11,147.1632391660869,,0,561,4
RAB4A*SRP14,147.09951525374152,,0,9,3
CD320*NISCH,147.06170925801482,,0,9,3
IGF1R*SNX6,147.05114007916663,453.0,1,1,2
MEST*PIK3R4,146.0975835913698,,0,1,3
COG2*NUSAP1,145.58505323340867,,0,3,3
HAX1*MRPL18,145.14678039600676,,0,7,3
EBNA1BP2*FAM63A,144.30021851312205,,0,566,4
AKAP8L*CD320,143.97428940199944,,0,2,3
HIF1A*KDM3A,143.68152333535224,891.0,3,1,2
FBXO11*TJP1,143.5724062019659,,0,12,3
ITGB1BP1*SLC2A6,143.3245057876667,,0,40,4
YTHDF2*ZNF274,142.90415971506462,,0,2,3
MTFR1*SMNDC1,142.7593876241299,,0,3,3
ADO*SNX6,142.61118244367458,,0,3,3
FAM63A*SCP2,142.57676890148952,,0,111,4
DYNLT3*SRP14,142.4319911089781,,0,4,3
PLK1*TAOK2,142.243228083803,,0,12,3
DFFA*RRP1B,142.2334405813626,,0,7,3
CD320*MAST2,142.08495961260252,,0,1,3
ATF6*FOXO4,141.89169673666822,,0,1,3
NENF*PGM1,141.86056234855448,,0,15,3
ATF6*HIF1A,141.8441445256902,374.0,0,9,3
MYO10*TUBB6,141.75718854483324,,0,14,3
PPP2R5E*TJP1,141.7509274403892,,0,10,3
LSM6*SCRN1,141.43151485686414,,0,1,3
BUB1B*MKNK1,141.39774910946875,,0,5,3
CD320*COL4A1,141.36448709969375,,0,36,4
MAP4K4*SMC4,141.35520849835177,,0,24,3
GNA15*NFKBIA,141.1913704816463,174.0,0,155,4
ARPP19*NR2F6,141.19096816097067,,0,46,4
ATP6V0B*COPB2,141.1220142672053,376.0,0,5,3
JOSD1*MYO10,141.08802112856503,,0,1,3
COPB2*MAT2A,141.01558924969802,,0,43,3
PYCR1*SQSTM1,140.71134011617045,165.0,0,45,3
ADO*PIGB,140.478355100016,,0,13,4
FOXJ3*HIF1A,140.36168303130114,,0,6,3
ARHGAP1*PTK2,140.28685980946014,255.0,0,13,3
RRP1B*YTHDF2,139.87775696599266,,0,40,3
EIF3L*S100A13,139.4887301378584,,0,2,3
KDM3A*MRPL19,139.3002143224409,,0,2,3
SUPV3L1*TBC1D15,139.2866641031548,,0,4,3
BUB1B*PPIE,139.04834015095338,,0,14,3
DNMT3A*UGDH,138.85065984003393,,0,3,3
MSRA*NVL,138.64080095968708,,0,1,3
COPB2*RRP1B,138.52172812686774,,0,40,3
COPB2*KDM3A,138.47947031153362,,0,6,3
PSMB10*TOPBP1,138.31947260351194,,0,1,3
SKP1*SNX6,138.31913572517627,,0,17,3
KTN1*TIMM17B,138.30193414216154,,0,4,3
FAM57A*MTHFD2,137.93083565352487,,0,1,3
UBE3C*YTHDF2,137.7698354951745,,0,21,3
HEBP1*SLC2A6,137.5717776795268,,0,1,3
ARPP19*PARP1,137.2939479326658,,0,5,3
IGF1R*UFM1,137.16778244492934,,0,9,3
ADAM10*DNAJB1,137.03175692695302,,0,4,3
COPS5*HMG20B,136.9201066283548,,0,30,3
LAMA3*PSMB10,136.88197887080622,,0,1,3
NSDHL*POLR2K,136.76267763435882,,0,7,3
PLEKHJ1*STX4,136.7129996741027,,0,1,3
TJP1*YTHDF2,136.57478566561355,,0,33,3
FAM63A*PIK3R3,136.38140959760895,,0,1,3
CSK*MLLT11,136.1512739730249,,1,1,2
BAG6*GTF2A2,136.09842753967834,,0,1,3
EGFR*EXT1,135.9634906830316,221.0,1,1,2
CHERP*DFFA,135.8919264964773,,0,10,3
ARL4C*BECN1,135.84953517956797,,0,3,3
PLK1*USP7,135.72967040696227,507.0,4,1,2
ATP6V1F*HMG20B,135.7146727704464,,0,2,3
MFSD10*SMAD3,135.53891523638924,,0,3,3
