interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CNPY3*TFAP2A,11.612985018108336,,0,1,3
CD44*NET1,11.30849514517764,,0,2,3
LPAR2*LRPAP1,11.089504910501203,,0,814,4
IGF1R*PLA2G15,11.08645257826513,,0,6,3
S100A13*TSKU,11.054594742994826,,0,6,4
CD44*TCTA,10.925325582750515,,0,45,4
PLA2G15*SPAG7,10.81729600759516,,0,69,4
CIAPIN1*MAP2K5,10.730634303897247,,0,1,3
CNPY3*TSKU,10.680997209001466,,0,16,4
CAB39*PTPN6,10.649458260958626,,0,1,3
MRPL12*PIP4K2B,10.642443393905358,,0,1,3
CD44*CSNK2A2,10.559858017530832,,0,23,3
SLC25A22*ZNF451,10.554872680535023,,0,6,3
CYCS*PCMT1,10.553403431851914,,0,19,3
SPAG7*TBC1D15,10.51951816279557,,0,343,4
NDUFA3*ZFP36,10.503872213707297,,0,314,4
PLA2G15*PTPRF,10.480023613355764,,0,1,3
CSNK2A2*PTPN6,10.477994742146675,,0,23,3
ASH2L*SLC25A22,10.472200106540072,,0,9,3
DUSP6*NUDT9,10.45123800713545,,0,3,3
CD44*SPAG7,10.440571921033612,,0,1,3
CNPY3*NUDT9,10.40344213648475,,0,1,3
EPN2*NRAS,10.383305252652686,176.0,0,15,3
CNPY3*HS2ST1,10.370583322251354,,0,5,3
GNPDA1*PTPN6,10.366273354332138,,0,1,3
ATP11B*NFATC3,10.359825705723502,,0,35,4
ELAVL1*PAN2,10.338314659023016,,1,1,2
ALDOA*CD44,10.338289614354151,156.0,0,26,3
BCL7B*EPN2,10.33744437855541,,0,1,3
MACF1*TIMM9,10.31376977581209,,0,1,3
CIAPIN1*ZNF451,10.313714357734122,,0,4,3
CIAPIN1*MACF1,10.313714357734122,,0,6,3
CYCS*PIP4K2B,10.312733635319775,,0,5,3
CD44*SYF2,10.311742162443004,,0,7,3
ETFB*ZFP36,10.28998076400086,,0,2,3
NRAS*PAN2,10.284864514883116,,0,22,3
ASH2L*CIAPIN1,10.250642529460777,,0,4,3
CIAPIN1*IGF1R,10.243614877232485,,0,3,3
HPRT1*PIP4K2B,10.2388936656874,,0,3,3
CIAPIN1*EPN2,10.238795184379107,,0,4,3
CPSF4*EPN2,10.233158555697774,,0,5,3
DUSP22*EPN2,10.189559132460602,,0,3,3
PAN2*RHOA,10.17050414990986,,0,55,3
MRPL12*RAB11FIP2,10.160229267868596,,0,3,3
ELAVL1*EPN2,10.155663203126815,,0,24,3
CNPY3*NCOA3,10.153823308504618,,0,513,4
CYCS*ZNF318,10.15348004485578,,0,7,3
CPSF4*PAN2,10.1501516323952,,0,9,3
PLA2G15*SIRT3,10.15006762167928,,0,154,4
EPN2*SMNDC1,10.139120010049655,,0,2,3
CNPY3*PRAF2,10.135054531119906,,0,2,3
AP1B1*ELAVL1,10.132165574816344,166.0,0,62,3
ASH2L*GABPB1,10.124913862651766,,0,7,3
PLA2G15*TLE1,10.124228335966103,,0,2,3
TIMM9*ZNF318,10.119837273860217,,0,2,3
CSNK2A2*TBC1D15,10.109092051442582,194.0,0,24,3
GNPDA1*LPAR2,10.103101354312004,,0,354,4
AP1B1*PMM2,10.088741756274864,,0,7,3
ASH2L*HMGCS1,10.08650897184146,,0,11,3
PRAF2*RPS6,10.085506346474414,,0,13,3
CPSF4*MACF1,10.081516116743398,,0,8,3
PAN2*SLC25A22,10.081277690051053,,0,4,3
NCK2*PLA2G15,10.07534950400634,,0,233,4
ASH2L*PMM2,10.074637854381644,,0,4,3
MRPL12*ZNF318,10.071606060441246,,0,9,3
MACF1*SLC25A22,10.054802825342676,,0,10,3
LYRM1*NENF,10.04609252513383,,0,1,3
AP1B1*CIAPIN1,10.037992745578576,,1,1,2
NFKBIE*NUDT9,10.026668097161576,,0,1,3
EPN2*TIMM9,10.020936915240846,,0,4,3
CCNH*PAN2,10.004116669291136,,0,7,3
CPSF4*ILK,10.001982990668616,,0,10,3
PLA2G15*TCEAL4,10.001441981231531,,0,116,4
COPS7A*CPSF4,9.996163211146325,,0,5,3
CYCS*SLC27A3,9.990577080078392,,0,5,3
RFNG*TSKU,9.98095519863637,,0,1,4
CIAPIN1*WFS1,9.980436148079782,,0,2,3
APOE*PIP4K2B,9.97411971763021,,0,2,3
EPN2*YTHDF2,9.966136035456213,,0,11,3
CIAPIN1*FAM63A,9.93898159347846,,0,1,3
ICMT*ZFP36,9.934261084124923,,0,750,4
CYCS*ZNF451,9.933304117739524,,0,4,3
EPN2*SLC5A6,9.923650967215286,,0,8,3
MYLK*RFC2,9.908431867381491,,0,4,3
PAN2*TXNDC9,9.889082595745313,,0,14,3
MAPK1IP1L*PAN2,9.886622624213128,,0,2,3
DUSP22*PAN2,9.881562804829416,,0,9,3
PAN2*PPP2R5E,9.873404817288254,,0,5,3
HMGCS1*SIRT3,9.860555640064169,180.0,0,2,3
SPAG7*ZFP36,9.858311510249456,,0,322,4
CIAPIN1*PAN2,9.846737976058195,,0,6,3
MRPL12*ZNF451,9.846112210090716,,0,6,3
LPAR2*SPAG7,9.84456922259054,,0,1,3
NFATC3*TLE1,9.839316389467031,,0,1,3
EPN2*SLC25A22,9.825616951398388,,0,2,3
CYCS*SPECC1L,9.82084115243374,,0,8,3
EPN2*JOSD1,9.819460962384683,,0,3,3
CNPY3*TBC1D9B,9.815950514238716,,0,2,3
EPN2*KHDRBS1,9.799765553684974,,0,9,3
RPS6*TSKU,9.799488509253326,,0,1,3
