interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
MACF1*ZMIZ1,11.4805945283977,,0,5,3
NDUFA3*SPAG7,11.43002912826975,,0,1,3
P4HTM*TSKU,11.289743911852655,,0,16,4
CNPY3*PTPN6,11.10067652028214,,0,3,3
CYCS*SLC25A22,10.963273728218258,237.0,0,9,3
ASH2L*ZNF451,10.724133922680366,,0,10,3
CCDC86*PMM2,10.716670055782265,,0,3,3
BAG6*PRAF2,10.691153244499043,,0,16,3
PGRMC1*PRAF2,10.69015509700071,,0,41,3
SLC25A46*TFAP2A,10.685966887698015,,0,1,3
MACF1*ZNF318,10.65158607541329,,0,17,3
ASH2L*HTRA1,10.611712807184864,,0,2,3
MACF1*NCAPD2,10.60027257767607,,0,20,3
CD44*ZFP36,10.588233567101602,,0,1,3
PAN2*PIP4K2B,10.488201381545466,,0,3,3
LRPAP1*TFAP2A,10.472470496200012,,0,3,3
ALAS1*MTHFD2,10.464926031920282,,0,24,3
MACF1*ZNF451,10.455267094029416,263.0,0,9,3
CPSF4*TRIB1,10.412907214705156,,0,1,3
CAT*TSKU,10.41288099261803,,0,22,4
PPIE*TSKU,10.407732166550652,,0,54,4
CYCS*TXNDC9,10.396686579960924,479.0,0,8,3
CRYZ*HSD17B11,10.355593172191313,,0,5,3
CAT*TFAP2A,10.35432940725411,,0,4,3
P4HTM*SYPL1,10.341205097192056,,0,1,3
ETFB*SYF2,10.31291015177064,,0,2,3
NR3C1*PRAF2,10.309136840678162,,0,11,3
LRPAP1*PRAF2,10.301517848614388,,0,8,3
CNPY3*LPAR2,10.298909697436963,,0,1,3
CALM3*TSKU,10.26289605174006,,0,52,4
EPN2*SLC27A3,10.223872664924473,,0,5,3
CCDC92*EPN2,10.218261343470443,232.0,0,2,3
ETFB*SPAG7,10.206557926724107,,0,1,3
EPN2*PCMT1,10.205384353300902,,0,11,3
AP1B1*EPN2,10.17067794187876,619.0,0,22,3
CAB39*CRELD2,10.169793897787551,,0,1,3
GNPDA1*PRAF2,10.16689147521448,,0,2,3
CRELD2*SPAG7,10.166772432487186,,0,1,3
CYCS*DUSP22,10.165156957828522,,0,3,3
CIAPIN1*TSTA3,10.16025882261469,,0,4,3
HTRA1*PAN2,10.152343299163125,,0,810,4
PAN2*SLC27A3,10.151086965036573,,0,2,3
TRAK2*TSKU,10.144713630634625,,0,8,4
BAG6*CRELD2,10.132741164819572,,0,6,3
CCNH*CYCS,10.122591982357584,175.0,0,6,3
IGF1R*NCAPD2,10.115233399540603,,0,18,3
ALDOA*CRELD2,10.114589667557537,,0,4,3
EPN2*HTRA1,10.113322021838384,,0,2,3
EPN2*SPDEF,10.108965955533954,,0,1,3
PPIE*PRAF2,10.10659226547074,,0,4,3
PAN2*ZNF451,10.098301755876136,,0,7,3
CPSF4*TSTA3,10.096722163451105,,0,2,3
CIAPIN1*HPRT1,10.0898634271391,,0,9,3
P4HTM*PRAF2,10.087130279509577,,0,3,3
SRP14*VPS28,10.0778399172685,,0,12,3
PTPRF*TSKU,10.074451211529915,209.0,0,2,3
HTRA1*MACF1,10.073968764718291,,0,2,3
NUDT9*TRAK2,10.06184339086115,,0,116,4
EPN2*PIP4K2B,10.048808584206055,,0,2,3
CPSF4*ELAVL1,10.035154575388216,228.0,0,36,3
CBR3*CCDC86,10.030148314254443,,0,5,3
PLA2G15*ZFP36,10.029736826620836,,0,266,4
ALDOA*DNAJA3,10.022511799953085,,0,44,3
CALM3*PRAF2,10.022135358288086,,0,1,3
CD58*CYCS,10.017468248410252,,0,2,3
CRYZ*PIP4K2B,10.01411076496918,,0,2,3
LRPAP1*TSKU,10.011358477538206,,0,1,3
HMGCS1*TRIB1,9.99797128250886,,0,208,4
DNMT1*TATDN2,9.993047100749388,,0,2,3
HS2ST1*PPIE,9.990314632083749,,0,3,3
CYCS*TIMM9,9.983895177918086,328.0,0,7,3
PPIE*PRKACA,9.978493994639257,,0,25,3
NUDT9*SPAG7,9.973436843369887,,0,75,4
NR3C1*TSKU,9.973048745280906,,0,139,4
CAT*PRAF2,9.971998229827088,,0,2,3
NFATC3*ZFP36,9.962902871055862,,0,7,3
PCMT1*TPM1,9.962746097621272,,0,35,3
CAT*SYPL1,9.95925134832286,,0,1,3
PWP1*TSTA3,9.956694787309564,,0,2,3
CD44*VPS28,9.948218819291585,,0,7,3
NOLC1*TSTA3,9.946388954820296,,0,2,3
PAN2*SPECC1L,9.940699826211327,,1,1,2
CSNK2A2*ICMT,9.939452220403854,,0,4,3
ICMT*SPAG7,9.929521444245326,,0,177,4
SLC25A46*TSKU,9.92688924649618,,0,81,4
TBC1D15*ZFP36,9.919305538990535,,0,2,3
CEBPZ*G3BP1,9.911045655512227,,0,70,3
RPA1*SYPL1,9.90846682909124,,0,5,3
CCDC92*MACF1,9.89788227731,,0,6,3
CDK6*EPN2,9.895730247216855,,0,6,3
FAM63A*GNAI1,9.892482298799608,,0,2,3
LYRM1*SLC25A22,9.887435417254608,,0,85,4
ADAM10*TSKU,9.88183571062698,,0,27,4
CIAPIN1*HSPD1,9.880032255115916,,0,23,3
ADH5*EPN2,9.861673996966642,,0,3,3
CRYZ*HTRA1,9.846006435905338,,0,1,3
MRPL12*SLC25A22,9.841552374722294,227.0,0,10,3
ECH1*NUDT9,9.840271656081615,,0,4,3
PAN2*PCMT1,9.836164127499709,,0,16,3
HSD17B11*MACF1,9.834214785047156,,0,9,3
