interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
SLC25A22*WDR7,12.206912975068064,,0,7,3
CHMP4A*MAPK1IP1L,12.159155077694326,,0,2,3
RFC2*WDR7,12.071174308287183,,0,6,3
RFC2*ZNF451,12.0253943198955,,0,13,3
ADH5*WDR7,11.941326742571423,,0,3,3
CSRP1*HPRT1,11.82513121725666,,0,5,3
ARNT2*SDHB,11.773316009665535,,0,1,3
ECH1*ZFP36,11.741926219213529,,0,2,3
RFC2*ZNF318,11.720809432065604,,0,12,3
MSRA*NCAPD2,11.709320288319775,,0,3,3
CHIC2*CHMP4A,11.70046902484894,,0,119,4
HPRT1*MYL9,11.571883459606344,,0,5,3
CNPY3*WDR7,11.459436154529357,,0,2,3
COPS7A*MACF1,11.38417854661131,,0,9,3
HPRT1*TPM1,11.347987669517735,,0,14,3
SLC25A22*ZNF318,11.347556363027966,,0,9,3
NOP16*PAN2,11.30741701831634,202.0,0,34,3
MACF1*RFC2,11.270653739543654,,0,20,3
FAM63A*WDR7,11.265480161305316,,0,146,4
NCAPD2*SLC25A22,11.242975334646314,,0,14,3
BZW2*KLHL21,11.237439342153008,,0,2,3
ELAVL1*WDR7,11.233232294256885,332.0,0,26,3
CRELD2*PTPN6,11.221882337770076,,0,2,3
ADH5*NCAPD2,11.209938593844816,,0,9,3
ARNT2*SEC11A,11.2095345186831,,0,259,4
HPRT1*MRPL12,11.209252107533008,,0,18,3
WDR7*WFS1,11.208439428212827,,0,8,3
HPRT1*MACF1,11.207645197431937,,0,16,3
LPAR2*RFNG,11.20645961274135,,0,24,4
SLC25A22*ZNF451,11.20554672708719,,0,6,3
CPSF4*HPRT1,11.151978320020326,,0,5,3
ADH5*ZNF318,11.138122251888708,,0,3,3
ADH5*PCMT1,11.127306629084666,,0,11,3
CDC42*CHMP4A,11.113702711646784,,0,9,3
RFC2*SPECC1L,11.111745194195292,,0,20,3
KLHL21*WDR7,11.107347306939287,,0,1,3
CHMP4A*YTHDF2,11.104247091843526,,0,3,3
ECH1*P4HTM,11.10150702624446,,0,2,3
APOE*TIMM9,11.09606692417654,,0,4,3
HPRT1*WDR7,11.089825543784498,,0,7,3
APOE*TRIB1,11.07720201318583,424.0,0,1,3
KIAA0100*RFC2,11.07444641626368,,0,3,3
RAB11FIP2*RFC2,11.071805306315529,,0,1,3
APOE*TSTA3,11.070712096117536,,0,1,3
ADH5*PIK3C2B,11.068638192540677,,0,2,3
PIK3C2B*RFC2,11.066420944834336,204.0,0,5,3
MSRA*SPECC1L,11.065254106717846,,0,1,3
APOE*PMM2,11.03982306116298,,0,2,3
AP1B1*PAN2,11.038888593892729,,0,18,3
ARNT2*CDK6,11.00837995300524,,0,2,3
GNAI1*RFC2,11.00513431561322,532.0,0,8,3
ADH5*ZNF451,10.998034203534704,,0,2,3
FAM63A*RFC2,10.99333380904026,,0,2,3
ASH2L*RFC2,10.985689064301958,,0,32,3
PIK3C2B*SLC25A22,10.972582460159298,,0,6,3
PRKACA*SRP14,10.95789550973804,,1,1,2
DUSP22*TOMM70A,10.95479056135204,,0,6,3
RFNG*SRP14,10.951242078023045,,0,15,4
NCAPD2*SLC27A3,10.947244604638648,,0,9,3
DNMT3A*ELAVL1,10.930833337119273,184.0,0,18,3
PAN2*SLC25A22,10.927831089278069,,0,4,3
TSTA3*ZNF318,10.926922285138357,,0,469,4
CIRBP*NRAS,10.90900698703295,,0,18,3
ADH5*RRS1,10.906369955671996,,0,2,3
ADH5*PIP4K2B,10.905021891946484,,0,2,3
PMM2*ZNF451,10.90234322637022,,0,1,3
MACF1*SLC25A22,10.895166857101508,,0,10,3
ALDOA*PPIE,10.889201656390972,,0,23,3
NUDT9*ZFP36,10.879323678213757,,0,1,3
PCMT1*SLC25A22,10.8756270854205,,0,17,3
MAP2K5*RFC2,10.87022899744126,,0,6,3
ARNT2*RFC2,10.866130724727729,,0,1,3
NCAPD2*TSTA3,10.865908097450806,,0,4,3
ETFB*P4HTM,10.865410023520258,,0,2,3
PAN2*TIMM9,10.863944618875175,,0,6,3
TPM1*WDR7,10.853273221908433,,0,6,3
COPS7A*PAN2,10.850628507248892,,0,12,3
COPS7A*RFC2,10.850181390350617,,0,11,3
ALDOA*SYF2,10.841417007593902,,0,5,3
ADH5*HPRT1,10.839522371541625,,0,8,3
COPS7A*HPRT1,10.834158549504885,,0,11,3
NCAPD2*RRS1,10.821189879803107,,0,19,3
DNMT3A*RFC2,10.820616828225075,,0,17,3
AP1B1*SLC27A3,10.814749645422808,,0,7,3
APOE*EPN2,10.811381198814988,157.0,1,1,2
TFDP1*WDR7,10.81046133711215,,0,4,3
RAB11FIP2*RRS1,10.80795034603222,,0,2,3
MAP4K4*SLC25A14,10.807134243773971,,0,1,3
NET1*SRP14,10.794655212108031,,0,2,3
AP1B1*TSTA3,10.793451006157811,295.0,0,6,3
BZW2*WDR7,10.7912156817404,,0,6,3
PAN2*TRIB1,10.783639594391849,,0,1,3
NOP16*SLC27A3,10.783222569135935,,0,873,4
PIK3C2B*RRS1,10.783125786676102,,0,7,3
CYCS*WDR7,10.779771306162964,150.0,0,9,3
PIP4K2B*SLC25A22,10.775328432522045,,0,3,3
CNPY3*TBC1D15,10.766699439054817,,0,1,3
NCAPD2*NOP16,10.763408690019538,,0,11,3
AP1B1*ZNF451,10.759163449093872,,0,7,3
SYF2*TBC1D15,10.75833560450317,378.0,0,649,4
