interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CHIC2*LOXL1,6.415921511004765,,0,19,4
MACF1*NOLC1,6.096876150197614,,0,40,3
MACF1*PAICS,5.68071521008402,,0,21,3
RBM6*SUCLG1,5.417909136816532,,0,5,3
FIS1*MRPS16,5.350479187727138,,0,8,3
ABHD6*FIS1,5.339617874423942,257.0,1,1,2
NUP93*PUM2,5.338319381320746,261.0,0,14,3
AKAP8L*FIS1,5.293123817859746,,0,8,3
BRPF1*FIS1,5.285666583759346,,0,1,3
ADNP2*FIS1,5.264652922801363,,0,355,4
FIS1*ID2,5.257144081709946,,0,1,3
MAPK1IP1L*SPTAN1,5.243795908333329,,0,2,3
PMF1*ST7,5.221501604784681,,0,5,3
COL1A1*PDS5A,5.200949352762373,,0,4,3
CDC25B*PUM2,5.188058533088222,150.0,0,1,3
EVL*LOXL1,5.158939722913791,,0,29,4
BAX*FIS1,5.11021786606532,314.0,0,15,3
CBR1*RBM6,5.109090010878254,,0,10,3
GTPBP8*HEATR1,5.1070727549019495,,0,3,3
CSNK1E*NOLC1,5.102505474711615,,0,26,3
FIS1*SMAD3,5.093027808857817,,0,6,3
PUM2*SUCLG1,5.06078004316621,,0,7,3
FGFR4*LOXL1,5.046547244549404,,0,148,4
FIS1*MAP2K5,5.030314543350158,,0,1,3
ATP6V0B*HOOK2,5.024738538686742,,0,1,3
FIS1*KIAA0100,4.991294459327482,,0,2,3
NUP85*PUM2,4.989459453065317,,0,7,3
FIS1*TPM1,4.976148743782513,,0,7,3
FIS1*RBM15B,4.96882302041158,,0,4,3
PUM2*ZNHIT3,4.953749794528374,,0,7,3
CDC25B*MYCBP2,4.948064071428561,,0,10,3
CDCA4*PUM2,4.939019886559836,,0,1,3
AKAP8*ATP5S,4.938016469819289,,0,186,4
HINT1*RRP12,4.93159261904761,,0,12,3
GTPBP8*RBM6,4.930773544217681,,0,2,3
ANKRD10*FIS1,4.914214833983911,,0,159,4
FIS1*SCYL3,4.910092150263496,,0,4,3
PSRC1*PUM2,4.905402274844725,,0,2,3
FIS1*NUP62,4.899305344649903,,0,4,3
EVL*FIS1,4.888491418581396,,0,1,3
DHRS7*FIS1,4.884721269230759,,0,10,3
ATP6V0B*PUM2,4.88318878409091,173.0,0,1,3
PUM2*SQRDL,4.866249847312133,,0,7,3
PSMB8*RBM6,4.862793484162884,,0,3,3
ATP6V1F*BAX,4.862720473727949,,0,5,3
LOXL1*VPS72,4.85357009360741,,0,91,4
PUM2*RPS6,4.83913318698288,,0,29,3
CALM3*FIS1,4.83727738636364,,0,9,3
FIS1*NOL3,4.835259583458633,,0,2,3
FIS1*RRP12,4.822129241695861,,0,4,3
FIS1*PTPN6,4.820850459579155,,0,1,3
PUM2*SKP1,4.820439125398734,,0,17,3
BHLHE40*UBE2J1,4.819527630008527,,0,3,3
GTPBP8*MYCBP2,4.808085977225664,,0,2,3
AKAP8L*LOXL1,4.806607784608676,,0,3,3
MYCBP2*SUCLG1,4.80597219909079,,0,12,3
ATP6V1F*HOOK2,4.804154813196548,,0,4,3
BIRC2*NOLC1,4.803639286358985,,0,8,3
MYCBP2*PSMD9,4.798734147720358,,0,10,3
LYN*NOLC1,4.79497125631312,,0,40,3
PUM2*TIMM9,4.785110599855704,262.0,0,1,3
DDX42*TIMM9,4.785110599855704,,0,7,3
ATP6V1F*PPOX,4.781592584957391,,0,2,3
PUM2*TXNL4B,4.774844401584391,,0,1,3
DDX42*GLRX,4.770978532535867,,0,2,3
MYCBP2*SKP1,4.766211134615382,883.0,3,1,2
SPTAN1*UBE2J1,4.765807966663117,,0,32,3
FIS1*JUN,4.761668418382922,195.0,0,2,3
MBNL1*SPTAN1,4.755003443137248,167.0,0,19,3
EIF3L*RBM6,4.751272057757891,,0,13,3
CYTH1*GMNN,4.741375769230759,,0,245,4
EGR1*GMNN,4.741375769230759,,0,1,3
PSMD9*PUM2,4.73651042840819,,0,9,3
CDC25B*ZRSR2,4.721402635416654,,0,512,4
CDC45*PUM2,4.7190854023248825,,0,6,3
IGFBP3*PYCR1,4.718662659502251,,0,2,3
DNAJB1*FIS1,4.714294408622898,182.0,0,13,3
BAX*LOXL1,4.713755931603407,,0,89,4
FIS1*KCTD5,4.707898262047542,,0,5,3
IGFBP3*NPRL2,4.699242374505907,,0,2,3
LRP10*PLP2,4.696802914376248,,0,7,3
FIS1*KIAA0907,4.686503434547898,,0,1,3
FHL2*RNMT,4.685321947674406,,0,13,3
ANKRD10*FAIM,4.680875668802512,,0,46,4
AKAP8*CCNH,4.680875668802512,,0,7,3
TBX2*TPM1,4.6705754451923,,0,1,3
CBR1*MYCBP2,4.669367294257152,,0,10,3
AKAP8*TXNL4B,4.667160754762457,,0,2,3
FIS1*SPEN,4.665904004329016,,0,1146,4
CCNA2*PUM2,4.665755567701871,254.0,0,2,3
PCCB*RBM6,4.6592027073815006,,0,5,3
ANXA7*PDS5A,4.657584145132364,,0,14,3
MYCBP2*PSMB8,4.656415524761172,,0,3,3
PSMB8*PUM2,4.656415524761172,,0,3,3
FZD1*MACF1,4.65420735007541,,0,3,3
ANXA7*ZRSR2,4.652359444852254,,0,1,3
CORO1A*PPARG,4.652310565550421,,0,4,3
EIF3L*PUM2,4.646044366681462,,0,19,3
FIS1*KCTD2,4.645593062423534,,0,2,3
GSTZ1*PUM2,4.644548816849808,,0,3,3
