interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
LOXL1*NOLC1,6.616519159090906,,0,1,3
CHIC2*MACF1,6.394784127631571,,0,1,3
ATF6*PUM2,6.3668606211344025,,0,1,3
ADNP2*PUM2,6.25489084910484,,0,3,3
EVL*PUM2,6.179173208791193,,0,1,3
LOXL1*NFIL3,6.028004674773289,,0,18,4
PUM2*SMAD3,5.9172034210526405,178.0,0,13,3
BHLHE40*TPM1,5.91553360989696,,0,6,3
RBM6*RGS2,5.852802279526028,,0,646,4
LOXL1*MACF1,5.841819481980929,,0,1,3
PUM2*RGS2,5.8375210109156015,,0,1,3
EVL*RBM6,5.774509508070041,,0,2,3
ARL4C*RBM6,5.771420412587387,,0,785,4
CCND1*RBM6,5.729188752318994,,0,11,3
PUM2*TPM1,5.691913536263726,,0,11,3
PUM2*SATB1,5.656161648632697,,0,2,3
FOSL1*RBM6,5.629659874225995,,0,609,4
NOL3*RBM6,5.628995553383456,,0,2,3
CHIC2*MBNL1,5.596718578328161,,0,2,3
DAG1*PUM2,5.591389609260297,,0,4,3
NNT*RBM6,5.521281185729839,,0,13,3
FIS1*SKP1,5.502875370979541,,0,6,3
LRP10*NOLC1,5.482729594334227,258.0,0,1,3
CHIC2*SACM1L,5.480161477777775,,0,217,4
LPGAT1*TPM1,5.470364181125882,,0,9,3
LRP10*MBNL2,5.448330524369736,,0,91,4
CAMSAP2*EVL,5.446836304945036,,0,3,3
C2CD2*PUM2,5.438410888009038,,0,1,3
LRP10*SACM1L,5.436140010835614,,0,17,3
CAMSAP2*RGS2,5.423252895465687,,0,3,3
CHIC2*NOLC1,5.402095235087716,,0,1,3
CIRBP*RBM6,5.369936248709985,,0,16,3
RBM6*UBE3B,5.352536861302383,,0,430,4
IGFBP3*TXNL4B,5.349689202314903,,0,1,3
ANKRD10*PUM2,5.332597263427095,,0,1,3
FEZ2*TPM1,5.330161997086234,,0,611,4
ADNP2*EPRS,5.328608225155265,,0,4,3
LRP10*MBNL1,5.325749088491035,,0,2,3
AKAP8L*PUM2,5.293123817859746,,0,18,3
CAMSAP2*SMAD3,5.287528928427818,,0,8,3
EVL*SPTAN1,5.28205367994504,641.0,2,1,2
APP*MYCBP2,5.278865440860192,,0,43,3
CAMSAP2*TPM1,5.27155872798215,,0,10,3
C2CD2*MYCBP2,5.2592482818979125,,0,1,3
MAP2K5*PUM2,5.257144081709946,,0,3,3
CERK*MACF1,5.253637987516927,,0,2,3
FIS1*PLK1,5.249611215659329,,0,12,3
HDAC6*PUM2,5.234338579928864,,0,17,3
FIS1*UBE2J1,5.233502143542201,185.0,0,18,3
HDAC6*RBM6,5.2279637820899785,,0,27,3
MYO10*PUM2,5.219084863194438,,0,4,3
BHLHE40*EDN1,5.2179022938948165,,0,21,4
MPZL1*PUM2,5.210247551020406,,0,1,3
LOXL1*MBNL1,5.2079546540216,,0,1,3
LAMA3*PUM2,5.202179782640993,,0,387,4
IQGAP1*LRP10,5.191523406177142,,0,14,3
LOXL1*SACM1L,5.181137066013066,,0,60,4
BIRC2*LRP10,5.18030898656375,,0,4,3
RBM6*TPM1,5.179596315414285,,0,14,3
FOSL1*PUM2,5.1767638126281526,,0,2,3
PAN2*RBM6,5.160631502551013,211.0,0,15,3
ARID5B*PUM2,5.15449687719609,,0,2,3
GLTSCR1*SMARCA4,5.141526582589277,961.0,5,1,2
C2CD2*ZRSR2,5.137741225490206,,0,157,4
DDX42*HOOK2,5.136872693098506,,0,6,3
ADNP2*RBM6,5.134476952911073,,0,3,3
POLG2*PUM2,5.13117455071243,150.0,0,277,4
NOL3*PUM2,5.13066956765827,,0,2,3
ADNP2*SPTAN1,5.128149715415,,0,3,3
ERBB2*PUM2,5.125708617842469,158.0,0,8,3
ANKRD10*RBM6,5.117752232091393,,0,2,3
FOXO3*PUM2,5.1169201716599,,0,5,3
PAPD7*RBM6,5.1072702904130365,,0,2,3
NNT*PUM2,5.103437299277584,,0,7,3
PPARG*TRIB1,5.099378759332456,184.0,0,1,3
GTDC1*PAICS,5.098688693799652,,0,57,4
ID2*IQGAP1,5.092538262662327,,0,12,3
ARL4C*MYCBP2,5.090300552318992,,0,3,3
MYCBP2*SHC1,5.082759963235279,,0,20,3
KAT6A*RBM6,5.075519854862122,210.0,0,5,3
ATP6V1F*SLC25A13,5.074903046964818,,0,17,3
LRP10*PLK1,5.073505959867803,,0,3,3
PDS5A*SNX11,5.073345921484735,,0,2,3
PKIG*PUM2,5.070533839130442,,0,86,4
FIS1*HSD17B11,5.067970772743884,227.0,0,58,3
DNAJB2*PUM2,5.056607478490023,,0,2,3
PUM2*TSEN2,5.055329136117909,,0,3,3
AKAP8L*HMGCS1,5.041332840719052,,0,8,3
BAX*LIG1,5.038707155090405,,0,6,3
CHMP4A*TBX2,5.031210190326893,,0,2,3
HOOK2*PAPD7,5.031118833434644,,0,1,3
HES1*MYCBP2,5.029100213513493,,0,5,3
LOXL1*PLK1,5.022949779647422,,0,1,3
TM9SF3*WRB,5.016355397169811,,0,3,3
KCTD2*RBM6,5.00400070049639,,0,4,3
CPNE3*PTK2,5.000405950396817,,0,14,3
PUM2*RAB4A,4.98919482978978,,0,4,3
AKAP8L*ZRSR2,4.987906239926751,,0,2,3
CAMSAP2*PAF1,4.980680076283849,,0,7,3
IL4R*PUM2,4.980162016908219,,0,201,4
