interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
BHLHE40*PUM2,7.317800719804077,,0,4,3
CIRBP*PUM2,7.299179939911424,336.0,0,12,3
BHLHE40*CIRBP,6.996476098217939,,0,5,3
BID*CAMSAP2,6.884688088613659,,0,1,3
CAMSAP2*LPGAT1,6.846388725759523,227.0,0,5,3
MBNL1*PIK3C2B,6.759568655258445,,0,6,3
CAMSAP2*CIRBP,6.627625847338917,,0,6,3
BID*LPGAT1,6.607424760073236,,0,3,3
BHLHE40*DDX42,6.58494995089652,,0,6,3
ARHGEF12*BHLHE40,6.526746918954241,,0,2,3
CIRBP*KDM3A,6.522489819897068,,0,6,3
TRAM2*ZRSR2,6.458671578054284,,0,133,4
CAMSAP2*ZNF589,6.345433704201671,,0,1,3
LPGAT1*PUM2,6.254201481161685,,0,4,3
ZNF131*ZNF589,6.226920913903726,,0,1,3
CIRBP*RAI14,6.176968684924914,,0,13,3
CIRBP*MYCBP2,6.147778742424238,,0,15,3
BID*EPRS,6.14478723439375,,0,10,3
ARID4B*BID,6.136216832199556,,0,2,3
ATP6V1F*RNH1,6.104372944147331,,0,6,3
CIRBP*GPATCH8,6.092227045614475,281.0,0,12,3
CIRBP*RASA1,6.090211562505557,,0,6,3
IDE*ZNF589,6.081117483088228,,0,1,3
CIRBP*PDS5A,6.079210704155683,,0,15,3
BHLHE40*MPZL1,6.0784980251177325,,0,6,3
EPRS*ZNF589,6.046662472170668,,0,2,3
CIRBP*EPRS,6.046662472170668,435.0,0,49,3
BIRC2*CIRBP,6.035877982884097,,0,13,3
DSG2*ZRSR2,6.019496825095242,,0,3,3
CIRBP*FEZ2,6.006572770202016,,0,2,3
CIRBP*LPGAT1,5.989656414835155,,0,7,3
ARHGEF12*SHC1,5.964641017857131,,0,12,3
PUM2*SHC1,5.964641017857131,303.0,0,7,3
ARID4B*ZNF589,5.96457738571428,,0,224,4
CAMSAP2*INTS3,5.95741110810112,,0,5,3
BHLHE40*CAMSAP2,5.954628656272205,,0,4,3
CYTH1*PUM2,5.94962822072071,,0,3,3
BID*PUM2,5.9248495673718296,,0,5,3
CIRBP*SGCB,5.916578034502247,,0,195,4
INTS3*PUM2,5.916424105477347,184.0,0,7,3
AKAP8L*CHIC2,5.908337995601245,,0,4,3
DNAJB2*EPRS,5.905326744897954,175.0,0,16,3
ARID4B*CIRBP,5.8716717658730255,203.0,0,7,3
SCYL3*TLR4,5.866861160264847,,0,1,3
LPGAT1*ZNF589,5.841123021428567,,0,1,3
TARBP1*ZNF589,5.841123021428567,,0,1,3
ATP6V0B*LPGAT1,5.813551159043628,,0,1,3
ATF6*ZNF589,5.809088330718949,,0,1,3
CHIC2*KIAA0753,5.806602569047613,,0,2,3
BHLHE40*PDS5A,5.789175092716361,,0,3,3
CIRBP*IARS2,5.787634411764694,,0,20,3
RASA1*ZRSR2,5.7868655858155815,,0,5,3
