interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
EVL*FBXO11,228.97866615998436,,0,1,3
RAC2*ZNF131,221.02960774975415,,0,2,3
DYNLT3*MNAT1,211.6297279347446,,0,2,3
CD40*SNX6,208.40982313562188,,0,2,3
CD40*SMNDC1,205.82397524960828,,0,1243,4
GADD45B*PSMD10,204.209684650216,,0,218,4
PHGDH*RALA,202.3300773895934,,0,20,3
CD40*FOXJ3,200.9171644194215,,0,370,4
COPS5*GADD45B,200.00051306908503,,0,1,3
DRAP1*FEZ2,198.7837095108022,404.0,1,1,2
EVL*SCCPDH,197.01426456073185,,0,583,4
CHEK2*DYNLT3,190.8561564327335,,0,2,3
EVL*SEC11A,189.38496125709943,,0,387,4
DYNLT3*HOMER2,188.14749424228276,,0,45,4
FEZ2*RAC2,187.90270615346856,163.0,0,1,3
MAPKAPK2*SLC11A2,187.68090904835992,,0,1,3
CPNE3*GADD45B,187.071381628041,,0,182,4
GNA15*PGRMC1,186.35430312431708,,0,1,3
MBNL2*STXBP2,184.14066626812811,,0,242,4
CORO1A*MNAT1,183.6469619072816,,0,4,3
CD40*RASA1,182.5722750935172,,0,2,3
CD40*RAB11FIP2,182.25026761894108,,0,443,4
COPS5*NFKBIA,182.24596038950057,380.0,0,47,3
EVL*ITFG1,181.60802488785905,,0,5,3
CXCR4*MBNL2,181.26896917631103,,0,348,4
CGRRF1*EVL,181.1215255641288,,0,169,4
CD40*DAG1,180.7419741547726,,0,2,3
MTFR1*NFKB2,180.243194863553,,0,3,3
CGRRF1*SQSTM1,178.95360111347676,,0,12,3
DNAJB6*KIAA0100,178.75075672797632,,0,13,3
EVL*SMC4,178.48610124613427,,0,3,3
EPRS*KIF2C,178.45765083265528,,0,30,3
EIF5*GADD45B,178.356910103551,,0,272,4
HMGCS1*RAC2,178.25272203503508,,0,8,3
EXOSC4*TIMP2,177.8560953992115,,0,477,4
ADO*TNIP1,177.05867977408263,,0,1,3
ETFB*MTHFD2,176.9204169503933,,0,34,3
CGRRF1*CORO1A,176.48224349606906,,0,242,4
ITGB5*TFAP2A,176.11830876547435,,0,2,3
PDHX*PRKCH,176.1013944189249,,0,2,3
DSG2*PAN2,175.43587570252944,,1,1,2
DUSP6*PTPRC,175.37451427267527,227.0,0,2,3
POLG2*PRKCH,175.34223908878158,,0,63,4
ACOT9*GMEB2,174.94565255482777,,0,5,3
LYPLA1*STXBP2,174.8109522420966,,0,4,3
COL1A1*MCOLN1,174.63104199963175,,0,48,4
SNX6*SQSTM1,174.08794243067064,,0,46,3
EXOSC4*GLTSCR1,173.34570795553867,,0,1,3
MAPKAPK5*TNIP1,173.32484616202174,,0,1,3
CETN3*PRKCH,173.19651390248947,,0,120,4
CAT*CHN1,172.92878657281548,,0,1,3
NPC1*PRKACA,172.8924644933969,,0,16,3
EVL*USP1,172.82862456986896,,0,1,3
CNDP2*SMARCC1,172.71160733093248,,0,19,3
ENOPH1*RAC2,172.69055004688394,,0,2,3
HSPA8*METRN,172.00937413252132,,0,3,3
CCP110*RAC2,171.9341123757716,,0,9,3
RFX5*TCEA2,170.70412765717649,,0,2,3
CD40*USP1,170.59870129397495,,0,4,3
CCP110*EVL,170.403317889754,,0,5,3
CD58*EVL,170.21560697635414,,0,131,4
MVP*TBC1D15,170.1517282579113,,0,8,3
FYN*TMCO6,170.13812158348043,,0,1,3
CCP110*CD40,169.99080982119096,,0,1,3
PSMD10*TNIP1,169.96148458772214,,0,6,3
CLTB*SOX4,169.8602149108263,,0,4,3
RAC2*TM9SF3,169.68787716192054,,1,1,2
GADD45B*MNAT1,168.89961342251507,,0,2,3
HOMER2*RAB21,168.8327496954847,,0,182,4
SNX6*TSC22D3,168.6908853098994,,0,3,3
DAG1*METRN,168.6244714818027,,0,7,3
CENPO*TICAM1,168.51874226323366,,0,3,3
RAC2*SNX6,168.0661722614489,,0,22,3
MAPK13*PEX12,168.0328179527445,,0,36,4
EIF5*EVL,167.72053122837053,,0,5,3
EVL*IGF2BP2,167.6902889040214,,0,2,3
EVL*MNAT1,167.49822646443897,,0,3,3
ACLY*ATP6V1F,167.39393040170157,,0,6,3
NFKBIA*USP1,167.08793267195404,192.0,0,7,3
MYBL2*PYGL,166.74980835199517,,0,2,3
CDK7*EVL,166.65503273369262,,1,1,2
CD40*SYF2,166.64420949443905,,0,488,4
MTFR1*RAC2,166.30200570722096,,0,8,3
APOE*SACM1L,166.30084663967216,,0,6,3
FZD7*SNX6,166.24734231648353,,0,4,3
FKBP4*PSMD2,165.93192050056788,188.0,0,51,3
DDX42*NFKB2,165.7871850452477,,0,9,3
CD40*CLIC4,165.7445492231839,,0,1,3
CCP110*TNIP1,165.51107519239284,,0,15,3
METRN*NOP16,165.44308515838523,,0,1,3
FBXO7*IL4R,165.32071492053015,,0,5,3
CD40*GPATCH8,165.24525746350702,,0,1,3
CENPO*DNAJC15,165.0622302445346,,0,1,3
FRS2*GADD45B,164.90399787494883,,0,91,4
CD40*KTN1,164.62248697659214,,0,5,3
ATP6V1F*MPZL1,164.51143224281233,,0,14,3
BAG3*CDK5R1,163.78782941748491,,0,7,3
CD40*HMGCS1,163.74333166035228,,0,2,3
CD40*FEZ2,163.7065267679189,,0,1,3
CORO1A*SNX6,163.5840433424692,,0,2,3
