interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
CGRRF1*CRK,238.7065745443414,,0,3,3
CD40*COL4A1,225.09131631077616,,0,105,4
CDK7*CRK,210.6826720845281,,0,31,3
CRK*UFM1,206.629031564401,,0,6,3
DHX29*EBNA1BP2,205.17985703392455,202.0,0,30,3
EPRS*SNX13,200.3877982944209,,0,362,4
MPZL1*TGFBR2,199.12122247136463,,0,4,3
COPZ1*SPAG4,198.9369696625893,,0,1,3
LYPLA1*NOP16,198.21585403700504,,0,2,3
LYPLA1*TOR1A,197.6367060245508,,0,3,3
EBNA1BP2*LYPLA1,195.53783097191703,,0,3,3
ATP2C1*EPRS,191.4882000686731,,0,10,3
PSMD10*TRAK2,190.77449720958768,,0,2,3
RASA1*TOP2A,190.30752472660964,,0,15,3
ADCK3*TBX2,189.86962845385588,,0,1,3
CENPO*RPIA,189.17041038906444,,0,3,3
SMAD3*TAOK2,188.43610102398216,,0,8,3
DPH2*NPRL2,188.2189599301008,,0,4,3
CRK*EIF5,187.49316520367424,,0,26,3
CDK5R1*NR1H2,187.31131233294107,,0,203,4
CDK7*NOP16,186.80503968158547,,0,35,3
MYBL2*RAC2,186.76918310930952,,0,9,3
DNAJC15*EAPP,186.5000448033932,,0,2,3
MTHFD2*NCK2,186.48304823596527,,0,1,3
EBNA1BP2*FBXO11,186.1125041969448,,0,15,3
ITGAE*MMP2,185.92169028498648,,0,1,3
MYO10*ZNF131,185.63039041569448,,0,3,3
GAA*WFS1,184.91247821927027,,0,9,3
FRS2*MEF2C,184.2442894252489,,0,234,4
CRK*RPS6,184.1293104787572,,0,36,3
ADO*DYRK3,183.3096154848548,,0,37,4
CDKN1B*MYO10,183.0773029385631,,0,6,3
MPZL1*UFM1,182.9152285158108,,0,2,3
CRK*SLC35A1,182.80764040884733,,0,3,3
ATP2C1*DYRK3,182.66206710494345,,0,2,3
NOP16*PPP2R5A,182.2960916907957,,0,3,3
IFNAR1*SPR,182.2724588048195,,0,319,4
FBXO11*MSH6,182.2233367223401,694.0,0,9,3
SOCS2*TBC1D15,181.60747161483027,,0,5,3
DRAP1*LAGE3,181.23871934404545,,0,1,3
PSMD2*TSC22D3,181.15125917046117,,0,10,3
DYNLT3*HSPA8,181.1310857290873,,0,11,3
DMTF1*TOR1A,181.02935157329904,,0,48,4
CAT*TBC1D9B,180.88452787824824,,0,6,3
DNTTIP2*DPH2,180.86647241235767,190.0,0,1,3
FAM114A2*WRB,180.4765375864738,,0,1,3
COL1A1*MAPK13,180.3452790857845,162.0,0,1,3
CAB39*TP53BP2,180.2553347287968,,0,2,3
CRK*ZDHHC6,180.1117760644638,,0,3,3
MAPKAPK5*MPZL1,180.004637179064,,0,317,4
AFG3L2*SPECC1L,179.68473335504922,,0,12,3
ARHGAP1*DYNLT3,179.54119663218214,,0,3,3
COL4A1*TCEA2,179.53916981975777,,0,124,4
CETN3*RRS1,177.78603394671077,,0,3,3
MYO10*SLC35A3,177.61987983738686,,0,116,4
MBNL2*RRS1,177.59002824762962,,0,5,3
PAN2*RAI14,177.56573447819486,,1,1,2
CSK*EVL,177.12906970331989,,0,5,3
MAT2A*USP16,177.05650784249565,,0,10,3
CDC20*ZNF131,176.96317461604366,,0,5,3
SMC3*TP53BP2,176.64296032041892,,0,16,3
ACLY*ADO,176.36385334510877,,0,2,3
MPZL1*PIK3C3,176.1660634420599,,0,4,3
COL1A1*STAT3,175.75420716891156,325.0,0,7,3
SCYL3*TP53BP2,175.45181270236262,,0,4,3
MPZL1*TOPBP1,174.50086316674492,,0,3,3
CRK*KLHDC2,174.33205759731007,,0,5,3
COL4A1*PRKCH,174.20631542473143,,0,1,3
GADD45B*MYBL2,174.1576978367223,315.0,0,1,3
ACLY*UTP18,174.15458495041008,,0,28,3
ADAM10*PAN2,174.1084692493847,,0,2,3
CGRRF1*MAT2A,173.97569070776885,,0,2,3
KDM5B*PARP2,173.97544552334725,181.0,0,3,3
ACLY*PAN2,173.5003504447205,,0,38,3
CERK*RAC2,173.41534460576335,,0,1,3
KDELR2*MBNL2,173.26586300849226,,0,3,3
CCNB1*ZNF131,173.14805611188632,,0,2,3
FBXO11*NFATC4,172.9564788898422,,0,224,4
ATF1*CENPO,172.3558962105041,,0,1,3
KDM5B*LYPLA1,172.26461999600338,,0,2,3
ABCC5*FEZ2,172.19020192288738,,0,1,3
GNA11*PSMD10,172.12334515993692,,0,9,3
CSK*MAPK13,172.00718452345075,243.0,0,5,3
CENPO*KDM5A,171.64892371761317,,0,1,3
HSPA8*SACM1L,171.592151810872,,1,1,2
MBNL2*TP53BP2,171.43501911890917,,0,2,3
COPS5*NOP16,171.3210113496383,,1,1,2
GFPT1*OGFOD1,171.18673395420012,,0,3,3
ATF1*SOCS2,171.18278314307582,,0,1,3
CERK*SLC25A14,171.06650205551657,,0,46,4
FEZ2*SMC1A,170.9562881854766,,0,4,3
CCT8*NCK2,170.84471724099384,,0,11,3
CD40*LOXL1,170.60839094282915,,0,53,4
CDC20*PSRC1,170.36642719482182,399.0,0,8,3
CDK1*LYPLA1,170.30924926371608,361.0,0,9,3
NUP133*SNX13,170.2969086187801,,0,172,4
KLHDC2*MYO10,170.29266267202834,,0,1,3
NFATC4*PSRC1,170.15250515580118,152.0,0,2,3
MAPKAPK5*STMN1,169.7746566878606,,0,4,3
FEZ2*GNA11,169.7236443434044,,0,2,3
