interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
DNM1L*HINT1,274.17992541257127,,0,27,3
MBNL2*STAP2,268.6320871140597,,0,1,3
MFSD10*RHEB,264.00275588485005,,0,2,3
CYCS*PRKCD,261.2661060010406,607.0,0,12,3
IGF2BP2*STUB1,260.67327577742014,,0,38,3
GMEB2*LPGAT1,258.63640181758143,,0,2,3
RNPS1*SERPINE1,253.40510439545463,,0,6,3
CTSL1*TESK1,252.5836820802481,,0,0,0
GTDC1*STAP2,251.20249101425787,,0,6,4
CAB39*LPGAT1,249.8806961308159,,0,4,3
ERBB3*GTDC1,246.081080386663,,0,77,4
HOXA10*TCTA,246.01878353291292,,0,16,4
HADH*LRRC16A,244.6239919007395,,0,4,3
DHX29*LPGAT1,243.22942538068688,,0,6,3
DNM1L*SPTLC2,242.67001823091,186.0,0,9,3
DSG2*PCMT1,242.3908253772882,,0,32,3
CAB39*CETN3,241.09528477016076,,0,1,3
KIAA0907*PPIC,238.48301778613003,,0,1,3
ATP6V1D*HADH,238.32174487486685,,0,3,3
ENOPH1*HINT1,237.19310357645097,234.0,0,4,3
ETFB*NARFL,236.2794371898744,,0,3,3
CAB39*PGRMC1,234.42230714316685,,0,6,3
FAT1*GMEB2,234.205846785935,,0,1,3
KIAA0196*LRRC16A,233.66958255418348,,0,8,3
GMEB2*PMPCB,233.61662245697707,,0,4,3
HMGA2*NVL,231.8098597858868,,0,8,3
CAB39*PLA2G4A,229.9854967443848,,0,2,3
MNAT1*SYPL1,229.81830907523096,,0,1,3
GLOD4*TOMM70A,229.23672949525508,,0,7,3
HDGFRP3*STMN1,228.7104981498684,,0,327,4
BRPF1*MFSD10,228.61245711037432,,0,2,3
PMPCB*PPIC,228.30314611697196,,0,2,3
TBX2*TGFB3,227.98923528053808,,0,9,4
DDX42*TXNL4B,227.83103743300865,,0,5,3
ASH2L*H2AFV,227.16546603953876,751.0,0,12,3
CAB39*STAMBP,226.99206156127696,,0,5,3
KAT6A*TRAM2,226.97945101543044,,0,2,3
GMEB2*TM9SF3,226.9102311788983,,0,2,3
GMEB2*SNX13,226.50141895318416,,0,1,3
KDM5B*ZNF274,226.47661124045976,262.0,0,153,4
HINT1*PCMT1,226.21043361471573,,0,32,3
P4HTM*TOMM70A,226.0065111657005,,0,2,3
CTNNAL1*STAP2,225.93785559965912,,0,109,4
DNM1L*EIF5,225.28762574664825,,0,34,3
GTPBP8*PPIC,223.98356749023785,216.0,0,52,4
FAM69A*MAPKAPK2,223.93366108710245,,0,115,4
ME2*STUB1,222.84020519070677,,0,12,3
AKAP8*ERBB3,222.0753581831177,,0,4,3
HMGA2*MBNL2,221.79284330272907,,0,1,3
LBR*SKP1,220.82432261291285,,0,36,3
PRKACA*SNX17,220.62008493028267,,0,10,3
LPGAT1*NARFL,220.5307442217973,,0,1,3
HADH*RAB27A,220.0816381897069,,0,2,3
ASAH1*HINT1,219.7088747085549,,0,2,3
ALDH7A1*ISOC1,219.58026525267368,,0,20,3
BBS9*CCDC86,218.91655231987212,,0,92,4
HADH*KIAA0196,218.6936065804609,,0,5,3
PSMD4*RNMT,218.65900875123972,,0,22,3
GMEB2*POLG2,218.64956445540437,,0,76,4
PGRMC1*ZNF589,218.1363940743236,,0,1,3
PGRMC1*TRAM2,217.6040102014592,,0,6,3
HADH*NOSIP,217.5995260822848,,0,4,3
PIGB*SYPL1,217.2868519790405,,0,57,4
GMEB2*KIAA0907,217.25224298076145,,0,5,3
GSTZ1*PCK2,216.4718258625618,,0,3,3
HMGA2*KIAA0907,216.3192272619213,,0,2,3
BAD*NPRL2,216.2058966922428,,0,5,3
NUDT9*PSMG1,216.20488960115517,,0,2,3
HMGA2*NUP85,215.8876821840232,181.0,0,10,3
FOXO3*RAB21,215.8765230509471,,0,3,3
MAMLD1*TNIP1,215.29968134132525,,0,76,4
STUB1*TAOK2,215.1318689572688,,0,9,3
JUN*STAP2,215.1091018212049,,0,2,3
HINT1*PPP2R5A,214.16355815632292,,0,5,3
PSMD10*TRAK2,214.13703511036255,,0,2,3
DCUN1D4*GMEB2,214.04611372554436,,0,1,3
GRN*NSDHL,213.77445188854608,,0,8,3
PTPN1*RFC2,213.73547349741776,,0,21,3
FEZ2*RBM6,212.74299420404412,,0,2,3
DYRK3*UTP18,212.71811112761588,,0,2,3
CAT*HINT1,212.53618445034692,,0,14,3
CEBPZ*EIF5,212.1178248864557,,0,31,3
NUSAP1*TM9SF2,211.7881069641275,,0,3,3
GMEB2*WDR61,211.4946340479417,183.0,0,2,3
PPP2R5A*SEC11A,211.3160598046541,,0,1,3
MNAT1*PPP2R5A,211.2191548758697,,0,3,3
NISCH*PGRMC1,211.05656279021147,,0,31,3
PSMD10*SYPL1,210.66338062330476,,0,2,3
HMGA2*NRIP1,210.38036934709876,,0,3,3
NUP88*SUCLG1,210.3173773901258,,0,10,3
ATP2C1*COPZ1,210.0701922037236,,0,7,3
FRS2*LGALS8,209.8720531980649,,0,6,3
CDK5R1*KDELR2,209.6116059936228,,0,3,3
BCL2*NOSIP,209.5835193363699,,0,8,3
LRPAP1*PGRMC1,209.3706575738497,,0,22,3
CETN3*RALA,208.8253983687264,,0,7,3
CAB39*FKBP14,208.6047069184583,,0,152,4
NFATC3*PGRMC1,207.90132921391816,,0,4,3
APOE*DAXX,207.5872775327004,,0,6,3
HMGA2*TP53BP2,207.46050822767552,,0,7,3
