interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
PIN1*TM9SF2,42.58055077244986,,0,10,3
DHRS7*IL4R,36.35353788655442,,0,469,4
LOXL1*TRAPPC3,36.2047498849501,,0,32,4
C2CD2*RPS5,34.892167205155815,,0,4,3
PACSIN3*TSTA3,34.69673736057224,,0,3,3
EIF4A3*TESK1,34.21968573494521,,0,1,3
GNAI2*RHEB,33.94173206202996,214.0,0,10,3
GNA11*PACSIN3,33.86588769118159,,0,20,3
FOXO4*IFRD2,33.3726252754367,,0,2,3
PACSIN3*SPDEF,33.13895012130646,171.0,0,6,3
CLTC*TIMM17B,33.1074767264108,,0,5,3
ECH1*EGFR,32.90978309750182,,0,60,3
PSMF1*SPDEF,32.87448939969246,,0,2,3
IPO13*PCNA,32.83158910284614,,0,11,3
GRN*RRS1,32.538490937791146,,0,11,3
CHIC2*FZD7,32.36509991388826,,0,102,4
ACBD3*DPH2,32.059627105750934,,0,3,3
MELK*PIN1,32.050393987209205,,0,4,3
DHRS7*SLC25A46,31.336076605585777,,0,16,3
PIN1*YME1L1,31.111552978207698,241.0,0,15,3
NISCH*TSTA3,30.99656601095785,,0,601,4
SPDEF*VPS28,30.996267506849392,,0,1,3
IFRD2*PACSIN3,30.93642372469228,,0,5,3
PCBD1*PTPRF,30.5884021372714,,0,4,3
ALAS1*PIN1,30.55405202614333,,0,9,3
CDC25B*TM9SF2,30.398063890212853,,0,620,4
ATP6V0B*PTPRF,30.2647720981671,181.0,0,2,3
CLTB*SLC11A2,30.14693810601264,,0,655,4
ABHD4*TMEM97,30.10415423919139,,0,1,3
DHRS7*ICAM3,30.08246993626478,,0,165,4
DHRS7*STK10,29.876417762103305,,0,4,3
MELK*SPDEF,29.72079326653616,,0,221,4
PSMB8*SSBP2,29.674265692693343,,0,580,4
EBNA1BP2*IPO13,29.631338681022147,,0,6,3
MCOLN1*ORC1,29.499541068283847,,0,38,4
KDM5B*MRPL12,29.477120400702557,203.0,0,8,3
GAA*ZNF131,29.46029534552468,,0,587,4
ECD*NOP16,29.37149184674256,,0,6,3
EIF4A3*PIN1,29.36028647898644,,0,48,3
GNPDA1*SPDEF,29.17389592917596,,0,1,3
IFRD2*PIN1,29.131315666409087,,0,4,3
PSMD4*TM9SF2,28.974035905579772,,0,15,3
IPO13*TSTA3,28.899158958565785,,0,289,4
CASP10*FIBP,28.89696188137935,,0,1,3
ASCC3*PRAF2,28.81749829600028,,0,4,3
CHAC1*RAD51C,28.8146605637765,,0,1,3
PKIG*TEX10,28.80549320066601,,0,1,3
CCNH*RNMT,28.803119203525625,708.0,0,7,3
ABHD4*PARP1,28.798864766273557,,0,2,3
GRB10*NSA2,28.7228635772336,,0,12,3
CDKN1B*IFRD2,28.722395765202176,,0,535,4
FGFR2*TSTA3,28.631353202885304,,0,1,3
DECR1*PIN1,28.62428104198741,,0,11,3
CERK*SEC11A,28.57428534880584,,0,2,3
JMJD6*TSTA3,28.536477262044293,,0,1,3
DPH2*MCOLN1,28.5199875596925,,0,35,4
PIN1*SLC35A3,28.514434217186167,,0,1,3
IFRD2*ITGB5,28.48741944242208,,0,315,4
DNAJC15*USP16,28.480500190230917,,0,1482,4
COL1A1*ECH1,28.463624776879968,,0,1034,4
SPDEF*ST6GALNAC2,28.461820553791856,473.0,0,1,3
MCOLN1*MTA1,28.422222246803532,,0,121,4
MFSD10*PTK2,28.374617880311916,,0,3,3
PCBD1*SPDEF,28.30211939837873,,0,1,3
SPDEF*TSTA3,28.287308187938866,,0,107,4
MFSD10*RPS6KA1,28.214543010868752,,0,1,3
STXBP1*TSTA3,28.16553750506837,,0,1,3
IKBKB*TMEM97,28.165175336445472,,0,3,3
COL4A1*FZD7,28.00192732467521,299.0,0,1,3
FDFT1*PIN1,27.9570344287365,,0,11,3
ATP6V0B*DPH2,27.93204578554297,516.0,0,4,3
NOLC1*PIN1,27.9071740531503,,0,27,3
AURKA*IKBKB,27.83758891505363,365.0,3,1,2
DRAP1*KIAA0196,27.826083709949003,,0,2,3
ATP6V0B*SLC5A6,27.78586080609412,,0,1,3
MCOLN1*TPD52L2,27.767675156455542,,0,103,4
UXT*ZNF274,27.72694593029803,,0,109,4
PIN1*TOPBP1,27.686578305868043,,0,12,3
CHMP6*POLB,27.66451209648284,,0,1,3
NRIP1*PLP2,27.606759238252167,,0,416,4
ECD*RRS1,27.591409807829443,,0,12,3
AKAP8L*ATP6V0B,27.573379683939216,,0,1,3
BDH1*PIN1,27.57059349047761,,0,5,3
SPDEF*TLK2,27.515951924490267,,0,1,3
CHAC1*TPD52L2,27.48100686640031,,0,1,3
ACD*SPDEF,27.380900430377448,,0,177,4
CTTN*PIN1,27.30506605370217,,0,21,3
PIN1*PPARG,27.143828836783225,377.0,2,1,2
ALAS1*ATF6,27.07983390462065,,0,2,3
ECH1*FKBP14,27.058445790744173,,0,1,3
DNAJC15*TP53BP1,27.038020048888555,,0,5,3
PIN1*PXMP2,27.033945003014068,,0,4,3
GNAI2*PMF1,26.96745231122694,,0,2,3
KIAA0355*TRAPPC3,26.95112608108287,,0,1,3
CASP10*GAPDH,26.93717478541608,255.0,0,4,3
COPZ1*TESK1,26.89431126327685,,0,1,3
PLP2*SPTAN1,26.890195885927387,,0,9,3
CCNA2*NR1H2,26.84433744810883,,0,1,3
PIN1*SMC4,26.792594935086186,451.0,0,19,3
HDGFRP3*KHDRBS1,26.77331928903735,,0,3,3
