interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
MLLT11*PACSIN3,38.70796301045182,,0,1,3
EBNA1BP2*PSME1,35.36888278203493,,0,19,3
DCTD*TM9SF2,34.9481615895058,,0,1,3
CENPO*PMPCB,34.88053296795507,,0,5,3
SPDEF*UGDH,34.757600517247155,,0,1,3
COG7*PIK3R3,34.50853058378862,,0,2,3
HDGFRP3*PIN1,34.07915182155868,,0,638,4
ORC1*PMPCB,33.53035814826518,,0,6,3
PIN1*TCEA2,33.16190550674045,176.0,0,36,3
ECD*STAT5B,32.934959195116264,,0,7,3
KTN1*TM9SF2,32.88181063894954,,0,18,3
PSMB8*PSRC1,32.407921502049206,,0,2,3
BRPF1*CDK19,32.30298147859321,,0,2,3
SPDEF*TMEM5,32.21378435485254,,0,19,4
AURKA*PDGFA,32.213149215822305,,0,3,3
GADD45B*PIN1,32.211415797931025,,0,309,4
DAXX*ETS1,32.19630613693597,987.0,4,1,2
IPO13*PRKAG2,32.07781171777352,,0,247,4
EIF4A3*PSME1,31.93430518097362,,0,42,3
IPO13*TGFBR2,31.72694230384046,,0,1,3
PAK1*PTPRF,31.61982812666443,,0,18,3
IFRD2*PFKL,31.58244779688995,,0,7,3
PSMB8*SUV39H1,31.558641385033432,,0,10,3
IGHMBP2*STAT5B,31.5195102096804,,0,1,3
ACD*TRAPPC3,31.46734213320808,,0,2,3
PIN1*TCEAL4,31.3935121347011,,0,6,3
NRIP1*PTK2,31.390590647874184,,0,8,3
DDX10*PACSIN3,31.351099658637217,,0,8,3
GNAI2*IPO13,31.328373373514783,,0,7,3
COL4A1*MCOLN1,31.27685964901947,,0,6,4
CDK1*EIF5,31.253991532299796,,0,31,3
HSPD1*PSME1,31.201626252819416,201.0,0,60,3
ARHGEF12*SPDEF,31.198367990950064,,0,4,3
PTPRK*SPDEF,31.16146998392296,,0,1,3
PRKACA*TGFBR2,31.13296822378218,212.0,0,16,3
MBTPS1*TGFBR2,31.116549651664464,,0,2,3
EBNA1BP2*PDGFA,31.10011518860341,,0,1,3
SPDEF*USP7,31.064325420613255,,0,7,3
EVL*TESK1,31.04594520290161,,0,124,4
CAB39*YME1L1,30.98798350512211,,0,5,3
NFKB2*PMAIP1,30.951298110349853,218.0,0,4,3
NRIP1*SPDEF,30.9031960825559,,0,3,3
CENPE*PSMB8,30.83145310932703,,0,3,3
JOSD1*SPDEF,30.569407961201797,,0,139,4
PMPCB*YME1L1,30.56520027474025,584.0,0,24,3
CALU*CCP110,30.51119986623395,,0,10,3
ORC1*PSMB8,30.288822374244173,902.0,0,1,3
ABCC5*SPDEF,30.250899193478105,,0,145,4
PPOX*USP16,30.22400478195987,,0,3,3
CEBPA*MRPS16,29.972591620849023,,0,4,3
KTN1*SLC11A2,29.902208947876268,,0,16,3
CDCA4*PMPCB,29.89407629157691,,0,2,3
CCND3*ETS1,29.877748340439464,172.0,0,2,3
COG4*TGFBR2,29.848342672470565,,0,5,3
FIBP*PIN1,29.82058383314282,,0,4,3
FAM114A2*IGF2R,29.77357283477173,,0,26,3
AURKA*RPS5,29.677209292497132,,1,1,2
SMC3*USP16,29.588126949808583,265.0,0,15,3
HDGFRP3*UBL5,29.507026993257032,,0,190,4
PMPCB*SUZ12,29.50035799799732,,0,20,3
CDK7*ETS1,29.46139254603747,181.0,0,14,3
DMTF1*PTPRF,29.446602649901003,,0,2,3
CCNA2*HMGA2,29.444286408052854,427.0,0,12,3
FZD7*SCARB1,29.41690575030843,,0,4,3
CRK*PLS1,29.39207773284696,,0,7,3
PTK2*TGFBR2,29.36420211205091,282.0,0,16,3
CLPX*SLC11A2,29.353496865825903,,0,5,3
ABCC5*XPNPEP1,29.34685556534514,,0,4,3
CCNA2*CISD1,29.337266231479163,,0,4,3
ALAS1*EIF5,29.325650291089307,,0,4,3
USP16*YME1L1,29.317634082554285,314.0,0,8,3
MBNL2*TM9SF2,29.24030703434632,151.0,0,1,3
CLTC*FAM114A2,29.1815316193199,,0,8,3
EVL*SPDEF,29.17557137210624,,0,171,4
IFRD2*SLC25A13,29.166967527859207,,0,6,3
ICAM3*SPDEF,29.13949589550939,,0,34,4
AURKA*RALA,29.11179961145403,426.0,0,15,3
BIRC5*POLE2,29.04656486621069,615.0,0,3,3
KIAA0100*NRIP1,28.97670286990511,,0,1,3
SLC25A46*SPDEF,28.92378200214368,,0,1,3
IFRD2*PDGFA,28.880649112235737,,0,2,3
COL4A1*DNAJA3,28.861683689225643,,0,2,3
CALM3*GRWD1,28.843337704646284,,0,37,3
SMC4*TCERG1,28.81174942373226,158.0,0,34,3
ATF6*GLTSCR1,28.788662623845852,,0,2,3
AURKA*PSME1,28.68268681831248,,0,49,3
COL4A1*TM9SF2,28.61152110974936,,0,76,4
DPH2*ECH1,28.589269197096275,,0,1,3
CLTC*STAT5B,28.587479649301805,,0,21,3
SSBP2*STAT3,28.562992322193125,,1,1,2
CALM3*IFRD2,28.541323740807584,,0,4,3
BRPF1*KBTBD2,28.52841126037962,,0,104,4
PSME1*SMC4,28.51165668014772,,0,29,3
CDK19*KDM5A,28.488517579878376,163.0,0,2,3
CDK19*PLCB3,28.47036592500153,,0,325,4
P4HTM*SACM1L,28.44477715018348,,0,4,3
ASCC3*PLS1,28.44318813974632,,0,7,3
CORO1A*JUN,28.35835720738764,,0,8,3
FAT1*GTDC1,28.349109444610107,,0,23,4
ECD*STK10,28.337259798317422,,0,6,3
