interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
BUB1B*TMEM97,49.67577629227295,191.0,0,3,3
MAP2K5*NSA2,45.74682656083494,,0,6,3
COPS5*PDGFA,44.43363919241676,,0,2,3
DENND2D*ST7,43.23097859835759,,0,391,4
KIF20A*TRAPPC3,41.9623142934181,,0,7,3
TM9SF3*TMEM5,41.34327844858258,,0,1,3
RAB4A*STX1A,41.178033593635305,229.0,0,22,3
GRWD1*HNRNPA2B1,41.10825907526429,154.0,0,102,3
PRUNE*ZDHHC6,40.97197969370853,,0,3,3
EPN2*MEST,40.81555345812198,,0,2,3
CORO1A*HMGA2,40.50336101472873,,0,2,3
CCNH*NENF,40.17288584114425,,0,1,3
DHRS7*PIP4K2B,40.09579731589447,,0,2,3
RALGDS*STX1A,40.00284169761734,,0,1,3
IL1B*PAK1,39.710741248726784,,0,4,3
RAB4A*WRB,39.18859752314719,,0,8,3
HTATSF1*RHOA,39.1208099217698,,0,16,3
IL1B*MAST2,38.63268036060622,,0,4,3
CALM3*HNRNPA2B1,38.457774350400754,,0,40,3
GNAS*TXNDC9,38.41302335958763,,0,6,3
EIF4A3*PRAF2,38.33581693851383,,0,9,3
HMGA2*PTPRC,38.21790161262225,206.0,0,195,4
NISCH*RALA,38.11767596436336,,0,17,3
CCNH*SLC25A46,38.03875728278115,179.0,0,1,3
EIF4EBP1*FGFR2,37.86209392009157,,0,2,3
COL1A1*NOSIP,37.74372674816251,,0,5,3
CEBPA*EPN2,37.61523281535919,,0,2,3
ARFIP2*CALM3,37.52869722626158,,0,6,3
COPZ1*WRB,37.41767065235898,,0,5,3
DNAJB6*ELAVL1,37.1211392259446,,0,86,3
IKBKB*SLC27A3,37.02501776222861,,0,4,3
BDH1*GRWD1,36.84143085505877,250.0,0,8,3
CDKN1B*EIF5,36.74857584966232,,0,9,3
CYTH1*INSIG1,36.73403924277491,,0,1,3
PRUNE*SLC37A4,36.684794870208655,,0,48,4
COPZ1*RFC2,36.67896621116103,,0,18,3
CENPE*TMEM97,36.63374852787175,,0,287,4
POLE2*TMEM97,36.48350496879424,,0,2,3
PRAF2*RFC2,36.374468281160894,,0,6,3
MICALL1*ZMIZ1,36.35750200592533,,0,3,3
DUSP11*GAPDH,36.35506643844113,162.0,0,10,3
CCNA2*TRAPPC3,36.315596224855135,,0,3,3
NISCH*SLC35F2,36.12645804110085,,0,9,3
ST6GALNAC2*TP53BP1,35.9354096080851,,0,123,4
DECR1*INTS3,35.62808553428727,,0,6,3
SUZ12*TMEM97,35.615503193772604,,0,3,3
KDM5B*MNAT1,35.6103987289958,,0,5,3
MOK*NUCB2,35.5669825582846,,0,1,3
FAH*KLHL9,35.56468297373752,,0,108,4
NISCH*ST3GAL5,35.54333686648514,,0,1,3
CHEK2*TMEM97,35.50529139109292,,0,2,3
ELAVL1*RNMT,35.41701015012119,169.0,0,39,3
PRAF2*PSRC1,35.332405881058925,,0,1,3
SIRT3*STAT5B,35.19448373415348,,0,4,3
RFC2*TCERG1,35.18034741817286,,0,37,3
DCTD*PACSIN3,35.13743287175516,,0,293,4
MVP*RBBP6,34.97609674160582,,0,14,3
CALM3*LOXL1,34.97423734733784,,0,184,4
EIF4A3*NISCH,34.92417712784297,,0,19,3
EDEM1*PAN2,34.90046548706141,,0,9,3
MICALL1*TESK1,34.76459854577552,,0,3,3
TMEM97*TOP2A,34.72537517358853,192.0,0,5,3
PMM2*STMN1,34.703121149798555,,0,5,3
BCL7B*ELAVL1,34.59275372756988,,0,17,3
CALM3*TIMP2,34.59118500628556,,0,2,3
CDK1*TRIB1,34.49505206698082,171.0,0,1,3
INSIG1*ZMIZ1,34.48810172715872,,0,1,3
AP1B1*PACSIN3,34.44783079565761,,0,14,3
HNRNPA2B1*SLC37A4,34.42065786430857,,0,1,3
FAH*PTK2,34.370196511985675,,0,3,3
FGFR2*KAT6B,34.33926314298249,189.0,0,243,4
PRAF2*SKP1,34.30724891294435,,0,6,3
MLLT11*ST7,34.14052329986388,,0,2,3
CEBPD*SLC25A13,34.13292044787924,,0,4,3
CETN3*RRAGA,34.101914358710374,,0,210,4
COPZ1*RBBP6,34.0900944801945,,0,11,3
GMNN*TRIB1,33.96567395107336,,0,1,3
DAXX*POLD4,33.930973282491514,,0,323,4
RAB4A*REEP5,33.92892598822755,,0,91,3
IL1B*LIPA,33.89659671453375,204.0,0,1,3
DCTD*ICAM3,33.88620410126646,,0,31,4
PRAF2*RFC5,33.877352932763515,,0,6,3
RPIA*ZMIZ1,33.854482160807336,,0,1,3
DNAJB6*INSIG1,33.83788139773811,159.0,0,9,3
MAPKAPK5*TMEM97,33.83130045590132,,0,207,4
NOP16*PRAF2,33.82899580180969,,0,1,3
ACAA1*CETN3,33.75097677955881,,0,1,3
PACSIN3*PSMD4,33.74231640085319,169.0,0,12,3
RFC2*RFC5,33.655607658770585,999.0,7,1,2
CDKN1B*PKIG,33.64026084888605,,0,74,4
GRWD1*LOXL1,33.636418959895586,,0,469,4
TCEAL4*ZMIZ1,33.509836061425005,,0,1,3
FAH*MAP2K5,33.458080845121685,,0,314,4
BNIP3L*ELAVL1,33.45717741970667,,0,13,3
CASP10*IL1B,33.452578140257714,424.0,0,2,3
SLC25A13*SUV39H1,33.44897804536486,,0,10,3
