interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
BAG3*ID2,5.847266601092727,,0,10,3
BAG6*TMEM50A,5.823253956818149,,0,3,3
BAG6*UQCR10,5.784717514780411,,0,6,3
EGFR*NDUFA3,5.774598896805577,,0,20,3
BAG6*GNAS,5.765484775284447,,0,38,3
BAG6*SRP14,5.762646422424208,,0,31,3
CEBPA*TP53,5.746822763602836,766.0,0,48,3
PDLIM1*SLC25A14,5.739211189447884,,0,1,3
BAG6*VPS28,5.731239823310469,,0,12,3
BAG6*CCDC92,5.713021852513745,,0,5,3
BAG3*ECH1,5.699347480056666,,0,19,3
MTF2*PPIC,5.684736613703212,,0,1,3
PDLIM1*RBM6,5.681926050420036,,0,7,3
EIF4G1*SRP14,5.6710430020200135,,1,1,2
CDKN1A*GNAS,5.6598819158808125,,0,16,3
HIST1H2BK*VAT1,5.657041168665256,,0,11,3
GRB7*HES1,5.64712224573804,,0,2,3
DMTF1*GRB7,5.643971674785121,,0,115,4
HES1*TSKU,5.643538759080187,,0,8,4
CALU*UXT,5.64242188727806,,0,3,3
CHMP6*CTTN,5.641271576816667,,0,4,3
CHMP6*KCNK1,5.635156868542428,,0,1,3
BAG3*CCND3,5.634158530952572,,0,5,3
CLSTN1*HES1,5.633016423293654,,0,186,4
KCNK1*PSMB1,5.631261603704014,,0,1,3
SMARCA4*ZRSR2,5.630022575342534,,0,6,3
CCDC92*ECD,5.6257326152485545,,0,4,3
CCND3*TES,5.612605417119225,,0,9,3
EGFR*UQCR10,5.607152640572654,,0,23,3
BAG3*VPS28,5.600576754516029,,0,14,3
BAG6*CEBPA,5.598329071371519,,0,8,3
HES1*RRP12,5.596878116829183,,0,4,3
BAG6*NDUFA3,5.594489438449289,,0,4,3
CTTN*NDUFC1,5.594461562389798,,0,1,3
ID2*JOSD1,5.593497972961153,,0,1,3
CLSTN1*GNAS,5.59258639577928,,0,5,3
EPRS*PSMB1,5.5925115357289625,152.0,0,55,3
CCND3*EPRS,5.586753240879066,,0,5,3
PLA2G15*SNX7,5.58585637567645,,0,1,3
DSG2*PSMB1,5.582810771657488,,0,23,3
ECD*ID2,5.581997254320636,,0,1,3
CHMP6*HIF1A,5.580855483612504,,0,1400,4
CHMP6*PTPRK,5.580332661406647,,0,2,3
BAG6*CHMP6,5.576725422004904,,0,3,3
CCDC92*SCRN1,5.573294536443521,,0,238,4
CTTN*ECH1,5.572410195022494,,0,17,3
BAG6*ID2,5.5665857732504,,0,9,3
HES1*RRS1,5.557313421499303,,0,1,3
CHMP6*SMARCA4,5.554942119939113,,0,7,3
CAST*ECH1,5.550061060070553,,0,8,3
MAPKAPK2*SRP14,5.548237804680678,,0,15,3
SLC25A14*TUBB6,5.54675396015344,,0,2,3
HES1*VDAC1,5.546354760333508,,0,4,3
BAG6*PPARD,5.544566226567127,,0,8,3
PLS1*SRP14,5.543955504752888,,0,12,3
APOE*BAG6,5.541752395943989,,0,11,3
DMTF1*PDLIM1,5.541067880084127,,0,93,4
CAST*ID2,5.539917930973826,,0,3,3
IQGAP1*PSMB1,5.539084506758609,,0,58,3
ERBB3*HES1,5.536466556162754,,0,3,3
ERBB3*GTF2A2,5.536121372184791,,0,2,3
HES1*LBR,5.535710701277793,,0,6,3
PNP*SLC25A14,5.534142209476948,,0,71,4
EGFR*GNAS,5.532795329277075,696.0,4,1,2
ARHGAP1*HES1,5.53266243819335,,0,744,4
CEBPA*CTTN,5.532329893180227,,0,11,3
CHMP6*SCRN1,5.532171126564334,,0,1,3
CCND3*JOSD1,5.525131931594345,,0,253,4
FAM57A*SLC25A14,5.5238365209051095,,0,45,4
GLOD4*HIF1A,5.5225129454191855,,0,9,3
HES1*RELB,5.52037038684258,,0,3,3
GNAS*HIF1A,5.519512506298751,,0,18,3
CCND3*MAPKAPK2,5.518029178133824,,0,4,3
DDB2*ECH1,5.51760243458595,,0,2,3
TMEM50A*TRAP1,5.514795469317495,,0,2,3
HES1*RALA,5.510730480410093,,0,2,3
PTPRF*SRP14,5.510528291119853,,0,10,3
PMF1*SMARCA4,5.509309638234127,,0,12,3
CCDC92*RRP1B,5.509065464475368,,0,2,3
ABCB6*FAM57A,5.508531638351927,,0,2,3
CAPN1*ECH1,5.505621627872566,,0,14,3
GNAS*JOSD1,5.50485616818752,,0,2,3
CCDC92*TRAP1,5.504525721963486,,0,3,3
CAMSAP2*GTF2E2,5.501387029111951,,0,3,3
ALAS1*RAB27A,5.499459206374236,,0,2,3
CCDC92*MAPK9,5.496542077979188,,0,474,4
CCND3*CTTN,5.495985282453468,,0,4,3
HES1*PTPN1,5.495003625868946,,0,6,3
HES1*TNIP1,5.4947258498588925,,0,4,3
PSMB1*RASA1,5.4946943044558765,,0,8,3
APOE*KCNK1,5.493978261704806,,0,2,3
KCNK1*UQCR10,5.493640089746899,,0,2,3
BAG6*PMF1,5.49156220221983,,0,8,3
ID2*MTFR1,5.489210579106188,,0,334,4
HIF1A*SRP14,5.489150762604238,,0,27,3
BLCAP*DDB2,5.48665425982711,,0,159,4
CCND3*UBAP1,5.485115991031412,,0,1,3
DECR1*FAS,5.484207587295451,,0,9,3
HIF1A*NDUFC1,5.48404881868015,,0,206,4
DAG1*UQCR10,5.483748847825693,,0,4,3
