interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
RBM6*SSBP2,5.949827480906243,,0,1,3
ARHGAP1*BAG6,5.923863504260006,,0,30,3
BAG6*TP53,5.832791122956649,331.0,2,1,2
ADAT1*EIF4G1,5.823781959203572,,0,3,3
C2CD2*RBBP6,5.816358907196366,,0,477,4
DAG1*MAP4K4,5.814276814457973,,0,24,3
PRUNE*SLC25A14,5.785184485268015,,0,23,4
PLS1*TES,5.779380124970743,,0,15,3
TCFL5*TXNL4B,5.761869540539911,,0,1,3
POLG2*TCFL5,5.7605060919432844,,0,1,3
MTFR1*PLS1,5.756728369389353,,0,5,3
BAG6*VDAC1,5.7438554259271815,,0,61,3
EIF4G1*FAS,5.738858297141655,,0,18,3
CASK*PTK2,5.729473865166823,174.0,0,16,3
BAG6*CALU,5.726403135699854,,1,1,2
ACLY*PLS1,5.721556345125768,,0,17,3
CAST*TP53,5.718034764302439,243.0,0,37,3
PLEKHJ1*RBM6,5.714141609492183,,0,284,4
EIF4G1*MAP4K4,5.70303617522269,,0,32,3
BAG6*MAP4K4,5.69960379970022,,0,20,3
ID2*MTF2,5.695270965071899,,0,5,3
ARHGAP1*CTTN,5.69133776638432,469.0,1,1,2
GTF2A2*ID2,5.68751373116216,,0,116,4
ECH1*HES1,5.684006212257437,,0,1,3
ACLY*BAG6,5.680828110277533,,0,56,3
TBP*TXNL4B,5.679667963143335,,0,2,3
ACLY*ECD,5.674983855116822,,0,22,3
CNOT4*POLG2,5.674923137629884,,0,142,4
IQGAP1*NRAS,5.674775285918685,761.0,0,42,3
COX8A*HES1,5.669075636817711,,0,619,4
BAG6*HSPD1,5.66875500439074,,0,73,3
BAG3*RALA,5.662560017071794,,0,10,3
CEBPA*HES1,5.661005999575246,215.0,0,4,3
EPHB2*PLS1,5.6576928319336,,0,5,3
LRRC16A*PTPN1,5.650815396124857,,0,16,3
NR3C1*TARBP1,5.650365760004283,,1,1,2
BAG6*GOLT1B,5.647093959551508,,0,21,3
BAG6*TES,5.642431430212993,270.0,1,1,2
NRAS*PIK3CA,5.641326194359286,987.0,1,1,2
POLG2*PRUNE,5.640359112893507,,0,83,4
CAST*PGM1,5.639952581548619,,0,2,3
CDKN1A*PTPN1,5.6382751548610335,,0,16,3
RBM6*RPN2,5.637404780960812,,0,23,3
RRP12*TPD52L2,5.634112451346445,160.0,0,17,3
AKR7A2*SLC25A14,5.631547634001085,161.0,0,1,3
C2CD2*PRKAG2,5.62460384370057,,0,2,3
JOSD1*PTPN1,5.623909755327523,,0,3,3
CTTN*MAP4K4,5.622281105398759,,0,32,3
CALU*CTTN,5.620968683982747,,0,40,3
GNAI1*RBM6,5.618722240141922,,0,4,3
HINT1*SLC25A14,5.618400701433684,,0,94,4
CHMP6*UXT,5.613375475415381,,0,3,3
KCNK1*RPS5,5.609941642299747,,0,2,3
BAG3*TP53,5.607706161092672,353.0,0,174,3
KDELR2*RAB27A,5.60269464461684,,0,2,3
SYPL1*TARBP1,5.602671797491556,,0,2,3
BAG3*PGM1,5.601966812932626,,0,24,3
PTK2*TARBP1,5.599729631989852,,0,4,3
HIST1H2BK*RBM6,5.599638477710476,,0,4,3
EBNA1BP2*SLC25A14,5.597416556363635,,0,194,4
LRP10*RBM15B,5.596765511108586,,0,268,4
EGFR*PTPN1,5.5962743010567015,999.0,11,1,2
CTTN*HSPD1,5.596222024846744,,0,99,3
HES1*SRP14,5.594814306890878,,0,4,3
EGFR*G3BP1,5.593477224009616,176.0,1,1,2
HMGCS1*TARBP1,5.59294432589396,,0,2,3
DAXX*FZD1,5.590971825937738,,0,1,3
PIK3R4*TARBP1,5.5909305076421685,,0,5,3
EIF4G1*RRS1,5.590775283229342,166.0,0,55,3
EGFR*MAP4K4,5.5871496841280885,209.0,1,1,2
ITFG1*TARBP1,5.586607781775935,,0,7,3
SMARCA4*TP53,5.585323400066119,997.0,10,1,2
ATF6*MTFR1,5.584990340336541,,0,2,3
BAG6*NRAS,5.582531861774366,,0,25,3
POLG2*TBP,5.581097377488091,,0,2,3
CYB561*TXNL4B,5.580200942562216,,0,66,4
CCT8*DAG1,5.578299558895079,,0,16,3
CEBPZ*MAP3K4,5.577554357281665,,0,13,3
PIK3R4*TCERG1,5.577548439348989,,0,9,3
CCND3*SRP14,5.57368993283265,,0,3,3
POLG2*RNF167,5.572573747808673,,0,59,4
PLA2G15*VPS28,5.571922122740575,,0,170,4
CTTN*TPD52L2,5.571711474496206,,0,24,3
ITFG1*TCERG1,5.570479306585793,,0,24,3
C2CD2*LPGAT1,5.5698984700610215,,0,11,3
IDE*TPD52L2,5.569789957805892,,0,8,3
CHMP6*NOSIP,5.568737979474274,,0,5,3
BAG3*GOLT1B,5.568237434236465,,0,13,3
DUSP4*PTPRF,5.565588694221713,204.0,0,3,3
CASP10*HES1,5.562059262172012,,0,1,3
CTTN*TP53,5.5615668811639445,392.0,0,146,3
CALU*HIF1A,5.559271708322891,,0,23,3
DAG1*RASA1,5.559129397039363,,0,10,3
CASK*PLS1,5.558869279023618,208.0,0,7,3
CLTC*MTFR1,5.556181275456975,,0,12,3
NRAS*RASA1,5.55616524742454,964.0,2,1,2
SSBP2*THAP11,5.554853822822372,,0,1,3
EGFR*NRAS,5.554747825800289,985.0,1,1,2
BAG6*RRS1,5.553484572787621,,0,18,3
SNX13*TARBP1,5.552844270329325,,0,2,3
