interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
FASTKD5*TBP,6.16597887675121,,0,6,3
ADO*SLC25A14,6.145040624834174,,0,12,4
C2CD2*COX8A,6.035173723405429,,0,1309,4
ITFG1*RBM6,6.023682026338418,,0,16,3
ADO*TBP,5.983462634653035,,0,209,4
FASTKD5*SCYL3,5.971093761694718,,0,3,3
LAGE3*SCRN1,5.942225749529498,,0,375,4
RAB27A*SLC25A14,5.940768371119503,,0,69,4
ADO*RBM6,5.939550300673685,,0,3,3
BAD*JMJD6,5.9358339871688965,,0,1,3
SCYL3*SLC25A14,5.933390986011507,,0,109,4
CPSF4*TBP,5.920584731852471,165.0,0,9,3
FASTKD5*POLG2,5.914797671340634,391.0,0,2,3
MRPS16*PLA2G15,5.898147496987249,,0,1,3
PGAM1*POLG2,5.895312902574349,,0,3,3
BAG6*CYCS,5.8951799276209975,,0,20,3
C2CD2*CTTN,5.888940325164274,,0,3,3
TBP*TBPL1,5.886646517762166,919.0,1,1,2
RBBP6*TBP,5.878257824054093,,0,14,3
C2CD2*CCT8,5.878096444477866,,0,1,3
DAG1*JMJD6,5.878053512602556,,0,2,3
ALAS1*APOE,5.876681620331199,,0,5,3
RBBP6*TXNL4B,5.873770215981979,,0,4,3
TBP*TXNL4B,5.871803444395469,,0,2,3
ADO*FBXL12,5.870272207640084,,0,1,3
RBBP6*THAP11,5.868084915069399,,0,3,3
CD44*TMEM50A,5.862975308097548,,0,1,3
C2CD2*PLS1,5.854228950562091,,0,318,4
TMEM50A*VDAC1,5.853735789670431,,0,1,3
RBBP6*SCYL3,5.844106433204326,,0,1,3
RBM6*TBP,5.842523520598104,,0,6,3
MAPK13*SLC25A14,5.842044308174795,,0,27,4
EPRS*JMJD6,5.840193007012989,,0,19,3
BAD*C2CD2,5.833472798717018,,0,2,3
CEBPA*RAE1,5.829389094985677,,0,5,3
ATMIN*RBBP6,5.810116989868146,277.0,0,236,4
DNMT1*LAGE3,5.809362403712324,,0,5,3
ADO*RBBP6,5.805897952326277,,0,2,3
ERBB3*SLC25A14,5.801810670901637,,0,258,4
ADO*POLG2,5.799001145123588,,0,28,4
GNAI1*SCYL3,5.7972436430866185,,0,1,3
FASTKD5*TBPL1,5.792209041708568,,0,5,3
ITFG1*POLG2,5.790549356610763,,0,2,3
RNMT*TPD52L2,5.790424307699833,,0,10,3
RBBP6*TBPL1,5.7894601384721405,,0,4,3
C2CD2*RAB27A,5.786595304531173,,0,6,3
UBL5*VPS28,5.785314204791921,,0,6,3
ADO*TAOK2,5.781121574861235,,0,1,3
CPSF4*TCERG1,5.778196632143459,,0,15,3
PLA2G15*TRAP1,5.775966115969291,,0,3,3
DAG1*SLC25A14,5.769642909541478,,0,98,4
LIPA*MAPK9,5.769289216430696,,0,1,3
CRELD2*TBPL1,5.766036737923244,,0,119,4
SLC25A14*STAMBP,5.764411374733398,,0,1,3
ITFG1*PDIA5,5.763013010423107,,0,12,3
RBBP6*SLC25A13,5.762066310958818,,0,24,3
ATF6*SLC25A14,5.760664304513219,,0,105,4
RBM34*TBPL1,5.759474750474819,,0,7,3
ITFG1*VAT1,5.758449889980338,,0,21,3
KIAA0196*SLC25A14,5.757203538189008,,0,2,3
SLC25A14*SYPL1,5.756171679666791,,0,54,4
CEBPA*JMJD6,5.75110838495177,167.0,0,2,3
RAD51C*TES,5.748567948180779,,0,5,3
NR3C1*PNP,5.746242134278009,,0,8,3
APOE*TRAP1,5.746185719534321,,0,25,3
DDB2*DECR1,5.745631428545429,,0,3,3
CPSF4*SLC25A14,5.743289597261443,,0,1,3
JMJD6*TP53,5.742880006652048,806.0,0,59,3
SLC25A14*TBP,5.738966301831801,,0,115,4
PNP*PTK2,5.738389879740184,,0,6,3
PLS1*SLC25A14,5.737273025464694,,0,1,3
ITFG1*TXNL4B,5.736155405155621,,0,6,3
JMJD6*SMARCA4,5.736137645007914,438.0,0,23,3
PRKAG2*TBP,5.733555680713232,243.0,0,2,3
PLEKHJ1*PMPCB,5.731167213322683,,0,387,4
CTSL1*DUSP4,5.729032187134979,,0,0,0
ABCB6*PTK2,5.7289044383368495,,0,3,3
SCYL3*TBP,5.728900013464339,,0,1,3
CEBPA*RRP12,5.726437100615962,,0,5,3
EPRS*SLC25A14,5.726339789984106,,0,1,3
ABCB6*SCYL3,5.726022236910934,,0,2,3
PIH1D1*RAB4A,5.725558098764651,,0,17,3
SPTLC2*THAP11,5.725433754406718,,0,2,3
JMJD6*RNMT,5.722411500419161,,0,6,3
C2CD2*LSR,5.722331821240866,,0,13,3
POLG2*SYPL1,5.722129942863942,,0,91,4
C2CD2*DSG2,5.71999845042378,,0,15,3
BLCAP*BNIP3,5.717218829056331,,0,1,3
NR3C1*SLC25A14,5.717107871270895,,0,2,3
RBM6*UBR7,5.713057971421557,,0,3,3
APOE*CEBPA,5.712106034079224,298.0,0,1,3
TMEM50A*TNIP1,5.711024658579216,,0,162,4
ITFG1*SLC25A14,5.709807587952101,,0,2,3
SCCPDH*UBL5,5.709519846434237,,0,2,3
BAD*CD44,5.706388795999675,,0,6,3
FASTKD5*SLC25A14,5.705532156057508,,0,4,3
PMPCB*TBPL1,5.699604252794815,,0,5,3
ARID4B*THAP11,5.699217404127039,,0,6,3
CRELD2*TAOK2,5.6987828572995625,,0,1,3
BAG6*PLA2G15,5.698328605542617,,0,4,3
