interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
ATP11B*PLOD3,51.98349066884307,,0,125,4
CDH3*TMCO6,51.30372389710702,,0,1,3
STK25*TOPBP1,51.1157226071329,,0,1,3
ID2*PPOX,50.989412880442416,,0,325,4
CDH3*RPL39L,49.3031516081592,,0,2,4
C2CD2L*SEC11A,48.93525938058774,,0,10,3
ENOPH1*RBKS,47.112735216720445,,0,48,4
KAZALD1*PPOX,46.94929662480655,,0,33,4
MFSD10*RPL39L,46.668172563382726,,0,1,3
PLOD3*RPL39L,46.247327184251134,,0,26,4
CXCL2*EML3,46.06114219189141,,0,18,4
PLOD3*USP1,45.94705661107309,,0,3,3
DDIT4*TP53BP2,45.22532592962852,,0,6,3
CDK2*MFSD10,45.09999001581895,,0,1,3
IGF2BP2*STK25,44.939939990226485,,0,3,3
MACF1*PRAF2,44.83887898454553,,0,3,3
COX8A*HMGA2,44.643793122733896,,0,9,3
DERA*PPOX,44.50765033024784,,0,2,3
C2CD2L*ZDHHC6,44.50753623837173,,0,4,3
BID*RPL39L,44.49443161813417,,0,16,4
IGF2BP2*PTPRF,44.307838737371895,,0,8,3
APOE*PNP,44.28481317902898,,0,3,3
DUSP3*UQCR10,44.08688042598061,,0,2,3
CERK*RPL39L,44.04414886095242,,0,1,3
RAD9A*SEC11A,43.89532879140832,,0,2,3
CDKN2A*USP22,43.85786741271591,205.0,0,12,3
NUSAP1*PLOD3,43.78963441422319,,0,6,3
NUP85*PLOD3,43.69715643568631,,0,12,3
CHN1*RRS1,43.69147245538355,,0,3,3
C2CD2L*DUSP6,43.49157224119643,,0,1,3
CDK7*SYF2,43.48115853252253,,0,7,3
ATP5G3*CDH3,43.3298239013298,,0,25,4
ATP11B*LRPAP1,43.30276041392909,,0,1,3
CHMP4A*COASY,43.28150383645841,,0,3,3
RPL39L*STK25,43.2039298415754,,0,1,3
MELK*PLOD3,43.15328879129062,,0,4,3
DERA*POLD4,42.92053497265675,,0,29,4
GADD45A*METRN,42.91197419500607,,0,106,4
NRIP1*TESK1,42.87827632245962,,0,200,4
IGF2BP2*USP22,42.7729089487568,,0,10,3
DUSP4*TOPBP1,42.55365264319168,,0,1,3
PPOX*UQCR10,42.548681708507935,,0,5,3
AKR1A1*BLCAP,42.47485785978344,,0,70,4
CDH3*MYBL2,42.32737118847501,,0,185,4
NPDC1*TMEM50A,42.293369742343074,,0,1,3
NUDT9*POLD4,42.08480857133941,,0,25,4
G3BP1*PUF60,42.042289103605405,231.0,1,1,2
LSM5*PLOD3,42.009677191518335,,0,4,3
COG7*TRAPPC3,41.86916575060729,216.0,0,4,3
C2CD2L*DERA,41.84006640871967,,0,1,3
ATP11B*DHRS7,41.83383329014779,,0,2,3
PPOX*TP53,41.82600647011996,,0,13,3
FOXO4*P4HA2,41.73287762800639,,0,1,3
SPDEF*ZRSR2,41.7063986175142,,0,2,3
BIRC5*MAT2A,41.685925503891895,,0,11,3
CDC25A*CDH3,41.60736152926228,,0,254,4
LOXL1*PIH1D1,41.584199709214566,,0,834,4
LOXL1*MAT2A,41.42071964471164,,0,1,3
MAP2K5*UBE2C,41.40487890410203,,0,2,3
NARFL*PDLIM1,41.22310161339579,,0,1,3
PDLIM1*SCAND1,41.2120085083579,,0,1,3
CRYZ*IKBKE,41.12524445804909,,0,2,3
ALDH7A1*P4HA2,41.10056529442823,,0,6,3
CDK2*PLOD3,41.03084041176131,,0,25,3
HSPB1*PPOX,40.86724855168792,,0,12,3
GADD45B*UBL5,40.86061194564167,,0,87,4
PLOD3*TOPBP1,40.70220445788173,,0,6,3
PPOX*TSPAN4,40.66843986989519,,0,1,3
ITGAE*RBKS,40.65090947239718,,0,5,4
ATP11B*COX8A,40.60987872913875,,0,254,4
PKIG*SPDEF,40.47505081502557,,0,17,4
DUSP4*PAPD7,40.37854390989114,,0,203,4
PLA2G4A*RPL39L,40.371794194899536,,0,10,4
BIRC5*PNP,40.303728597554354,,0,3,3
CALU*EBP,40.29084439019795,,0,14,3
NDUFC1*NR1H2,40.279883309308026,,0,23,4
BIRC5*FAT1,40.20088420180698,156.0,0,1,3
DUSP4*RPL39L,40.18054207871597,195.0,0,17,4
ATP11B*DUSP4,40.16257680772585,,0,85,4
DUSP6*RBKS,40.1528547910479,,0,2,3
MAN2B1*PSMB1,40.10261159886615,,0,4,3
CHMP4A*SKP1,40.09041248534629,,0,8,3
NUDT9*RBKS,39.940197604878286,,0,1,3
CDKN2A*RBM15B,39.937802733566336,,0,15,3
DUSP4*TEX10,39.93496443598536,,0,1,3
ATP11B*GATA2,39.927930204350346,210.0,0,155,4
CALU*MFSD10,39.912710813362885,,0,8,3
NDUFC1*PXN,39.855664863522414,,0,1,3
PLOD3*UTP18,39.820059472052165,,0,7,3
ATP5G3*CXCR4,39.8188252702052,,0,1,3
HSPA8*PRAF2,39.70287291230432,,1,1,2
RAC2*UQCR10,39.70045844114068,,0,8,3
NARFL*SNX13,39.6946856528194,,0,32,4
COX8A*TRIB1,39.674994616246735,,0,445,4
BIRC5*PLOD3,39.67309178351257,,0,6,3
CASK*RRS1,39.641483067906535,,0,15,3
ABCB6*CSNK2A2,39.62162462369332,,0,8,3
MFSD10*TOPBP1,39.57717479215643,,0,1,3
HSPB1*SCAND1,39.557381338817365,,0,613,4
ITGAE*ST6GALNAC2,39.53989628008683,,0,3,4
