interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
LYN*TM9SF3,58.80116485894502,,0,34,3
LIG1*PIK3R3,53.19790904653028,,0,2,3
HDAC2*IFNAR1,52.13601926652368,,0,9,3
TRIB1*TRIM2,51.62387202878207,,0,3,3
ATP6V1D*HAT1,51.5719818577279,,0,5,3
CDC42*MELK,50.71641133056703,170.0,1,1,2
CALU*DYNLT3,50.50079644829526,,0,4,3
CDC42*UTP18,50.4129718837198,,0,32,3
TBC1D15*TOPBP1,50.33050116006677,,0,3,3
PTPN12*TRAM2,50.2642357388893,,0,1,3
ATP11B*DERA,49.02411829418006,,0,29,4
HDAC2*HMGN1,48.9892684177448,154.0,0,31,3
RAB21*USP14,48.7393601148311,,0,14,3
ATP11B*RAB21,48.70259439493764,,0,3,3
CALU*NRIP1,48.38645134431896,,0,8,3
CCNB1*NDUFC1,48.16325532545945,,0,1,3
NRAS*TBC1D15,48.074992661995,165.0,0,10,3
CALU*TM9SF3,48.04024983149672,,0,28,3
HDAC2*RAB21,47.95597928911973,,0,22,3
HAT1*HN1L,47.732904984951126,,0,11,3
MAN2B1*TSC22D3,47.69433536614339,,0,1,3
DDIT4*TRIM2,47.62339777682763,,0,146,4
DECR1*LYN,47.42327415858855,,0,10,3
MAP2K5*OGFOD1,47.21975241477213,,0,1,3
LYN*RBM34,47.21752621010452,,1,1,2
C2CD2L*USP22,47.12448024277885,,0,2,3
CALU*RAB21,47.08315071032955,,0,24,3
CALU*TRIM2,47.04070110760118,,0,4,3
TOPBP1*UBR7,47.01948339280295,,0,6,3
MAN2B1*MAT2A,47.00327596793831,,0,3,3
BNIP3*WIPF2,46.89967163162316,,0,141,4
PIK3R3*PTPRF,46.85576229814824,151.0,0,18,3
MAT2A*USP16,46.829712718489546,,0,10,3
CEBPZ*PPP2R5A,46.815569720124905,,0,7,3
CDC42*NRAS,46.72511066807181,389.0,0,317,3
NRIP1*RPL39L,46.69811594875782,,0,17,4
CALU*TRAK2,46.63646782817512,,0,6,3
NRAS*SRC,46.47729334853516,972.0,1,1,2
ACLY*ZW10,46.39639940155452,,0,24,3
NRIP1*TBP,46.34774541925768,226.0,0,11,3
EIF5*YTHDF2,46.25499469462369,,0,34,3
HAT1*NDUFC1,46.22160174067066,,0,84,4
AKAP8*P4HA2,46.21830502374211,,0,10,3
MELK*RBM34,46.08734319241401,,0,6,3
ATP5G3*SLC35A3,45.98748194404471,,0,19,4
ELAVL1*RBM34,45.96046332908725,,0,69,3
CDC42*YME1L1,45.95930437549928,,0,42,3
PIK3R3*RFX5,45.69931000908345,,0,1,3
LGMN*NRIP1,45.57991933573881,,0,344,4
DYNLT3*NRAS,45.52327536424427,,0,2,3
DSG2*PRKCH,45.310963108969446,,0,5,3
CDH3*LGALS8,45.2651744351695,,0,250,4
NRIP1*UBAP1,45.25836938789625,,0,3,3
ATF5*LPGAT1,45.21262419151181,,0,72,4
ATP11B*LGALS8,45.11308229920687,,0,129,4
AGL*CDC42,45.060480005691616,,0,17,3
MAT2A*TBC1D15,45.01084308515175,,0,15,3
RAB4A*UBQLN2,44.97665891522023,,0,38,3
LIPA*LYN,44.96075044153464,,0,5,3
CDC25A*NDUFC1,44.902012722009495,,0,69,4
NFKBIA*S100A4,44.85735107874686,241.0,0,8,3
ILK*MAP2K5,44.80354262599924,158.0,0,26,3
ATP6V1D*MAPK1IP1L,44.7946767426452,,0,219,4
EIF3L*PTPRF,44.768402338128496,,0,18,3
G3BP1*TBC1D15,44.74418140959092,,0,19,3
HMGCR*PTPRK,44.67586134002502,,0,5,3
DUSP3*RNMT,44.674574101522936,,0,8,3
HAT1*SCP2,44.54150573341029,,0,5,3
MAP2K5*USP7,44.47829883288024,,0,24,3
DERA*MAT2A,44.441382567708594,,0,5,3
PPP2R3C*RNPS1,44.4360799839988,,0,2,3
FAM20B*RAB21,44.30820059261746,,0,7,3
KDM5A*MYL9,44.2343265686579,165.0,0,1,3
ATP11B*DUSP3,44.22786836580028,,0,54,4
IDE*PLOD3,44.22560762163394,,0,6,3
DERA*PIK3C3,44.21866016141194,,0,4,3
HYOU1*MAP2K5,44.17023040454591,,0,11,3
PDLIM1*PUF60,44.15388639031613,,0,13,3
CERK*TP53,44.13309547491517,,0,15,3
CLTC*CRYZ,44.11437652731205,,0,16,3
NOLC1*TM9SF3,44.10774902172775,,0,12,3
ID2*ITGB1BP1,44.10161364887504,,0,192,4
TP53*USP22,44.100853182823336,325.0,0,56,3
ADH5*WDR61,44.08458818241609,,0,4,3
DECR1*TSC22D3,43.92277452172441,,0,2,3
CPNE3*TBC1D15,43.91612545837894,,0,11,3
NGRN*VAPB,43.848432061326896,,0,10,3
IDE*MAT2A,43.7808863242651,,0,12,3
CDKN1A*RBM15B,43.6662998836306,,0,5,3
IFNAR1*RNMT,43.64872100913496,,0,2,3
DERA*HDAC2,43.60369754211081,,0,4,3
ATP11B*TBC1D15,43.601078694059424,,0,105,4
ID2*PNP,43.583847174825145,,0,4,3
CXCR4*NRIP1,43.563507437286106,,0,844,4
C2CD2L*MAT2A,43.51931097371455,,0,1,3
CTNNAL1*RFC2,43.494970386501805,,0,4,3
MAT2A*STAT5B,43.38328178267585,,0,10,3
CALU*IFNAR1,43.26745750823382,,0,2,3
ATP11B*ETS1,43.26544162019396,,0,95,4
DERA*LSM5,43.2394235935262,,0,1,3
