interaction,rmst_diff,string_interaction_evidence,biogrid_interaction_evidence,bioGRID_shortest_paths,bioGRID_min_path_length
ATF5*COG4,71.40758679212716,,0,79,4
BLCAP*EML3,67.03407342677741,,0,1,3
RBM34*YME1L1,66.0417451774884,157.0,0,10,3
GADD45B*TGFBR2,62.388236740121,176.0,0,1,3
ST3GAL5*USP6NL,60.04647348330897,,0,1,3
BPHL*FPGS,59.830576810048,,0,2,3
CAPN1*SNX7,59.733004420338,,0,186,4
NFKBIA*PRAF2,59.43191005348295,,0,1,3
HIF1A*ST3GAL5,59.2676916210867,,0,2,3
CEBPD*KAZALD1,58.77827305821744,,0,1,3
MAPKAPK3*RAD9A,58.018804795668565,,0,216,4
DCTD*FAH,57.35285431098848,,0,1,3
CASP7*SHC1,57.1688800462312,177.0,0,6,3
IQGAP1*ST3GAL5,56.69524781714415,,0,2,3
CDK2*KLHL21,56.05029074975335,,0,5,3
DCK*DRAP1,55.98069134807132,,0,3,3
LPAR2*RAC2,55.53303955611977,223.0,0,16,3
DERA*DUSP14,55.46332647588881,,0,368,4
CANT1*POLG2,55.35512477972231,,0,101,4
ID2*NISCH,55.27712261685641,,0,4,3
GADD45B*TRIM2,55.27146837239447,,0,53,4
CDK2*PNP,55.18140395530795,,1,1,2
CERK*POP4,54.82054902209912,,0,2,3
FBXO7*SPP1,54.63645600933695,,0,7,3
CDK1*SNX17,54.489511248892406,,0,9,3
GRWD1*UBR7,54.27933413839358,,0,6,3
DNM1L*PNP,54.23821776464597,,0,10,3
HSPA8*RPN1,54.19373983410048,278.0,1,1,2
CCL2*TIPARP,54.1611896993652,151.0,0,5,3
TRIB1*UBL5,53.97812717533999,,0,1,3
CDKN1A*GLTSCR1,53.80733598902523,,0,4,3
APPBP2*PNP,53.48616362404016,229.0,0,1,3
PNP*WIPF2,53.45649333679136,,0,1,3
CERK*LSM5,53.32439833110085,,0,3,3
CDCA4*SYK,53.288472546372006,,0,5,3
EIF3E*ITGB1BP1,53.13536145755628,,0,2,3
PSMF1*SUPV3L1,53.03125693837383,,0,6,3
ASCC3*RBM34,52.92564641803021,248.0,0,27,3
RBM34*RSU1,52.82682895488279,,0,7,3
CDK2*PTPRF,52.78411958672379,,0,30,3
CAPN1*INTS3,52.73469880043692,,0,8,3
BPHL*PARP1,52.51659755099293,,0,8,3
KAZALD1*SHC1,52.508260842760826,,0,1,3
SUZ12*TSTA3,52.48942307580374,,0,4,3
KDELR2*TPM1,52.481244774961525,194.0,0,7,3
LPGAT1*TPM1,52.41495455220881,,0,9,3
LPGAT1*RAB31,52.39975398308373,,0,7,3
CDKN1A*PTPRF,52.23083780196608,,0,12,3
PIK3C3*SLC1A4,52.21369167983208,,0,2,3
MPZL1*NOTCH1,52.19955873723494,,0,36,3
PAK6*ZNF131,52.19624253742895,,0,1,3
CDK2*NFKBIB,52.10006463541672,265.0,0,19,3
CD40*HTATSF1,52.008383932407845,,0,2,3
ACBD3*RBM34,51.9831896946837,,0,14,3
PPIE*VAV3,51.751552298994646,,0,6,3
COG4*IGHMBP2,51.74654601586052,,0,2,3
HIF1A*PAF1,51.73139067221776,,0,22,3
DNAJB6*RBM34,51.65113108023043,,1,1,2
SLC1A4*USP14,51.60807710718941,,0,4,3
GDPD5*POLR1C,51.54134112115607,,0,2,3
CHMP4A*DDR1,51.405580463855344,,0,1,3
AKR1A1*BACE2,51.31938390175865,,0,1,3
DUSP3*NET1,51.00034792199489,,0,1,3
NRAS*PNP,50.93502323212868,,0,7,3
EVL*ITFG1,50.81125006099116,,0,5,3
GPATCH8*UGDH,50.70453827515959,,0,9,3
MAPK1IP1L*PNP,50.649586514707735,,0,266,4
TRIB1*USP6NL,50.64931113271624,,0,1,3
PNP*SCARB1,50.58690859943617,,0,7,3
ISOC1*POLR1C,50.54504409846469,,0,9,3
AKAP8L*COPB2,50.515387651101975,,0,36,3
CCDC92*UBAP1,50.50771559529243,,0,2,3
PCBD1*POP4,50.41833080848216,,0,329,4
DCK*SNX17,50.34236194186961,,0,3,3
EXT1*TAOK2,50.11542993761612,,0,159,4
NRIP1*TGFBR2,50.05668403576884,,0,2,3
KDM5B*RBM34,50.02500497407844,161.0,0,4,3
CSK*PTPRF,50.00229040532477,,0,16,3
PNP*UBE2E1,49.965644860252766,,0,1,3
CAB39*TPM1,49.94868772319843,,0,7,3
LYPLA1*PIH1D1,49.94582358855431,,0,8,3
SHB*TRIM2,49.9239589583032,,0,1,3
MAPKAPK5*UGDH,49.9106066200271,,0,3,3
PIK3R3*PTPRF,49.81916829985791,151.0,0,18,3
LRPAP1*RFX5,49.71964649818486,,0,1,3
ATP6V0B*CIAPIN1,49.70408163449844,,0,201,4
GADD45B*TAOK2,49.66850242195167,,0,102,4
PAF1*UBE2A,49.650725189431455,671.0,0,12,3
PNP*UBR7,49.58067624539808,,0,1,3
MTF2*NOLC1,49.55705663855864,,0,10,3
ITFG1*SLC25A4,49.5146810666968,,0,29,3
CD40*KLHL21,49.4892959955072,,0,3,3
INTS3*NGRN,49.40810336558112,,0,4,3
NDUFB6*PNP,49.33840161807029,,0,2,3
INTS3*LAP3,49.30319840818595,,0,6,3
MAT2A*UGDH,49.24061958108444,597.0,1,1,2
PNP*ZNF131,49.22621033226017,,0,2,3
EBP*PNP,49.1525818098805,,0,11,3
ECH1*GNA11,49.09670826108717,,0,6,3
ATP6V0B*DAXX,49.08317422205326,,0,2,3
