gene,PMIDs
PSME1,"26569176,24629635,22959058"
VDAC1,"29551631,33114780,30194563,20346371,34399235,34421651,31288390,28712506,36231136,28618997,22020053,23663973,28713289,22120575,26947058,28824871,37126911,26551691,27116927,22204343,29682501,22995655,23168279,25448878,25087640,32339494,29028058,20708406,37014578,28554327,30698851,24272356,28443244,21297950,28571556,18622693,35733995,20144586,29594867,21530686,26709731,24492769,28554318,18651212,35082690,19665886,22700429,28689004,27677502,23816568,15474974,20137159,24211404"
CISD1,"29463105,29435647,25448035,24814435"
SORBS3,27973581
SPDEF,"30129068,31953222,23880290,32547225,31181727,27612480,27091323,19520914,31188900,36308435,33232357"
ATF1,"33249565,29076877,34302199,35118310,22510762,34919183,30445501,25927151,24378390,25086685,21992435,26363999,25990369,22904082,27253849,11015726,17163160,19434522,25724038,30819530,28799013,11310795,17227118,30293890,12524467,32816231,31688004,7493135,11022789,17721743,33577927,10697414,12119268,9618898,12741683,11969286,17075294,11578973,35578546,16878328,14713288,10983897,28529924,36470043,33599302,21804323,30554833,11642609,15312676,23252871,25197404,36076673,26586017"
SPAG4,"27560381,11988320"
E2F2,"32884453,36389725,33952804,33304937,28157724,22543480,23745020,10402252,9732055,26424751,22688350"
RHEB,"33906557,32322463,26159692,34632383,25714619,31154896,31594908,32627660,35935338,14668532,27444727,27854154,28212107,29119228,32518628,29104218,35953758,36732094,30647914,28475102,32765227,24235024,23863162,25328887,23769967,33802760,32188096,24352740,28686218,30558189,31965176,32339519,24863881,31625153,32799865,25701492,22544507,23274731,33869199,18466115,15240005,27909410,18598780,34738031,18291711,18765678,14729330,24162376,17041622,21412983,21561413,16206276,15090902,14607085,25359125,16244323,19143643,28610953,17624946,11842430,16916489,19143635,21138990,19262129,17046229,16959824,28612328,16391386,14684181,21547565,16288294,19169823,15102439,23485365,18080139,15755954,12105085,15586002,23892008,21196241,19237273,9866829,14614311,25402640,16230362,16365087,15094765,15562827,26117317,21949787,17637564,19143636,19299312,22731106,10712923,21836044,18827171,19109557"
IGF1R,"32858949,32941924,35163586,26579440,29702590,25905205,32605090,32567373,34452353,34638601,35582669,30557473,22178455,32201313,36358907,31733664,34787691,32194500,33074286,36036015,33557137,34943997,24944010,24140475,20641287,20641356,23263486,31794912,33673232,36087875,20641936,19096299,24863809,36093095,29273685,33918477,30453495,36446332,33029712,32835785,34680948,29249625,35597813,29455671,35627241,34631720,29967215,30328953,35205115,22817723,28528692,25333772,27446805,27141071,21552124,29238946,36399929,24013023,32208563,33144411,33360508,25964777,28528691,31208077,26330483,26844335,23743496,21920801,24380833,28613101,26487704,26988130,22454254,21396571,22423513,34304271,25602077,18538284,31914447,24924170,26803986,31426421,22136428,24840722,35126101,31529339,24350933,24859417,27629137,19663648,28447036,28348113,35008660,31505803,23507573,28104361,24206539,36062855,26906607,18538283,23392101,24166096,24350927,28495324,27378760,26369544,32593402,35672696,32508750,22170383,19126579,20836088,23666471,26567024,34366884,31724496,21311212,22406592,21396585,26045026,21837684,22178467,36556357,14710367,10066081,26318059,22520978,21729319,26404261,23428682,33584548,23103568,16612111,24904527,12795426,9449044,18670298,18070720,23182819,23671155,21787276,25542271,30069455,21568362,22312273,23756181,30667081,22423511,37037091,14530602,14604834,18687773,27473045,29183145,25560705,15838387,22090473,28190785,29776602,11739335,26528439,19796953,15464297,10674009,17315038,29475434,32379895,23944362,29761313,22661305,22348393,21849857,25866791,26217584,29486622,29570984,18797577,30570412,23076735,32430099,22471706,18797588,31847392,32021971,16382049,28900330,22154278,11095400,28708099,24338270,27130844,19754359,33245949,14698816,21597332,34785890,22218435,27142684,16571873,21208841,31242924,15503865,36980008,17332914,12359511,19013896,24091017,22098791,25300501,17259556,18819487,26191041,22571659,20599789,15231297,24373242,23830351,23428681,10699960,12067807,27129807,33816477,22935582,12606812,30111747,19530272,21154128,15879685,28533226,11316729,27243824,36835075,26738606,19632948,24276851,28823533,19714501,24210909,23942703,30165429,33673334,22019901,27285678,15562833,26452383,37196048,22873663,21963847,21972777,11376122,21916834,36831629,34994597,20864405,10885804,19632946,24388362,22774980,16113104,22479716,23373648,19501013,36902446,22175887,25200445,17487250,24358512,15253384,19532012,10690945,25041791,23131184,24922664,24467828,31792037,24262440,16350721,31479555,26894743,36359767,10234899,24615087,17056309,22771244,11376126,15566314,25874884,37124491,18818517,17440928,24108072,23879873,21994054,25187157,21031338,21810918,36005738,27164130,25110710,12884909,12698206,28574407,16114049,32060422,21355204,24919569,35782072,18249219,27327970,12400070,22508822,27331824,29428848,28369940,25385439,22548717,21750201,18544998,22343976,23741071,21748299,23038624,24667580,15127203"
SLC5A6,22420308
FOXO3,"23517348,31776981,25951043,15492844,33173189,34856334,23542362,36280450,28213398,29180117,31109447,35846332,26579442,34795217,28894507,33641066,23845738,25832544,30935402,25484085,35421606,26643314,36561957,35813842,31737995,36562359,33833780,29691711,36598531,31303978,30228872,33614239,32427691,35563054,30088222,25480637,30450624,25689426,26726907,32630045,36319107,35387281,34123834,29309928,30646603,25625517,27502996,31891666,30205794,31973091,26303641,24232446,35370755,32645697,28570402,32635607,18255267,19630807,22178470,28927457,26639084,28249743,31181871,27329260,28087388,20429429,34803727,23768641,26686861,19380253,26391267,23583953,32309538,30529477,22090473,31440237,28774834,33513429,36866542,18391971,18985696,24948874,26579436,37036419,37174744,29431075,15308206,29950243,22395111,20429421,36939886,21856374,18537638,27818997,27181414,24203065,20592766,32678081,29344415,25913413,17594606,23855308,21188402,21486222,25199915,22455386,29364489,24750786,24398765,23535211,29282328,37188264,28977569,23619899,17825902,25559753,17652214"
RGS2,"28867940,26655302,32973086,26575296,26123303,36443250,29021836,29702036,23859711,20858171,15746448,22908964,23886513,20036967,20662753,17276730,25071441,16527269,19467451,11906816,19175357,25309327,25225016,15313557,18790542,11239574,23962825,14631756,27646470,15268629,30919036,19089345,15313560,20386734,21737952,20627871,24154666,25849301,24855830"
GSTM2,"24548101,35727468,18065725,21323602,19383551,36978921"
SCYL3,"33643817,26981075"
RHOA,"35273164,34359999,31456795,22180088,29359661,26838319,14627618,33070127,29394331,33160401,29377108,35563826,24333164,25950641,31770579,28970150,31319592,34831420,33627838,31632513,35412260,36036015,32064593,24211850,34769004,35854253,33570449,29043078,33309958,36306821,28164524,33892377,19224428,31013840,35749708,29172947,33906663,32746999,29199510,36010634,35712080,32120337,33345850,36348464,29859176,34716859,36658753,25904553,32460002,33426791,36766776,30174600,33912919,33234067,30682817,29385717,35237598,27875099,34110567,33521001,33923951,28702704,27220739,32274657,34164528,27693615,29036929,28632027,31723415,29678956,36128379,35027991,36403313,31380367,29148036,30189292,32721043,32034711,29025272,26775587,21824110,27898263,31431179,28408954,31185627,27161237,26556565,29799302,31357447,27991930,34440613,29666117,28231640,26477567,25639730,33077700,20460153,34269187,33546351,20559774,30787037,32110512,27463838,35954378,31904392,34879801,35454871,33126816,27832378,26474844,32881632,31248017,31208035,30505270,35071371,32838579,27064956,34015583,15861318,23488932,32370294,32735042,15072967,9451818,35011600,36469178,22329637,15506958,33358701,35860313,27657701,17305471,34359851,27314434,33916969,29185861,32852625,36151345,34831205,28889481,24877606,29500478,24422578,28508825,24467208,22986288,15501444,29925821,33849798,22927365,27251065,24994932,22931484,28911825,28178678,25791356,33302361,24440667,29913074,35154449,24004837,33915776,27131906,23639507,29161587,36014536,25620407,25793574,26519907,35215978,28214467,26364057,19275543,34166685,18829842,20808285,31388931,25483298,24183240,20130732,22607993,25496262,18375586,35563390,33912016,25897262,22879066,26240594,21781017,21929346,24689848,29769011,26637164,31332482,32233226,23601011,25177270,21622195,16460276,18363555,21068200,25660168,30696065,23648569,25531582,25268403,28484126,23022664,15706042,24297045,29291271,34216756,25311680,16574914,25195695,29279549,32915198,27304967,27460193,18793636,22671598,25483301,27760771,34576329,15774750,36049290,33101039,22902183,21450123,35784350,32579705,24523202,29051760,29921661,16042565,24308970,30156080,20347825,31450555,28304230,10639096,26647161,22241174,19160018,16469861,28174704,32469710,22467564,26103434,23538840,19233486,30717063,26431836,26756630,16839863,26119326,16391545,31597847,17276730,11276396,28966634,27909410,25453218,22898751,16356107,26090570,22571664,21196273,16446491,16411892,15715922,21327630,11517927,24815671,24144047,15951850,33505968,23763313,24996502,19088252,18059623,23998617,14644192,37143767,11133929,31959286,12168798,20876517,26758944,14645134,36117697,10827130,16472646,24607953,20062930,18991642,12670400,25757376,9887967,16949823,24202176,20953121,21190521,19707285,31866415,25221469,12415742,18334926,23921306,12051620,16809566,20006983,24557714,24150064,28287334,16950560,35002526,9744561,19647110,16475973,25148796,31023966,25162437,18536743,17873379,10425391,23953240,26175735,27720426,26087073,24323945,10882865,15935334,15140422,37036419,12401203,28188861,29167336,12530938,17146673,20878268,10647781,25007996,35937410,14646585,22902181,24112361,25482645,18221230,26370683,15761211,25748676,17692015,16484628,21429735,20809760,12162723,27774463,16900393,11795508,24553779,27748980,23681979,17011642,30155678,15521546,23475479,19228372,23186810,11596855,20123714,21622831,21497405,19075636,22114142,27096107,21308793,24467206,14506307,25033806,20948164,17264675,12411390,23103216,15746383,23096573,15520302,22713173,11604131,23001883,19422655,8906566,17850788,16546569,17854659,25339865,11313900,19647118,29593724,24004875,20504380,19818399,16496227,19226283,36583382,21193903,16452714,17409776,32512842,35177224,16083339,23611148,25879033,15965706,32231403,14996930,15837062,11181961,20204738,21274755,14713118,11350626,10481210,19673606,12788374,22167233,31835751,11201785,32896837,17692017,24211637,25309324,16456110,15816329,17447877,18272077,15352164,25191269,18289919,10087910,10605728,15020670,25744731,22617029,19538537,18095484,15655303,31884829,11429645,16339747,14561717,26480288,16115036,8681427,21757855,10818436,17559822,26413339,17568183,30198906,33800150,16215275,25948303,17521776,12382323,29374533,37182145,19550136,11680784,21898987,15173600,21130867,23896200,12689770,15981463,24367288,16460837,17662916,15817389,17615983,24882643,17237547,30465083,28177460,22274710,14620744,22694757,12489795,25807824,8527485,10783703,20045866,19060417,23512329,23048036,25971815,24637663,12730857,10553582,10918823,34771549,33801781,26036474,18021329,36768837,28363828,16273260,24819962,17981578,34616031,22804617,23796463,34180640,33916163,32714150,28328290,15701619,15942116,21778879,11055975,22467316,33423524,35351880,36622065,20502695,33157235,30040870,29452094,25971267,28123925,12642016,36796016,35606056,27542176,24322391,21700485,21615201,25681865,29111429,33269763,21560042,19089345,15890798,35783101,32751354,23121917,30400005,28154894,24936971,29212656,21838666,27766054,33837695,27076614,11547898,25323761,26003445,35357640,31024258,20462773,24760441,23587924,19162129,14572163,36793612,36551942,32637355,29631978,16892168,35043239,28739680,15124925,31250246,24088353,36320603,14598373,31382410,26877923,26361417,36130624,30381640,17127323,28657426,23072746,21190141,29397528,21619876,31205631,24325550,29433676,29786349,22530599,11125205,33193393,23153583,32346919,11093352,31663422,15860745,31036756,34399835,12815233,17203201,24134901,18450475,32885808,32877719,35769086"
TBX2,"27793714,19052953,30478614,28057272,28057266,23624936,15300007,28057270,28057269,29084003,26825466,20624445,21335279,16688725,15580613,15239925,32810974,12755490,23633400,18353141,21498422,30934098,18698484,10841026,28340873,12514310,18050503,25662074,22052796,18031237"
